date,name,place,price
2015-02-15,矮脚白菜,云南/花都,8.0
2016-01-01,矮脚白菜,云南/广州,2.8
2016-01-02,矮脚白菜,云南/广州,2.8
2016-01-03,矮脚白菜,云南/广州,2.8
2016-01-04,矮脚白菜,云南/广州,2.8
2016-01-05,矮脚白菜,云南/广州,2.8
2016-01-06,矮脚白菜,云南/广州,2.8
2016-01-07,矮脚白菜,云南/广州,2.8
2016-01-08,矮脚白菜,云南/广州,2.8
2016-01-09,矮脚白菜,云南/广州,2.8
2016-01-10,矮脚白菜,云南/广州,2.8
2016-01-11,矮脚白菜,云南/广州,2.8
2016-01-12,矮脚白菜,云南/广州,2.8
2016-01-13,矮脚白菜,云南/广州,2.8
2016-01-14,矮脚白菜,云南/广州,2.8
2016-01-15,矮脚白菜,云南/广州,2.6
2016-01-16,矮脚白菜,云南/广州,2.6
2016-01-17,矮脚白菜,云南/广州,2.6
2016-01-18,矮脚白菜,云南/广州,2.6
2016-01-19,矮脚白菜,云南/广州,2.7
2016-01-20,矮脚白菜,云南/广州,2.9
2016-01-21,矮脚白菜,云南/广州,3.0
2016-01-22,矮脚白菜,云南/花都,3.1
2016-01-23,矮脚白菜,云南/花都,3.1
2016-01-24,矮脚白菜,云南/花都,3.6
2016-01-25,矮脚白菜,云南/花都,3.6
2016-01-26,矮脚白菜,云南/花都,3.8
2016-01-27,矮脚白菜,云南/花都,4.3
2016-01-28,矮脚白菜,云南/花都,4.3
2016-01-29,矮脚白菜,云南/花都,4.5
2016-01-30,矮脚白菜,云南/花都,4.8
2016-01-31,矮脚白菜,云南/花都,5.0
2016-02-01,矮脚白菜,云南/花都,5.0
2016-02-02,矮脚白菜,云南/花都,5.7
2016-02-03,矮脚白菜,云南/花都,5.8
2016-02-07,矮脚白菜,云南/花都,6.3
2016-02-08,矮脚白菜,云南/花都,7.0
2016-02-09,矮脚白菜,云南/花都,6.9
2016-02-10,矮脚白菜,云南/花都,6.5
2016-02-11,矮脚白菜,云南/花都,7.5
2016-02-12,矮脚白菜,云南/花都,7.5
2016-02-13,矮脚白菜,云南/花都,7.6
2016-02-14,矮脚白菜,云南/花都,8.0
2016-02-16,矮脚白菜,云南/花都,6.6
2016-02-17,矮脚白菜,云南/花都,6.3
2016-02-18,矮脚白菜,云南/花都,6.3
2016-02-19,矮脚白菜,云南/花都,6.5
2016-02-20,矮脚白菜,云南/花都,6.8
2016-02-21,矮脚白菜,云南/花都,6.5
2016-02-22,矮脚白菜,云南/花都,6.5
2016-02-23,矮脚白菜,云南/花都,6.6
2016-02-24,矮脚白菜,云南/花都,6.5
2016-02-25,矮脚白菜,云南/花都,6.3
2016-02-26,矮脚白菜,云南/清远,6.5
2016-02-27,矮脚白菜,云南/清远,6.3
2016-02-28,矮脚白菜,云南/清远,6.5
2016-02-29,矮脚白菜,云南/清远,6.5
2016-03-01,矮脚白菜,云南/清远,6.5
2016-03-02,矮脚白菜,云南/清远,6.7
2016-03-03,矮脚白菜,云南/清远,7.0
2016-03-04,矮脚白菜,云南,7.3
2016-03-05,矮脚白菜,云南,7.4
2016-03-06,矮脚白菜,云南,7.2
2016-03-07,矮脚白菜,云南,7.4
2016-03-08,矮脚白菜,云南,7.0
2016-03-09,矮脚白菜,云南,6.7
2016-03-10,矮脚白菜,云南,6.4
2016-03-11,矮脚白菜,云南/广州,6.0
2016-03-12,矮脚白菜,云南/广州,5.8
2016-03-13,矮脚白菜,云南/广州,5.5
2016-03-14,矮脚白菜,云南/广州,5.3
2016-03-15,矮脚白菜,云南/广州,5.3
2016-03-16,矮脚白菜,云南/广州,5.3
2016-03-17,矮脚白菜,云南/广州,5.0
2016-03-18,矮脚白菜,云南/广州,4.8
2016-03-19,矮脚白菜,云南/广州,4.5
2016-03-20,矮脚白菜,云南/广州,4.3
2016-03-21,矮脚白菜,云南/广州,4.3
2016-03-22,矮脚白菜,云南/广州,4.5
2016-03-23,矮脚白菜,云南/广州,4.3
2016-03-24,矮脚白菜,云南/广州,4.2
2016-03-25,矮脚白菜,云南/广州,4.3
2016-03-26,矮脚白菜,云南/广州,4.0
2016-03-27,矮脚白菜,云南/广州,3.8
2016-03-28,矮脚白菜,云南/广州,3.9
2016-03-29,矮脚白菜,云南/广州,3.8
2016-03-30,矮脚白菜,云南/广州,3.6
2016-03-31,矮脚白菜,云南/广州,4.0
2016-04-01,矮脚白菜,云南/广州,4.2
2016-04-02,矮脚白菜,云南/广州,4.4
2016-04-03,矮脚白菜,云南/广州,4.4
2016-04-04,矮脚白菜,云南/广州,4.5
2016-04-05,矮脚白菜,云南/广州,4.6
2016-04-06,矮脚白菜,云南/广州,4.6
2016-04-07,矮脚白菜,云南/广州,4.6
2016-04-08,矮脚白菜,云南/广州,4.3
2016-04-09,矮脚白菜,云南/广州,4.0
2016-04-10,矮脚白菜,云南/广州,3.8
2016-04-11,矮脚白菜,云南/广州,3.6
2016-04-12,矮脚白菜,云南/广州,3.4
2016-04-13,矮脚白菜,云南/广州,3.4
2016-04-14,矮脚白菜,云南,3.2
2016-04-15,矮脚白菜,云南,3.2
2016-04-16,矮脚白菜,云南,3.2
2016-04-17,矮脚白菜,云南,3.2
2016-04-18,矮脚白菜,云南,3.2
2016-04-19,矮脚白菜,云南,3.2
2016-04-20,矮脚白菜,云南,3.2
2016-04-21,矮脚白菜,云南,3.2
2016-04-22,矮脚白菜,云南,3.3
2016-04-23,矮脚白菜,云南,3.4
2016-04-24,矮脚白菜,云南,3.4
2016-04-25,矮脚白菜,云南,3.3
2016-04-26,矮脚白菜,云南,3.3
2016-04-27,矮脚白菜,云南,3.3
2016-04-28,矮脚白菜,云南,3.3
2016-04-29,矮脚白菜,云南,3.3
2016-04-30,矮脚白菜,云南,3.3
2016-05-01,矮脚白菜,云南,3.4
2016-05-02,矮脚白菜,云南,3.4
2016-05-03,矮脚白菜,云南,3.3
2016-05-04,矮脚白菜,云南,3.3
2016-05-05,矮脚白菜,云南,3.4
2016-05-06,矮脚白菜,云南,3.4
2016-05-07,矮脚白菜,云南,3.3
2016-05-08,矮脚白菜,云南,3.2
2016-05-09,矮脚白菜,云南,3.4
2016-05-10,矮脚白菜,云南,3.1
2016-05-11,矮脚白菜,云南,3.2
2016-05-12,矮脚白菜,云南,3.1
2016-05-13,矮脚白菜,云南,3.2
2016-05-14,矮脚白菜,云南,3.1
2016-05-15,矮脚白菜,云南,2.8
2016-05-16,矮脚白菜,云南,3.2
2016-05-17,矮脚白菜,云南,3.0
2016-05-18,矮脚白菜,云南,2.7
2016-05-19,矮脚白菜,云南,2.5
2016-05-20,矮脚白菜,云南/河南,2.4
2016-05-21,矮脚白菜,云南/河南,2.3
2016-05-22,矮脚白菜,云南/河南,2.2
2016-05-23,矮脚白菜,云南/河南,2.4
2016-05-24,矮脚白菜,云南/河南,2.3
2016-05-25,矮脚白菜,云南/河南,2.2
2016-05-26,矮脚白菜,云南/河南,2.0
2016-05-27,矮脚白菜,云南/河南,1.8
2016-05-28,矮脚白菜,云南/河南,1.9
2016-05-29,矮脚白菜,云南/河南,2.0
2016-05-30,矮脚白菜,云南/河南,2.0
2016-05-31,矮脚白菜,云南/河南,2.0
2016-06-01,矮脚白菜,云南/河南,2.0
2016-06-02,矮脚白菜,云南/河南,2.0
2016-06-03,矮脚白菜,云南/河南,1.8
2016-06-04,矮脚白菜,云南/河南,1.6
2016-06-05,矮脚白菜,云南/河南,1.6
2016-06-06,矮脚白菜,云南/河南,1.7
2016-06-07,矮脚白菜,云南/河南,1.8
2016-06-08,矮脚白菜,云南/河南,1.8
2016-06-09,矮脚白菜,云南/河南,1.9
2016-06-10,矮脚白菜,云南/河南,2.0
2016-06-11,矮脚白菜,云南/河南,2.0
2016-06-12,矮脚白菜,云南/河南,2.0
2016-06-13,矮脚白菜,云南/河南,2.1
2016-06-14,矮脚白菜,云南/河南,2.2
2016-06-15,矮脚白菜,云南/河南,2.0
2016-06-16,矮脚白菜,云南/河南,1.8
2016-06-17,矮脚白菜,云南/河南,1.7
2016-06-18,矮脚白菜,云南/河南,1.8
2016-06-19,矮脚白菜,云南/河南,1.8
2016-06-20,矮脚白菜,云南/河南,1.8
2016-06-21,矮脚白菜,云南/河南,2.0
2016-06-22,矮脚白菜,云南/河南,2.1
2016-06-23,矮脚白菜,云南/河南,2.1
2016-06-24,矮脚白菜,云南/河南,2.1
2016-06-25,矮脚白菜,云南/河南,2.1
2016-06-26,矮脚白菜,云南/河南,2.1
2016-06-27,矮脚白菜,云南/河南,2.0
2016-06-28,矮脚白菜,云南/河南,2.1
2016-06-29,矮脚白菜,云南/河南,2.1
2016-06-30,矮脚白菜,云南/河南,2.3
2016-07-01,矮脚白菜,云南/河南,2.4
2016-07-02,矮脚白菜,云南/河南,2.4
2016-07-03,矮脚白菜,云南/河南,2.4
2016-07-04,矮脚白菜,云南/河南,2.4
2016-07-05,矮脚白菜,云南/河南,2.5
2016-07-06,矮脚白菜,云南/河南,2.6
2016-07-07,矮脚白菜,云南/河南,2.6
2016-07-08,矮脚白菜,云南/河南,2.6
2016-07-09,矮脚白菜,云南/河南,2.6
2016-07-10,矮脚白菜,云南/河南,2.6
2016-07-11,矮脚白菜,云南/河南,2.6
2016-07-12,矮脚白菜,云南/河南,2.6
2016-07-13,矮脚白菜,云南/河南,2.8
2016-07-14,矮脚白菜,云南/河南,3.0
2016-07-15,矮脚白菜,云南/河南,3.0
2016-07-16,矮脚白菜,云南/河南,3.0
2016-07-17,矮脚白菜,云南/河南,3.1
2016-07-18,矮脚白菜,云南/河南,3.1
2016-07-19,矮脚白菜,云南/河南,3.3
2016-07-20,矮脚白菜,云南/河南,3.3
2016-07-21,矮脚白菜,云南/河南,3.3
2016-07-22,矮脚白菜,云南/河南,3.3
2016-07-23,矮脚白菜,云南/河南,3.3
2016-07-24,矮脚白菜,云南/河南,3.3
2016-07-25,矮脚白菜,云南/河南,3.3
2016-07-26,矮脚白菜,云南/河南,3.3
2016-07-27,矮脚白菜,云南/河南,3.3
2016-07-28,矮脚白菜,云南/河南,3.1
2016-07-29,矮脚白菜,云南/河南,3.0
2016-07-30,矮脚白菜,云南/河南,3.0
2016-07-31,矮脚白菜,云南/河南,3.0
2016-08-01,矮脚白菜,云南/河南,3.0
2016-08-02,矮脚白菜,云南/河南,3.1
2016-08-03,矮脚白菜,云南/河南,3.2
2016-08-04,矮脚白菜,云南/河南,3.1
2016-08-05,矮脚白菜,云南/河南,3.0
2016-08-06,矮脚白菜,云南/河南,2.8
2016-08-07,矮脚白菜,云南/河南,2.8
2016-08-08,矮脚白菜,云南/河南,2.9
2016-08-09,矮脚白菜,云南/河南,2.8
2016-08-10,矮脚白菜,云南/河南,2.7
2016-08-11,矮脚白菜,云南/河南,2.8
2016-08-12,矮脚白菜,云南/河南,2.7
2016-08-13,矮脚白菜,云南/河南,2.8
2016-08-14,矮脚白菜,云南/河南,2.8
2016-08-15,矮脚白菜,云南/河南,2.7
2016-08-16,矮脚白菜,云南/河南,2.8
2016-08-17,矮脚白菜,云南/河南,2.6
2016-08-18,矮脚白菜,云南/河南,2.5
2016-08-19,矮脚白菜,云南/河南,2.6
2016-08-20,矮脚白菜,云南/河南,2.6
2016-08-21,矮脚白菜,云南/河南,2.4
2016-08-22,矮脚白菜,云南/河南,2.5
2016-08-23,矮脚白菜,云南/河南,2.6
2016-08-24,矮脚白菜,云南/河南,2.6
2016-08-25,矮脚白菜,云南/河南,2.8
2016-08-26,矮脚白菜,云南/宁夏,2.9
2016-08-27,矮脚白菜,云南/宁夏,2.8
2016-08-28,矮脚白菜,云南/宁夏,2.9
2016-08-29,矮脚白菜,云南/宁夏,2.8
