date,name,place,price
2015-02-15,包心芥菜,云南/广州,7.8
2016-01-01,包心芥菜,云南/广东,3.2
2016-01-02,包心芥菜,云南/广东,3.1
2016-01-03,包心芥菜,云南/广东,3.1
2016-01-04,包心芥菜,云南/广东,3.2
2016-01-05,包心芥菜,云南/广东,3.2
2016-01-06,包心芥菜,云南/广东,3.0
2016-01-07,包心芥菜,云南/广东,3.0
2016-01-08,包心芥菜,云南/广东,3.1
2016-01-09,包心芥菜,云南/广东,3.1
2016-01-10,包心芥菜,云南/广东,3.1
2016-01-11,包心芥菜,云南/广东,3.1
2016-01-12,包心芥菜,云南/广东,3.1
2016-01-13,包心芥菜,云南/广东,2.8
2016-01-14,包心芥菜,云南/广东,2.8
2016-01-15,包心芥菜,云南/广东,2.5
2016-01-16,包心芥菜,云南/广东,2.5
2016-01-17,包心芥菜,云南/广东,2.4
2016-01-18,包心芥菜,云南/广东,2.4
2016-01-19,包心芥菜,云南/广东,2.5
2016-01-20,包心芥菜,云南/广东,2.5
2016-01-21,包心芥菜,云南/广东,2.6
2016-01-22,包心芥菜,云南/广东,2.7
2016-01-23,包心芥菜,云南/广东,2.7
2016-01-24,包心芥菜,云南/广东,3.0
2016-01-25,包心芥菜,云南/广东,3.0
2016-01-26,包心芥菜,云南/广东,3.0
2016-01-27,包心芥菜,云南/广东,3.3
2016-02-02,包心芥菜,云南/广东,4.7
2016-02-03,包心芥菜,云南/广东,5.0
2016-02-07,包心芥菜,云南/广州,5.8
2016-02-08,包心芥菜,云南/广州,6.5
2016-02-09,包心芥菜,云南/广州,6.6
2016-02-10,包心芥菜,云南/广州,6.6
2016-02-11,包心芥菜,云南/广州,7.2
2016-02-12,包心芥菜,云南/广州,7.5
2016-02-13,包心芥菜,云南/广州,7.7
2016-02-14,包心芥菜,云南/广州,7.8
2016-02-16,包心芥菜,云南/广州,7.6
2016-02-17,包心芥菜,云南/广州,7.3
2016-02-18,包心芥菜,云南/广州,6.3
2016-02-19,包心芥菜,云南/广州,6.1
2016-02-20,包心芥菜,云南/广州,5.7
2016-02-21,包心芥菜,云南/广州,6.1
2016-02-22,包心芥菜,云南/广州,6.1
2016-02-23,包心芥菜,云南/广州,6.0
2016-02-24,包心芥菜,云南/广州,5.8
2016-02-25,包心芥菜,云南/广州,5.5
2016-02-26,包心芥菜,云南/广州,5.2
2016-02-27,包心芥菜,云南/广州,5.5
2016-02-28,包心芥菜,云南/广州,5.2
2016-02-29,包心芥菜,云南/广州,5.5
2016-03-01,包心芥菜,云南/广州,5.2
2016-03-02,包心芥菜,云南/广州,5.5
2016-03-03,包心芥菜,云南/广州,5.9
2016-03-04,包心芥菜,云南/广州,5.9
2016-03-05,包心芥菜,云南/广州,5.8
2016-03-06,包心芥菜,云南/广州,5.6
2016-03-07,包心芥菜,云南/广州,5.8
2016-03-08,包心芥菜,云南/广州,5.5
2016-03-09,包心芥菜,云南/广州,5.3
2016-03-10,包心芥菜,云南/广州,5.0
2016-03-11,包心芥菜,云南/广州,4.7
2016-03-12,包心芥菜,云南/广州,4.5
2016-03-13,包心芥菜,云南/广州,4.3
2016-03-14,包心芥菜,云南/广州,4.3
2016-03-15,包心芥菜,云南/广州,4.3
2016-03-16,包心芥菜,云南/广州,4.2
2016-03-17,包心芥菜,云南/广州,4.0
2016-03-18,包心芥菜,云南/广州,3.8
2016-03-19,包心芥菜,云南/广州,3.5
2016-03-20,包心芥菜,云南/广州,3.2
2016-03-21,包心芥菜,云南/广州,3.0
2016-03-22,包心芥菜,云南/广州,3.0
2016-03-23,包心芥菜,云南/广州,2.8
2016-03-24,包心芥菜,云南/广州,3.0
2016-03-25,包心芥菜,云南/广州,3.5
2016-03-26,包心芥菜,云南/广州,3.0
2016-03-27,包心芥菜,云南/广州,2.8
2016-03-28,包心芥菜,云南/广州,2.7
2016-03-29,包心芥菜,云南/广州,2.8
2016-03-30,包心芥菜,云南/广州,2.7
2016-03-31,包心芥菜,云南/广州,3.0
2016-04-01,包心芥菜,云南/广州,3.2
2016-04-02,包心芥菜,云南/广州,3.5
2016-04-03,包心芥菜,云南/广州,3.8
2016-04-04,包心芥菜,云南/广州,4.0
2016-04-05,包心芥菜,云南/广州,4.0
2016-04-06,包心芥菜,云南/广州,3.8
2016-04-07,包心芥菜,云南/广州,3.6
2016-04-08,包心芥菜,云南/广州,3.5
2016-04-09,包心芥菜,云南/广州,3.3
2016-04-10,包心芥菜,云南/广州,3.2
2016-04-11,包心芥菜,云南/广州,3.0
2016-04-12,包心芥菜,云南/广州,3.0
2016-04-13,包心芥菜,云南/广州,2.9
2016-04-14,包心芥菜,云南/广州,3.0
2016-04-15,包心芥菜,云南/广州,3.0
2016-04-16,包心芥菜,云南/广州,3.0
2016-04-17,包心芥菜,云南/广州,2.8
