date,name,place,price
2015-02-15,园椒,海南/福建,7.0
2016-01-01,园椒,福建/海南,3.8
2016-01-02,园椒,福建/海南,4.0
2016-01-03,园椒,福建/海南,4.0
2016-01-04,园椒,福建/海南,4.0
2016-01-05,园椒,福建/海南,4.0
2016-01-06,园椒,福建/海南,4.0
2016-01-07,园椒,福建/海南,4.0
2016-01-08,园椒,福建/海南,4.0
2016-01-09,园椒,福建/海南,4.0
2016-01-10,园椒,福建/海南,4.0
2016-01-11,园椒,福建/海南,4.0
2016-01-12,园椒,福建/海南,4.0
2016-01-13,园椒,福建/海南,4.0
2016-01-14,园椒,福建/海南,4.0
2016-01-15,园椒,福建/海南,4.0
2016-01-16,园椒,福建/海南,4.0
2016-01-17,园椒,福建/海南,4.0
2016-01-18,园椒,福建/海南,4.0
2016-01-19,园椒,福建/海南,3.9
2016-01-20,园椒,福建/海南,3.9
2016-01-21,园椒,福建/海南,3.9
2016-01-22,园椒,海南/福建,3.9
2016-01-23,园椒,海南/福建,3.9
2016-01-24,园椒,海南/福建,4.0
2016-01-25,园椒,海南/福建,4.0
2016-01-26,园椒,海南/福建,4.0
2016-01-27,园椒,海南/福建,3.9
2016-01-28,园椒,海南/福建,3.8
2016-01-29,园椒,海南/福建,3.8
2016-01-30,园椒,海南/福建,3.8
2016-01-31,园椒,海南/福建,3.8
2016-02-01,园椒,海南/福建,3.8
2016-02-02,园椒,海南/福建,4.3
2016-02-03,园椒,海南/福建,4.8
2016-02-07,园椒,海南/福建,5.3
2016-02-08,园椒,海南/福建,6.5
2016-02-09,园椒,海南/福建,6.6
2016-02-10,园椒,海南/福建,6.6
2016-02-11,园椒,海南/福建,6.7
2016-02-12,园椒,海南/福建,6.7
2016-02-13,园椒,海南/福建,6.7
2016-02-14,园椒,海南/福建,7.1
2016-02-16,园椒,海南/福建,6.4
2016-02-17,园椒,海南/福建,5.8
2016-02-18,园椒,海南/福建,5.9
2016-02-19,园椒,海南,6.0
2016-02-20,园椒,海南,5.5
2016-02-21,园椒,海南,6.0
2016-02-22,园椒,海南,5.8
2016-02-23,园椒,海南,5.5
2016-02-24,园椒,海南,5.3
2016-02-25,园椒,海南,5.0
2016-02-26,园椒,海南,5.0
2016-02-27,园椒,海南,5.0
2016-02-28,园椒,海南,5.0
2016-02-29,园椒,海南,5.5
2016-03-01,园椒,海南,5.0
2016-03-02,园椒,海南,4.9
2016-03-03,园椒,海南,5.0
2016-03-04,园椒,海南/湛江,5.3
2016-03-05,园椒,海南/湛江,5.0
2016-03-06,园椒,海南/湛江,4.8
2016-03-07,园椒,海南/湛江,4.8
2016-03-08,园椒,海南/湛江,5.0
2016-03-09,园椒,海南/湛江,5.2
2016-03-10,园椒,海南/湛江,5.5
2016-03-11,园椒,海南/山东,5.3
2016-03-12,园椒,海南/山东,5.5
2016-03-13,园椒,海南/山东,5.8
2016-03-14,园椒,海南/山东,6.0
2016-03-15,园椒,海南/山东,6.3
2016-03-16,园椒,海南/山东,6.3
2016-03-17,园椒,海南/山东,6.0
2016-03-18,园椒,海南/山东,6.0
2016-03-19,园椒,海南/山东,6.0
2016-03-20,园椒,海南/山东,6.0
2016-03-21,园椒,海南/山东,6.0
2016-03-22,园椒,海南/山东,6.2
2016-03-23,园椒,海南/山东,6.2
2016-03-24,园椒,海南/山东,6.2
2016-03-25,园椒,海南/山东,6.1
2016-03-26,园椒,海南/山东,6.2
2016-03-27,园椒,海南/山东,6.2
2016-03-28,园椒,海南/山东,6.2
2016-03-29,园椒,海南/山东,6.1
2016-03-30,园椒,海南/山东,6.0
2016-03-31,园椒,海南/山东,6.3
2016-04-01,园椒,海南/山东,6.2
2016-04-02,园椒,海南/山东,6.2
2016-04-03,园椒,海南/山东,6.2
2016-04-04,园椒,海南/山东,6.0
2016-04-05,园椒,海南/山东,5.8
2016-04-06,园椒,海南/山东,5.5
2016-04-07,园椒,海南/山东,5.5
2016-04-08,园椒,海南/山东,5.5
2016-04-09,园椒,海南/山东,5.6
