date,name,place,price
2015-02-15,土豆,山东/惠东,2.5
2016-01-01,土豆,甘肃/内蒙古,2.1
2016-01-02,土豆,甘肃/蒙古,2.1
2016-01-03,土豆,甘肃/内蒙古,2.1
2016-01-04,土豆,甘肃/内蒙古,2.1
2016-01-05,土豆,甘肃/内蒙古,2.1
2016-01-06,土豆,甘肃/内蒙古,2.1
2016-01-07,土豆,甘肃/内蒙古,2.1
2016-01-08,土豆,甘肃/内蒙古,2.1
2016-01-09,土豆,甘肃/内蒙古,2.1
2016-01-10,土豆,甘肃/内蒙古,2.1
2016-01-11,土豆,甘肃/内蒙古,2.1
2016-01-12,土豆,甘肃/内蒙古,2.1
2016-01-13,土豆,甘肃/内蒙古,2.0
2016-01-14,土豆,甘肃/内蒙,2.0
2016-01-15,土豆,甘肃/内蒙,2.0
2016-01-16,土豆,甘肃/内蒙,2.0
2016-01-17,土豆,甘肃/内蒙,2.0
2016-01-18,土豆,甘肃/内蒙,2.0
2016-01-19,土豆,甘肃/内蒙,2.0
2016-01-20,土豆,甘肃/内蒙,2.0
2016-01-21,土豆,甘肃/内蒙,2.0
2016-01-22,土豆,甘肃/内蒙,2.0
2016-01-23,土豆,甘肃/内蒙,2.0
2016-01-24,土豆,甘肃/内蒙,2.2
2016-01-25,土豆,甘肃/内蒙,2.2
2016-01-26,土豆,甘肃/内蒙,2.2
2016-01-27,土豆,甘肃/内蒙,2.2
2016-02-02,土豆,甘肃/内蒙,2.2
2016-02-03,土豆,甘肃/内蒙,2.1
2016-02-07,土豆,山东/惠东,2.5
2016-02-08,土豆,山东/惠东,3.0
2016-02-09,土豆,山东/惠东,2.9
2016-02-10,土豆,山东/惠东,3.0
2016-02-11,土豆,山东/惠东,3.0
2016-02-12,土豆,山东/惠东,3.0
2016-02-13,土豆,山东/惠东,2.7
2016-02-14,土豆,山东/惠东,2.6
2016-02-16,土豆,山东/惠东,2.5
2016-02-17,土豆,山东/惠东,2.5
2016-02-18,土豆,山东/惠东,2.6
2016-02-19,土豆,山东/惠东,2.8
2016-02-20,土豆,山东/惠东,2.5
2016-02-21,土豆,山东/惠东,2.8
2016-02-22,土豆,山东/惠东,2.6
2016-02-23,土豆,山东/惠东,2.5
2016-02-24,土豆,山东/惠东,2.7
2016-02-25,土豆,山东/惠东,2.5
2016-02-26,土豆,山东/内蒙古,2.5
2016-02-27,土豆,山东/内蒙古,2.5
2016-02-28,土豆,山东/内蒙古,2.5
2016-02-29,土豆,山东/内蒙古,2.5
2016-03-01,土豆,山东/内蒙古,2.5
2016-03-02,土豆,山东/内蒙古,2.6
2016-03-03,土豆,山东/内蒙古,2.8
2016-03-04,土豆,山东/内蒙古,2.9
2016-03-05,土豆,山东/内蒙古,2.8
2016-03-06,土豆,山东/内蒙古,2.8
