date,name,place,price
2015-02-15,大肉姜,山东/广西,3.0
2016-01-01,大肉姜,山东/广西,3.3
2016-01-02,大肉姜,山东/广西,3.4
2016-01-03,大肉姜,山东/广西,3.4
2016-01-04,大肉姜,山东/广西,3.4
2016-01-05,大肉姜,山东/广西,3.3
2016-01-06,大肉姜,山东/广西,3.3
2016-01-07,大肉姜,山东/广西,3.3
2016-01-08,大肉姜,山东/湖南,3.1
2016-01-09,大肉姜,山东/湖南,3.1
2016-01-10,大肉姜,山东/湖南,2.8
2016-01-11,大肉姜,山东/湖南,2.8
2016-01-12,大肉姜,山东/湖南,2.8
2016-01-13,大肉姜,山东/湖南,3.0
2016-01-14,大肉姜,山东/广西,3.0
2016-01-15,大肉姜,山东/广西,3.0
2016-01-16,大肉姜,山东/广西,3.0
2016-01-17,大肉姜,山东/广西,3.0
2016-01-18,大肉姜,山东/广西,3.0
2016-01-19,大肉姜,山东/广西,3.0
2016-01-20,大肉姜,山东/广西,3.0
2016-01-21,大肉姜,山东/广西,3.0
2016-01-22,大肉姜,山东,3.0
2016-01-23,大肉姜,山东,3.1
2016-01-24,大肉姜,山东,3.1
2016-01-25,大肉姜,山东,3.1
2016-01-26,大肉姜,山东,3.2
2016-01-27,大肉姜,山东,3.2
2016-01-28,大肉姜,山东,3.2
2016-01-29,大肉姜,山东,3.2
2016-01-30,大肉姜,山东,3.2
2016-01-31,大肉姜,山东,3.2
2016-02-01,大肉姜,山东,3.2
2016-02-02,大肉姜,山东,3.2
2016-02-03,大肉姜,山东,3.1
2016-02-07,大肉姜,山东/广西,3.1
2016-02-08,大肉姜,山东/广西,3.5
2016-02-09,大肉姜,山东/广西,3.4
2016-02-10,大肉姜,山东/广西,3.0
2016-02-11,大肉姜,山东/广西,3.0
2016-02-12,大肉姜,山东/广西,3.0
2016-02-13,大肉姜,山东/广西,3.0
2016-02-14,大肉姜,山东/广西,3.0
2016-02-16,大肉姜,山东/广西,3.2
2016-02-17,大肉姜,山东/广西,3.2
2016-02-18,大肉姜,山东/广西,3.2
2016-02-19,大肉姜,山东/广西,3.2
2016-02-20,大肉姜,山东/广西,3.0
2016-02-21,大肉姜,山东/广西,3.2
2016-02-22,大肉姜,山东/广西,3.2
2016-02-23,大肉姜,山东/广西,3.0
2016-02-24,大肉姜,山东/广西,3.2
2016-02-25,大肉姜,山东/广西,3.5
2016-02-26,大肉姜,山东/广西,3.5
