date,name,place,price
2015-02-15,娃娃菜,云南/甘肃,6.4
2016-01-01,娃娃菜,云南/湖北,2.2
2016-01-02,娃娃菜,云南/湖北,2.1
2016-01-03,娃娃菜,云南/湖北,2.1
2016-01-04,娃娃菜,云南/湖北,2.4
2016-01-05,娃娃菜,云南/湖北,2.5
2016-01-06,娃娃菜,云南/湖北,2.5
2016-01-07,娃娃菜,云南/湖北,2.5
2016-01-08,娃娃菜,云南/四川,3.0
2016-01-09,娃娃菜,云南/四川,3.0
2016-01-10,娃娃菜,云南/四川,3.0
2016-01-11,娃娃菜,云南/四川,3.0
2016-01-12,娃娃菜,云南/四川,3.0
2016-01-13,娃娃菜,云南/四川,3.3
2016-01-14,娃娃菜,云南/四川,3.3
2016-01-15,娃娃菜,云南/四川,3.3
2016-01-16,娃娃菜,云南/四川,3.3
2016-01-17,娃娃菜,云南/四川,3.3
2016-01-18,娃娃菜,云南/四川,3.3
2016-01-19,娃娃菜,云南/四川,3.3
2016-01-20,娃娃菜,云南/四川,3.3
2016-01-21,娃娃菜,云南/四川,3.3
2016-01-22,娃娃菜,云南/四川,3.3
2016-01-23,娃娃菜,云南/四川,3.3
2016-01-24,娃娃菜,云南/四川,3.6
2016-01-25,娃娃菜,云南/四川,3.6
2016-01-26,娃娃菜,云南/四川,3.8
2016-01-27,娃娃菜,云南/四川,3.8
2016-01-28,娃娃菜,云南/四川,3.8
2016-01-29,娃娃菜,云南/四川,3.8
2016-01-30,娃娃菜,云南/四川,4.0
2016-01-31,娃娃菜,云南/四川,3.6
2016-02-01,娃娃菜,云南/四川,3.6
2016-02-02,娃娃菜,云南/四川,4.0
2016-02-03,娃娃菜,云南/四川,4.1
2016-02-07,娃娃菜,云南/甘肃,4.5
2016-02-08,娃娃菜,云南/甘肃,5.0
2016-02-09,娃娃菜,云南/甘肃,4.8
2016-02-10,娃娃菜,云南/甘肃,5.0
2016-02-11,娃娃菜,云南/甘肃,5.8
2016-02-12,娃娃菜,云南/甘肃,6.2
2016-02-13,娃娃菜,云南/甘肃,6.4
2016-02-14,娃娃菜,云南/甘肃,6.4
2016-02-16,娃娃菜,云南/甘肃,6.1
2016-02-17,娃娃菜,云南/甘肃,5.9
2016-02-18,娃娃菜,云南/甘肃,5.9
