date,name,place,price
2015-02-15,日本豆腐,广东/佛山,5.5
2016-01-01,日本豆腐,广东/广州,7.6
2016-01-02,日本豆腐,广东/广州,7.6
2016-01-03,日本豆腐,广东/广州,7.6
2016-01-04,日本豆腐,广东/广州,7.6
2016-01-05,日本豆腐,广东/广州,7.6
2016-01-06,日本豆腐,广东/广州,7.6
2016-01-07,日本豆腐,广东/广州,7.6
2016-01-08,日本豆腐,广东/广州,7.6
2016-01-09,日本豆腐,广东/广州,7.6
2016-01-10,日本豆腐,广东/广州,7.6
2016-01-11,日本豆腐,广东/广州,7.6
2016-01-12,日本豆腐,广东/广州,7.6
2016-01-13,日本豆腐,广东/广州,7.6
2016-01-14,日本豆腐,广东/佛山,7.6
2016-01-15,日本豆腐,广东/佛山,7.6
2016-01-16,日本豆腐,广东/佛山,7.6
2016-01-17,日本豆腐,广东/佛山,7.6
2016-01-18,日本豆腐,广东/佛山,7.6
2016-01-19,日本豆腐,广东/佛山,7.6
2016-01-20,日本豆腐,广东/佛山,7.6
2016-01-21,日本豆腐,广东/佛山,7.3
2016-01-22,日本豆腐,广东/佛山,7.0
2016-01-23,日本豆腐,广东/佛山,6.7
2016-01-24,日本豆腐,广东/佛山,6.7
2016-01-25,日本豆腐,广东/佛山,6.7
2016-01-26,日本豆腐,广东/佛山,6.7
2016-01-27,日本豆腐,广东/佛山,6.5
2016-01-28,日本豆腐,广东/佛山,6.3
2016-01-29,日本豆腐,广东/佛山,6.3
2016-01-30,日本豆腐,广东/佛山,6.3
2016-01-31,日本豆腐,广东/佛山,6.0
2016-02-01,日本豆腐,广东/佛山,6.0
2016-02-02,日本豆腐,广东/佛山,6.0
2016-02-03,日本豆腐,广东/佛山,6.0
2016-02-07,日本豆腐,广东/佛山,6.0
2016-02-08,日本豆腐,广东/佛山,6.0
2016-02-09,日本豆腐,广东/佛山,6.1
2016-02-10,日本豆腐,广东/佛山,6.1
2016-02-11,日本豆腐,广东/佛山,6.0
2016-02-12,日本豆腐,广东/佛山,6.0
2016-02-13,日本豆腐,广东/佛山,5.5
2016-02-14,日本豆腐,广东/佛山,5.5
2016-02-16,日本豆腐,广东/佛山,5.5
2016-02-17,日本豆腐,广东/佛山,5.5
2016-02-18,日本豆腐,广东/佛山,5.3
2016-02-19,日本豆腐,广东/佛山,5.5
2016-02-20,日本豆腐,广东/佛山,5.5
2016-02-21,日本豆腐,广东/佛山,5.5
2016-02-22,日本豆腐,广东/佛山,5.5
2016-02-23,日本豆腐,广东/佛山,5.5
2016-02-24,日本豆腐,广东/佛山,5.3
2016-02-25,日本豆腐,广东/佛山,5.3
2016-02-26,日本豆腐,广东/佛山,5.3
2016-02-27,日本豆腐,广东/佛山,5.3
2016-02-28,日本豆腐,广东/佛山,5.3
2016-02-29,日本豆腐,广东/佛山,5.3
2016-03-01,日本豆腐,广东/佛山,5.3
2016-03-02,日本豆腐,广东/佛山,5.3
2016-03-03,日本豆腐,广东/佛山,5.3
2016-03-04,日本豆腐,广东/佛山,5.3
2016-03-05,日本豆腐,广东/佛山,5.3
2016-03-06,日本豆腐,广东/佛山,5.0
2016-03-07,日本豆腐,广东/佛山,5.0
2016-03-08,日本豆腐,广东/佛山,5.0
2016-03-09,日本豆腐,广东/佛山,5.0
2016-03-10,日本豆腐,广东/佛山,5.0
2016-03-11,日本豆腐,广东/佛山,5.0
2016-03-12,日本豆腐,广东/佛山,5.0
2016-03-13,日本豆腐,广东/佛山,5.0
2016-03-14,日本豆腐,广东/佛山,5.0
2016-03-15,日本豆腐,广东/佛山,5.0
2016-03-16,日本豆腐,广东/佛山,5.0
2016-03-17,日本豆腐,广东/佛山,5.0
2016-03-18,日本豆腐,广东/佛山,5.0
2016-03-19,日本豆腐,广东/佛山,5.0
2016-03-20,日本豆腐,广东/佛山,5.0
2016-03-21,日本豆腐,广东/佛山,5.0
2016-03-22,日本豆腐,广东/佛山,5.0
2016-03-23,日本豆腐,广东/佛山,5.0
2016-03-24,日本豆腐,广东/佛山,5.0
2016-03-25,日本豆腐,广东/佛山,5.0
2016-03-26,日本豆腐,广东/佛山,5.0
2016-03-27,日本豆腐,广东/佛山,5.0
2016-03-28,日本豆腐,广东/佛山,5.0
2016-03-29,日本豆腐,广东/佛山,5.0
2016-03-30,日本豆腐,广东/佛山,5.0
2016-03-31,日本豆腐,广东/佛山,5.0
2016-04-01,日本豆腐,广东/佛山,5.0
2016-04-02,日本豆腐,广东/佛山,5.0
2016-04-03,日本豆腐,广东/佛山,5.0
2016-04-04,日本豆腐,广东/佛山,5.0
2016-04-05,日本豆腐,广东/佛山,5.0
2016-04-06,日本豆腐,广东/佛山,5.0
2016-04-07,日本豆腐,广东/佛山,5.0
2016-04-08,日本豆腐,广东/佛山,5.0
2016-04-09,日本豆腐,广东/佛山,5.2
2016-04-10,日本豆腐,广东/佛山,5.2
2016-04-11,日本豆腐,广东/佛山,5.2
2016-04-12,日本豆腐,广东/佛山,5.2
2016-04-13,日本豆腐,广东/佛山,5.0
2016-04-14,日本豆腐,惠州/佛山,5.0
2016-04-15,日本豆腐,惠州/佛山,5.0
2016-04-16,日本豆腐,惠州/佛山,5.0
2016-04-17,日本豆腐,惠州/佛山,5.0
2016-04-18,日本豆腐,惠州/佛山,5.0
2016-04-19,日本豆腐,惠州/佛山,5.0
2016-04-20,日本豆腐,惠州/佛山,5.0
2016-04-21,日本豆腐,惠州/佛山,5.0
2016-04-22,日本豆腐,广东/佛山,5.0
2016-04-23,日本豆腐,广东/佛山,5.0
2016-04-24,日本豆腐,广东/佛山,5.0
2016-04-25,日本豆腐,广东/佛山,5.0
2016-04-26,日本豆腐,广东/佛山,5.0
2016-04-27,日本豆腐,广东/佛山,5.0
2016-04-28,日本豆腐,福建,5.0
2016-04-29,日本豆腐,福建,5.0
2016-04-30,日本豆腐,福建,5.0
2016-05-01,日本豆腐,福建,5.0
2016-05-02,日本豆腐,福建,5.0
2016-05-03,日本豆腐,福建,4.8
2016-05-04,日本豆腐,福建,5.0
