date,name,place,price
2015-02-15,本地芹菜,云南/广州,5.0
2016-01-01,本地芹菜,云南/广州,3.4
2016-01-02,本地芹菜,云南/广州,3.5
2016-01-03,本地芹菜,云南/广州,3.5
2016-01-04,本地芹菜,云南/广州,3.5
2016-01-05,本地芹菜,云南/广州,3.5
2016-01-06,本地芹菜,云南/广州,3.2
2016-01-07,本地芹菜,云南/广州,3.0
2016-01-08,本地芹菜,云南/广州,3.2
2016-01-09,本地芹菜,云南/广州,3.2
2016-01-10,本地芹菜,云南/广州,3.2
2016-01-11,本地芹菜,云南/广州,3.0
2016-01-12,本地芹菜,云南/广州,3.2
2016-01-13,本地芹菜,云南/广州,4.0
2016-01-14,本地芹菜,广州,3.7
2016-01-15,本地芹菜,广州,3.3
2016-01-16,本地芹菜,广州,3.3
2016-01-17,本地芹菜,广州,4.0
2016-01-18,本地芹菜,广州,4.0
2016-01-19,本地芹菜,广州,3.8
2016-01-20,本地芹菜,广州,3.6
2016-01-21,本地芹菜,广州,3.8
2016-01-22,本地芹菜,广州,3.8
2016-01-23,本地芹菜,广州,3.8
2016-01-24,本地芹菜,广州,3.8
2016-01-25,本地芹菜,广州,3.8
2016-01-26,本地芹菜,广州,4.1
2016-01-27,本地芹菜,广州,4.5
2016-02-02,本地芹菜,广州,5.7
2016-02-03,本地芹菜,广州,5.6
2016-02-07,本地芹菜,云南/广州,4.2
2016-02-08,本地芹菜,云南/广州,5.5
2016-02-09,本地芹菜,云南/广州,5.4
2016-02-10,本地芹菜,云南/广州,5.0
2016-02-11,本地芹菜,云南/广州,4.6
2016-02-12,本地芹菜,云南/广州,5.0
2016-02-13,本地芹菜,云南/广州,5.0
2016-02-14,本地芹菜,云南/广州,5.0
2016-02-16,本地芹菜,云南/广州,5.0
2016-02-17,本地芹菜,云南/广州,5.0
2016-02-18,本地芹菜,云南/广州,5.6
2016-02-19,本地芹菜,云南/广州,6.0
2016-02-20,本地芹菜,云南/广州,6.5
2016-02-21,本地芹菜,云南/广州,6.0
2016-02-22,本地芹菜,云南/广州,6.3
2016-02-23,本地芹菜,云南/广州,7.0
2016-02-24,本地芹菜,云南/广州,8.0
2016-02-25,本地芹菜,云南/广州,8.0
2016-02-26,本地芹菜,云南/广州,7.0
2016-02-27,本地芹菜,云南/广州,8.0
2016-02-28,本地芹菜,云南/广州,7.0
2016-02-29,本地芹菜,云南/广州,7.5
2016-03-01,本地芹菜,云南/广州,7.0
2016-03-02,本地芹菜,云南/广州,7.3
2016-03-03,本地芹菜,云南/广州,7.5
2016-03-04,本地芹菜,湖南/广州,7.7
2016-03-05,本地芹菜,湖南/广州,8.0
2016-03-06,本地芹菜,湖南/广州,8.2
2016-03-07,本地芹菜,湖南/广州,8.2
2016-03-08,本地芹菜,湖南/广州,7.9
2016-03-09,本地芹菜,湖南/广州,7.7
2016-03-10,本地芹菜,湖南/广州,7.4
2016-03-11,本地芹菜,云南/广州,7.0
2016-03-12,本地芹菜,云南/广州,7.0
2016-03-13,本地芹菜,云南/广州,6.8
2016-03-14,本地芹菜,云南/广州,6.8
2016-03-15,本地芹菜,云南/广州,7.0
2016-03-16,本地芹菜,云南/广州,7.0
2016-03-17,本地芹菜,云南/广州,6.8
2016-03-18,本地芹菜,云南/广州,6.5
2016-03-19,本地芹菜,云南/广州,6.2
2016-03-20,本地芹菜,云南/广州,6.5
2016-03-21,本地芹菜,云南/广州,6.2
2016-03-22,本地芹菜,云南/广州,6.2
2016-03-23,本地芹菜,云南/广州,5.9
2016-03-24,本地芹菜,云南/广州,6.0
2016-03-25,本地芹菜,云南/广州,6.5
2016-03-26,本地芹菜,云南/广州,6.7
2016-03-27,本地芹菜,云南/广州,6.8
2016-03-28,本地芹菜,云南/广州,6.8
2016-03-29,本地芹菜,云南/广州,6.8
2016-03-30,本地芹菜,云南/广州,6.8
2016-03-31,本地芹菜,云南/广州,6.4
2016-04-01,本地芹菜,北京/广州,6.0
2016-04-02,本地芹菜,北京/广州,5.8
2016-04-03,本地芹菜,北京/广州,5.8
2016-04-04,本地芹菜,北京/广州,6.0
2016-04-05,本地芹菜,北京/广州,6.0
2016-04-06,本地芹菜,北京/广州,5.6
2016-04-07,本地芹菜,北京/广州,5.5
2016-04-08,本地芹菜,北京/广州,5.5
2016-04-09,本地芹菜,山东/安徽,5.5
2016-04-10,本地芹菜,山东/安徽,5.0
2016-04-11,本地芹菜,山东/安徽,5.0
2016-04-12,本地芹菜,山东/安徽,4.8
2016-04-13,本地芹菜,山东/安徽,4.3
2016-04-14,本地芹菜,山东/广州,3.8
2016-04-15,本地芹菜,山东/广州,3.8
2016-04-16,本地芹菜,山东/广州,3.8
2016-04-17,本地芹菜,山东/广州,4.0
2016-04-18,本地芹菜,山东/广州,4.0
2016-04-19,本地芹菜,山东/广州,3.5
