date,name,place,price
2015-02-15,椰菜花,云南/广州,6.0
2016-01-01,椰菜花,浙江/湖南,2.6
2016-01-02,椰菜花,浙江/湖南,2.8
2016-01-03,椰菜花,浙江/湖南,3.0
2016-01-04,椰菜花,浙江/湖南,3.0
2016-01-05,椰菜花,浙江/湖南,3.0
2016-01-06,椰菜花,浙江/湖南,3.0
2016-01-07,椰菜花,浙江/湖南,3.0
2016-01-08,椰菜花,云南/台山,2.6
2016-01-09,椰菜花,云南/台山,2.6
2016-01-10,椰菜花,云南/台山,2.2
2016-01-11,椰菜花,云南/台山,2.6
2016-01-12,椰菜花,云南/台山,2.3
2016-01-13,椰菜花,云南/台山,2.6
2016-01-14,椰菜花,云南/广州,2.6
2016-01-15,椰菜花,云南/广州,3.0
2016-01-16,椰菜花,云南/广州,3.0
2016-01-17,椰菜花,云南/广州,2.9
2016-01-18,椰菜花,云南/广州,2.9
2016-01-19,椰菜花,云南/广州,2.9
2016-01-20,椰菜花,云南/广州,2.9
2016-01-21,椰菜花,云南/广州,3.0
2016-01-22,椰菜花,云南/广州,3.0
2016-01-23,椰菜花,云南/广州,3.0
2016-01-24,椰菜花,云南/广州,3.4
2016-01-25,椰菜花,云南/广州,3.4
2016-01-26,椰菜花,云南/广州,3.4
2016-01-27,椰菜花,云南/广州,3.4
2016-01-28,椰菜花,云南/广州,3.7
2016-01-29,椰菜花,云南/广州,3.7
2016-01-30,椰菜花,云南/广州,3.7
2016-01-31,椰菜花,云南/广州,3.5
2016-02-01,椰菜花,云南/广州,3.5
2016-02-02,椰菜花,云南/广州,3.6
2016-02-03,椰菜花,云南/广州,3.6
2016-02-07,椰菜花,云南/广州,3.9
2016-02-08,椰菜花,云南/广州,4.5
2016-02-09,椰菜花,云南/广州,4.4
2016-02-10,椰菜花,云南/广州,4.8
2016-02-11,椰菜花,云南/广州,5.5
2016-02-12,椰菜花,云南/广州,6.0
2016-02-13,椰菜花,云南/广州,5.8
2016-02-14,椰菜花,云南/广州,6.0
2016-02-16,椰菜花,云南/广州,6.3
2016-02-17,椰菜花,云南/广州,6.6
2016-02-18,椰菜花,云南/广州,6.9
2016-02-19,椰菜花,福建/广州,6.8
2016-02-20,椰菜花,福建/广州,6.5
2016-02-21,椰菜花,福建/广州,6.8
2016-02-22,椰菜花,福建/广州,7.0
2016-02-23,椰菜花,福建/广州,6.8
2016-02-24,椰菜花,福建/广州,7.0
2016-02-25,椰菜花,福建/广州,7.0
2016-02-26,椰菜花,云南/福建,6.5
2016-02-27,椰菜花,云南/福建,7.0
2016-02-28,椰菜花,云南/福建,6.5
2016-02-29,椰菜花,云南/福建,6.3
2016-03-01,椰菜花,云南/福建,6.5
2016-03-02,椰菜花,云南/福建,6.6
2016-03-03,椰菜花,云南/福建,6.5
2016-03-04,椰菜花,云南/福建,6.6
2016-03-05,椰菜花,云南/福建,6.4
2016-03-06,椰菜花,云南/福建,6.2
2016-03-07,椰菜花,云南/福建,6.2
2016-03-08,椰菜花,云南/福建,5.9
2016-03-09,椰菜花,云南/福建,5.6
2016-03-10,椰菜花,云南/福建,5.2
2016-03-11,椰菜花,云南/浙江,5.1
2016-03-12,椰菜花,云南/浙江,5.3
2016-03-13,椰菜花,云南/浙江,5.2
2016-03-14,椰菜花,云南/浙江,5.2
2016-03-15,椰菜花,云南/浙江,5.3
2016-03-16,椰菜花,云南/浙江,5.3
2016-03-17,椰菜花,云南/浙江,5.3
2016-03-18,椰菜花,云南/福建,5.3
2016-03-19,椰菜花,云南/福建,5.3
2016-03-20,椰菜花,云南/福建,5.2
2016-03-21,椰菜花,云南/福建,5.3
2016-03-22,椰菜花,云南/福建,5.5
2016-03-23,椰菜花,云南/福建,5.6
2016-03-24,椰菜花,云南/福建,5.2
2016-03-25,椰菜花,云南/福建,5.0
2016-03-26,椰菜花,云南/福建,4.8
2016-03-27,椰菜花,云南/福建,4.4
2016-03-28,椰菜花,云南/福建,4.2
2016-03-29,椰菜花,云南/福建,4.0
2016-03-30,椰菜花,云南/福建,3.8
2016-03-31,椰菜花,云南/福建,4.5
2016-04-01,椰菜花,云南/福建,5.0
2016-04-02,椰菜花,云南/福建,5.5
2016-04-03,椰菜花,云南/福建,5.5
2016-04-04,椰菜花,云南/福建,5.5
2016-04-05,椰菜花,云南/福建,5.5
2016-04-06,椰菜花,云南/福建,5.5
2016-04-07,椰菜花,云南/福建,5.2
2016-04-08,椰菜花,云南/福建,5.0
2016-04-09,椰菜花,云南/福建,5.0
2016-04-10,椰菜花,云南/福建,5.0
2016-04-11,椰菜花,云南/福建,4.8
2016-04-12,椰菜花,云南/福建,4.8
2016-04-13,椰菜花,云南/福建,4.6
2016-04-14,椰菜花,云南/福建,4.5
2016-04-15,椰菜花,云南/福建,4.5
2016-04-16,椰菜花,云南/福建,4.5
2016-04-17,椰菜花,云南/福建,4.2
2016-04-18,椰菜花,云南/福建,4.0
2016-04-19,椰菜花,云南/福建,3.8
2016-04-20,椰菜花,云南/福建,3.8
2016-04-21,椰菜花,云南/福建,4.0
2016-04-22,椰菜花,云南/福建,4.2
2016-04-23,椰菜花,云南/福建,4.3
2016-04-24,椰菜花,云南/福建,4.3
2016-04-25,椰菜花,云南/福建,4.4
2016-04-26,椰菜花,云南/福建,4.4
2016-04-27,椰菜花,云南/福建,4.2
2016-04-28,椰菜花,云南/江苏,4.0
2016-04-29,椰菜花,云南/江苏,4.0
2016-04-30,椰菜花,云南/江苏,4.0
2016-05-01,椰菜花,云南/江苏,4.0
2016-05-02,椰菜花,云南/江苏,4.0
2016-05-03,椰菜花,云南/江苏,3.9
2016-05-04,椰菜花,云南/江苏,4.0
2016-05-05,椰菜花,云南/江苏,4.0
2016-05-06,椰菜花,云南/江苏,4.0
2016-05-07,椰菜花,云南/江苏,3.9
2016-05-08,椰菜花,云南/江苏,3.6
2016-05-09,椰菜花,云南/江苏,4.0
2016-05-10,椰菜花,云南/江苏,4.0
2016-05-11,椰菜花,云南/江苏,3.6
2016-05-12,椰菜花,云南/江苏,4.0
2016-05-13,椰菜花,云南/江苏,3.6
2016-05-14,椰菜花,云南/江苏,4.0
2016-05-15,椰菜花,云南/江苏,3.5
2016-05-16,椰菜花,云南/江苏,3.6
2016-05-17,椰菜花,云南/江苏,3.3
2016-05-18,椰菜花,云南/江苏,3.1
2016-05-19,椰菜花,云南/江苏,2.9
2016-05-20,椰菜花,云南/浙江,2.8
2016-05-21,椰菜花,云南/浙江,2.7
2016-05-22,椰菜花,云南/浙江,2.7
2016-05-23,椰菜花,云南/浙江,2.8
2016-05-24,椰菜花,云南/浙江,2.7
2016-05-25,椰菜花,云南/浙江,2.7
2016-05-26,椰菜花,云南/浙江,2.8
2016-05-27,椰菜花,山东/河北,3.0
2016-05-28,椰菜花,山东/河北,2.8
2016-05-29,椰菜花,山东/河北,2.7
2016-05-30,椰菜花,山东/河北,2.8
2016-05-31,椰菜花,山东/河北,2.7
2016-06-01,椰菜花,山东/河北,2.7
2016-06-02,椰菜花,山东/河北,2.6
2016-06-03,椰菜花,山东/河南,2.7
2016-06-04,椰菜花,山东/河南,2.5
2016-06-05,椰菜花,山东/河南,2.5
2016-06-06,椰菜花,山东/河南,2.4
2016-06-07,椰菜花,山东/河南,2.6
2016-06-08,椰菜花,山东/河南,2.6
2016-06-09,椰菜花,山东/河南,2.8
2016-06-10,椰菜花,山东/甘肃,2.9
2016-06-11,椰菜花,山东/甘肃,3.0
2016-06-12,椰菜花,山东/甘肃,3.0
2016-06-13,椰菜花,山东/甘肃,3.0
2016-06-14,椰菜花,山东/甘肃,3.1
2016-06-15,椰菜花,山东/甘肃,2.9
2016-06-16,椰菜花,山东/甘肃,2.8
