date,name,place,price
2015-02-15,沙姜,广西,7.3
2016-01-01,沙姜,广西/海南,8.5
2016-01-02,沙姜,广西/海南,8.5
2016-01-03,沙姜,广西/海南,8.0
2016-01-04,沙姜,广西/海南,8.0
2016-01-05,沙姜,广西/海南,8.0
2016-01-06,沙姜,广西/海南,8.0
2016-01-07,沙姜,广西/海南,8.0
2016-01-08,沙姜,广西/海南,8.0
2016-01-09,沙姜,广西/海南,8.0
2016-01-10,沙姜,广西/海南,7.2
2016-01-11,沙姜,广西/海南,7.2
2016-01-12,沙姜,广西/海南,7.6
2016-01-13,沙姜,广西/海南,8.0
2016-01-14,沙姜,广西,8.0
2016-01-15,沙姜,广西,8.0
2016-01-16,沙姜,广西,8.0
2016-01-17,沙姜,广西,8.0
2016-01-18,沙姜,广西,8.0
2016-01-19,沙姜,广西,8.0
2016-01-20,沙姜,广西,8.0
2016-01-21,沙姜,广西,8.0
2016-01-22,沙姜,广西,8.0
2016-01-23,沙姜,广西,7.9
2016-01-24,沙姜,广西,7.9
2016-01-25,沙姜,广西,7.9
2016-01-26,沙姜,广西,8.0
2016-01-27,沙姜,广西,8.0
2016-01-28,沙姜,广西,8.0
2016-01-29,沙姜,广西,8.0
2016-01-30,沙姜,广西,8.0
2016-01-31,沙姜,广西,8.0
2016-02-01,沙姜,广西,8.0
2016-02-02,沙姜,广西,8.0
2016-02-03,沙姜,广西,8.0
2016-02-07,沙姜,广西,8.3
2016-02-08,沙姜,广西,8.5
2016-02-09,沙姜,广西,8.3
2016-02-10,沙姜,广西,8.3
2016-02-11,沙姜,广西,7.8
2016-02-12,沙姜,广西,7.8
2016-02-13,沙姜,广西,7.5
2016-02-14,沙姜,广西,7.5
2016-02-16,沙姜,广西,6.8
2016-02-17,沙姜,广西,6.8
2016-02-18,沙姜,广西,6.8
2016-02-19,沙姜,广西,6.7
2016-02-20,沙姜,广西,6.5
2016-02-21,沙姜,广西,6.7
2016-02-22,沙姜,广西,6.8
2016-02-23,沙姜,广西,6.8
2016-02-24,沙姜,广西,7.0
2016-02-25,沙姜,广西,7.0
2016-02-26,沙姜,广西,7.0
2016-02-27,沙姜,广西,7.0
2016-02-28,沙姜,广西,7.0
2016-02-29,沙姜,广西,6.6
2016-03-01,沙姜,广西,7.0
2016-03-02,沙姜,广西,6.9
2016-03-03,沙姜,广西,7.0
2016-03-04,沙姜,海南/广西,7.1
2016-03-05,沙姜,海南/广西,7.0
2016-03-06,沙姜,海南/广西,7.0
2016-03-07,沙姜,海南/广西,7.1
2016-03-08,沙姜,海南/广西,7.1
2016-03-09,沙姜,海南/广西,7.0
2016-03-10,沙姜,海南/广西,7.4
2016-03-11,沙姜,广西,7.4
2016-03-12,沙姜,广西,7.3
2016-03-13,沙姜,广西,7.0
2016-03-14,沙姜,广西,7.3
2016-03-15,沙姜,广西,7.4
2016-03-16,沙姜,广西,7.4
2016-03-17,沙姜,广西,7.4
2016-03-18,沙姜,广西,7.4
2016-03-19,沙姜,广西,7.4
2016-03-20,沙姜,广西,7.4
2016-03-21,沙姜,广西,7.4
2016-03-22,沙姜,广西,7.4
2016-03-23,沙姜,广西,7.4
2016-03-24,沙姜,广西,7.3
2016-03-25,沙姜,广西,7.3
2016-03-26,沙姜,广西,7.2
2016-03-27,沙姜,广西,7.2
2016-03-28,沙姜,广西,7.3
2016-03-29,沙姜,广西,7.3
2016-03-30,沙姜,广西,7.3
2016-03-31,沙姜,广西,7.4
2016-04-01,沙姜,广西/湛江,7.5
2016-04-02,沙姜,广西/湛江,7.5
2016-04-03,沙姜,广西/湛江,7.5
2016-04-04,沙姜,广西/湛江,7.5
2016-04-05,沙姜,广西/湛江,7.0
2016-04-06,沙姜,广西/湛江,7.0
2016-04-07,沙姜,广西/湛江,7.0
2016-04-08,沙姜,广西/湛江,6.8
2016-04-09,沙姜,广西/湛江,6.5
2016-04-10,沙姜,广西/湛江,6.3
2016-04-11,沙姜,广西/湛江,6.0
2016-04-12,沙姜,广西/湛江,6.2
2016-04-13,沙姜,广西/湛江,6.0
2016-04-14,沙姜,广西/湛江,6.5
