date,name,place,price
2015-02-15,沙葛,广东/肇庆,1.7
2016-01-01,沙葛,广东/增城,1.3
2016-01-02,沙葛,广东/增城,1.4
2016-01-03,沙葛,广东/增城,1.4
2016-01-04,沙葛,广东/增城,1.4
2016-01-05,沙葛,广东/增城,1.4
2016-01-06,沙葛,广东/增城,1.4
2016-01-07,沙葛,广东/增城,1.4
2016-01-08,沙葛,广东/广西,1.4
2016-01-09,沙葛,广东/广西,1.4
2016-01-10,沙葛,广东/广西,1.4
2016-01-11,沙葛,广东/广西,1.4
2016-01-12,沙葛,广东/广西,1.4
2016-01-13,沙葛,广东/广西,1.4
2016-01-14,沙葛,广东/广西,1.4
2016-01-15,沙葛,广东/广西,1.4
2016-01-16,沙葛,广东/广西,1.4
2016-01-17,沙葛,广东/广西,1.4
2016-01-18,沙葛,广东/广西,1.4
2016-01-19,沙葛,广东/广西,1.4
2016-01-20,沙葛,广东/广西,1.4
2016-01-21,沙葛,广东/广西,1.4
2016-01-22,沙葛,广东/增城,1.4
2016-01-23,沙葛,广东/增城,1.4
2016-01-24,沙葛,广东/增城,1.4
2016-01-25,沙葛,广东/增城,1.4
2016-01-26,沙葛,广东/增城,1.4
2016-01-27,沙葛,广东/增城,1.4
2016-01-28,沙葛,广东/增城,1.4
2016-01-29,沙葛,广东/增城,1.5
2016-01-30,沙葛,广东/增城,1.5
2016-01-31,沙葛,广东/增城,1.5
2016-02-01,沙葛,广东/增城,1.5
2016-02-02,沙葛,广东/增城,1.6
2016-02-03,沙葛,广东/增城,1.6
2016-02-07,沙葛,广东/肇庆,1.7
2016-02-08,沙葛,广东/肇庆,2.0
2016-02-09,沙葛,广东/肇庆,1.9
2016-02-10,沙葛,广东/肇庆,2.0
2016-02-11,沙葛,广东/肇庆,1.8
2016-02-12,沙葛,广东/肇庆,1.8
2016-02-13,沙葛,广东/肇庆,1.8
2016-02-14,沙葛,广东/肇庆,1.7
2016-02-16,沙葛,广东/肇庆,1.7
2016-02-17,沙葛,广东/肇庆,1.7
2016-02-18,沙葛,广东/肇庆,1.7
2016-02-19,沙葛,广东/湛江,1.6
2016-02-20,沙葛,广东/湛江,1.6
2016-02-21,沙葛,广东/湛江,1.5
2016-02-22,沙葛,广东/湛江,1.6
2016-02-23,沙葛,广东/湛江,1.6
2016-02-24,沙葛,广东/湛江,1.5
2016-02-25,沙葛,广东/湛江,1.5
