date,name,place,price
2015-02-15,玉米,云南/湛江,4.3
2016-01-01,玉米,云南/花都,5.0
2016-01-02,玉米,云南/花都,5.0
2016-01-03,玉米,云南/花都,4.2
2016-01-04,玉米,云南/花都,4.0
2016-01-05,玉米,云南/花都,3.8
2016-01-06,玉米,云南/花都,3.8
2016-01-07,玉米,云南/花都,3.6
2016-01-08,玉米,云南/湛江,3.5
2016-01-09,玉米,云南/湛江,3.5
2016-01-10,玉米,云南/湛江,3.3
2016-01-11,玉米,云南/湛江,3.3
2016-01-12,玉米,云南/湛江,3.3
2016-01-13,玉米,云南/湛江,3.5
2016-01-14,玉米,云南/南海,3.5
2016-01-15,玉米,云南/南海,3.5
2016-01-16,玉米,云南/南海,3.5
2016-01-17,玉米,云南/南海,3.5
2016-01-18,玉米,云南/南海,3.5
2016-01-19,玉米,云南/南海,3.4
2016-01-20,玉米,云南/南海,3.4
2016-01-21,玉米,云南/南海,3.4
2016-01-22,玉米,云南/湛江,3.4
2016-01-23,玉米,云南/湛江,3.4
2016-01-24,玉米,云南/湛江,3.3
2016-01-25,玉米,云南/湛江,3.3
2016-01-26,玉米,云南/湛江,3.3
2016-01-27,玉米,云南/湛江,3.3
2016-01-28,玉米,云南/湛江,3.5
2016-01-29,玉米,云南/湛江,3.5
2016-01-30,玉米,云南/湛江,3.5
2016-01-31,玉米,云南/湛江,3.5
2016-02-01,玉米,云南/湛江,3.5
2016-02-02,玉米,云南/湛江,3.5
2016-02-03,玉米,云南/湛江,3.5
2016-02-07,玉米,云南/湛江,3.7
2016-02-08,玉米,云南/湛江,5.0
2016-02-09,玉米,云南/湛江,5.1
2016-02-10,玉米,云南/湛江,5.5
2016-02-11,玉米,云南/湛江,5.0
2016-02-12,玉米,云南/湛江,5.0
2016-02-13,玉米,云南/湛江,4.8
2016-02-14,玉米,云南/湛江,4.5
2016-02-16,玉米,云南/湛江,3.9
2016-02-17,玉米,云南/湛江,4.0
2016-02-18,玉米,云南/湛江,4.0
2016-02-19,玉米,云南/海南,4.0
2016-02-20,玉米,云南/海南,4.0
2016-02-21,玉米,云南/海南,4.0
2016-02-22,玉米,云南/海南,4.0
2016-02-23,玉米,云南/海南,4.0
2016-02-24,玉米,云南/海南,4.2
2016-02-25,玉米,云南/海南,5.0
2016-02-26,玉米,云南/海南,5.0
2016-02-27,玉米,云南/海南,5.0
2016-02-28,玉米,云南/海南,5.0
2016-02-29,玉米,云南/海南,4.6
2016-03-01,玉米,云南/海南,5.0
2016-03-02,玉米,云南/海南,4.7
2016-03-03,玉米,云南/海南,4.6
2016-03-04,玉米,湛江/海南,4.6
2016-03-05,玉米,湛江/海南,4.6
2016-03-06,玉米,湛江/海南,4.5
2016-03-07,玉米,湛江/海南,4.6
2016-03-08,玉米,湛江/海南,4.6
2016-03-09,玉米,湛江/海南,4.6
2016-03-10,玉米,湛江/海南,4.6
2016-03-11,玉米,湛江/海南,4.6
2016-03-12,玉米,湛江/海南,4.6
2016-03-13,玉米,湛江/海南,4.5
2016-03-14,玉米,湛江/海南,4.6
2016-03-15,玉米,湛江/海南,4.6
2016-03-16,玉米,湛江/海南,4.6
2016-03-17,玉米,湛江/海南,4.8
2016-03-18,玉米,云南/海南,4.9
2016-03-19,玉米,云南/海南,5.0
2016-03-20,玉米,云南/海南,5.0
2016-03-21,玉米,云南/海南,5.0
2016-03-22,玉米,云南/海南,5.0
2016-03-23,玉米,云南/海南,5.0
2016-03-24,玉米,云南/海南,4.8
2016-03-25,玉米,云南/海南,4.5
2016-03-26,玉米,云南/海南,4.3
2016-03-27,玉米,云南/海南,4.3
2016-03-28,玉米,云南/海南,4.4
2016-03-29,玉米,云南/海南,4.3
2016-03-30,玉米,云南/海南,4.3
2016-03-31,玉米,云南/海南,4.5
2016-04-01,玉米,云南/海南,4.9
2016-04-02,玉米,云南/海南,5.0
2016-04-03,玉米,云南/海南,5.0
2016-04-04,玉米,云南/海南,5.0
2016-04-05,玉米,云南/海南,5.0
2016-04-06,玉米,云南/海南,5.0
2016-04-07,玉米,云南/海南,5.0
2016-04-08,玉米,云南/海南,5.0
2016-04-09,玉米,云南/湛江,4.5
2016-04-10,玉米,云南/湛江,4.0
2016-04-11,玉米,云南/湛江,4.0
2016-04-12,玉米,云南/湛江,3.8
2016-04-13,玉米,云南/湛江,3.8
2016-04-14,玉米,云南/海南,4.0
2016-04-15,玉米,云南/海南,4.0
2016-04-16,玉米,云南/海南,4.0
2016-04-17,玉米,云南/海南,4.0
2016-04-18,玉米,云南/海南,4.0
2016-04-19,玉米,云南/海南,4.0
2016-04-20,玉米,云南/海南,4.0
2016-04-21,玉米,云南/海南,4.2
2016-04-22,玉米,云南/湛江,4.0
2016-04-23,玉米,云南/湛江,4.1
2016-04-24,玉米,云南/湛江,4.1
2016-04-25,玉米,云南/湛江,4.0
2016-04-26,玉米,云南/湛江,4.0
2016-04-27,玉米,云南/湛江,4.0
2016-04-28,玉米,云南/海南,4.0
2016-04-29,玉米,云南/海南,4.2
2016-04-30,玉米,云南/海南,4.2
2016-05-01,玉米,云南/海南,4.2
2016-05-02,玉米,云南/海南,4.2
2016-05-03,玉米,云南/海南,4.3
2016-05-04,玉米,云南/海南,4.2
2016-05-05,玉米,云南/海南,4.2
2016-05-06,玉米,湛江/海南,4.2
2016-05-07,玉米,湛江/海南,4.3
2016-05-08,玉米,湛江/海南,4.0
2016-05-09,玉米,湛江/海南,4.2
2016-05-10,玉米,湛江/海南,4.2
2016-05-11,玉米,湛江/海南,4.0
2016-05-12,玉米,湛江/海南,4.2
2016-05-13,玉米,湛江/海南,4.0
2016-05-14,玉米,湛江/海南,4.2
2016-05-15,玉米,湛江/海南,4.3
2016-05-16,玉米,湛江/海南,4.0
2016-05-17,玉米,湛江/海南,4.2
2016-05-18,玉米,湛江/海南,4.2
2016-05-19,玉米,湛江/海南,4.4
2016-05-20,玉米,云南/花都,4.5
2016-05-21,玉米,云南/花都,4.5
2016-05-22,玉米,云南/花都,4.5
2016-05-23,玉米,云南/花都,4.5
2016-05-24,玉米,云南/花都,4.2
2016-05-25,玉米,云南/花都,4.2
2016-05-26,玉米,云南/花都,4.2
2016-05-27,玉米,云南/惠州,4.3
2016-05-28,玉米,云南/惠州,4.0
2016-05-29,玉米,云南/惠州,4.0
2016-05-30,玉米,云南/惠州,4.2
2016-05-31,玉米,云南/惠州,3.8
2016-06-01,玉米,云南/惠州,3.5
2016-06-02,玉米,云南/惠州,3.4
2016-06-03,玉米,云南/惠州,3.3
2016-06-04,玉米,云南/惠州,3.1
2016-06-05,玉米,云南/惠州,3.1
2016-06-06,玉米,云南/惠州,3.2
2016-06-07,玉米,云南/惠州,3.2
2016-06-08,玉米,云南/惠州,3.4
2016-06-09,玉米,云南/惠州,3.4
2016-06-10,玉米,云南/惠州,3.5
2016-06-11,玉米,云南/惠州,3.5
2016-06-12,玉米,云南/惠州,3.5
2016-06-13,玉米,云南/惠州,3.4
2016-06-14,玉米,云南/惠州,3.5
2016-06-15,玉米,云南/惠州,3.3
2016-06-16,玉米,云南/惠州,3.2
2016-06-17,玉米,云南/惠州,3.3
2016-06-18,玉米,云南/惠州,3.2
2016-06-19,玉米,云南/惠州,3.2
2016-06-20,玉米,云南/惠州,3.2
2016-06-21,玉米,云南/惠州,2.9
2016-06-22,玉米,云南/惠州,2.9
2016-06-23,玉米,云南/惠州,2.8
2016-06-24,玉米,云南/惠州,2.8
2016-06-25,玉米,云南/惠州,2.8
2016-06-26,玉米,云南/惠州,2.9
2016-06-27,玉米,云南/惠州,2.9
2016-06-28,玉米,云南/惠州,2.8
2016-06-29,玉米,云南/惠州,2.8
2016-06-30,玉米,云南/惠州,3.0
2016-07-01,玉米,云南/惠州,3.0
2016-07-02,玉米,云南/惠州,3.0
2016-07-03,玉米,云南/惠州,3.0
2016-07-04,玉米,云南/惠州,3.0
2016-07-05,玉米,云南/惠州,3.0
2016-07-06,玉米,云南/惠州,3.0
2016-07-07,玉米,云南/惠州,3.0
2016-07-08,玉米,云南/清远,3.0
2016-07-09,玉米,云南/清远,3.0
2016-07-10,玉米,云南/清远,3.0
2016-07-11,玉米,云南/清远,3.0
2016-07-12,玉米,云南/清远,3.0
2016-07-13,玉米,云南/清远,3.0
2016-07-14,玉米,云南/清远,3.0
2016-07-15,玉米,云南/清远,3.0
2016-07-16,玉米,云南/清远,3.0
2016-07-17,玉米,云南/清远,3.0
2016-07-18,玉米,云南/清远,3.0
2016-07-19,玉米,云南/清远,3.1
2016-07-20,玉米,云南/清远,3.2
2016-07-21,玉米,云南/清远,3.2
2016-07-22,玉米,云南/惠州,3.2
2016-07-23,玉米,云南/惠州,3.2
2016-07-24,玉米,云南/惠州,3.2
2016-07-25,玉米,云南/惠州,3.2
2016-07-26,玉米,云南/惠州,3.3
2016-07-27,玉米,云南/惠州,3.2
2016-07-28,玉米,云南/惠州,3.2
2016-07-29,玉米,云南/惠州,3.2
2016-07-30,玉米,云南/惠州,3.2
2016-07-31,玉米,云南/惠州,3.2
2016-08-01,玉米,云南/惠州,3.2
2016-08-02,玉米,云南/惠州,3.1
2016-08-03,玉米,云南/惠州,3.2
2016-08-04,玉米,云南/惠州,3.4
2016-08-05,玉米,云南/惠州,3.6
2016-08-06,玉米,云南/惠州,3.7
2016-08-07,玉米,云南/惠州,3.8
2016-08-08,玉米,云南/惠州,3.7
2016-08-09,玉米,云南/惠州,3.6
2016-08-10,玉米,云南/惠州,3.5
2016-08-11,玉米,云南/惠州,3.3
2016-08-12,玉米,云南/惠州,3.1
2016-08-13,玉米,云南/惠州,3.1
2016-08-14,玉米,云南/惠州,3.1
2016-08-15,玉米,云南/惠州,3.0
2016-08-16,玉米,云南/惠州,3.1
2016-08-17,玉米,云南/惠州,3.1
