date,name,place,price
2015-02-15,甜墨豆,云南,10.7
2016-01-01,甜墨豆,云南/韶关,6.4
2016-01-02,甜墨豆,云南/韶关,6.8
2016-01-03,甜墨豆,云南/韶关,7.0
2016-01-04,甜墨豆,云南/韶关,7.4
2016-01-05,甜墨豆,云南/韶关,7.4
2016-01-06,甜墨豆,云南/韶关,7.4
2016-01-07,甜墨豆,云南/韶关,7.8
2016-01-08,甜墨豆,云南/韶关,7.8
2016-01-09,甜墨豆,云南/韶关,7.8
2016-01-10,甜墨豆,云南/韶关,7.8
2016-01-11,甜墨豆,云南/韶关,7.8
2016-01-12,甜墨豆,云南/韶关,7.8
2016-01-13,甜墨豆,云南/韶关,7.0
2016-01-14,甜墨豆,云南/韶关,7.0
2016-01-15,甜墨豆,云南/韶关,7.0
2016-01-16,甜墨豆,云南/韶关,7.0
2016-01-17,甜墨豆,云南/韶关,6.9
2016-01-18,甜墨豆,云南/韶关,6.9
2016-01-19,甜墨豆,云南/韶关,7.0
2016-01-20,甜墨豆,云南/韶关,7.1
2016-01-21,甜墨豆,云南/韶关,7.1
2016-01-22,甜墨豆,云南,7.1
2016-01-23,甜墨豆,云南,7.1
2016-01-24,甜墨豆,云南,7.1
2016-01-25,甜墨豆,云南,7.1
2016-01-26,甜墨豆,云南,7.3
2016-01-27,甜墨豆,云南,7.3
2016-01-28,甜墨豆,云南,7.6
2016-01-29,甜墨豆,云南,7.6
2016-01-30,甜墨豆,云南,7.8
2016-01-31,甜墨豆,云南,8.0
2016-02-01,甜墨豆,云南,8.0
2016-02-02,甜墨豆,云南,9.0
2016-02-03,甜墨豆,云南,9.4
2016-02-07,甜墨豆,云南,9.4
2016-02-08,甜墨豆,云南,11.0
2016-02-09,甜墨豆,云南,11.2
2016-02-10,甜墨豆,云南,11.2
2016-02-11,甜墨豆,云南,11.0
2016-02-12,甜墨豆,云南,11.0
2016-02-13,甜墨豆,云南,10.7
2016-02-14,甜墨豆,云南,10.7
2016-02-16,甜墨豆,云南,11.0
2016-02-17,甜墨豆,云南,12.0
2016-02-18,甜墨豆,云南,11.0
2016-02-19,甜墨豆,云南/增城,11.0
2016-02-20,甜墨豆,云南/增城,10.5
2016-02-21,甜墨豆,云南/增城,11.0
2016-02-22,甜墨豆,云南/增城,10.6
2016-02-23,甜墨豆,云南/增城,10.5
2016-02-24,甜墨豆,云南/增城,11.0
2016-02-25,甜墨豆,云南/增城,12.0
2016-02-26,甜墨豆,云南/增城,12.0
2016-02-27,甜墨豆,云南/增城,12.0
