date,name,place,price
2015-02-15,生菜,云南/兰州,12.0
2016-01-01,生菜,云南/广州,4.2
2016-01-02,生菜,云南/广州,4.1
2016-01-03,生菜,云南/广州,4.1
2016-01-04,生菜,云南/广州,4.1
2016-01-05,生菜,云南/广州,4.2
2016-01-06,生菜,云南/广州,4.5
2016-01-07,生菜,云南/广州,4.5
2016-01-08,生菜,云南/广州,4.2
2016-01-09,生菜,云南/广州,4.2
2016-01-10,生菜,云南/广州,4.1
2016-01-11,生菜,云南/广州,4.2
2016-01-12,生菜,云南/广州,4.0
2016-01-13,生菜,云南/广州,3.6
2016-01-14,生菜,云南/广州,3.6
2016-01-15,生菜,云南/广州,3.6
2016-01-16,生菜,云南/广州,3.6
2016-01-17,生菜,云南/广州,3.6
2016-01-18,生菜,云南/广州,3.6
2016-01-19,生菜,云南/广州,3.6
2016-01-20,生菜,云南/广州,3.6
2016-01-21,生菜,云南/广州,3.8
2016-01-22,生菜,云南/广州,3.8
2016-01-23,生菜,云南/广州,3.8
2016-01-24,生菜,云南/广州,4.5
2016-01-25,生菜,云南/广州,4.5
2016-01-26,生菜,云南/广州,4.8
2016-01-27,生菜,云南/广州,5.3
2016-02-02,生菜,云南/广州,7.9
2016-02-03,生菜,云南/广州,8.0
2016-02-07,生菜,云南/兰州,8.2
2016-02-08,生菜,云南/兰州,9.5
2016-02-09,生菜,云南/兰州,9.4
2016-02-10,生菜,云南/兰州,10.0
2016-02-11,生菜,云南/兰州,11.0
2016-02-12,生菜,云南/兰州,12.0
2016-02-13,生菜,云南/兰州,12.2
2016-02-14,生菜,云南/兰州,12.0
2016-02-16,生菜,云南/兰州,9.6
2016-02-17,生菜,云南/兰州,8.9
2016-02-18,生菜,云南/兰州,8.0
2016-02-19,生菜,云南/广州,7.8
2016-02-20,生菜,云南/广州,7.5
2016-02-21,生菜,云南/广州,7.8
2016-02-22,生菜,云南/广州,8.0
2016-02-23,生菜,云南/广州,7.9
2016-02-24,生菜,云南/广州,8.0
