date,name,place,price
2015-02-15,白萝卜,湖北/汕头,1.9
2016-01-01,白萝卜,福建/汕头,0.9
2016-01-02,白萝卜,福建/汕头,1.0
2016-01-03,白萝卜,福建/汕头,1.0
2016-01-04,白萝卜,福建/汕头,1.0
2016-01-05,白萝卜,福建/汕头,1.0
2016-01-06,白萝卜,福建/汕头,1.0
2016-01-07,白萝卜,福建/汕头,1.0
2016-01-08,白萝卜,湖北/汕头,1.0
2016-01-09,白萝卜,湖北/汕头,1.0
2016-01-10,白萝卜,湖北/汕头,1.0
2016-01-11,白萝卜,湖北/汕头,1.0
2016-01-12,白萝卜,湖北/汕头,1.0
2016-01-13,白萝卜,湖北/汕头,1.0
2016-01-14,白萝卜,湖北/汕头,1.0
2016-01-15,白萝卜,湖北/汕头,1.0
2016-01-16,白萝卜,湖北/汕头,1.0
2016-01-17,白萝卜,湖北/汕头,1.0
2016-01-18,白萝卜,湖北/汕头,1.0
2016-01-19,白萝卜,湖北/汕头,1.0
2016-01-20,白萝卜,湖北/汕头,1.0
2016-01-21,白萝卜,湖北/汕头,1.0
2016-01-22,白萝卜,湖北/汕头,1.0
2016-01-23,白萝卜,湖北/汕头,1.0
2016-01-24,白萝卜,湖北/汕头,1.3
2016-01-25,白萝卜,湖北/汕头,1.3
2016-01-26,白萝卜,湖北/汕头,1.5
2016-01-27,白萝卜,湖北/汕头,1.5
2016-01-28,白萝卜,湖北/汕头,1.5
2016-01-29,白萝卜,湖北/汕头,1.4
2016-01-30,白萝卜,湖北/汕头,1.5
2016-01-31,白萝卜,湖北/汕头,1.2
2016-02-01,白萝卜,湖北/汕头,1.2
2016-02-02,白萝卜,湖北/汕头,1.3
2016-02-03,白萝卜,湖北/汕头,1.4
2016-02-07,白萝卜,湖北/汕头,1.8
2016-02-08,白萝卜,湖北/汕头,2.0
2016-02-09,白萝卜,湖北/汕头,1.9
2016-02-10,白萝卜,湖北/汕头,2.0
2016-02-11,白萝卜,湖北/汕头,2.0
2016-02-12,白萝卜,湖北/汕头,2.0
2016-02-13,白萝卜,湖北/汕头,1.8
2016-02-14,白萝卜,湖北/汕头,2.0
2016-02-16,白萝卜,湖北/汕头,1.6
2016-02-17,白萝卜,湖北/汕头,1.5
2016-02-18,白萝卜,湖北/汕头,1.4
2016-02-19,白萝卜,湖北/汕头,1.2
2016-02-20,白萝卜,湖北/汕头,1.3
2016-02-21,白萝卜,湖北/汕头,1.2
2016-02-22,白萝卜,湖北/汕头,1.3
2016-02-23,白萝卜,湖北/汕头,1.1
2016-02-24,白萝卜,湖北/汕头,1.2
2016-02-25,白萝卜,湖北/汕头,1.2
2016-02-26,白萝卜,陆丰/湖北,1.0
2016-02-27,白萝卜,陆丰/湖北,1.2
2016-02-28,白萝卜,陆丰/湖北,1.0
2016-02-29,白萝卜,陆丰/湖北,1.3
2016-03-01,白萝卜,陆丰/湖北,1.3
2016-03-02,白萝卜,陆丰/湖北,1.3
2016-03-03,白萝卜,陆丰/湖北,1.3
2016-03-04,白萝卜,陆丰/三水,1.3
2016-03-05,白萝卜,陆丰/三水,1.3
2016-03-06,白萝卜,陆丰/三水,1.2
2016-03-07,白萝卜,陆丰/三水,1.3
2016-03-08,白萝卜,陆丰/三水,1.3
2016-03-09,白萝卜,陆丰/三水,1.3
2016-03-10,白萝卜,陆丰/三水,1.2
2016-03-11,白萝卜,陆丰/三水,1.2
2016-03-12,白萝卜,陆丰/三水,1.2
2016-03-13,白萝卜,陆丰/三水,1.2
2016-03-14,白萝卜,陆丰/三水,1.3
2016-03-15,白萝卜,陆丰/三水,1.2
2016-03-16,白萝卜,陆丰/三水,1.2
2016-03-17,白萝卜,陆丰/三水,1.4
2016-03-18,白萝卜,陆丰/汕头,1.4
2016-03-19,白萝卜,陆丰/汕头,1.5
2016-03-20,白萝卜,陆丰/汕头,1.4
2016-03-21,白萝卜,陆丰/汕头,1.4
2016-03-22,白萝卜,陆丰/汕头,1.4
2016-03-23,白萝卜,陆丰/汕头,1.5
2016-03-24,白萝卜,陆丰/汕头,1.3
2016-03-25,白萝卜,陆丰/汕头,1.2
2016-03-26,白萝卜,陆丰/汕头,1.3
2016-03-27,白萝卜,陆丰/汕头,1.4
2016-03-28,白萝卜,陆丰/汕头,1.3
2016-03-29,白萝卜,陆丰/汕头,1.3
2016-03-30,白萝卜,陆丰/汕头,1.3
2016-03-31,白萝卜,陆丰/汕头,1.6
2016-04-01,白萝卜,陆丰/汕头,1.7
2016-04-02,白萝卜,陆丰/汕头,1.8
2016-04-03,白萝卜,陆丰/汕头,1.8
2016-04-04,白萝卜,陆丰/汕头,1.9
2016-04-05,白萝卜,陆丰/汕头,2.0
2016-04-06,白萝卜,陆丰/汕头,1.8
2016-04-07,白萝卜,陆丰/汕头,1.8
2016-04-08,白萝卜,陆丰/汕头,1.7
2016-04-09,白萝卜,陆丰/汕头,1.8
2016-04-10,白萝卜,陆丰/汕头,1.8
2016-04-11,白萝卜,陆丰/汕头,1.8
2016-04-12,白萝卜,陆丰/汕头,1.8
2016-04-13,白萝卜,陆丰/汕头,1.6
2016-04-14,白萝卜,陆丰/山东,1.6
2016-04-15,白萝卜,陆丰/山东,1.6
2016-04-16,白萝卜,陆丰/山东,1.6
2016-04-17,白萝卜,陆丰/山东,1.6
2016-04-18,白萝卜,陆丰/山东,1.7
2016-04-19,白萝卜,陆丰/山东,1.5
2016-04-20,白萝卜,陆丰/山东,1.5
2016-04-21,白萝卜,陆丰/山东,1.5
2016-04-22,白萝卜,陆丰/湖北,1.6
2016-04-23,白萝卜,陆丰/湖北,1.5
2016-04-24,白萝卜,陆丰/湖北,1.5
2016-04-25,白萝卜,陆丰/湖北,1.4
2016-04-26,白萝卜,陆丰/湖北,1.4
2016-04-27,白萝卜,陆丰/湖北,1.35
2016-04-28,白萝卜,陆丰/湖北,1.2
2016-04-29,白萝卜,陆丰/湖北,1.2
2016-04-30,白萝卜,陆丰/湖北,1.2
2016-05-01,白萝卜,陆丰/湖北,1.2
2016-05-02,白萝卜,陆丰/湖北,1.2
2016-05-03,白萝卜,陆丰/湖北,1.1
2016-05-04,白萝卜,陆丰/湖北,1.2
2016-05-05,白萝卜,陆丰/湖北,1.2
2016-05-06,白萝卜,湖北/陆丰,1.2
2016-05-07,白萝卜,湖北/陆丰,1.1
2016-05-08,白萝卜,湖北/陆丰,1.0
2016-05-09,白萝卜,湖北/陆丰,1.2
2016-05-10,白萝卜,湖北/陆丰,1.2
2016-05-11,白萝卜,湖北/陆丰,1.0
2016-05-12,白萝卜,湖北/陆丰,1.2
2016-05-13,白萝卜,湖北/陆丰,1.0
2016-05-14,白萝卜,湖北/陆丰,1.2
2016-05-15,白萝卜,湖北/陆丰,1.1
2016-05-16,白萝卜,湖北/陆丰,1.0
2016-05-17,白萝卜,湖北/陆丰,1.0
2016-05-18,白萝卜,湖北/陆丰,1.0
2016-05-19,白萝卜,湖北/陆丰,1.0
2016-05-20,白萝卜,湖北/山东,1.0
