date,name,place,price
2015-02-15,白豆角,湖北/海南,7.8
2016-01-01,白豆角,海南/肇庆,5.5
2016-01-02,白豆角,海南/肇庆,5.5
2016-01-03,白豆角,海南/肇庆,5.5
2016-01-04,白豆角,海南/肇庆,5.5
2016-01-05,白豆角,海南/肇庆,5.5
2016-01-06,白豆角,海南/肇庆,5.5
2016-01-07,白豆角,海南/肇庆,5.5
2016-01-08,白豆角,海南,5.5
2016-01-09,白豆角,海南,5.5
2016-01-10,白豆角,海南,5.6
2016-01-11,白豆角,海南,5.6
2016-01-12,白豆角,海南,5.6
2016-01-13,白豆角,海南,5.6
2016-01-14,白豆角,海南,5.6
2016-01-15,白豆角,海南,5.3
2016-01-16,白豆角,海南,5.3
2016-01-17,白豆角,海南,5.3
2016-01-18,白豆角,海南,5.3
2016-01-19,白豆角,海南,5.3
2016-01-20,白豆角,海南,5.3
2016-01-21,白豆角,海南,5.3
2016-01-22,白豆角,海南,5.3
2016-01-23,白豆角,海南,5.4
2016-01-24,白豆角,海南,6.0
2016-01-25,白豆角,海南,6.0
2016-01-26,白豆角,海南,6.2
2016-01-27,白豆角,海南,6.2
2016-02-02,白豆角,海南,7.3
2016-02-03,白豆角,海南,7.7
2016-02-07,白豆角,湖北/海南,8.8
2016-02-08,白豆角,湖北/海南,9.5
2016-02-09,白豆角,湖北/海南,9.4
2016-02-10,白豆角,湖北/海南,10.0
2016-02-11,白豆角,湖北/海南,8.3
2016-02-12,白豆角,湖北/海南,8.2
2016-02-13,白豆角,湖北/海南,8.0
2016-02-14,白豆角,湖北/海南,7.9
2016-02-16,白豆角,湖北/海南,8.0
2016-02-17,白豆角,湖北/海南,8.0
2016-02-18,白豆角,湖北/海南,7.8
2016-02-19,白豆角,海南/湛江,8.5
2016-02-20,白豆角,海南/湛江,8.6
2016-02-21,白豆角,海南/湛江,8.5
2016-02-22,白豆角,海南/湛江,8.7
2016-02-23,白豆角,海南/湛江,8.5
2016-02-24,白豆角,海南/湛江,9.0
2016-02-25,白豆角,海南/湛江,10.0
2016-02-26,白豆角,海南,10.2
2016-02-27,白豆角,海南,10.0
2016-02-28,白豆角,海南,10.2
2016-02-29,白豆角,海南,10.0
2016-03-01,白豆角,海南,10.2
2016-03-02,白豆角,海南,10.0
2016-03-03,白豆角,海南,10.1
2016-03-04,白豆角,海南,10.0
2016-03-05,白豆角,海南,10.8
2016-03-06,白豆角,海南,10.0
2016-03-07,白豆角,海南,9.8
2016-03-08,白豆角,海南,9.6
2016-03-09,白豆角,海南,9.8
2016-03-10,白豆角,海南,9.5
2016-03-11,白豆角,海南,9.5
2016-03-12,白豆角,海南,9.7
2016-03-13,白豆角,海南,9.5
2016-03-14,白豆角,海南,9.7
2016-03-15,白豆角,海南,10.0
2016-03-16,白豆角,海南,10.0
2016-03-17,白豆角,海南,10.0
2016-03-18,白豆角,海南,10.0
2016-03-19,白豆角,海南,10.0
2016-03-20,白豆角,海南,10.0
2016-03-21,白豆角,海南,10.0
2016-03-22,白豆角,海南,10.0
2016-03-23,白豆角,海南,10.0
2016-03-24,白豆角,海南,9.8
2016-03-25,白豆角,海南,9.7
2016-03-26,白豆角,海南,9.6
2016-03-27,白豆角,海南,9.6
2016-03-28,白豆角,海南,9.4
2016-03-29,白豆角,海南,9.5
2016-03-30,白豆角,海南,9.5
2016-03-31,白豆角,海南,10.0
2016-04-01,白豆角,海南,10.0
2016-04-02,白豆角,海南,9.8
2016-04-03,白豆角,海南,9.8
2016-04-04,白豆角,海南,10.0
2016-04-05,白豆角,海南,10.0
2016-04-06,白豆角,海南,9.6
2016-04-07,白豆角,海南,9.5
2016-04-08,白豆角,海南,9.5
2016-04-09,白豆角,海南,9.0
2016-04-10,白豆角,海南,8.8
2016-04-11,白豆角,海南,8.7
2016-04-12,白豆角,海南,8.5
2016-04-13,白豆角,海南,8.5
2016-04-14,白豆角,海南/云南,8.0
2016-04-15,白豆角,海南/云南,8.0
2016-04-16,白豆角,海南/云南,8.0
2016-04-17,白豆角,海南/云南,8.0
2016-04-18,白豆角,海南/云南,8.0
2016-04-19,白豆角,海南/云南,7.6
2016-04-20,白豆角,海南/云南,7.6
2016-04-21,白豆角,海南/云南,7.0
2016-04-22,白豆角,海南/云南,7.2
2016-04-23,白豆角,海南/云南,7.1
2016-04-24,白豆角,海南/云南,7.1
2016-04-25,白豆角,海南/云南,7.0
2016-04-26,白豆角,海南/云南,7.0
2016-04-27,白豆角,海南/云南,7.0
2016-04-28,白豆角,海南/云南,7.0
2016-04-29,白豆角,海南/云南,6.8
2016-04-30,白豆角,海南/云南,7.0
2016-05-01,白豆角,海南/云南,7.2
2016-05-02,白豆角,海南/云南,7.2
2016-05-03,白豆角,海南/云南,7.0
2016-05-04,白豆角,海南/云南,7.0
2016-05-05,白豆角,海南/云南,7.2
2016-05-06,白豆角,海南/高要,7.2
2016-05-07,白豆角,海南/高要,7.0
2016-05-08,白豆角,海南/高要,6.5
2016-05-09,白豆角,海南/高要,7.2
2016-05-10,白豆角,海南/高要,5.6
2016-05-11,白豆角,海南/高要,5.3
