date,name,place,price
2015-02-15,百灵菇,新疆/福建,19.0
2016-01-01,百灵菇,新疆/河北,21.0
2016-01-02,百灵菇,新疆/河北,21.0
2016-01-03,百灵菇,新疆/河北,21.0
2016-01-04,百灵菇,新疆/河北,21.0
2016-01-05,百灵菇,新疆/河北,21.0
2016-01-06,百灵菇,新疆/河北,21.0
2016-01-07,百灵菇,新疆/河北,21.0
2016-01-08,百灵菇,新疆/福建,21.0
2016-01-09,百灵菇,新疆/福建,21.0
2016-01-10,百灵菇,新疆/福建,21.0
2016-01-11,百灵菇,新疆/福建,21.0
2016-01-12,百灵菇,新疆/福建,21.0
2016-01-13,百灵菇,新疆/福建,21.0
2016-01-14,百灵菇,新疆/福建,22.0
2016-01-15,百灵菇,新疆/福建,23.0
2016-01-16,百灵菇,新疆/福建,23.0
2016-01-17,百灵菇,新疆/福建,23.0
2016-01-18,百灵菇,新疆/福建,23.0
2016-01-19,百灵菇,新疆/福建,23.0
2016-01-20,百灵菇,新疆/福建,23.0
2016-01-21,百灵菇,新疆/福建,23.0
2016-01-22,百灵菇,新疆/福建,23.0
2016-01-23,百灵菇,新疆/福建,23.0
2016-01-24,百灵菇,新疆/福建,23.0
2016-01-25,百灵菇,新疆/福建,23.0
2016-01-26,百灵菇,新疆/福建,23.0
2016-01-27,百灵菇,新疆/福建,23.0
2016-01-28,百灵菇,新疆/福建,22.7
2016-01-29,百灵菇,新疆/福建,22.7
2016-01-30,百灵菇,新疆/福建,22.7
2016-01-31,百灵菇,新疆/福建,22.7
2016-02-01,百灵菇,新疆/福建,22.7
2016-02-02,百灵菇,新疆/福建,22.0
2016-02-03,百灵菇,新疆/福建,21.0
2016-02-07,百灵菇,新疆/福建,21.0
2016-02-08,百灵菇,新疆/福建,22.0
2016-02-09,百灵菇,新疆/福建,21.8
2016-02-10,百灵菇,新疆/福建,21.8
2016-02-11,百灵菇,新疆/福建,21.0
2016-02-12,百灵菇,新疆/福建,21.0
2016-02-13,百灵菇,新疆/福建,19.5
2016-02-14,百灵菇,新疆/福建,19.0
2016-02-16,百灵菇,新疆/福建,19.0
2016-02-17,百灵菇,新疆/福建,19.0
2016-02-18,百灵菇,新疆/福建,18.5
2016-02-19,百灵菇,新疆/福建,18.0
2016-02-20,百灵菇,新疆/福建,18.0
2016-02-21,百灵菇,新疆/福建,18.0
2016-02-22,百灵菇,新疆/福建,18.5
2016-02-23,百灵菇,新疆/福建,18.5
2016-02-24,百灵菇,新疆/福建,19.0
2016-02-25,百灵菇,新疆/福建,18.5
2016-02-26,百灵菇,新疆/福建,18.5
2016-02-27,百灵菇,新疆/福建,18.5
2016-02-28,百灵菇,新疆/福建,18.5
2016-02-29,百灵菇,新疆/福建,18.5
2016-03-01,百灵菇,新疆/福建,18.5
2016-03-02,百灵菇,新疆/福建,18.5
2016-03-03,百灵菇,新疆/福建,18.5
2016-03-04,百灵菇,新疆/福建,18.5
2016-03-05,百灵菇,新疆/福建,18.5
2016-03-06,百灵菇,新疆/福建,18.5
2016-03-07,百灵菇,新疆/福建,18.5
2016-03-08,百灵菇,新疆/福建,18.5
2016-03-09,百灵菇,新疆/福建,18.5
2016-03-10,百灵菇,新疆/福建,18.5
2016-03-11,百灵菇,新疆/福建,18.5
2016-03-12,百灵菇,新疆/福建,18.5
2016-03-13,百灵菇,新疆/福建,18.0
2016-03-14,百灵菇,新疆/福建,18.0
2016-03-15,百灵菇,新疆/福建,18.0
2016-03-16,百灵菇,新疆/福建,18.0
2016-03-17,百灵菇,新疆/福建,18.0
2016-03-18,百灵菇,新疆/福建,18.0
2016-03-19,百灵菇,新疆/福建,18.0
2016-03-20,百灵菇,新疆/福建,18.0
2016-03-21,百灵菇,新疆/福建,18.0
2016-03-22,百灵菇,新疆/福建,18.0
2016-03-23,百灵菇,新疆/福建,18.0
2016-03-24,百灵菇,新疆/福建,18.0
2016-03-25,百灵菇,新疆/福建,18.0
2016-03-26,百灵菇,新疆/福建,18.0
2016-03-27,百灵菇,新疆/福建,18.0
2016-03-28,百灵菇,新疆/福建,18.0
2016-03-29,百灵菇,新疆/福建,18.0
2016-03-30,百灵菇,新疆/福建,18.0
2016-03-31,百灵菇,新疆/福建,18.0
2016-04-01,百灵菇,北京/河北,18.0
2016-04-02,百灵菇,北京/河北,18.0
2016-04-03,百灵菇,北京/河北,18.0
2016-04-04,百灵菇,北京/河北,18.0
2016-04-05,百灵菇,北京/河北,18.0
2016-04-06,百灵菇,北京/河北,18.0
2016-04-07,百灵菇,北京/河北,18.0
2016-04-08,百灵菇,北京/河北,18.0
2016-04-09,百灵菇,北京/河北,18.0
2016-04-10,百灵菇,北京/河北,18.0
2016-04-11,百灵菇,北京/河北,18.0
2016-04-12,百灵菇,北京/河北,18.0
2016-04-13,百灵菇,北京/河北,17.8
2016-04-14,百灵菇,北京/河北,17.8
2016-04-15,百灵菇,北京/河北,17.8
2016-04-16,百灵菇,北京/河北,17.8
2016-04-17,百灵菇,北京/河北,17.8
2016-04-18,百灵菇,北京/河北,17.7
2016-04-19,百灵菇,北京/河北,17.0
2016-04-20,百灵菇,北京/河北,17.0
2016-04-21,百灵菇,北京/河北,17.0
2016-04-22,百灵菇,北京/河北,16.5
2016-04-23,百灵菇,北京/河北,16.0
2016-04-24,百灵菇,北京/河北,16.0
2016-04-25,百灵菇,北京/河北,16.0
2016-04-26,百灵菇,北京/河北,16.0
2016-04-27,百灵菇,北京/河北,16.0
2016-04-28,百灵菇,河北/新疆,16.0
2016-04-29,百灵菇,河北/新疆,16.0
2016-04-30,百灵菇,河北/新疆,16.0
2016-05-01,百灵菇,河北/新疆,16.0
2016-05-02,百灵菇,河北/新疆,16.0
2016-05-03,百灵菇,河北/新疆,16.5
2016-05-04,百灵菇,河北/新疆,16.0
2016-05-05,百灵菇,河北/新疆,16.0
2016-05-06,百灵菇,河北/新疆,16.0
2016-05-07,百灵菇,河北/新疆,16.5
2016-05-08,百灵菇,河北/新疆,16.5
2016-05-09,百灵菇,河北/新疆,16.0
2016-05-10,百灵菇,河北/新疆,16.0
2016-05-11,百灵菇,河北/新疆,16.5
2016-05-12,百灵菇,河北/新疆,16.0
2016-05-13,百灵菇,河北/新疆,16.5
2016-05-14,百灵菇,河北/新疆,16.0
2016-05-15,百灵菇,河北/新疆,16.0
2016-05-16,百灵菇,河北/新疆,16.5
2016-05-17,百灵菇,河北/新疆,16.5
2016-05-18,百灵菇,河北/新疆,16.5
2016-05-19,百灵菇,河北/新疆,16.5
2016-05-20,百灵菇,河北/天津,16.5
2016-05-21,百灵菇,河北/天津,16.5
2016-05-22,百灵菇,河北/天津,16.5
2016-05-23,百灵菇,河北/天津,16.5
2016-05-24,百灵菇,河北/天津,16.5
2016-05-25,百灵菇,河北/天津,16.5
2016-05-26,百灵菇,河北/天津,16.5
2016-05-27,百灵菇,河北/天津,16.5
2016-05-28,百灵菇,河北/天津,16.5
2016-05-29,百灵菇,河北/天津,16.5
2016-05-30,百灵菇,河北/天津,16.5
2016-05-31,百灵菇,河北/天津,16.5
2016-06-01,百灵菇,河北/天津,16.5
2016-06-02,百灵菇,河北/天津,17.0
2016-06-03,百灵菇,新疆/河北,17.5
2016-06-04,百灵菇,新疆/河北,18.0
2016-06-05,百灵菇,新疆/河北,18.0
2016-06-06,百灵菇,新疆/河北,18.0
2016-06-07,百灵菇,新疆/河北,19.0
2016-06-08,百灵菇,新疆/河北,19.5
2016-06-09,百灵菇,新疆/河北,20.0
2016-06-10,百灵菇,新疆/河北,20.0
2016-06-11,百灵菇,新疆/河北,20.0
2016-06-12,百灵菇,新疆/河北,21.0
2016-06-13,百灵菇,新疆/河北,21.5
2016-06-14,百灵菇,新疆/河北,22.0
2016-06-15,百灵菇,新疆/河北,22.0
2016-06-16,百灵菇,新疆/河北,21.0
2016-06-17,百灵菇,新疆/河北,21.0
2016-06-18,百灵菇,新疆/河北,20.5
2016-06-19,百灵菇,新疆/河北,20.5
2016-06-20,百灵菇,新疆/河北,20.5
2016-06-21,百灵菇,新疆/河北,19.0
2016-06-22,百灵菇,新疆/河北,18.0
2016-06-23,百灵菇,新疆/河北,16.0
2016-06-24,百灵菇,新疆,16.0
2016-06-25,百灵菇,新疆,17.0
2016-06-26,百灵菇,新疆,17.0
2016-06-27,百灵菇,新疆,17.0
2016-06-28,百灵菇,新疆,17.0
2016-06-29,百灵菇,新疆,17.0
2016-06-30,百灵菇,新疆,17.0
2016-07-01,百灵菇,新疆,17.0
2016-07-02,百灵菇,新疆,17.0
2016-07-03,百灵菇,新疆,17.0
2016-07-04,百灵菇,新疆,17.0
2016-07-05,百灵菇,新疆,17.0
2016-07-06,百灵菇,新疆,17.0
2016-07-07,百灵菇,新疆,17.0
2016-07-08,百灵菇,新疆,17.0
2016-07-09,百灵菇,新疆,17.0
2016-07-10,百灵菇,新疆,17.0
2016-07-11,百灵菇,新疆,17.0
2016-07-12,百灵菇,新疆,18.0
2016-07-13,百灵菇,新疆,18.0
2016-07-14,百灵菇,新疆,18.0
2016-07-15,百灵菇,新疆,18.0
2016-07-16,百灵菇,新疆,18.0
2016-07-17,百灵菇,新疆,18.0
2016-07-18,百灵菇,新疆,18.0
2016-07-19,百灵菇,新疆,18.0
2016-07-20,百灵菇,新疆,18.0
2016-07-21,百灵菇,新疆,18.0
2016-07-22,百灵菇,新疆,18.0
2016-07-23,百灵菇,新疆,18.0
2016-07-24,百灵菇,新疆,18.0
2016-07-25,百灵菇,新疆,19.0
2016-07-26,百灵菇,新疆,19.0
2016-07-27,百灵菇,新疆,19.0
2016-07-28,百灵菇,新疆,19.0
2016-07-29,百灵菇,新疆,19.0
2016-07-30,百灵菇,新疆,19.0
2016-07-31,百灵菇,新疆,19.0
2016-08-01,百灵菇,新疆,19.0
