date,name,place,price
2015-02-15,紫椰菜,云南,3.5
2016-01-01,紫椰菜,云南/甘肃,2.0
2016-01-02,紫椰菜,云南/甘肃,1.9
2016-01-03,紫椰菜,云南/甘肃,1.9
2016-01-04,紫椰菜,云南/甘肃,2.0
2016-01-05,紫椰菜,云南/甘肃,2.0
2016-01-06,紫椰菜,云南/甘肃,2.2
2016-01-07,紫椰菜,云南/甘肃,2.2
2016-01-08,紫椰菜,云南,2.2
2016-01-09,紫椰菜,云南,2.2
2016-01-10,紫椰菜,云南,2.3
2016-01-11,紫椰菜,云南,2.3
2016-01-12,紫椰菜,云南,2.3
2016-01-13,紫椰菜,云南,2.3
2016-01-14,紫椰菜,云南,2.3
2016-01-15,紫椰菜,云南,2.3
2016-01-16,紫椰菜,云南,2.3
2016-01-17,紫椰菜,云南,2.3
2016-01-18,紫椰菜,云南,2.3
2016-01-19,紫椰菜,云南,2.3
2016-01-20,紫椰菜,云南,2.3
2016-01-21,紫椰菜,云南,2.3
2016-01-22,紫椰菜,云南,2.3
2016-01-23,紫椰菜,云南,2.3
2016-01-24,紫椰菜,云南,2.3
2016-01-25,紫椰菜,云南,2.3
2016-01-26,紫椰菜,云南,2.3
2016-01-27,紫椰菜,云南,2.3
2016-01-28,紫椰菜,云南,2.3
2016-01-29,紫椰菜,云南,2.3
2016-01-30,紫椰菜,云南,2.3
2016-01-31,紫椰菜,云南,2.3
2016-02-01,紫椰菜,云南,2.3
2016-02-02,紫椰菜,云南,2.9
2016-02-03,紫椰菜,云南,2.9
2016-02-07,紫椰菜,云南,2.9
2016-02-08,紫椰菜,云南,2.5
2016-02-09,紫椰菜,云南,2.6
2016-02-10,紫椰菜,云南,2.6
2016-02-11,紫椰菜,云南,3.5
2016-02-12,紫椰菜,云南,3.5
2016-02-13,紫椰菜,云南,3.5
2016-02-14,紫椰菜,云南,3.5
2016-02-16,紫椰菜,云南,3.5
2016-02-17,紫椰菜,云南,3.5
2016-02-18,紫椰菜,云南,3.5
2016-02-23,紫椰菜,云南,3.1
2016-02-24,紫椰菜,云南,3.2
2016-02-25,紫椰菜,云南,3.8
2016-02-26,紫椰菜,云南,3.8
2016-02-27,紫椰菜,云南,3.8
2016-02-28,紫椰菜,云南,3.8
2016-02-29,紫椰菜,云南,3.6
2016-03-01,紫椰菜,云南,3.8
2016-03-02,紫椰菜,云南,3.8
2016-03-03,紫椰菜,云南,4.0
2016-03-04,紫椰菜,云南,4.0
2016-03-05,紫椰菜,云南,4.0
2016-03-06,紫椰菜,云南,4.0
2016-03-07,紫椰菜,云南,4.0
2016-03-08,紫椰菜,云南,4.0
2016-03-09,紫椰菜,云南,4.0
2016-03-10,紫椰菜,云南,4.0
2016-03-11,紫椰菜,云南,4.0
2016-03-12,紫椰菜,云南,4.0
2016-03-13,紫椰菜,云南,4.0
2016-03-14,紫椰菜,云南,4.0
2016-03-15,紫椰菜,云南,4.0
2016-03-16,紫椰菜,云南,4.0
2016-03-17,紫椰菜,云南,4.5
2016-03-18,紫椰菜,云南,4.8
2016-03-19,紫椰菜,云南,5.0
2016-03-20,紫椰菜,云南,5.0
2016-03-21,紫椰菜,云南,5.0
2016-03-22,紫椰菜,云南,5.0
2016-03-23,紫椰菜,云南,5.0
2016-03-24,紫椰菜,云南,5.2
2016-03-25,紫椰菜,云南,5.5
2016-03-26,紫椰菜,云南,5.5
2016-03-27,紫椰菜,云南,5.5
2016-03-28,紫椰菜,云南,5.5
2016-03-29,紫椰菜,云南,5.5
2016-03-30,紫椰菜,云南,6.0
2016-03-31,紫椰菜,云南,5.6
2016-04-01,紫椰菜,云南,5.5
2016-04-02,紫椰菜,云南,5.5
2016-04-03,紫椰菜,云南,5.5
2016-04-04,紫椰菜,云南,5.5
2016-04-05,紫椰菜,云南,5.5
2016-04-06,紫椰菜,云南,5.5
2016-04-07,紫椰菜,云南,4.8
2016-04-08,紫椰菜,云南,4.8
2016-04-09,紫椰菜,云南,4.5
2016-04-10,紫椰菜,云南,4.3
2016-04-11,紫椰菜,云南,4.0
2016-04-12,紫椰菜,云南,4.0
2016-04-13,紫椰菜,云南,4.2
2016-04-14,紫椰菜,云南,4.2
2016-04-15,紫椰菜,云南,4.2
2016-04-16,紫椰菜,云南,4.2
2016-04-17,紫椰菜,云南,4.2
2016-04-18,紫椰菜,云南,4.0
2016-04-19,紫椰菜,云南,4.5
2016-04-20,紫椰菜,云南,4.5
2016-04-21,紫椰菜,云南,4.5
2016-04-22,紫椰菜,云南,4.5
2016-04-23,紫椰菜,云南,4.3
2016-04-24,紫椰菜,云南,4.3
2016-04-25,紫椰菜,云南,4.3
2016-04-26,紫椰菜,云南,4.3
2016-04-27,紫椰菜,云南,4.3
2016-04-28,紫椰菜,云南,3.8
2016-04-29,紫椰菜,云南,3.6
2016-04-30,紫椰菜,云南,3.6
2016-05-01,紫椰菜,云南,3.5
2016-05-02,紫椰菜,云南,3.5
2016-05-03,紫椰菜,云南,3.6
2016-05-04,紫椰菜,云南,3.6
