date,name,place,price
2015-02-15,红葱头,福建/韶关,13.0
2016-01-01,红葱头,福建/韶关,13.5
2016-01-02,红葱头,福建/韶关,14.0
2016-01-03,红葱头,福建/韶关,14.0
2016-01-04,红葱头,福建/韶关,14.0
2016-01-05,红葱头,福建/韶关,14.0
2016-01-06,红葱头,福建/韶关,14.0
2016-01-07,红葱头,福建/韶关,14.0
2016-01-08,红葱头,福建/云南,14.0
2016-01-09,红葱头,福建/云南,14.0
2016-01-10,红葱头,福建/云南,14.6
2016-01-11,红葱头,福建/云南,14.6
2016-01-12,红葱头,福建/云南,14.6
2016-01-13,红葱头,福建/云南,14.6
2016-01-14,红葱头,湖北/云南,14.6
2016-01-15,红葱头,湖北/云南,14.2
2016-01-16,红葱头,湖北/云南,14.2
2016-01-17,红葱头,湖北/云南,14.0
2016-01-18,红葱头,湖北/云南,14.0
2016-01-19,红葱头,湖北/云南,14.0
2016-01-20,红葱头,湖北/云南,14.0
2016-01-21,红葱头,湖北/云南,14.2
2016-01-22,红葱头,湖北/云南,14.4
2016-01-23,红葱头,湖北/云南,14.4
2016-01-24,红葱头,湖北/云南,14.4
2016-01-25,红葱头,湖北/云南,14.4
2016-01-26,红葱头,湖北/云南,14.4
2016-01-27,红葱头,湖北/云南,14.4
2016-01-28,红葱头,湖北/云南,14.2
2016-01-29,红葱头,湖北/云南,14.2
2016-01-30,红葱头,湖北/云南,14.0
2016-01-31,红葱头,湖北/云南,14.0
2016-02-01,红葱头,湖北/云南,14.0
2016-02-02,红葱头,湖北/云南,13.5
2016-02-03,红葱头,湖北/云南,13.3
2016-02-07,红葱头,福建/韶关,12.8
2016-02-08,红葱头,福建/韶关,12.8
2016-02-09,红葱头,福建/韶关,12.7
2016-02-10,红葱头,福建/韶关,13.0
2016-02-11,红葱头,福建/韶关,13.0
2016-02-12,红葱头,福建/韶关,13.0
2016-02-13,红葱头,福建/韶关,12.9
2016-02-14,红葱头,福建/韶关,13.0
2016-02-16,红葱头,福建/韶关,12.0
2016-02-17,红葱头,福建/韶关,10.2
2016-02-18,红葱头,福建/韶关,10.0
2016-02-19,红葱头,福建/韶关,10.0
2016-02-20,红葱头,福建/韶关,10.0
2016-02-21,红葱头,福建/韶关,10.5
2016-02-22,红葱头,福建/韶关,10.0
2016-02-23,红葱头,福建/韶关,10.0
2016-02-24,红葱头,福建/韶关,10.5
2016-02-25,红葱头,福建/韶关,10.5
2016-02-26,红葱头,福建/韶关,10.0
2016-02-27,红葱头,福建/韶关,10.5
2016-02-28,红葱头,福建/韶关,10.0
2016-02-29,红葱头,福建/韶关,9.6
2016-03-01,红葱头,福建/韶关,10.0
2016-03-02,红葱头,福建/韶关,9.7
2016-03-03,红葱头,福建/韶关,9.5
2016-03-04,红葱头,广东/云南,9.1
2016-03-05,红葱头,广东/云南,8.7
2016-03-06,红葱头,广东/云南,8.0
2016-03-07,红葱头,广东/云南,7.8
2016-03-08,红葱头,广东/云南,7.5
2016-03-09,红葱头,广东/云南,7.2
2016-03-10,红葱头,广东/云南,6.8
2016-03-11,红葱头,广东/云南,6.5
2016-03-12,红葱头,广东/云南,6.3
2016-03-13,红葱头,广东/云南,6.0
2016-03-14,红葱头,广东/云南,5.8
2016-03-15,红葱头,广东/云南,6.0
2016-03-16,红葱头,广东/云南,5.8
2016-03-17,红葱头,广东/云南,6.0
2016-03-18,红葱头,福建/云南,6.2
2016-03-19,红葱头,福建/云南,5.8
2016-03-20,红葱头,福建/云南,5.5
2016-03-21,红葱头,福建/云南,5.5
2016-03-22,红葱头,福建/云南,5.5
2016-03-23,红葱头,福建/云南,5.5
2016-03-24,红葱头,福建/云南,5.6
2016-03-25,红葱头,福建/云南,5.5
2016-03-26,红葱头,福建/云南,5.6
2016-03-27,红葱头,福建/云南,5.6
2016-03-28,红葱头,福建/云南,5.6
2016-03-29,红葱头,福建/云南,5.3
2016-03-30,红葱头,福建/云南,5.4
2016-03-31,红葱头,福建/云南,5.5
2016-04-01,红葱头,福建/云南,5.5
2016-04-02,红葱头,福建/云南,5.4
2016-04-03,红葱头,福建/云南,5.4
2016-04-04,红葱头,福建/云南,5.4
2016-04-05,红葱头,福建/云南,5.0
2016-04-06,红葱头,福建/云南,5.0
2016-04-07,红葱头,福建/云南,5.0
2016-04-08,红葱头,福建/云南,5.0
2016-04-09,红葱头,福建/云南,6.0
2016-04-10,红葱头,福建/云南,7.2
2016-04-11,红葱头,福建/云南,8.0
2016-04-12,红葱头,福建/云南,8.0
2016-04-13,红葱头,福建/云南,7.8
2016-04-14,红葱头,云南/福建,7.5
