date,name,place,price
2015-02-15,绍菜,北京/韶关,3.0
2016-01-01,绍菜,云南/兰州,1.3
2016-01-02,绍菜,云南/兰州,1.3
2016-01-03,绍菜,云南/兰州,1.3
2016-01-04,绍菜,云南/兰州,1.3
2016-01-05,绍菜,云南/兰州,1.4
2016-01-06,绍菜,云南/兰州,1.4
2016-01-07,绍菜,云南/兰州,1.4
2016-01-08,绍菜,湖北/花都,1.4
2016-01-09,绍菜,湖北/花都,1.4
2016-01-10,绍菜,湖北/花都,1.3
2016-01-11,绍菜,湖北/花都,1.3
2016-01-12,绍菜,湖北/花都,1.3
2016-01-13,绍菜,湖北/花都,1.3
2016-01-14,绍菜,湖北/花都,1.3
2016-01-15,绍菜,湖北/花都,1.3
2016-01-16,绍菜,湖北/花都,1.3
2016-01-17,绍菜,湖北/花都,1.3
2016-01-18,绍菜,湖北/花都,1.3
2016-01-19,绍菜,湖北/花都,1.3
2016-01-20,绍菜,湖北/花都,1.3
2016-01-21,绍菜,湖北/花都,1.3
2016-01-22,绍菜,湖南/花都,1.3
2016-01-23,绍菜,湖南/花都,1.5
2016-01-24,绍菜,湖南/花都,2.0
2016-01-25,绍菜,湖南/花都,2.0
2016-01-26,绍菜,湖南/花都,2.3
2016-01-27,绍菜,湖南/花都,2.3
2016-01-29,绍菜,湖南/花都,2.3
2016-01-30,绍菜,湖南/花都,2.3
2016-02-02,绍菜,湖南/花都,2.5
2016-02-03,绍菜,湖南/花都,2.5
2016-02-07,绍菜,北京/韶关,2.8
2016-02-08,绍菜,北京/韶关,4.0
2016-02-09,绍菜,北京/韶关,3.8
2016-02-10,绍菜,北京/韶关,3.5
2016-02-11,绍菜,北京/韶关,3.2
2016-02-12,绍菜,北京/韶关,3.5
2016-02-13,绍菜,北京/韶关,3.3
2016-02-14,绍菜,北京/韶关,3.0
2016-02-16,绍菜,北京/韶关,2.9
2016-02-17,绍菜,北京/韶关,2.8
2016-02-18,绍菜,北京/韶关,2.8
2016-02-19,绍菜,湖北/韶关,2.6
2016-02-20,绍菜,湖北/韶关,2.5
2016-02-21,绍菜,湖北/韶关,2.6
2016-02-22,绍菜,湖北/韶关,2.8
2016-02-23,绍菜,湖北/韶关,3.0
2016-02-24,绍菜,湖北/韶关,3.2
2016-02-25,绍菜,湖北/韶关,3.0
2016-02-26,绍菜,湖北/韶关,3.0
2016-02-27,绍菜,湖北/韶关,3.0
2016-02-28,绍菜,湖北/韶关,3.0
2016-02-29,绍菜,湖北/韶关,3.1
2016-03-01,绍菜,湖北/韶关,3.0
2016-03-02,绍菜,湖北/韶关,3.1
2016-03-03,绍菜,湖北/韶关,3.3
2016-03-04,绍菜,云南/花都,3.2
2016-03-05,绍菜,云南/花都,3.2
2016-03-06,绍菜,云南/花都,3.0
2016-03-07,绍菜,云南/花都,3.2
2016-03-08,绍菜,云南/花都,3.2
2016-03-09,绍菜,云南/花都,3.2
2016-03-10,绍菜,云南/花都,3.3
2016-03-11,绍菜,云南/花都,3.3
2016-03-12,绍菜,云南/花都,3.3
2016-03-13,绍菜,云南/花都,3.0
2016-03-14,绍菜,云南/花都,3.1
2016-03-15,绍菜,云南/花都,3.3
2016-03-16,绍菜,云南/花都,3.4
2016-03-17,绍菜,云南/花都,3.5
2016-03-18,绍菜,云南/花都,3.5
2016-03-19,绍菜,云南/花都,3.5
2016-03-20,绍菜,云南/花都,3.5
