date,name,place,price
2016-01-01,茶树菇,广东/福建,13.6
2016-01-02,茶树菇,广东/福建,13.6
2016-01-03,茶树菇,广东/福建,13.6
2016-01-04,茶树菇,广东/福建,13.6
2016-01-05,茶树菇,广东/福建,13.6
2016-01-06,茶树菇,广东/福建,13.6
2016-01-07,茶树菇,广东/福建,13.6
2016-01-08,茶树菇,广东/福建,13.6
2016-01-09,茶树菇,广东/福建,13.6
2016-01-10,茶树菇,广东/福建,13.6
2016-01-11,茶树菇,广东/福建,13.6
2016-01-12,茶树菇,广东/福建,13.2
2016-01-13,茶树菇,广东/福建,13.0
2016-01-14,茶树菇,广东/福建,13.0
2016-01-15,茶树菇,广东/福建,13.0
2016-01-16,茶树菇,广东/福建,13.0
2016-01-17,茶树菇,广东/福建,13.0
2016-01-18,茶树菇,广东/福建,13.0
2016-01-19,茶树菇,广东/福建,13.0
2016-01-20,茶树菇,广东/福建,13.0
2016-01-21,茶树菇,广东/福建,13.0
2016-01-22,茶树菇,广东/福建,13.0
2016-01-23,茶树菇,广东/福建,13.0
2016-01-24,茶树菇,广东/福建,13.0
2016-01-25,茶树菇,广东/福建,13.0
2016-01-26,茶树菇,广东/福建,13.0
2016-01-27,茶树菇,广东/福建,13.0
2016-01-28,茶树菇,广东/福建,13.0
2016-01-29,茶树菇,广东/福建,13.0
2016-01-30,茶树菇,广东/福建,13.0
2016-01-31,茶树菇,广东/福建,13.0
2016-02-01,茶树菇,广东/福建,13.0
2016-02-02,茶树菇,广东/福建,13.0
2016-02-03,茶树菇,广东/福建,13.0
2016-02-07,茶树菇,广东/福建,13.0
2016-02-08,茶树菇,广东/福建,13.0
2016-02-09,茶树菇,广东/福建,12.9
2016-02-10,茶树菇,广东/福建,12.9
2016-02-11,茶树菇,广东/福建,12.0
2016-02-12,茶树菇,广东/福建,12.0
2016-02-13,茶树菇,广东/福建,12.0
2016-02-14,茶树菇,广东/福建,12.0
2016-02-16,茶树菇,广东/福建,12.0
2016-02-17,茶树菇,广东/福建,12.0
2016-02-18,茶树菇,广东/福建,14.0
2016-02-19,茶树菇,广东/福建,14.0
2016-02-20,茶树菇,广东/福建,14.0
2016-02-21,茶树菇,广东/福建,14.0
2016-02-22,茶树菇,广东/福建,14.0
2016-02-23,茶树菇,广东/福建,14.0
2016-02-24,茶树菇,广东/福建,14.0
2016-02-25,茶树菇,广东/福建,14.0
2016-02-26,茶树菇,广东/福建,14.0
2016-02-27,茶树菇,广东/福建,14.0
2016-02-28,茶树菇,广东/福建,14.0
2016-02-29,茶树菇,广东/福建,14.0
2016-03-01,茶树菇,广东/福建,14.0
2016-03-02,茶树菇,广东/福建,14.0
2016-03-03,茶树菇,广东/福建,13.7
2016-03-04,茶树菇,广东/福建,13.7
2016-03-05,茶树菇,广东/福建,13.7
2016-03-06,茶树菇,广东/福建,13.0
2016-03-07,茶树菇,广东/福建,13.0
2016-03-08,茶树菇,广东/福建,12.7
2016-03-09,茶树菇,广东/福建,12.7
2016-03-10,茶树菇,广东/福建,12.5
2016-03-11,茶树菇,广东/福建,12.5
2016-03-12,茶树菇,广东/福建,12.5
2016-03-13,茶树菇,广东/福建,12.0
2016-03-14,茶树菇,广东/福建,12.0
2016-03-15,茶树菇,广东/福建,12.0
2016-03-16,茶树菇,广东/福建,12.0
2016-03-17,茶树菇,广东/福建,12.0
2016-03-18,茶树菇,广东/福建,12.0
2016-03-19,茶树菇,广东/福建,12.0
2016-03-20,茶树菇,广东/福建,12.0
2016-03-21,茶树菇,广东/福建,12.0
2016-03-22,茶树菇,广东/福建,12.0
2016-03-23,茶树菇,广东/福建,12.0
2016-03-24,茶树菇,广东/福建,12.0
2016-03-25,茶树菇,广东/福建,12.0
2016-03-26,茶树菇,广东/福建,12.0
2016-03-27,茶树菇,广东/福建,12.0
2016-03-28,茶树菇,广东/福建,12.0
2016-03-29,茶树菇,广东/福建,12.0
2016-03-30,茶树菇,广东/福建,12.0
2016-03-31,茶树菇,广东/福建,12.0
2016-04-01,茶树菇,广东/福建,12.0
2016-04-02,茶树菇,广东/福建,12.0
2016-04-03,茶树菇,广东/福建,12.0
2016-04-04,茶树菇,广东/福建,11.5
2016-04-05,茶树菇,广东/福建,11.5
2016-04-06,茶树菇,广东/福建,11.5
2016-04-07,茶树菇,广东/福建,11.5
2016-04-08,茶树菇,广东/福建,11.0
2016-04-09,茶树菇,广东/福建,11.2
2016-04-10,茶树菇,广东/福建,11.2
2016-04-11,茶树菇,广东/福建,11.0
2016-04-12,茶树菇,广东/福建,11.0
2016-04-13,茶树菇,广东/福建,11.5
2016-04-14,茶树菇,韶关/福建,11.5
2016-04-15,茶树菇,韶关/福建,11.5
2016-04-16,茶树菇,韶关/福建,11.5
2016-04-17,茶树菇,韶关/福建,11.5
2016-04-18,茶树菇,韶关/福建,11.5
2016-04-19,茶树菇,韶关/福建,11.5
2016-04-20,茶树菇,韶关/福建,11.5
2016-04-21,茶树菇,韶关/福建,9.8
2016-04-22,茶树菇,广东/福建,9.8
2016-04-23,茶树菇,广东/福建,9.5
2016-04-24,茶树菇,广东/福建,9.5
2016-04-25,茶树菇,广东/福建,9.5
2016-04-26,茶树菇,广东/福建,9.5
2016-04-27,茶树菇,广东/福建,9.5
2016-04-28,茶树菇,广东/福建,9.5
2016-04-29,茶树菇,广东/福建,9.5
2016-04-30,茶树菇,广东/福建,9.5
2016-05-01,茶树菇,广东/福建,9.5
2016-05-02,茶树菇,广东/福建,9.5
2016-05-03,茶树菇,广东/福建,9.0
2016-05-04,茶树菇,广东/福建,9.5
2016-05-05,茶树菇,广东/福建,9.5
2016-05-06,茶树菇,广东/福建,9.5
2016-05-07,茶树菇,广东/福建,9.0
2016-05-08,茶树菇,广东/福建,9.0
2016-05-09,茶树菇,广东/福建,9.5
2016-05-10,茶树菇,广东/福建,9.5
2016-05-11,茶树菇,广东/福建,9.0
2016-05-12,茶树菇,广东/福建,9.5
2016-05-13,茶树菇,广东/福建,9.0
2016-05-14,茶树菇,广东/福建,9.5
2016-05-15,茶树菇,广东/福建,9.5
2016-05-16,茶树菇,广东/福建,9.0
2016-05-17,茶树菇,广东/福建,9.0
