date,name,place,price
2015-02-15,葱,云南/番禺,7.0
2016-01-01,葱,佛山/云南,7.8
2016-01-02,葱,佛山/云南,8.0
2016-01-03,葱,佛山/云南,8.0
2016-01-04,葱,佛山/云南,8.0
2016-01-05,葱,佛山/云南,8.0
2016-01-06,葱,佛山/云南,7.0
2016-01-07,葱,佛山/云南,5.8
2016-01-08,葱,云南/番禺,5.8
2016-01-09,葱,云南/番禺,5.8
2016-01-10,葱,云南/番禺,5.8
2016-01-11,葱,云南/番禺,5.6
2016-01-12,葱,云南/番禺,5.6
2016-01-13,葱,云南/番禺,5.6
2016-01-14,葱,云南/番禺,5.6
2016-01-15,葱,云南/番禺,5.6
2016-01-16,葱,云南/番禺,5.6
2016-01-17,葱,云南/番禺,5.7
2016-01-18,葱,云南/番禺,5.7
2016-01-19,葱,云南/番禺,5.7
2016-01-20,葱,云南/番禺,5.7
2016-01-21,葱,云南/番禺,5.7
2016-01-22,葱,佛山/番禺,5.5
2016-01-23,葱,佛山/番禺,5.5
2016-01-24,葱,佛山/番禺,5.5
2016-01-25,葱,佛山/番禺,5.5
2016-01-26,葱,佛山/番禺,5.8
2016-01-27,葱,佛山/番禺,5.8
2016-01-28,葱,佛山/番禺,5.8
2016-01-29,葱,佛山/番禺,5.8
2016-01-30,葱,佛山/番禺,5.8
2016-01-31,葱,佛山/番禺,5.8
2016-02-01,葱,佛山/番禺,5.8
2016-02-02,葱,佛山/番禺,6.2
2016-02-03,葱,佛山/番禺,6.5
2016-02-07,葱,云南/番禺,7.0
2016-02-08,葱,云南/番禺,7.5
2016-02-09,葱,云南/番禺,7.4
2016-02-10,葱,云南/番禺,7.4
2016-02-11,葱,云南/番禺,7.0
2016-02-12,葱,云南/番禺,7.0
2016-02-13,葱,云南/番禺,7.0
2016-02-14,葱,云南/番禺,7.0
2016-02-16,葱,云南/番禺,7.0
2016-02-17,葱,云南/番禺,7.0
2016-02-18,葱,云南/番禺,8.0
2016-02-19,葱,云南/番禺,8.5
2016-02-20,葱,云南/番禺,8.5
2016-02-21,葱,云南/番禺,8.8
2016-02-22,葱,云南/番禺,8.9
2016-02-23,葱,云南/番禺,9.0
2016-02-24,葱,云南/番禺,9.2
2016-02-25,葱,云南/番禺,9.2
2016-02-26,葱,云南/番禺,9.0
2016-02-27,葱,云南/番禺,9.2
2016-02-28,葱,云南/番禺,9.0
2016-02-29,葱,云南/番禺,8.8
2016-03-01,葱,云南/番禺,9.0
2016-03-02,葱,云南/番禺,8.8
2016-03-03,葱,云南/番禺,8.5
2016-03-04,葱,云南/广州,8.6
2016-03-05,葱,云南/广州,8.7
2016-03-06,葱,云南/广州,8.6
2016-03-07,葱,云南/广州,8.7
2016-03-08,葱,云南/广州,8.5
2016-03-09,葱,云南/广州,8.3
2016-03-10,葱,云南/广州,8.0
2016-03-11,葱,云南/广州,7.7
2016-03-12,葱,云南/广州,7.7
2016-03-13,葱,云南/广州,7.8
2016-03-14,葱,云南/广州,7.8
2016-03-15,葱,云南/广州,7.8
2016-03-16,葱,云南/广州,7.8
2016-03-17,葱,云南/广州,7.5
2016-03-18,葱,云南/广州,7.2
2016-03-19,葱,云南/广州,7.0
2016-03-20,葱,云南/广州,6.8
2016-03-21,葱,云南/广州,6.8
2016-03-22,葱,云南/广州,7.0
2016-03-23,葱,云南/广州,6.9
2016-03-24,葱,云南/广州,6.6
2016-03-25,葱,云南/广州,6.6
2016-03-26,葱,云南/广州,6.7
2016-03-27,葱,云南/广州,6.8
2016-03-28,葱,云南/广州,6.8
2016-03-29,葱,云南/广州,6.8
2016-03-30,葱,云南/广州,7.0
2016-03-31,葱,云南/广州,7.2
2016-04-01,葱,云南/广州,7.5
2016-04-02,葱,云南/广州,7.6
2016-04-03,葱,云南/广州,7.6
2016-04-04,葱,云南/广州,7.5
2016-04-05,葱,云南/广州,7.5
2016-04-06,葱,云南/广州,7.5
2016-04-07,葱,云南/广州,7.5
2016-04-08,葱,云南/广州,7.0
2016-04-09,葱,云南/广州,6.5
2016-04-10,葱,云南/广州,5.8
2016-04-11,葱,云南/广州,5.8
2016-04-12,葱,云南/广州,5.7
2016-04-13,葱,云南/广州,5.4
2016-04-14,葱,云南/广州,5.0
2016-04-15,葱,云南/广州,4.8
2016-04-16,葱,云南/广州,4.8
2016-04-17,葱,云南/广州,4.8
2016-04-18,葱,云南/广州,4.6
2016-04-19,葱,云南/广州,4.5
2016-04-20,葱,云南/广州,4.5
2016-04-21,葱,云南/广州,4.3
2016-04-22,葱,云南/广州,4.3
2016-04-23,葱,云南/广州,4.5
2016-04-24,葱,云南/广州,4.5
2016-04-25,葱,云南/广州,4.5
2016-04-26,葱,云南/广州,5.0
2016-04-27,葱,云南/广州,5.0
2016-04-28,葱,云南/南海,5.5
2016-04-29,葱,云南/南海,5.8
2016-04-30,葱,云南/南海,5.8
2016-05-01,葱,云南/南海,6.0
2016-05-02,葱,云南/南海,6.0
2016-05-03,葱,云南/南海,5.8
2016-05-04,葱,云南/南海,5.8
2016-05-05,葱,云南/南海,6.0
2016-05-06,葱,云南/广州,6.0
2016-05-07,葱,云南/广州,5.8
2016-05-08,葱,云南/广州,5.6
2016-05-09,葱,云南/广州,6.0
2016-05-10,葱,云南/广州,5.8
2016-05-11,葱,云南/广州,5.6
2016-05-12,葱,云南/广州,5.2
2016-05-13,葱,云南/广州,4.8
2016-05-14,葱,云南/广州,5.2
2016-05-15,葱,云南/广州,4.8
2016-05-16,葱,云南/广州,4.8
2016-05-17,葱,云南/广州,5.6
2016-05-18,葱,云南/广州,6.0
2016-05-19,葱,云南/广州,6.2
2016-05-20,葱,云南/广州,6.5
2016-05-21,葱,云南/广州,6.5
2016-05-22,葱,云南/广州,6.5
2016-05-23,葱,云南/广州,6.5
2016-05-24,葱,云南/广州,6.8
2016-05-25,葱,云南/广州,6.8
2016-05-26,葱,云南/广州,6.3
2016-05-27,葱,云南/广州,6.2
2016-05-28,葱,云南/广州,6.2
2016-05-29,葱,云南/广州,6.2
2016-05-30,葱,云南/广州,6.3
2016-05-31,葱,云南/广州,5.8
2016-06-01,葱,云南/广州,5.6
2016-06-02,葱,云南/广州,5.6
2016-06-03,葱,云南/广州,5.6
2016-06-04,葱,云南/广州,5.6
2016-06-05,葱,云南/广州,5.6
2016-06-06,葱,云南/广州,5.6
2016-06-07,葱,云南/广州,5.7
2016-06-08,葱,云南/广州,5.7
2016-06-09,葱,云南/广州,5.8
2016-06-10,葱,云南/广州,4.0
2016-06-11,葱,云南/广州,4.2
2016-06-12,葱,云南/广州,4.4
2016-06-13,葱,云南/广州,4.3
2016-06-14,葱,云南/广州,4.5
2016-06-15,葱,云南/广州,4.5
2016-06-16,葱,云南/广州,4.7
2016-06-17,葱,云南/广州,4.7
2016-06-18,葱,云南/广州,4.6
2016-06-19,葱,云南/广州,4.6
2016-06-20,葱,云南/广州,4.5
2016-06-21,葱,云南/广州,4.1
2016-06-22,葱,云南/广州,4.2
2016-06-23,葱,云南/广州,4.6
2016-06-24,葱,云南/番禺,4.6
2016-06-25,葱,云南/番禺,4.6
2016-06-26,葱,云南/番禺,4.6
2016-06-27,葱,云南/番禺,4.6
2016-06-28,葱,云南/番禺,4.4
2016-06-29,葱,云南/番禺,4.3
2016-06-30,葱,云南/番禺,4.7
2016-07-01,葱,云南/番禺,4.8
2016-07-02,葱,云南/番禺,5.2
2016-07-03,葱,云南/番禺,5.3
2016-07-04,葱,云南/番禺,5.3
2016-07-05,葱,云南/番禺,5.3
2016-07-06,葱,云南/番禺,5.3
2016-07-07,葱,云南/番禺,5.3
2016-07-08,葱,云南/广州,5.3
2016-07-09,葱,云南/广州,5.3
2016-07-10,葱,云南/广州,5.2
2016-07-11,葱,云南/广州,5.2
2016-07-12,葱,云南/广州,5.6
2016-07-13,葱,云南/广州,5.6
2016-07-14,葱,云南/广州,5.6
2016-07-15,葱,云南/广州,5.6
2016-07-16,葱,云南/广州,5.6
2016-07-17,葱,云南/广州,5.6
2016-07-18,葱,云南/广州,5.6
2016-07-19,葱,云南/广州,5.8
2016-07-20,葱,云南/广州,6.0
2016-07-21,葱,云南/广州,6.0
2016-07-22,葱,云南/广州,6.1
2016-07-23,葱,云南/广州,6.1
2016-07-24,葱,云南/广州,6.1
2016-07-25,葱,云南/广州,6.1
2016-07-26,葱,云南/广州,6.1
2016-07-27,葱,云南/广州,6.2
2016-07-28,葱,云南/广州,6.3
2016-07-29,葱,云南/佛山,6.4
2016-07-30,葱,云南/佛山,6.4
2016-07-31,葱,云南/佛山,6.4
2016-08-01,葱,云南/佛山,6.6
2016-08-02,葱,云南/佛山,6.8
2016-08-03,葱,云南/佛山,7.3
2016-08-04,葱,云南/佛山,7.0
2016-08-05,葱,云南/佛山,6.8
2016-08-06,葱,云南/佛山,6.7
2016-08-07,葱,云南/佛山,6.6
2016-08-08,葱,云南/佛山,6.5
2016-08-09,葱,云南/佛山,6.3
2016-08-10,葱,云南/佛山,6.0
2016-08-11,葱,云南/佛山,6.2
2016-08-12,葱,云南/佛山,6.3
2016-08-13,葱,云南/佛山,6.2
2016-08-14,葱,云南/佛山,6.1
2016-08-15,葱,云南/佛山,6.0
2016-08-16,葱,云南/佛山,5.9
2016-08-17,葱,云南/佛山,5.7
2016-08-18,葱,云南/佛山,5.9
2016-08-19,葱,云南/佛山,6.0
2016-08-20,葱,云南/佛山,6.2
2016-08-21,葱,云南/佛山,6.3
2016-08-22,葱,云南/佛山,6.4
2016-08-23,葱,云南/佛山,6.3
2016-08-24,葱,云南/佛山,6.3
2016-08-25,葱,云南/佛山,6.2
2016-08-26,葱,云南/佛山,6.2
2016-08-27,葱,云南/佛山,6.3
2016-08-28,葱,云南/佛山,6.3
2016-08-29,葱,云南/佛山,6.2
2016-08-30,葱,云南/佛山,6.2
2016-08-31,葱,云南/佛山,6.3
2016-09-01,葱,云南/佛山,6.4
2016-09-02,葱,云南/佛山,6.4
2016-09-03,葱,云南/佛山,6.4
2016-09-04,葱,云南/佛山,6.4
2016-09-05,葱,云南/佛山,6.4
2016-09-06,葱,云南/佛山,6.2
2016-09-07,葱,云南/佛山,6.2
2016-09-08,葱,云南/佛山,6.0
2016-09-09,葱,云南/佛山,5.8
2016-09-10,葱,云南/佛山,5.8
2016-09-11,葱,云南/佛山,5.8
2016-09-12,葱,云南/佛山,5.8
2016-09-13,葱,云南/佛山,5.8
2016-09-14,葱,云南/佛山,5.7
2016-09-15,葱,云南/佛山,5.7
2016-09-16,葱,云南/汕头,5.7
2016-09-17,葱,云南/汕头,5.8
2016-09-18,葱,云南/汕头,5.8
2016-09-19,葱,云南/汕头,5.8
2016-09-20,葱,云南/汕头,5.9
2016-09-21,葱,云南/汕头,5.9
2016-09-22,葱,云南/汕头,6.0
2016-09-23,葱,云南/佛山,6.0
2016-09-24,葱,云南/佛山,6.0
2016-09-25,葱,云南/佛山,6.0
2016-09-26,葱,云南/佛山,6.0
2016-09-27,葱,云南/佛山,6.0
2016-09-28,葱,云南/佛山,6.0
2016-09-29,葱,云南/佛山,6.0
2016-09-30,葱,云南/佛山,6.0
2016-10-01,葱,云南/佛山,6.0
2016-10-02,葱,云南/佛山,5.8
2016-10-03,葱,云南/佛山,5.5
2016-10-04,葱,云南/佛山,5.5
2016-10-05,葱,云南/佛山,5.5
2016-10-06,葱,云南/佛山,5.5
2016-10-07,葱,云南/佛山,5.5
2016-10-08,葱,云南/佛山,5.5
2016-10-09,葱,湖南/江高,5.9
2016-10-09,葱,云南/佛山,5.5
2016-10-10,葱,云南/佛山,5.5
2016-10-11,葱,云南/佛山,5.5
2016-10-12,葱,云南/佛山,5.5
2016-10-13,葱,云南/佛山,5.6
2016-10-14,葱,云南/芳村,5.6
2016-10-15,葱,云南/芳村,5.5
2016-10-16,葱,云南/芳村,5.5
2016-10-17,葱,云南/芳村,5.5
2016-10-18,葱,云南/芳村,5.5
2016-10-19,葱,云南/芳村,5.5
2016-10-20,葱,云南/芳村,5.6
2016-10-21,葱,云南/芳村,5.6
2016-10-22,葱,云南/芳村,5.6
2016-10-23,葱,云南/芳村,5.6
2016-10-24,葱,云南/芳村,5.6
2016-10-25,葱,云南/芳村,5.6
2016-10-26,葱,云南/芳村,5.5
2016-10-27,葱,云南/芳村,5.5
2016-10-28,葱,云南/芳村,5.5
2016-10-29,葱,云南/芳村,5.5
2016-10-30,葱,云南/芳村,5.6
2016-10-31,葱,云南/芳村,5.6
2016-11-01,葱,云南/芳村,5.6
2016-11-02,葱,云南/芳村,5.5
2016-11-03,葱,云南/芳村,5.6
2016-11-04,葱,云南/芳村,5.5
2016-11-05,葱,云南/芳村,5.6
2016-11-06,葱,云南/芳村,5.3
2016-11-07,葱,云南/芳村,5.6
2016-11-08,葱,云南/芳村,5.3
2016-11-09,葱,云南/芳村,5.0
2016-11-10,葱,云南/芳村,5.2
2016-11-11,葱,云南/芳村,5.2
2016-11-12,葱,云南/芳村,5.2
2016-11-13,葱,云南/芳村,5.2
2016-11-14,葱,云南/芳村,5.2
2016-11-15,葱,云南/芳村,5.2
2016-11-16,葱,云南/芳村,5.2
2016-11-17,葱,云南/芳村,5.2
2016-11-18,葱,汕头/云南,5.2
2016-11-19,葱,汕头/云南,5.3
2016-11-20,葱,汕头/云南,5.3
2016-11-21,葱,汕头/云南,5.3
2016-11-22,葱,汕头/云南,5.3
2016-11-23,葱,汕头/云南,5.3
2016-11-24,葱,汕头/云南,5.3
2016-11-25,葱,云南/芳村,5.3
2016-11-26,葱,云南/芳村,5.3
2016-11-27,葱,云南/芳村,5.3
2016-11-28,葱,云南/芳村,5.3
2016-11-29,葱,云南/芳村,5.3
2016-11-30,葱,云南/芳村,5.3
2016-12-01,葱,云南/芳村,5.6
2016-12-02,葱,云南/芳村,5.6
2016-12-03,葱,云南/芳村,5.6
2016-12-04,葱,云南/芳村,5.6
2016-12-05,葱,云南/芳村,5.6
2016-12-06,葱,云南/芳村,5.8
2016-12-07,葱,云南/芳村,6.0
2016-12-08,葱,云南/芳村,5.9
2016-12-10,葱,湖南/江高,5.8
2016-12-11,葱,湖南/江高,5.8
2016-12-12,葱,湖南/江高,6.0
2016-12-13,葱,湖南/江高,5.8
2016-12-14,葱,湖南/江高,6.0
2016-12-15,葱,湖南/江高,5.8
2016-12-16,葱,云南/江高,5.8
2016-12-17,葱,云南/江高,5.9
2016-12-18,葱,云南/江高,5.9
2016-12-19,葱,云南/江高,5.8
2016-12-20,葱,云南/江高,6.0
2016-12-21,葱,云南/江高,5.8
2016-12-22,葱,云南/江高,5.0
2016-12-23,葱,云南/江高,4.5
2016-12-24,葱,云南/江高,4.5
2016-12-25,葱,云南/江高,4.5
2016-12-26,葱,云南/江高,4.5
2016-12-27,葱,云南/江高,4.5
2016-12-28,葱,云南/江高,4.5
2016-12-29,葱,云南/江高,5.0
2016-12-30,葱,云南/江高,5.5
2016-12-31,葱,云南/江高,5.5
2017-01-01,葱,云南/江高,5.6
2017-01-02,葱,云南/江高,6.0
2017-01-03,葱,云南/江高,6.0
2017-01-04,葱,云南/江高,6.0
2017-01-05,葱,云南/江高,6.0
2017-01-06,葱,云南/江高,5.8
2017-01-07,葱,云南/江高,5.6
2017-01-08,葱,云南/江高,5.6
2017-01-09,葱,云南/江高,5.6
2017-01-10,葱,云南/江高,5.6
2017-01-11,葱,云南/江高,5.5
2017-01-12,葱,云南/江高,5.0
2017-01-13,葱,云南/江高,4.8
2017-01-14,葱,云南/江高,5.0
2017-01-15,葱,云南/江高,5.0
2017-01-16,葱,云南/江高,5.0
2017-01-17,葱,云南/江高,4.9
2017-01-18,葱,云南/江高,4.9
2017-01-19,葱,云南/江高,5.0
2017-01-20,葱,花都/江高,5.0
2017-01-21,葱,花都/江高,5.0
2017-01-22,葱,花都/江高,5.0
2017-01-23,葱,花都/江高,5.0
2017-01-24,葱,花都/江高,5.0
2017-01-25,葱,花都/江高,5.0
2017-01-26,葱,花都/江高,5.0
2017-01-27,葱,花都/江高,5.0
2017-01-28,葱,花都/江高,5.0
2017-01-29,葱,花都/江高,5.0
2017-01-30,葱,花都/江高,5.0
2017-01-31,葱,花都/江高,5.0
2017-02-01,葱,花都/江高,5.0
2017-02-02,葱,花都/江高,5.0
2017-02-03,葱,花都/江高,5.0
2017-02-04,葱,花都/江高,4.6
2017-02-05,葱,花都/江高,5.0
2017-02-06,葱,花都/江高,4.6
2017-02-07,葱,花都/江高,5.0
2017-02-08,葱,花都/江高,4.6
2017-02-09,葱,花都/江高,5.0
2017-02-10,葱,云南/江高,4.6
2017-02-11,葱,云南/江高,4.3
2017-02-12,葱,云南/江高,5.0
2017-02-13,葱,云南/江高,4.7
2017-02-14,葱,云南/江高,5.0
2017-02-15,葱,云南/江高,4.9
2017-02-16,葱,云南/江高,4.6
2017-02-17,葱,云南/广州,4.3
2017-02-18,葱,云南/江高,4.3
2017-02-19,葱,云南/江高,4.7
2017-02-20,葱,云南/江高,4.3
2017-02-21,葱,云南/江高,4.3
2017-02-22,葱,云南/江高,4.3
2017-02-23,葱,云南/广州,4.0
2017-02-24,葱,云南/广州,4.0
2017-02-25,葱,云南/广州,4.0
2017-02-26,葱,云南/广州,4.3
2017-02-27,葱,云南/广州,4.3
2017-02-28,葱,云南/广州,4.0
2017-03-01,葱,云南/广州,4.2
2017-03-02,葱,云南/广州,4.0
2017-03-03,葱,云南/广州,4.0
2017-03-04,葱,云南/广州,4.0
2017-03-05,葱,云南/广州,4.0
2017-03-06,葱,云南/广州,4.0
2017-03-07,葱,云南/广州,4.0
2017-03-08,葱,云南/广州,4.0
2017-03-09,葱,云南/广州,4.0
2017-03-10,葱,云南/广州,4.0
2017-03-11,葱,云南/广州,4.0
2017-03-12,葱,云南/广州,4.0
2017-03-13,葱,云南/广州,4.0
2017-03-14,葱,云南/广州,4.0
2017-03-15,葱,云南/广州,3.9
2017-03-16,葱,云南/广州,4.0
2017-03-17,葱,云南/广州,4.0
2017-03-18,葱,云南/广州,4.0
2017-03-19,葱,云南/广州,4.0
2017-03-20,葱,云南/广州,4.0
2017-03-21,葱,云南/广州,4.0
2017-03-22,葱,云南/广州,4.0
2017-03-23,葱,云南/广州,4.0
2017-03-24,葱,云南/广州,3.7
2017-03-25,葱,云南/广州,3.7
2017-03-26,葱,云南/广州,3.7
2017-03-27,葱,云南/广州,3.7
2017-03-28,葱,云南/广州,3.7
2017-03-29,葱,云南/广州,3.7
2017-03-30,葱,云南/广州,3.9
2017-03-31,葱,云南/广州,3.9
2017-04-01,葱,云南/广州,3.9
2017-04-02,葱,云南/广州,3.9
2017-04-03,葱,云南/广州,3.9
2017-04-04,葱,云南/广州,3.9
2017-04-05,葱,云南/广州,3.9
2017-04-06,葱,云南/广州,4.0
2017-04-07,葱,云南/广州,4.0
2017-04-08,葱,云南/广州,4.0
2017-04-09,葱,云南/广州,4.2
2017-04-10,葱,云南/广州,4.2
2017-04-11,葱,云南/广州,4.2
2017-04-12,葱,云南/广州,4.1
2017-04-13,葱,云南/广州,4.2
2017-04-14,葱,云南/广州,4.0
2017-04-15,葱,云南/广州,4.0
2017-04-16,葱,云南/广州,4.0
2017-04-17,葱,云南/广州,4.0
2017-04-18,葱,云南/广州,4.0
2017-04-19,葱,云南/广州,4.0
2017-04-20,葱,云南/广州,4.0
2017-04-21,葱,云南/南海,4.2
2017-04-22,葱,云南/南海,4.4
2017-04-23,葱,云南/南海,4.5
2017-04-24,葱,云南/南海,4.5
2017-04-25,葱,云南/南海,4.5
2017-04-26,葱,云南/南海,4.5
2017-04-27,葱,云南/南海,4.2
2017-04-28,葱,云南/南海,4.0
2017-04-29,葱,云南/南海,4.0
2017-04-30,葱,云南/南海,3.8
2017-05-01,葱,云南/南海,3.8
2017-05-02,葱,云南/南海,3.9
2017-05-03,葱,云南/南海,4.0
2017-05-04,葱,云南/南海,3.9
2017-05-05,葱,云南/南海,4.0
2017-05-06,葱,云南/南海,3.9
2017-05-07,葱,云南/南海,3.8
