date,name,place,price
2015-02-15,蒜头,山东/江苏,9.0
2016-01-01,蒜头,山东/江苏,8.0
2016-01-02,蒜头,山东/江苏,7.8
2016-01-03,蒜头,山东/江苏,7.8
2016-01-04,蒜头,山东/江苏,7.8
2016-01-05,蒜头,山东/江苏,7.8
2016-01-06,蒜头,山东/江苏,8.0
2016-01-07,蒜头,山东/江苏,8.0
2016-01-08,蒜头,山东/江苏,8.0
2016-01-09,蒜头,山东/江苏,8.0
2016-01-10,蒜头,山东/江苏,8.3
2016-01-11,蒜头,山东/江苏,8.3
2016-01-12,蒜头,山东/江苏,8.1
2016-01-13,蒜头,山东/江苏,8.1
2016-01-14,蒜头,山东/河南,8.1
2016-01-15,蒜头,山东/河南,8.1
2016-01-16,蒜头,山东/河南,8.1
2016-01-17,蒜头,山东/河南,8.1
2016-01-18,蒜头,山东/河南,8.1
2016-01-19,蒜头,山东/河南,8.1
2016-01-20,蒜头,山东/河南,8.1
2016-01-21,蒜头,山东/河南,8.1
2016-01-22,蒜头,山东/河南,8.1
2016-01-23,蒜头,山东/河南,8.1
2016-01-24,蒜头,山东/河南,8.1
2016-01-25,蒜头,山东/河南,8.1
2016-01-26,蒜头,山东/河南,8.1
2016-01-27,蒜头,山东/河南,8.1
2016-01-28,蒜头,山东/河南,8.2
2016-01-29,蒜头,山东/河南,8.2
2016-01-30,蒜头,山东/河南,8.2
2016-01-31,蒜头,山东/河南,8.4
2016-02-01,蒜头,山东/河南,8.4
2016-02-02,蒜头,山东/河南,8.7
2016-02-03,蒜头,山东/河南,8.7
2016-02-07,蒜头,山东/江苏,9.6
2016-02-08,蒜头,山东/江苏,9.8
2016-02-09,蒜头,山东/江苏,9.7
2016-02-10,蒜头,山东/江苏,9.0
2016-02-11,蒜头,山东/江苏,9.5
2016-02-12,蒜头,山东/江苏,9.6
2016-02-13,蒜头,山东/江苏,9.4
2016-02-14,蒜头,山东/江苏,9.0
2016-02-16,蒜头,山东/江苏,9.5
2016-02-17,蒜头,山东/江苏,9.5
2016-02-18,蒜头,山东/江苏,9.5
2016-02-19,蒜头,山东/江苏,9.8
2016-02-20,蒜头,山东/江苏,9.5
2016-02-21,蒜头,山东/江苏,9.8
2016-02-22,蒜头,山东/江苏,9.5
2016-02-23,蒜头,山东/江苏,9.5
2016-02-24,蒜头,山东/江苏,9.2
2016-02-25,蒜头,山东/江苏,9.6
2016-02-26,蒜头,山东/江苏,9.2
2016-02-27,蒜头,山东/江苏,9.6
2016-02-28,蒜头,山东/江苏,9.2
2016-02-29,蒜头,山东/江苏,9.5
2016-03-01,蒜头,山东/江苏,9.2
2016-03-02,蒜头,山东/江苏,9.2
2016-03-03,蒜头,山东/江苏,9.5
2016-03-04,蒜头,山东/江苏,9.7
2016-03-05,蒜头,山东/江苏,9.6
2016-03-06,蒜头,山东/江苏,9.6
2016-03-07,蒜头,山东/江苏,9.8
2016-03-08,蒜头,山东/江苏,10.0
2016-03-09,蒜头,山东/江苏,10.2
2016-03-10,蒜头,山东/江苏,10.1
2016-03-11,蒜头,山东/河南,9.7
2016-03-12,蒜头,山东/河南,9.7
2016-03-13,蒜头,山东/河南,9.5
2016-03-14,蒜头,山东/河南,9.7
2016-03-15,蒜头,山东/河南,10.0
2016-03-16,蒜头,山东/河南,9.8
2016-03-17,蒜头,山东/河南,10.0
2016-03-18,蒜头,山东/河南,11.0
2016-03-19,蒜头,山东/河南,10.5
2016-03-20,蒜头,山东/河南,10.0
2016-03-21,蒜头,山东/河南,9.7
2016-03-22,蒜头,山东/河南,10.0
2016-03-23,蒜头,山东/河南,9.8
2016-03-24,蒜头,山东/河南,10.0
2016-03-25,蒜头,山东/河南,9.7
2016-03-26,蒜头,山东/河南,10.0
2016-03-27,蒜头,山东/河南,10.5
2016-03-28,蒜头,山东/河南,10.7
2016-03-29,蒜头,山东/河南,11.0
2016-03-30,蒜头,山东/河南,11.5
2016-03-31,蒜头,山东/河南,11.8
2016-04-01,蒜头,河南/山东,12.0
2016-04-02,蒜头,河南/山东,12.5
2016-04-03,蒜头,河南/山东,12.5
2016-04-04,蒜头,河南/山东,12.5
2016-04-05,蒜头,河南/山东,12.3
2016-04-06,蒜头,河南/山东,12.0
2016-04-07,蒜头,河南/山东,11.0
2016-04-08,蒜头,河南/山东,11.3
2016-04-09,蒜头,河南/山东,11.0
