date,name,place,price
2015-02-15,西兰花,北京/甘肃,12.0
2016-01-01,西兰花,云南/昆明,4.3
2016-01-02,西兰花,云南/昆明,4.4
2016-01-03,西兰花,云南/昆明,4.4
2016-01-04,西兰花,云南/昆明,4.4
2016-01-05,西兰花,云南/昆明,4.5
2016-01-06,西兰花,云南/昆明,4.5
2016-01-07,西兰花,云南/昆明,4.2
2016-01-08,西兰花,云南/兰州,4.2
2016-01-09,西兰花,云南/兰州,4.2
2016-01-10,西兰花,云南/兰州,4.2
2016-01-11,西兰花,云南/兰州,4.2
2016-01-12,西兰花,云南/兰州,4.2
2016-01-13,西兰花,云南/兰州,4.5
2016-01-14,西兰花,云南,4.5
2016-01-15,西兰花,云南,4.5
2016-01-16,西兰花,云南,4.5
2016-01-17,西兰花,云南,4.6
2016-01-18,西兰花,云南,4.6
2016-01-19,西兰花,云南,4.6
2016-01-20,西兰花,云南,4.6
2016-01-21,西兰花,云南,4.6
2016-01-22,西兰花,云南/广州,4.6
2016-01-23,西兰花,云南/广州,4.6
2016-01-24,西兰花,云南/广州,5.0
2016-01-25,西兰花,云南/广州,5.0
2016-01-26,西兰花,云南/广州,5.3
2016-01-27,西兰花,云南/广州,5.5
2016-01-28,西兰花,云南/广州,6.0
2016-01-29,西兰花,云南/广州,6.4
2016-01-30,西兰花,云南/广州,6.7
2016-01-31,西兰花,云南/广州,7.0
2016-02-01,西兰花,云南/广州,7.0
2016-02-02,西兰花,云南/广州,7.5
2016-02-03,西兰花,云南/广州,8.0
2016-02-07,西兰花,北京/甘肃,8.6
2016-02-08,西兰花,北京/甘肃,9.8
2016-02-09,西兰花,北京/甘肃,9.7
2016-02-10,西兰花,北京/甘肃,10.0
2016-02-11,西兰花,北京/甘肃,11.0
2016-02-12,西兰花,北京/甘肃,12.0
2016-02-13,西兰花,北京/甘肃,11.8
2016-02-14,西兰花,北京/甘肃,12.0
2016-02-16,西兰花,北京/甘肃,10.6
2016-02-17,西兰花,北京/甘肃,10.6
2016-02-18,西兰花,北京/甘肃,10.0
2016-02-19,西兰花,云南,10.0
2016-02-20,西兰花,云南,10.0
2016-02-21,西兰花,云南,10.0
2016-02-22,西兰花,云南,9.7
2016-02-23,西兰花,云南,10.0
2016-02-24,西兰花,云南,11.0
2016-02-25,西兰花,云南,11.5
2016-02-26,西兰花,云南,11.0
2016-02-27,西兰花,云南,11.5
2016-02-28,西兰花,云南,11.0
2016-02-29,西兰花,云南,11.5
2016-03-01,西兰花,云南,11.0
2016-03-02,西兰花,云南,10.8
2016-03-03,西兰花,云南,10.5
2016-03-04,西兰花,云南/广西,10.3
2016-03-05,西兰花,云南/广西,10.0
2016-03-06,西兰花,云南/广西,9.5
2016-03-07,西兰花,云南/广西,9.5
2016-03-08,西兰花,云南/广西,9.2
2016-03-09,西兰花,云南/广西,9.4
2016-03-10,西兰花,云南/广西,9.0
2016-03-11,西兰花,云南,8.6
2016-03-12,西兰花,云南,8.4
2016-03-13,西兰花,云南,8.0
2016-03-14,西兰花,云南,8.0
2016-03-15,西兰花,云南,8.4
2016-03-16,西兰花,云南,8.6
2016-03-17,西兰花,云南,8.8
2016-03-18,西兰花,云南,8.8
2016-03-19,西兰花,云南,8.8
2016-03-20,西兰花,云南,9.0
2016-03-21,西兰花,云南,9.0
2016-03-22,西兰花,云南,9.0
2016-03-23,西兰花,云南,9.2
2016-03-24,西兰花,云南,9.0
2016-03-25,西兰花,云南,9.0
2016-03-26,西兰花,云南,9.0
2016-03-27,西兰花,云南,9.0
2016-03-28,西兰花,云南,9.0
2016-03-29,西兰花,云南,9.0
2016-03-30,西兰花,云南,9.1
2016-03-31,西兰花,云南,9.5
2016-04-01,西兰花,云南,9.5
2016-04-02,西兰花,云南,9.4
2016-04-03,西兰花,云南,9.4
2016-04-04,西兰花,云南,9.5
2016-04-05,西兰花,云南,9.0
2016-04-06,西兰花,云南,8.6
2016-04-07,西兰花,云南,8.2
2016-04-08,西兰花,云南,8.0
2016-04-09,西兰花,云南,8.0
2016-04-10,西兰花,云南,8.0
2016-04-11,西兰花,云南,7.8
2016-04-12,西兰花,云南,7.8
2016-04-13,西兰花,云南,7.4
2016-04-14,西兰花,云南,7.5
2016-04-15,西兰花,云南,7.5
2016-04-16,西兰花,云南,7.5
2016-04-17,西兰花,云南,7.5
2016-04-18,西兰花,云南,7.3
2016-04-19,西兰花,云南,6.5
2016-04-20,西兰花,云南,6.5
2016-04-21,西兰花,云南,6.5
2016-04-22,西兰花,云南,6.6
2016-04-23,西兰花,云南,6.5
2016-04-24,西兰花,云南,6.4
2016-04-25,西兰花,云南,6.4
2016-04-26,西兰花,云南,6.4
2016-04-27,西兰花,云南,6.2
2016-04-28,西兰花,云南/江苏,6.2
2016-04-29,西兰花,云南/江苏,6.2
2016-04-30,西兰花,云南/江苏,6.2
2016-05-01,西兰花,云南/江苏,6.0
2016-05-02,西兰花,云南/江苏,6.0
2016-05-03,西兰花,云南/江苏,6.1
2016-05-04,西兰花,云南/江苏,6.2
2016-05-05,西兰花,云南/江苏,6.0
2016-05-06,西兰花,云南/江苏,6.0
2016-05-07,西兰花,云南/江苏,6.1
2016-05-08,西兰花,云南/江苏,6.0
2016-05-09,西兰花,云南/江苏,6.0
2016-05-10,西兰花,云南/江苏,6.2
2016-05-11,西兰花,云南/江苏,5.8
2016-05-12,西兰花,云南/江苏,6.2
2016-05-13,西兰花,云南/江苏,5.8
2016-05-14,西兰花,云南/江苏,6.2
2016-05-15,西兰花,云南/江苏,5.8
2016-05-16,西兰花,云南/江苏,5.8
2016-05-17,西兰花,云南/江苏,5.2
2016-05-18,西兰花,云南/江苏,4.8
2016-05-19,西兰花,云南/江苏,4.4
2016-05-20,西兰花,云南/江苏,4.2
2016-05-21,西兰花,云南/江苏,4.0
2016-05-22,西兰花,云南/江苏,3.8
2016-05-23,西兰花,云南/江苏,4.2
2016-05-24,西兰花,云南/江苏,4.0
2016-05-25,西兰花,云南/江苏,4.0
2016-05-26,西兰花,云南/江苏,4.3
2016-05-27,西兰花,云南/江苏,4.5
2016-05-28,西兰花,云南/江苏,4.3
2016-05-29,西兰花,云南/江苏,4.2
2016-05-30,西兰花,云南/江苏,4.3
2016-05-31,西兰花,云南/江苏,4.2
2016-06-01,西兰花,云南/江苏,4.2
2016-06-02,西兰花,云南/江苏,4.0
2016-06-03,西兰花,云南/北京,3.9
2016-06-04,西兰花,云南/北京,3.9
2016-06-05,西兰花,云南/北京,3.9
2016-06-06,西兰花,云南/北京,4.0
2016-06-07,西兰花,云南/北京,3.8
2016-06-08,西兰花,云南/北京,3.7
2016-06-09,西兰花,云南/北京,3.7
2016-06-10,西兰花,云南/北京,3.7
2016-06-11,西兰花,云南/北京,3.5
2016-06-12,西兰花,云南/北京,3.6
2016-06-13,西兰花,云南/北京,3.6
2016-06-14,西兰花,云南/北京,3.8
2016-06-15,西兰花,云南/北京,3.8
2016-06-16,西兰花,云南/北京,3.7
2016-06-17,西兰花,云南/宁夏,3.7
2016-06-18,西兰花,云南/宁夏,3.7
2016-06-19,西兰花,云南/宁夏,3.6
2016-06-20,西兰花,云南/宁夏,3.5
2016-06-21,西兰花,云南/宁夏,3.6
2016-06-22,西兰花,云南/宁夏,3.7
2016-06-23,西兰花,云南/宁夏,3.7
2016-06-24,西兰花,云南/宁夏,3.7
