date,name,place,price
2015-02-15,金针菇,浙江/深圳,13.0
2016-01-01,金针菇,广东,9.4
2016-01-02,金针菇,广东,9.4
2016-01-03,金针菇,广东,9.4
2016-01-04,金针菇,广东,9.4
2016-01-05,金针菇,广东,9.0
2016-01-06,金针菇,广东,9.0
2016-01-07,金针菇,广东,9.0
2016-01-08,金针菇,广东,9.0
2016-01-09,金针菇,广东,9.0
2016-01-10,金针菇,广东,9.0
2016-01-11,金针菇,广东,9.2
2016-01-12,金针菇,广东,9.2
2016-01-13,金针菇,广东,9.2
2016-01-14,金针菇,广东/珠海,9.2
2016-01-15,金针菇,广东/珠海,10.0
2016-01-16,金针菇,广东/珠海,10.0
2016-01-17,金针菇,广东/珠海,10.0
2016-01-18,金针菇,广东/珠海,10.0
2016-01-19,金针菇,广东/珠海,10.0
2016-01-20,金针菇,广东/珠海,10.0
2016-01-21,金针菇,广东/珠海,9.8
2016-01-22,金针菇,浙江/珠海,9.8
2016-01-23,金针菇,浙江/珠海,9.8
2016-01-24,金针菇,浙江/珠海,10.6
2016-01-25,金针菇,浙江/珠海,10.6
2016-01-26,金针菇,浙江/珠海,10.8
2016-01-27,金针菇,浙江/珠海,10.8
2016-01-28,金针菇,浙江/珠海,11.1
2016-01-29,金针菇,浙江/珠海,11.5
2016-01-30,金针菇,浙江/珠海,11.6
2016-01-31,金针菇,浙江/珠海,12.0
2016-02-01,金针菇,浙江/珠海,12.0
2016-02-02,金针菇,浙江/珠海,12.0
2016-02-03,金针菇,浙江/珠海,12.0
2016-02-07,金针菇,浙江/深圳,12.0
2016-02-08,金针菇,浙江/深圳,12.0
2016-02-09,金针菇,浙江/深圳,13.0
2016-02-10,金针菇,浙江/深圳,13.0
2016-02-11,金针菇,浙江/深圳,12.5
2016-02-12,金针菇,浙江/深圳,12.5
2016-02-13,金针菇,浙江/深圳,12.5
2016-02-14,金针菇,浙江/深圳,13.0
2016-02-16,金针菇,浙江/深圳,13.0
2016-02-17,金针菇,浙江/深圳,14.0
2016-02-18,金针菇,浙江/深圳,13.0
2016-02-19,金针菇,浙江/深圳,12.0
2016-02-20,金针菇,浙江/深圳,12.0
2016-02-21,金针菇,浙江/深圳,12.0
2016-02-22,金针菇,浙江/深圳,12.0
2016-02-23,金针菇,浙江/深圳,12.0
2016-02-24,金针菇,浙江/深圳,12.5
2016-02-25,金针菇,浙江/深圳,12.0
2016-02-26,金针菇,浙江/深圳,12.0
2016-02-27,金针菇,浙江/深圳,12.0
2016-02-28,金针菇,浙江/深圳,12.0
2016-02-29,金针菇,浙江/深圳,12.0
2016-03-01,金针菇,浙江/深圳,12.0
2016-03-02,金针菇,浙江/深圳,12.0
2016-03-03,金针菇,浙江/深圳,12.0
2016-03-04,金针菇,浙江/深圳,12.0
2016-03-05,金针菇,浙江/深圳,12.0
2016-03-06,金针菇,浙江/深圳,12.0
2016-03-07,金针菇,浙江/深圳,12.0
2016-03-08,金针菇,浙江/深圳,12.0
2016-03-09,金针菇,浙江/深圳,12.0
2016-03-10,金针菇,浙江/深圳,11.7
2016-03-11,金针菇,浙江/深圳,11.5
2016-03-12,金针菇,浙江/深圳,11.2
2016-03-13,金针菇,浙江/深圳,11.0
2016-03-14,金针菇,浙江/深圳,11.0
2016-03-15,金针菇,浙江/深圳,11.0
2016-03-16,金针菇,浙江/深圳,11.0
2016-03-17,金针菇,浙江/深圳,11.0
2016-03-18,金针菇,广东/中山,11.0
2016-03-19,金针菇,广东/中山,10.5
2016-03-20,金针菇,广东/中山,10.5
2016-03-21,金针菇,广东/中山,10.5
