date,name,place,price
2015-02-15,青瓜,山东/福建,7.8
2016-01-01,青瓜,广东/湛江,3.8
2016-01-02,青瓜,广东/湛江,3.6
2016-01-03,青瓜,广东/湛江,3.3
2016-01-04,青瓜,广东/湛江,3.3
2016-01-05,青瓜,广东/湛江,3.2
2016-01-06,青瓜,广东/湛江,3.5
2016-01-07,青瓜,广东/湛江,3.5
2016-01-08,青瓜,海南/湛江,3.5
2016-01-09,青瓜,海南/湛江,3.5
2016-01-10,青瓜,海南/湛江,3.5
2016-01-11,青瓜,海南/湛江,3.5
2016-01-12,青瓜,海南/湛江,3.5
2016-01-13,青瓜,海南/湛江,3.5
2016-01-14,青瓜,海南/山东,3.3
2016-01-15,青瓜,海南/山东,3.3
2016-01-16,青瓜,海南/山东,3.3
2016-01-17,青瓜,海南/山东,3.3
2016-01-18,青瓜,海南/山东,3.3
2016-01-19,青瓜,海南/山东,3.3
2016-01-20,青瓜,海南/山东,3.3
2016-01-21,青瓜,海南/山东,3.3
2016-01-22,青瓜,海南/山东,3.5
2016-01-23,青瓜,海南/山东,3.5
2016-01-24,青瓜,海南/山东,4.5
2016-01-25,青瓜,海南/山东,4.5
2016-01-26,青瓜,海南/山东,4.8
2016-01-27,青瓜,海南/山东,4.8
2016-02-02,青瓜,海南/山东,5.6
2016-02-03,青瓜,海南/山东,6.0
2016-02-07,青瓜,山东/福建,6.7
2016-02-08,青瓜,山东/福建,8.0
2016-02-09,青瓜,山东/福建,7.9
2016-02-10,青瓜,山东/福建,7.5
2016-02-11,青瓜,山东/福建,8.0
2016-02-12,青瓜,山东/福建,8.0
2016-02-13,青瓜,山东/福建,7.8
2016-02-14,青瓜,山东/福建,7.9
2016-02-16,青瓜,山东/福建,7.0
2016-02-17,青瓜,山东/福建,6.9
2016-02-18,青瓜,山东/福建,6.5
2016-02-19,青瓜,海南/山东,6.7
2016-02-20,青瓜,海南/山东,6.5
2016-02-21,青瓜,海南/山东,6.7
2016-02-22,青瓜,海南/山东,6.4
2016-02-23,青瓜,海南/山东,6.5
2016-02-24,青瓜,海南/山东,6.6
2016-02-25,青瓜,海南/山东,6.5
2016-02-26,青瓜,海南/辽宁,6.0
2016-02-27,青瓜,海南/辽宁,6.5
2016-02-28,青瓜,海南/辽宁,6.0
2016-02-29,青瓜,海南/辽宁,6.2
2016-03-01,青瓜,海南/辽宁,6.0
2016-03-02,青瓜,海南/辽宁,5.8
2016-03-03,青瓜,海南/辽宁,5.9
2016-03-04,青瓜,海南/辽宁,5.9
2016-03-05,青瓜,海南/辽宁,5.5
2016-03-06,青瓜,海南/辽宁,5.3
2016-03-07,青瓜,海南/辽宁,5.3
2016-03-08,青瓜,海南/辽宁,5.5
2016-03-09,青瓜,海南/辽宁,5.6
2016-03-10,青瓜,海南/辽宁,5.2
2016-03-11,青瓜,海南/辽宁,5.1
2016-03-12,青瓜,海南/辽宁,5.2
2016-03-13,青瓜,海南/辽宁,5.0
2016-03-14,青瓜,海南/辽宁,5.2
2016-03-15,青瓜,海南/辽宁,5.2
2016-03-16,青瓜,海南/辽宁,5.1
2016-03-17,青瓜,海南/辽宁,5.0
2016-03-18,青瓜,海南/辽宁,5.0
2016-03-19,青瓜,海南/辽宁,5.0
2016-03-20,青瓜,海南/辽宁,5.0
2016-03-21,青瓜,海南/辽宁,5.0
2016-03-22,青瓜,海南/辽宁,5.0
