date,name,place,price
2015-02-15,青皮冬瓜,汕头/海南,1.7
2016-01-01,青皮冬瓜,英德/清远,1.3
2016-01-02,青皮冬瓜,英德/清远,1.4
2016-01-03,青皮冬瓜,英德/清远,1.4
2016-01-04,青皮冬瓜,英德/清远,1.4
2016-01-05,青皮冬瓜,英德/清远,1.4
2016-01-06,青皮冬瓜,英德/清远,1.4
2016-01-07,青皮冬瓜,英德/清远,1.4
2016-01-08,青皮冬瓜,汕头/清远,1.4
2016-01-09,青皮冬瓜,汕头/清远,1.4
2016-01-10,青皮冬瓜,汕头/清远,1.4
2016-01-11,青皮冬瓜,汕头/清远,1.4
2016-01-12,青皮冬瓜,汕头/清远,1.4
2016-01-13,青皮冬瓜,汕头/清远,1.4
2016-01-14,青皮冬瓜,广东/清远,1.4
2016-01-15,青皮冬瓜,广东/清远,1.4
2016-01-16,青皮冬瓜,广东/清远,1.4
2016-01-17,青皮冬瓜,广东/清远,1.4
2016-01-18,青皮冬瓜,广东/清远,1.4
2016-01-19,青皮冬瓜,广东/清远,1.4
2016-01-20,青皮冬瓜,广东/清远,1.4
2016-01-21,青皮冬瓜,广东/清远,1.4
2016-01-22,青皮冬瓜,汕头/英德,1.4
2016-01-23,青皮冬瓜,汕头/英德,1.4
2016-01-24,青皮冬瓜,汕头/英德,1.5
2016-01-25,青皮冬瓜,汕头/英德,1.5
2016-01-26,青皮冬瓜,汕头/英德,1.5
2016-01-27,青皮冬瓜,汕头/英德,1.5
2016-02-02,青皮冬瓜,汕头/英德,1.4
2016-02-03,青皮冬瓜,汕头/英德,1.4
2016-02-07,青皮冬瓜,汕头/海南,1.4
2016-02-08,青皮冬瓜,汕头/海南,1.8
2016-02-09,青皮冬瓜,汕头/海南,1.7
2016-02-10,青皮冬瓜,汕头/海南,1.5
2016-02-11,青皮冬瓜,汕头/海南,1.3
2016-02-12,青皮冬瓜,汕头/海南,1.5
2016-02-13,青皮冬瓜,汕头/海南,1.5
2016-02-14,青皮冬瓜,汕头/海南,1.6
2016-02-16,青皮冬瓜,汕头/海南,1.7
2016-02-17,青皮冬瓜,汕头/海南,1.8
2016-02-18,青皮冬瓜,汕头/海南,1.6
2016-02-19,青皮冬瓜,海南/英德,1.7
2016-02-20,青皮冬瓜,海南/英德,1.8
2016-02-21,青皮冬瓜,海南/英德,1.7
2016-02-22,青皮冬瓜,海南/英德,1.7
2016-02-23,青皮冬瓜,海南/英德,1.8
2016-02-24,青皮冬瓜,海南/英德,1.9
2016-02-25,青皮冬瓜,海南/英德,2.0
2016-02-26,青皮冬瓜,海南/英德,2.3
2016-02-27,青皮冬瓜,海南/英德,2.0
2016-02-28,青皮冬瓜,海南/英德,2.3
2016-02-29,青皮冬瓜,海南/英德,2.4
2016-03-01,青皮冬瓜,海南/英德,2.3
2016-03-02,青皮冬瓜,海南/英德,2.4
2016-03-03,青皮冬瓜,海南/英德,2.6
2016-03-04,青皮冬瓜,海南/清远,2.9
2016-03-05,青皮冬瓜,海南/清远,2.9
2016-03-06,青皮冬瓜,海南/清远,2.9
2016-03-07,青皮冬瓜,海南/清远,2.9
2016-03-08,青皮冬瓜,海南/清远,3.0
2016-03-09,青皮冬瓜,海南/清远,3.0
2016-03-10,青皮冬瓜,海南/清远,3.1
2016-03-11,青皮冬瓜,海南/清远,3.1
2016-03-12,青皮冬瓜,海南/清远,3.1
2016-03-13,青皮冬瓜,海南/清远,3.0
2016-03-14,青皮冬瓜,海南/清远,3.0
2016-03-15,青皮冬瓜,海南/清远,3.1
2016-03-16,青皮冬瓜,海南/清远,3.1
2016-03-17,青皮冬瓜,海南/清远,3.2
2016-03-18,青皮冬瓜,海南/清远,3.4
2016-03-19,青皮冬瓜,海南/清远,3.0
2016-03-20,青皮冬瓜,海南/清远,3.2
2016-03-21,青皮冬瓜,海南/清远,3.3
2016-03-22,青皮冬瓜,海南/清远,3.3
2016-03-23,青皮冬瓜,海南/清远,3.3
2016-03-24,青皮冬瓜,海南/清远,3.3
2016-03-25,青皮冬瓜,海南/清远,3.4
2016-03-26,青皮冬瓜,海南/清远,3.4
2016-03-27,青皮冬瓜,海南/清远,3.3
2016-03-28,青皮冬瓜,海南/清远,3.4
2016-03-29,青皮冬瓜,海南/清远,3.4
2016-03-30,青皮冬瓜,海南/清远,3.3
2016-03-31,青皮冬瓜,海南/清远,3.5
2016-04-01,青皮冬瓜,海南/清远,3.5
2016-04-02,青皮冬瓜,海南/清远,3.5
2016-04-03,青皮冬瓜,海南/清远,3.5
2016-04-04,青皮冬瓜,海南/清远,3.5
2016-04-05,青皮冬瓜,海南/清远,3.5
2016-04-06,青皮冬瓜,海南/清远,3.5
2016-04-07,青皮冬瓜,海南/清远,4.2
2016-04-08,青皮冬瓜,海南/清远,4.5
2016-04-09,青皮冬瓜,海南/清远,4.5
2016-04-10,青皮冬瓜,海南/清远,5.0
2016-04-11,青皮冬瓜,海南/清远,4.7
2016-04-12,青皮冬瓜,海南/清远,5.5
2016-04-13,青皮冬瓜,海南/清远,6.0
2016-04-14,青皮冬瓜,海南,6.5
2016-04-15,青皮冬瓜,海南,6.8
2016-04-16,青皮冬瓜,海南,7.3
2016-04-17,青皮冬瓜,海南,7.8
2016-04-18,青皮冬瓜,海南,8.5
2016-04-19,青皮冬瓜,海南,8.5
2016-04-20,青皮冬瓜,海南,8.5
2016-04-21,青皮冬瓜,海南,8.0
2016-04-22,青皮冬瓜,海南,7.6
2016-04-23,青皮冬瓜,海南,7.2
2016-04-24,青皮冬瓜,海南,7.1
2016-04-25,青皮冬瓜,海南,7.0
