date,name,place,price
2015-02-15,韭菜花,南海/花都,25.0
2016-01-01,韭菜花,南海,18.0
2016-01-02,韭菜花,南海,18.2
2016-01-03,韭菜花,南海,18.2
2016-01-04,韭菜花,南海,18.0
2016-01-05,韭菜花,南海,18.0
2016-01-06,韭菜花,南海,16.0
2016-01-07,韭菜花,南海,16.0
2016-01-08,韭菜花,南海,16.0
2016-01-09,韭菜花,南海,16.0
2016-01-10,韭菜花,南海,16.0
2016-01-11,韭菜花,南海,16.0
2016-01-12,韭菜花,南海,16.0
2016-01-13,韭菜花,南海,14.0
2016-01-14,韭菜花,南海,12.0
2016-01-15,韭菜花,南海,12.0
2016-01-16,韭菜花,南海,12.0
2016-01-17,韭菜花,南海,12.0
2016-01-18,韭菜花,南海,12.0
2016-01-19,韭菜花,南海,12.3
2016-01-20,韭菜花,南海,12.5
2016-01-21,韭菜花,南海,12.7
2016-01-22,韭菜花,南海,13.0
2016-01-23,韭菜花,南海,13.2
2016-01-24,韭菜花,南海,16.0
2016-01-25,韭菜花,南海,16.0
2016-01-26,韭菜花,南海,16.5
2016-01-27,韭菜花,南海,17.2
2016-01-28,韭菜花,南海,17.5
2016-01-29,韭菜花,南海,17.8
2016-01-30,韭菜花,南海,18.0
2016-01-31,韭菜花,南海,20.0
2016-02-01,韭菜花,南海,20.0
2016-02-02,韭菜花,南海,22.0
2016-02-03,韭菜花,南海,23.0
2016-02-07,韭菜花,南海/花都,25.0
2016-02-08,韭菜花,南海/花都,26.0
2016-02-09,韭菜花,南海/花都,26.2
2016-02-10,韭菜花,南海/花都,26.0
2016-02-11,韭菜花,南海/花都,25.0
2016-02-12,韭菜花,南海/花都,25.0
2016-02-13,韭菜花,南海/花都,25.0
2016-02-14,韭菜花,南海/花都,25.0
2016-02-16,韭菜花,南海/花都,25.0
2016-02-17,韭菜花,南海/花都,25.0
2016-02-18,韭菜花,南海/花都,23.0
2016-02-19,韭菜花,南海/花都,22.0
2016-02-20,韭菜花,南海/花都,22.0
2016-02-21,韭菜花,南海/花都,22.0
2016-02-22,韭菜花,南海/花都,22.0
2016-02-23,韭菜花,南海/花都,23.0
2016-02-24,韭菜花,南海/花都,24.0
2016-02-25,韭菜花,南海/花都,24.0
2016-02-26,韭菜花,南海/花都,25.0
2016-02-27,韭菜花,南海/花都,26.0
2016-02-28,韭菜花,南海/花都,26.0
2016-02-29,韭菜花,南海/花都,28.0
2016-03-01,韭菜花,南海/花都,27.0
2016-03-02,韭菜花,南海/花都,27.5
2016-03-03,韭菜花,南海/花都,27.8
2016-03-04,韭菜花,南海/花都,28.0
2016-03-05,韭菜花,南海/花都,27.5
2016-03-06,韭菜花,南海/花都,27.5
2016-03-07,韭菜花,南海/花都,27.5
2016-03-08,韭菜花,南海/花都,27.1
2016-03-09,韭菜花,南海/花都,26.8
2016-03-10,韭菜花,南海/花都,25.7
2016-03-11,韭菜花,南海/花都,24.8
2016-03-12,韭菜花,南海/花都,23.8
2016-03-13,韭菜花,南海/花都,21.5
2016-03-14,韭菜花,南海/花都,20.7
2016-03-15,韭菜花,南海/花都,20.0
2016-03-16,韭菜花,南海/花都,20.0
2016-03-17,韭菜花,南海/花都,20.0
2016-03-18,韭菜花,南海/花都,20.0
2016-03-19,韭菜花,南海/花都,20.0
2016-03-20,韭菜花,南海/花都,20.0
2016-03-21,韭菜花,南海/花都,20.0
2016-03-22,韭菜花,南海/花都,20.0
2016-03-23,韭菜花,南海/花都,20.0
2016-03-24,韭菜花,南海/花都,19.0
2016-03-25,韭菜花,南海/花都,18.0
2016-03-26,韭菜花,南海/花都,17.5
2016-03-27,韭菜花,南海/花都,17.0
2016-03-28,韭菜花,南海/花都,16.8
2016-03-29,韭菜花,南海/花都,16.5
2016-03-30,韭菜花,南海/花都,16.0
