date,name,place,price
2015-02-15,鲜百合,甘肃/兰州,43.0
2016-01-01,鲜百合,甘肃,38.0
2016-01-02,鲜百合,甘肃,38.0
2016-01-03,鲜百合,甘肃,38.0
2016-01-04,鲜百合,甘肃,38.0
2016-01-05,鲜百合,甘肃,38.0
2016-01-06,鲜百合,甘肃,38.0
2016-01-07,鲜百合,甘肃,38.0
2016-01-08,鲜百合,甘肃/兰州,38.0
2016-01-09,鲜百合,甘肃/兰州,38.0
2016-01-10,鲜百合,甘肃/兰州,38.0
2016-01-11,鲜百合,甘肃/兰州,38.0
2016-01-12,鲜百合,甘肃/兰州,38.0
2016-01-13,鲜百合,甘肃/兰州,38.0
2016-01-14,鲜百合,甘肃/兰州,38.0
2016-01-15,鲜百合,甘肃/兰州,38.0
2016-01-16,鲜百合,甘肃/兰州,38.0
2016-01-17,鲜百合,甘肃/兰州,38.0
2016-01-18,鲜百合,甘肃/兰州,38.0
2016-01-19,鲜百合,甘肃/兰州,38.0
2016-01-20,鲜百合,甘肃/兰州,38.0
2016-01-21,鲜百合,甘肃/兰州,38.0
2016-01-22,鲜百合,甘肃/兰州,38.0
2016-01-23,鲜百合,甘肃/兰州,38.0
2016-01-24,鲜百合,甘肃/兰州,38.0
2016-01-25,鲜百合,甘肃/兰州,38.0
2016-01-26,鲜百合,甘肃/兰州,38.0
2016-01-27,鲜百合,甘肃/兰州,38.0
2016-01-28,鲜百合,甘肃/兰州,38.0
2016-01-29,鲜百合,甘肃/兰州,38.0
2016-01-30,鲜百合,甘肃/兰州,38.0
2016-01-31,鲜百合,甘肃/兰州,38.0
2016-02-01,鲜百合,甘肃/兰州,38.0
2016-02-02,鲜百合,甘肃/兰州,40.0
2016-02-03,鲜百合,甘肃/兰州,40.0
2016-02-07,鲜百合,甘肃/兰州,40.0
2016-02-08,鲜百合,甘肃/兰州,40.0
2016-02-09,鲜百合,甘肃/兰州,41.0
2016-02-10,鲜百合,甘肃/兰州,42.0
2016-02-11,鲜百合,甘肃/兰州,43.0
2016-02-12,鲜百合,甘肃/兰州,43.0
2016-02-13,鲜百合,甘肃/兰州,43.0
2016-02-14,鲜百合,甘肃/兰州,43.0
2016-02-16,鲜百合,甘肃/兰州,43.0
2016-02-17,鲜百合,甘肃/兰州,43.0
2016-02-18,鲜百合,甘肃/兰州,40.0
2016-02-19,鲜百合,甘肃/兰州,40.0
2016-02-20,鲜百合,甘肃/兰州,40.0
2016-02-21,鲜百合,甘肃/兰州,40.0
2016-02-22,鲜百合,甘肃/兰州,40.0
2016-02-23,鲜百合,甘肃/兰州,40.0
2016-02-24,鲜百合,甘肃/兰州,39.0
2016-02-25,鲜百合,甘肃/兰州,40.0
2016-02-26,鲜百合,甘肃/兰州,40.0
2016-02-27,鲜百合,甘肃/兰州,40.0
2016-02-28,鲜百合,甘肃/兰州,40.0
2016-02-29,鲜百合,甘肃/兰州,40.0
2016-03-01,鲜百合,甘肃/兰州,40.0
2016-03-02,鲜百合,甘肃/兰州,40.0
2016-03-03,鲜百合,甘肃/兰州,40.0
2016-03-04,鲜百合,甘肃/兰州,40.0
2016-03-05,鲜百合,甘肃/兰州,40.0
2016-03-06,鲜百合,甘肃/兰州,40.0
2016-03-07,鲜百合,甘肃/兰州,40.0
2016-03-08,鲜百合,甘肃/兰州,40.0
2016-03-09,鲜百合,甘肃/兰州,40.0
2016-03-10,鲜百合,甘肃/兰州,40.0
2016-03-11,鲜百合,甘肃/兰州,40.0
2016-03-12,鲜百合,甘肃/兰州,40.0
2016-03-13,鲜百合,甘肃/兰州,40.0
2016-03-14,鲜百合,甘肃/兰州,40.0
2016-03-15,鲜百合,甘肃/兰州,40.0
2016-03-16,鲜百合,甘肃/兰州,40.0
2016-03-17,鲜百合,甘肃/兰州,40.0
2016-03-18,鲜百合,甘肃/兰州,40.0
2016-03-19,鲜百合,甘肃/兰州,40.0
2016-03-20,鲜百合,甘肃/兰州,40.0
2016-03-21,鲜百合,甘肃/兰州,40.0
2016-03-22,鲜百合,甘肃/兰州,40.0
2016-03-23,鲜百合,甘肃/兰州,40.0
2016-03-24,鲜百合,甘肃/兰州,40.0
2016-03-25,鲜百合,甘肃/兰州,40.0
2016-03-26,鲜百合,甘肃/兰州,40.0
2016-03-27,鲜百合,甘肃/兰州,40.0
2016-03-28,鲜百合,甘肃/兰州,40.0
2016-03-29,鲜百合,甘肃/兰州,40.0
2016-03-30,鲜百合,甘肃/兰州,40.0
2016-03-31,鲜百合,甘肃/兰州,40.0
2016-04-01,鲜百合,甘肃/兰州,40.0
2016-04-02,鲜百合,甘肃/兰州,40.0
2016-04-03,鲜百合,甘肃/兰州,40.0
2016-04-04,鲜百合,甘肃/兰州,40.0
2016-04-05,鲜百合,甘肃/兰州,40.0
2016-04-06,鲜百合,甘肃/兰州,39.0
2016-04-07,鲜百合,甘肃/兰州,38.0
2016-04-08,鲜百合,甘肃/兰州,39.0
2016-04-09,鲜百合,甘肃/兰州,39.0
2016-04-10,鲜百合,甘肃/兰州,39.0
2016-04-11,鲜百合,甘肃/兰州,40.0
2016-04-12,鲜百合,甘肃/兰州,39.0
2016-04-13,鲜百合,甘肃/兰州,39.0
2016-04-14,鲜百合,兰州,39.0
2016-04-15,鲜百合,兰州,39.0
2016-04-16,鲜百合,兰州,39.0
2016-04-17,鲜百合,兰州,39.0
2016-04-18,鲜百合,兰州,39.0
2016-04-19,鲜百合,兰州,39.0
2016-04-20,鲜百合,兰州,39.0
2016-04-21,鲜百合,兰州,39.0
2016-04-22,鲜百合,甘肃/兰州,38.0
2016-04-23,鲜百合,甘肃/兰州,38.0
