,date,name,price
0,2016-01-01,丝瓜,4.7
1,2016-01-02,丝瓜,4.7
2,2016-01-03,丝瓜,4.7
3,2016-01-04,丝瓜,4.7
4,2016-01-05,丝瓜,4.7
5,2016-01-06,丝瓜,4.7
6,2016-01-07,丝瓜,4.7
7,2016-01-08,丝瓜,4.7
8,2016-01-09,丝瓜,4.7
9,2016-01-10,丝瓜,4.7
10,2016-01-11,丝瓜,4.7
11,2016-01-12,丝瓜,4.5
12,2016-01-13,丝瓜,4.5
13,2016-01-14,丝瓜,4.5
14,2016-01-15,丝瓜,4.5
15,2016-01-16,丝瓜,4.5
16,2016-01-17,丝瓜,4.5
17,2016-01-18,丝瓜,4.5
18,2016-01-19,丝瓜,4.5
19,2016-01-20,丝瓜,4.5
20,2016-01-21,丝瓜,4.5
21,2016-01-22,丝瓜,4.5
22,2016-01-23,丝瓜,4.5
23,2016-01-24,丝瓜,5.0
24,2016-01-25,丝瓜,5.0
25,2016-01-26,丝瓜,5.0
26,2016-01-27,丝瓜,5.2
27,2016-01-28,丝瓜,5.5
28,2016-01-29,丝瓜,5.5
29,2016-01-30,丝瓜,5.7
30,2016-01-31,丝瓜,5.7
31,2016-02-01,丝瓜,5.7
32,2016-02-02,丝瓜,6.0
33,2016-02-03,丝瓜,6.5
34,2016-02-04,丝瓜,6.6
35,2016-02-05,丝瓜,6.7
36,2016-02-06,丝瓜,6.8
37,2016-02-07,丝瓜,6.9
38,2016-02-08,丝瓜,7.5
39,2016-02-09,丝瓜,7.4
40,2016-02-10,丝瓜,7.0
41,2016-02-11,丝瓜,7.5
42,2016-02-12,丝瓜,7.5
43,2016-02-13,丝瓜,7.5
44,2016-02-14,丝瓜,8.1
45,2016-02-15,丝瓜,7.7
46,2016-02-16,丝瓜,7.2
47,2016-02-17,丝瓜,7.2
48,2016-02-18,丝瓜,7.7
49,2016-02-19,丝瓜,7.5
50,2016-02-20,丝瓜,7.5
51,2016-02-21,丝瓜,7.5
52,2016-02-22,丝瓜,7.4
53,2016-02-23,丝瓜,7.5
54,2016-02-24,丝瓜,7.3
55,2016-02-25,丝瓜,7.5
56,2016-02-26,丝瓜,8.0
57,2016-02-27,丝瓜,7.5
58,2016-02-28,丝瓜,8.0
59,2016-02-29,丝瓜,7.5
60,2016-03-01,丝瓜,8.0
61,2016-03-02,丝瓜,7.7
62,2016-03-03,丝瓜,8.0
63,2016-03-04,丝瓜,8.3
64,2016-03-05,丝瓜,8.1
65,2016-03-06,丝瓜,8.2
66,2016-03-07,丝瓜,8.2
67,2016-03-08,丝瓜,8.0
68,2016-03-09,丝瓜,7.7
69,2016-03-10,丝瓜,8.0
70,2016-03-11,丝瓜,8.2
71,2016-03-12,丝瓜,8.2
72,2016-03-13,丝瓜,8.2
73,2016-03-14,丝瓜,8.2
74,2016-03-15,丝瓜,8.5
75,2016-03-16,丝瓜,8.8
76,2016-03-17,丝瓜,8.8
77,2016-03-18,丝瓜,8.8
78,2016-03-19,丝瓜,8.9
79,2016-03-20,丝瓜,8.9
80,2016-03-21,丝瓜,9.0
81,2016-03-22,丝瓜,9.0
82,2016-03-23,丝瓜,8.8
83,2016-03-24,丝瓜,8.8
84,2016-03-25,丝瓜,8.7
85,2016-03-26,丝瓜,8.7
86,2016-03-27,丝瓜,8.6
87,2016-03-28,丝瓜,8.6
88,2016-03-29,丝瓜,8.7
89,2016-03-30,丝瓜,8.6
90,2016-03-31,丝瓜,9.0
91,2016-04-01,丝瓜,9.5
92,2016-04-02,丝瓜,10.0
93,2016-04-03,丝瓜,11.0
94,2016-04-04,丝瓜,11.5
95,2016-04-05,丝瓜,11.5
96,2016-04-06,丝瓜,11.0
97,2016-04-07,丝瓜,10.0
98,2016-04-08,丝瓜,10.0
99,2016-04-09,丝瓜,9.5
100,2016-04-10,丝瓜,9.0
101,2016-04-11,丝瓜,8.8
102,2016-04-12,丝瓜,8.6
