,date,name,price
0,2016-01-01,云南小瓜,3.0
1,2016-01-02,云南小瓜,3.0
2,2016-01-03,云南小瓜,2.7
3,2016-01-04,云南小瓜,2.7
4,2016-01-05,云南小瓜,2.7
5,2016-01-06,云南小瓜,2.7
6,2016-01-07,云南小瓜,2.7
7,2016-01-08,云南小瓜,2.8
8,2016-01-09,云南小瓜,2.8
9,2016-01-10,云南小瓜,2.9
10,2016-01-11,云南小瓜,2.7
11,2016-01-12,云南小瓜,2.7
12,2016-01-13,云南小瓜,2.7
13,2016-01-14,云南小瓜,2.7
14,2016-01-15,云南小瓜,2.5
15,2016-01-16,云南小瓜,2.5
16,2016-01-17,云南小瓜,2.5
17,2016-01-18,云南小瓜,2.5
18,2016-01-19,云南小瓜,2.4
19,2016-01-20,云南小瓜,2.4
20,2016-01-21,云南小瓜,2.3
21,2016-01-22,云南小瓜,2.3
22,2016-01-23,云南小瓜,2.3
23,2016-01-24,云南小瓜,2.3
24,2016-01-25,云南小瓜,2.3
25,2016-01-26,云南小瓜,2.4
26,2016-01-27,云南小瓜,2.5
27,2016-01-28,云南小瓜,2.8
28,2016-01-29,云南小瓜,3.1
29,2016-01-30,云南小瓜,3.3
30,2016-01-31,云南小瓜,4.0
31,2016-02-01,云南小瓜,4.0
32,2016-02-02,云南小瓜,4.6
33,2016-02-03,云南小瓜,5.0
34,2016-02-04,云南小瓜,5.0
35,2016-02-05,云南小瓜,5.1
36,2016-02-06,云南小瓜,5.1
37,2016-02-07,云南小瓜,5.2
38,2016-02-08,云南小瓜,6.0
39,2016-02-09,云南小瓜,5.7
40,2016-02-10,云南小瓜,4.8
41,2016-02-11,云南小瓜,5.4
42,2016-02-12,云南小瓜,5.4
43,2016-02-13,云南小瓜,5.2
44,2016-02-14,云南小瓜,5.2
45,2016-02-15,云南小瓜,5.0
46,2016-02-16,云南小瓜,4.8
47,2016-02-17,云南小瓜,4.4
48,2016-02-18,云南小瓜,4.9
49,2016-02-19,云南小瓜,5.0
50,2016-02-20,云南小瓜,5.0
51,2016-02-21,云南小瓜,5.0
52,2016-02-22,云南小瓜,4.9
53,2016-02-23,云南小瓜,4.6
54,2016-02-24,云南小瓜,5.0
55,2016-02-25,云南小瓜,4.8
56,2016-02-26,云南小瓜,5.0
57,2016-02-27,云南小瓜,4.8
58,2016-02-28,云南小瓜,5.0
59,2016-02-29,云南小瓜,5.1
60,2016-03-01,云南小瓜,5.0
61,2016-03-02,云南小瓜,5.0
62,2016-03-03,云南小瓜,5.4
63,2016-03-04,云南小瓜,5.4
64,2016-03-05,云南小瓜,5.5
65,2016-03-06,云南小瓜,5.5
66,2016-03-07,云南小瓜,5.5
67,2016-03-08,云南小瓜,5.3
68,2016-03-09,云南小瓜,5.0
69,2016-03-10,云南小瓜,4.8
70,2016-03-11,云南小瓜,4.8
71,2016-03-12,云南小瓜,4.8
72,2016-03-13,云南小瓜,4.8
73,2016-03-14,云南小瓜,4.8
74,2016-03-15,云南小瓜,5.0
75,2016-03-16,云南小瓜,5.0
76,2016-03-17,云南小瓜,5.2
77,2016-03-18,云南小瓜,5.3
78,2016-03-19,云南小瓜,5.3
79,2016-03-20,云南小瓜,5.3
80,2016-03-21,云南小瓜,5.3
81,2016-03-22,云南小瓜,5.2
82,2016-03-23,云南小瓜,5.2
83,2016-03-24,云南小瓜,5.0
84,2016-03-25,云南小瓜,5.0
85,2016-03-26,云南小瓜,4.8
86,2016-03-27,云南小瓜,4.5
87,2016-03-28,云南小瓜,4.3
88,2016-03-29,云南小瓜,4.3
89,2016-03-30,云南小瓜,4.2
90,2016-03-31,云南小瓜,4.6
91,2016-04-01,云南小瓜,5.0
92,2016-04-02,云南小瓜,5.1
93,2016-04-03,云南小瓜,5.1
94,2016-04-04,云南小瓜,5.0
95,2016-04-05,云南小瓜,5.0
96,2016-04-06,云南小瓜,4.8
97,2016-04-07,云南小瓜,4.2
98,2016-04-08,云南小瓜,4.0
99,2016-04-09,云南小瓜,3.8
100,2016-04-10,云南小瓜,3.6
101,2016-04-11,云南小瓜,3.6
102,2016-04-12,云南小瓜,3.4
103,2016-04-13,云南小瓜,3.3
104,2016-04-14,云南小瓜,3.0
105,2016-04-15,云南小瓜,3.0
