,date,name,price
0,2016-01-01,包心芥菜,3.2
1,2016-01-02,包心芥菜,3.1
2,2016-01-03,包心芥菜,3.1
3,2016-01-04,包心芥菜,3.2
4,2016-01-05,包心芥菜,3.2
5,2016-01-06,包心芥菜,3.0
6,2016-01-07,包心芥菜,3.0
7,2016-01-08,包心芥菜,3.1
8,2016-01-09,包心芥菜,3.1
9,2016-01-10,包心芥菜,3.1
10,2016-01-11,包心芥菜,3.1
11,2016-01-12,包心芥菜,3.1
12,2016-01-13,包心芥菜,2.8
13,2016-01-14,包心芥菜,2.8
14,2016-01-15,包心芥菜,2.5
15,2016-01-16,包心芥菜,2.5
16,2016-01-17,包心芥菜,2.4
17,2016-01-18,包心芥菜,2.4
18,2016-01-19,包心芥菜,2.5
19,2016-01-20,包心芥菜,2.5
20,2016-01-21,包心芥菜,2.6
21,2016-01-22,包心芥菜,2.7
22,2016-01-23,包心芥菜,2.7
23,2016-01-24,包心芥菜,3.0
24,2016-01-25,包心芥菜,3.0
25,2016-01-26,包心芥菜,3.0
26,2016-01-27,包心芥菜,3.3
27,2016-01-28,包心芥菜,3.5
28,2016-01-29,包心芥菜,3.8
29,2016-01-30,包心芥菜,4.0
30,2016-01-31,包心芥菜,4.2
31,2016-02-01,包心芥菜,4.5
32,2016-02-02,包心芥菜,4.7
33,2016-02-03,包心芥菜,5.0
34,2016-02-04,包心芥菜,5.2
35,2016-02-05,包心芥菜,5.4
36,2016-02-06,包心芥菜,5.6
37,2016-02-07,包心芥菜,5.8
38,2016-02-08,包心芥菜,6.5
39,2016-02-09,包心芥菜,6.6
40,2016-02-10,包心芥菜,6.6
41,2016-02-11,包心芥菜,7.2
42,2016-02-12,包心芥菜,7.5
43,2016-02-13,包心芥菜,7.7
44,2016-02-14,包心芥菜,7.8
45,2016-02-15,包心芥菜,7.7
46,2016-02-16,包心芥菜,7.6
47,2016-02-17,包心芥菜,7.3
48,2016-02-18,包心芥菜,6.3
49,2016-02-19,包心芥菜,6.1
50,2016-02-20,包心芥菜,5.7
51,2016-02-21,包心芥菜,6.1
52,2016-02-22,包心芥菜,6.1
53,2016-02-23,包心芥菜,6.0
54,2016-02-24,包心芥菜,5.8
55,2016-02-25,包心芥菜,5.5
56,2016-02-26,包心芥菜,5.2
