,date,name,price
0,2016-01-01,南瓜,1.8
1,2016-01-02,南瓜,1.9
2,2016-01-03,南瓜,2.0
3,2016-01-04,南瓜,1.8
4,2016-01-05,南瓜,1.8
5,2016-01-06,南瓜,1.8
6,2016-01-07,南瓜,2.0
7,2016-01-08,南瓜,2.0
8,2016-01-09,南瓜,2.0
9,2016-01-10,南瓜,2.1
10,2016-01-11,南瓜,2.1
11,2016-01-12,南瓜,2.1
12,2016-01-13,南瓜,2.1
13,2016-01-14,南瓜,2.1
14,2016-01-15,南瓜,2.1
15,2016-01-16,南瓜,2.1
16,2016-01-17,南瓜,2.1
17,2016-01-18,南瓜,2.1
18,2016-01-19,南瓜,2.1
19,2016-01-20,南瓜,2.1
20,2016-01-21,南瓜,2.1
21,2016-01-22,南瓜,2.1
22,2016-01-23,南瓜,2.1
23,2016-01-24,南瓜,2.1
24,2016-01-25,南瓜,2.1
25,2016-01-26,南瓜,2.1
26,2016-01-27,南瓜,2.1
27,2016-01-28,南瓜,2.1
28,2016-01-29,南瓜,2.1
29,2016-01-30,南瓜,2.1
30,2016-01-31,南瓜,2.1
31,2016-02-01,南瓜,2.1
32,2016-02-02,南瓜,2.0
33,2016-02-03,南瓜,2.1
34,2016-02-04,南瓜,2.1
35,2016-02-05,南瓜,2.1
36,2016-02-06,南瓜,2.2
37,2016-02-07,南瓜,2.2
38,2016-02-08,南瓜,2.2
39,2016-02-09,南瓜,2.3
40,2016-02-10,南瓜,2.0
41,2016-02-11,南瓜,2.4
42,2016-02-12,南瓜,2.4
43,2016-02-13,南瓜,1.8
44,2016-02-14,南瓜,1.8
45,2016-02-15,南瓜,1.9
46,2016-02-16,南瓜,2.0
47,2016-02-17,南瓜,2.0
48,2016-02-18,南瓜,1.9
49,2016-02-19,南瓜,2.0
50,2016-02-20,南瓜,1.9
51,2016-02-21,南瓜,2.0
52,2016-02-22,南瓜,1.9
53,2016-02-23,南瓜,1.8
54,2016-02-24,南瓜,1.9
55,2016-02-25,南瓜,1.9
56,2016-02-26,南瓜,1.8
57,2016-02-27,南瓜,1.9
58,2016-02-28,南瓜,1.8
59,2016-02-29,南瓜,1.9
60,2016-03-01,南瓜,1.8
61,2016-03-02,南瓜,1.9
62,2016-03-03,南瓜,1.9
63,2016-03-04,南瓜,1.9
64,2016-03-05,南瓜,2.0
65,2016-03-06,南瓜,2.0
66,2016-03-07,南瓜,2.0
67,2016-03-08,南瓜,2.0
68,2016-03-09,南瓜,2.0
69,2016-03-10,南瓜,2.1
70,2016-03-11,南瓜,2.1
71,2016-03-12,南瓜,2.1
72,2016-03-13,南瓜,2.0
73,2016-03-14,南瓜,2.0
74,2016-03-15,南瓜,2.0
75,2016-03-16,南瓜,2.1
76,2016-03-17,南瓜,2.2
77,2016-03-18,南瓜,2.0
78,2016-03-19,南瓜,2.2
79,2016-03-20,南瓜,2.0
80,2016-03-21,南瓜,2.1
81,2016-03-22,南瓜,2.2
82,2016-03-23,南瓜,2.2
83,2016-03-24,南瓜,2.0
84,2016-03-25,南瓜,2.2
85,2016-03-26,南瓜,2.0
86,2016-03-27,南瓜,2.1
87,2016-03-28,南瓜,2.1
88,2016-03-29,南瓜,2.1
89,2016-03-30,南瓜,2.2
90,2016-03-31,南瓜,2.3
91,2016-04-01,南瓜,2.3
92,2016-04-02,南瓜,2.3
93,2016-04-03,南瓜,2.3
94,2016-04-04,南瓜,2.3
95,2016-04-05,南瓜,2.5
96,2016-04-06,南瓜,2.3
97,2016-04-07,南瓜,2.3
98,2016-04-08,南瓜,2.3
99,2016-04-09,南瓜,2.4
100,2016-04-10,南瓜,2.5
101,2016-04-11,南瓜,2.5
102,2016-04-12,南瓜,2.5
103,2016-04-13,南瓜,2.5
104,2016-04-14,南瓜,2.5
105,2016-04-15,南瓜,2.5
106,2016-04-16,南瓜,2.6
107,2016-04-17,南瓜,1.9
108,2016-04-18,南瓜,1.9
109,2016-04-19,南瓜,2.5
110,2016-04-20,南瓜,2.5
111,2016-04-21,南瓜,2.5
112,2016-04-22,南瓜,2.6
113,2016-04-23,南瓜,2.4
114,2016-04-24,南瓜,2.4
115,2016-04-25,南瓜,2.4
116,2016-04-26,南瓜,2.4
117,2016-04-27,南瓜,2.4
118,2016-04-28,南瓜,2.3
119,2016-04-29,南瓜,2.3
120,2016-04-30,南瓜,2.3
121,2016-05-01,南瓜,2.1
122,2016-05-02,南瓜,2.1
123,2016-05-03,南瓜,2.2
124,2016-05-04,南瓜,2.3
125,2016-05-05,南瓜,2.1
126,2016-05-06,南瓜,2.1
127,2016-05-07,南瓜,2.2
128,2016-05-08,南瓜,2.1
129,2016-05-09,南瓜,2.1
130,2016-05-10,南瓜,2.3
131,2016-05-11,南瓜,2.1
132,2016-05-12,南瓜,2.3
133,2016-05-13,南瓜,2.1
134,2016-05-14,南瓜,2.3
135,2016-05-15,南瓜,2.0
136,2016-05-16,南瓜,2.1
137,2016-05-17,南瓜,1.9
138,2016-05-18,南瓜,1.9
139,2016-05-19,南瓜,1.8
140,2016-05-20,南瓜,1.8
141,2016-05-21,南瓜,1.8
142,2016-05-22,南瓜,1.8
143,2016-05-23,南瓜,1.8
144,2016-05-24,南瓜,1.7
145,2016-05-25,南瓜,1.7
146,2016-05-26,南瓜,1.8
147,2016-05-27,南瓜,1.8
148,2016-05-28,南瓜,1.7
149,2016-05-29,南瓜,1.7
150,2016-05-30,南瓜,1.8
151,2016-05-31,南瓜,1.7
152,2016-06-01,南瓜,1.7
153,2016-06-02,南瓜,1.8
154,2016-06-03,南瓜,1.7
155,2016-06-04,南瓜,1.6
156,2016-06-05,南瓜,1.6
157,2016-06-06,南瓜,1.8
158,2016-06-07,南瓜,1.6
159,2016-06-08,南瓜,1.6
160,2016-06-09,南瓜,1.8
161,2016-06-10,南瓜,1.8
162,2016-06-11,南瓜,1.7
163,2016-06-12,南瓜,1.7
164,2016-06-13,南瓜,1.6
165,2016-06-14,南瓜,1.6
166,2016-06-15,南瓜,1.6
167,2016-06-16,南瓜,1.4
168,2016-06-17,南瓜,1.4
169,2016-06-18,南瓜,1.5
170,2016-06-19,南瓜,1.5
171,2016-06-20,南瓜,1.4
172,2016-06-21,南瓜,1.4
173,2016-06-22,南瓜,1.4
174,2016-06-23,南瓜,1.3
175,2016-06-24,南瓜,1.3
176,2016-06-25,南瓜,1.3
177,2016-06-26,南瓜,1.4
178,2016-06-27,南瓜,1.4
179,2016-06-28,南瓜,1.3
180,2016-06-29,南瓜,1.3
181,2016-06-30,南瓜,1.3
182,2016-07-01,南瓜,1.3
183,2016-07-02,南瓜,1.3
184,2016-07-03,南瓜,1.3
185,2016-07-04,南瓜,1.3
186,2016-07-05,南瓜,1.3
187,2016-07-06,南瓜,1.3
188,2016-07-07,南瓜,1.3
189,2016-07-08,南瓜,1.3
190,2016-07-09,南瓜,1.3
191,2016-07-10,南瓜,1.3
192,2016-07-11,南瓜,1.3
193,2016-07-12,南瓜,1.3
194,2016-07-13,南瓜,1.3
195,2016-07-14,南瓜,1.3
196,2016-07-15,南瓜,1.3
197,2016-07-16,南瓜,1.3
198,2016-07-17,南瓜,1.2
199,2016-07-18,南瓜,1.2
200,2016-07-19,南瓜,1.2
201,2016-07-20,南瓜,1.2
202,2016-07-21,南瓜,1.1
203,2016-07-22,南瓜,1.1
204,2016-07-23,南瓜,1.1
205,2016-07-24,南瓜,1.1
206,2016-07-25,南瓜,1.1
207,2016-07-26,南瓜,1.1
208,2016-07-27,南瓜,1.1
209,2016-07-28,南瓜,1.1
210,2016-07-29,南瓜,1.0
211,2016-07-30,南瓜,1.0
212,2016-07-31,南瓜,1.0
213,2016-08-01,南瓜,1.0
214,2016-08-02,南瓜,1.1
215,2016-08-03,南瓜,1.0
216,2016-08-04,南瓜,1.1
217,2016-08-05,南瓜,1.0
218,2016-08-06,南瓜,1.1
219,2016-08-07,南瓜,1.1
220,2016-08-08,南瓜,1.0
221,2016-08-09,南瓜,1.1
222,2016-08-10,南瓜,1.0
223,2016-08-11,南瓜,0.9
224,2016-08-12,南瓜,1.0
225,2016-08-13,南瓜,1.0
226,2016-08-14,南瓜,1.0
227,2016-08-15,南瓜,0.9
228,2016-08-16,南瓜,1.0
229,2016-08-17,南瓜,0.9
230,2016-08-18,南瓜,1.0
231,2016-08-19,南瓜,1.0
232,2016-08-20,南瓜,1.0
233,2016-08-21,南瓜,1.0
234,2016-08-22,南瓜,0.9
235,2016-08-23,南瓜,0.9
236,2016-08-24,南瓜,0.9
237,2016-08-25,南瓜,0.9
238,2016-08-26,南瓜,0.9
239,2016-08-27,南瓜,0.9
240,2016-08-28,南瓜,1.0
241,2016-08-29,南瓜,0.9
242,2016-08-30,南瓜,0.9
243,2016-08-31,南瓜,0.9
244,2016-09-01,南瓜,0.8
245,2016-09-02,南瓜,0.8
246,2016-09-03,南瓜,0.8
247,2016-09-04,南瓜,0.8
248,2016-09-05,南瓜,0.8
249,2016-09-06,南瓜,0.9
250,2016-09-07,南瓜,0.9
251,2016-09-08,南瓜,1.0
252,2016-09-09,南瓜,1.0
253,2016-09-10,南瓜,1.0
254,2016-09-11,南瓜,1.0
255,2016-09-12,南瓜,1.0
256,2016-09-13,南瓜,1.0
257,2016-09-14,南瓜,1.0
258,2016-09-15,南瓜,1.0
259,2016-09-16,南瓜,1.0
260,2016-09-17,南瓜,1.0
261,2016-09-18,南瓜,1.0
262,2016-09-19,南瓜,1.0
263,2016-09-20,南瓜,1.0
264,2016-09-21,南瓜,1.0
265,2016-09-22,南瓜,1.0
266,2016-09-23,南瓜,1.0
267,2016-09-24,南瓜,1.0
268,2016-09-25,南瓜,1.0
269,2016-09-26,南瓜,1.0
270,2016-09-27,南瓜,1.0
271,2016-09-28,南瓜,1.0
272,2016-09-29,南瓜,1.1
273,2016-09-30,南瓜,1.2
274,2016-10-01,南瓜,1.2
275,2016-10-02,南瓜,1.1
276,2016-10-03,南瓜,1.1
277,2016-10-04,南瓜,1.1
278,2016-10-05,南瓜,1.1
279,2016-10-06,南瓜,1.1
280,2016-10-07,南瓜,1.1
281,2016-10-08,南瓜,1.1
282,2016-10-09,南瓜,1.5
283,2016-10-10,南瓜,1.1
284,2016-10-11,南瓜,1.1
285,2016-10-12,南瓜,1.1
286,2016-10-13,南瓜,1.1
287,2016-10-14,南瓜,1.0
288,2016-10-15,南瓜,1.0
289,2016-10-16,南瓜,1.0
290,2016-10-17,南瓜,1.0
