,date,name,price
0,2016-01-01,园椒,3.8
1,2016-01-02,园椒,4.0
2,2016-01-03,园椒,4.0
3,2016-01-04,园椒,4.0
4,2016-01-05,园椒,4.0
5,2016-01-06,园椒,4.0
6,2016-01-07,园椒,4.0
7,2016-01-08,园椒,4.0
8,2016-01-09,园椒,4.0
9,2016-01-10,园椒,4.0
10,2016-01-11,园椒,4.0
11,2016-01-12,园椒,4.0
12,2016-01-13,园椒,4.0
13,2016-01-14,园椒,4.0
14,2016-01-15,园椒,4.0
15,2016-01-16,园椒,4.0
16,2016-01-17,园椒,4.0
17,2016-01-18,园椒,4.0
18,2016-01-19,园椒,3.9
19,2016-01-20,园椒,3.9
20,2016-01-21,园椒,3.9
21,2016-01-22,园椒,3.9
22,2016-01-23,园椒,3.9
23,2016-01-24,园椒,4.0
24,2016-01-25,园椒,4.0
25,2016-01-26,园椒,4.0
26,2016-01-27,园椒,3.9
27,2016-01-28,园椒,3.8
28,2016-01-29,园椒,3.8
29,2016-01-30,园椒,3.8
30,2016-01-31,园椒,3.8
31,2016-02-01,园椒,3.8
32,2016-02-02,园椒,4.3
33,2016-02-03,园椒,4.8
34,2016-02-04,园椒,4.9
35,2016-02-05,园椒,5.0
36,2016-02-06,园椒,5.2
37,2016-02-07,园椒,5.3
38,2016-02-08,园椒,6.5
39,2016-02-09,园椒,6.6
40,2016-02-10,园椒,6.6
41,2016-02-11,园椒,6.7
42,2016-02-12,园椒,6.7
43,2016-02-13,园椒,6.7
44,2016-02-14,园椒,7.1
45,2016-02-15,园椒,6.8
46,2016-02-16,园椒,6.4
47,2016-02-17,园椒,5.8
48,2016-02-18,园椒,5.9
49,2016-02-19,园椒,6.0
50,2016-02-20,园椒,5.5
51,2016-02-21,园椒,6.0
52,2016-02-22,园椒,5.8
53,2016-02-23,园椒,5.5
54,2016-02-24,园椒,5.3
55,2016-02-25,园椒,5.0
56,2016-02-26,园椒,5.0
57,2016-02-27,园椒,5.0
58,2016-02-28,园椒,5.0
59,2016-02-29,园椒,5.5
60,2016-03-01,园椒,5.0
61,2016-03-02,园椒,4.9
62,2016-03-03,园椒,5.0
63,2016-03-04,园椒,5.3
64,2016-03-05,园椒,5.0
65,2016-03-06,园椒,4.8
66,2016-03-07,园椒,4.8
67,2016-03-08,园椒,5.0
68,2016-03-09,园椒,5.2
69,2016-03-10,园椒,5.5
70,2016-03-11,园椒,5.3
71,2016-03-12,园椒,5.5
72,2016-03-13,园椒,5.8
73,2016-03-14,园椒,6.0
74,2016-03-15,园椒,6.3
75,2016-03-16,园椒,6.3
76,2016-03-17,园椒,6.0
77,2016-03-18,园椒,6.0
78,2016-03-19,园椒,6.0
79,2016-03-20,园椒,6.0
80,2016-03-21,园椒,6.0
81,2016-03-22,园椒,6.2
82,2016-03-23,园椒,6.2
83,2016-03-24,园椒,6.2
84,2016-03-25,园椒,6.1
85,2016-03-26,园椒,6.2
86,2016-03-27,园椒,6.2
87,2016-03-28,园椒,6.2
88,2016-03-29,园椒,6.1
89,2016-03-30,园椒,6.0
90,2016-03-31,园椒,6.3
91,2016-04-01,园椒,6.2
92,2016-04-02,园椒,6.2
93,2016-04-03,园椒,6.2
94,2016-04-04,园椒,6.0
95,2016-04-05,园椒,5.8
96,2016-04-06,园椒,5.5
97,2016-04-07,园椒,5.5
98,2016-04-08,园椒,5.5
99,2016-04-09,园椒,5.6
100,2016-04-10,园椒,5.6
101,2016-04-11,园椒,5.6
102,2016-04-12,园椒,5.4
103,2016-04-13,园椒,5.5
104,2016-04-14,园椒,5.0
105,2016-04-15,园椒,4.5
106,2016-04-16,园椒,4.3
107,2016-04-17,园椒,4.3
108,2016-04-18,园椒,4.3
109,2016-04-19,园椒,4.0
110,2016-04-20,园椒,4.0
111,2016-04-21,园椒,3.5
112,2016-04-22,园椒,3.6
113,2016-04-23,园椒,3.5
114,2016-04-24,园椒,3.5
115,2016-04-25,园椒,3.5
116,2016-04-26,园椒,3.5
117,2016-04-27,园椒,3.5
118,2016-04-28,园椒,3.3
119,2016-04-29,园椒,3.3
120,2016-04-30,园椒,3.3
121,2016-05-01,园椒,3.2
122,2016-05-02,园椒,3.2
123,2016-05-03,园椒,3.3
124,2016-05-04,园椒,3.3
125,2016-05-05,园椒,3.2
126,2016-05-06,园椒,3.2
127,2016-05-07,园椒,3.3
128,2016-05-08,园椒,3.2
129,2016-05-09,园椒,3.2
130,2016-05-10,园椒,3.3
131,2016-05-11,园椒,3.2
132,2016-05-12,园椒,3.3
133,2016-05-13,园椒,3.2
134,2016-05-14,园椒,3.3
135,2016-05-15,园椒,3.3
136,2016-05-16,园椒,3.2
137,2016-05-17,园椒,3.0
138,2016-05-18,园椒,2.9
139,2016-05-19,园椒,2.8
140,2016-05-20,园椒,2.8
141,2016-05-21,园椒,2.8
142,2016-05-22,园椒,2.8
143,2016-05-23,园椒,2.8
144,2016-05-24,园椒,2.8
145,2016-05-25,园椒,2.8
146,2016-05-26,园椒,2.8
147,2016-05-27,园椒,2.8
148,2016-05-28,园椒,2.8
149,2016-05-29,园椒,2.8
150,2016-05-30,园椒,2.8
151,2016-05-31,园椒,2.8
152,2016-06-01,园椒,2.8
153,2016-06-02,园椒,2.7
154,2016-06-03,园椒,2.7
155,2016-06-04,园椒,2.7
156,2016-06-05,园椒,2.7
157,2016-06-06,园椒,2.7
158,2016-06-07,园椒,2.8
159,2016-06-08,园椒,2.7
160,2016-06-09,园椒,2.6
161,2016-06-10,园椒,2.7
162,2016-06-11,园椒,2.8
163,2016-06-12,园椒,2.8
164,2016-06-13,园椒,2.7
165,2016-06-14,园椒,2.7
166,2016-06-15,园椒,2.7
167,2016-06-16,园椒,2.4
168,2016-06-17,园椒,2.4
169,2016-06-18,园椒,2.4
170,2016-06-19,园椒,2.5
171,2016-06-20,园椒,2.5
172,2016-06-21,园椒,2.6
173,2016-06-22,园椒,2.6
174,2016-06-23,园椒,2.4
175,2016-06-24,园椒,2.4
176,2016-06-25,园椒,2.5
177,2016-06-26,园椒,2.5
178,2016-06-27,园椒,2.5
179,2016-06-28,园椒,2.5
180,2016-06-29,园椒,2.5
181,2016-06-30,园椒,2.4
182,2016-07-01,园椒,2.4
183,2016-07-02,园椒,2.4
184,2016-07-03,园椒,2.6
185,2016-07-04,园椒,2.7
186,2016-07-05,园椒,2.7
187,2016-07-06,园椒,2.7
188,2016-07-07,园椒,2.4
189,2016-07-08,园椒,2.2
190,2016-07-09,园椒,2.2
191,2016-07-10,园椒,2.1
192,2016-07-11,园椒,2.1
193,2016-07-12,园椒,2.1
194,2016-07-13,园椒,2.1
195,2016-07-14,园椒,2.1
196,2016-07-15,园椒,2.1
197,2016-07-16,园椒,2.1
198,2016-07-17,园椒,2.2
199,2016-07-18,园椒,2.3
200,2016-07-19,园椒,2.3
201,2016-07-20,园椒,2.3
202,2016-07-21,园椒,2.3
203,2016-07-22,园椒,2.3
204,2016-07-23,园椒,2.3
205,2016-07-24,园椒,2.3
206,2016-07-25,园椒,2.3
207,2016-07-26,园椒,2.3
208,2016-07-27,园椒,2.3
209,2016-07-28,园椒,2.3
210,2016-07-29,园椒,2.3
211,2016-07-30,园椒,2.3
212,2016-07-31,园椒,2.3
213,2016-08-01,园椒,2.3
214,2016-08-02,园椒,2.4
215,2016-08-03,园椒,2.5
216,2016-08-04,园椒,2.6
217,2016-08-05,园椒,2.7
218,2016-08-06,园椒,2.8
219,2016-08-07,园椒,2.8
220,2016-08-08,园椒,2.9
221,2016-08-09,园椒,2.8
222,2016-08-10,园椒,2.9
223,2016-08-11,园椒,2.8
224,2016-08-12,园椒,2.7
225,2016-08-13,园椒,2.7
226,2016-08-14,园椒,2.7
227,2016-08-15,园椒,2.8
228,2016-08-16,园椒,2.7
229,2016-08-17,园椒,2.7
230,2016-08-18,园椒,2.6
231,2016-08-19,园椒,2.6
232,2016-08-20,园椒,2.6
233,2016-08-21,园椒,2.6
234,2016-08-22,园椒,2.7
235,2016-08-23,园椒,2.6
236,2016-08-24,园椒,2.8
237,2016-08-25,园椒,2.8
238,2016-08-26,园椒,2.9
239,2016-08-27,园椒,2.9
240,2016-08-28,园椒,2.9
241,2016-08-29,园椒,3.0
242,2016-08-30,园椒,2.9
243,2016-08-31,园椒,2.9
244,2016-09-01,园椒,3.2
245,2016-09-02,园椒,3.2
246,2016-09-03,园椒,3.2
247,2016-09-04,园椒,3.4
248,2016-09-05,园椒,3.4
249,2016-09-06,园椒,3.5
250,2016-09-07,园椒,3.5
251,2016-09-08,园椒,3.5
252,2016-09-09,园椒,3.5
253,2016-09-10,园椒,3.6
254,2016-09-11,园椒,3.7
255,2016-09-12,园椒,3.7
256,2016-09-13,园椒,3.7
257,2016-09-14,园椒,3.7
258,2016-09-15,园椒,4.0
259,2016-09-16,园椒,4.0
260,2016-09-17,园椒,4.0
261,2016-09-18,园椒,4.0
262,2016-09-19,园椒,4.0
263,2016-09-20,园椒,4.0
264,2016-09-21,园椒,4.0
265,2016-09-22,园椒,4.0
