,date,name,price
0,2016-01-01,土豆,2.1
1,2016-01-02,土豆,2.1
2,2016-01-03,土豆,2.1
3,2016-01-04,土豆,2.1
4,2016-01-05,土豆,2.1
5,2016-01-06,土豆,2.1
6,2016-01-07,土豆,2.1
7,2016-01-08,土豆,2.1
8,2016-01-09,土豆,2.1
9,2016-01-10,土豆,2.1
10,2016-01-11,土豆,2.1
11,2016-01-12,土豆,2.1
12,2016-01-13,土豆,2.0
13,2016-01-14,土豆,2.0
14,2016-01-15,土豆,2.0
15,2016-01-16,土豆,2.0
16,2016-01-17,土豆,2.0
17,2016-01-18,土豆,2.0
18,2016-01-19,土豆,2.0
19,2016-01-20,土豆,2.0
20,2016-01-21,土豆,2.0
21,2016-01-22,土豆,2.0
22,2016-01-23,土豆,2.0
23,2016-01-24,土豆,2.2
24,2016-01-25,土豆,2.2
25,2016-01-26,土豆,2.2
26,2016-01-27,土豆,2.2
27,2016-01-28,土豆,2.2
28,2016-01-29,土豆,2.2
29,2016-01-30,土豆,2.2
30,2016-01-31,土豆,2.2
31,2016-02-01,土豆,2.2
32,2016-02-02,土豆,2.2
33,2016-02-03,土豆,2.1
34,2016-02-04,土豆,2.2
35,2016-02-05,土豆,2.3
36,2016-02-06,土豆,2.4
37,2016-02-07,土豆,2.5
38,2016-02-08,土豆,3.0
39,2016-02-09,土豆,2.9
40,2016-02-10,土豆,3.0
41,2016-02-11,土豆,3.0
42,2016-02-12,土豆,3.0
43,2016-02-13,土豆,2.7
44,2016-02-14,土豆,2.6
45,2016-02-15,土豆,2.5
46,2016-02-16,土豆,2.5
47,2016-02-17,土豆,2.5
48,2016-02-18,土豆,2.6
49,2016-02-19,土豆,2.8
50,2016-02-20,土豆,2.5
51,2016-02-21,土豆,2.8
52,2016-02-22,土豆,2.6
53,2016-02-23,土豆,2.5
54,2016-02-24,土豆,2.7
55,2016-02-25,土豆,2.5
56,2016-02-26,土豆,2.5
57,2016-02-27,土豆,2.5
58,2016-02-28,土豆,2.5
59,2016-02-29,土豆,2.5
60,2016-03-01,土豆,2.5
61,2016-03-02,土豆,2.6
62,2016-03-03,土豆,2.8
63,2016-03-04,土豆,2.9
64,2016-03-05,土豆,2.8
65,2016-03-06,土豆,2.8
66,2016-03-07,土豆,2.9
67,2016-03-08,土豆,2.6
68,2016-03-09,土豆,2.6
69,2016-03-10,土豆,2.8
70,2016-03-11,土豆,2.8
71,2016-03-12,土豆,2.8
72,2016-03-13,土豆,2.6
73,2016-03-14,土豆,2.6
74,2016-03-15,土豆,2.8
75,2016-03-16,土豆,2.8
76,2016-03-17,土豆,2.9
77,2016-03-18,土豆,2.9
78,2016-03-19,土豆,2.8
79,2016-03-20,土豆,2.8
80,2016-03-21,土豆,2.8
81,2016-03-22,土豆,2.8
82,2016-03-23,土豆,2.8
83,2016-03-24,土豆,2.8
84,2016-03-25,土豆,2.8
85,2016-03-26,土豆,2.9
86,2016-03-27,土豆,2.9
87,2016-03-28,土豆,3.0
88,2016-03-29,土豆,3.0
89,2016-03-30,土豆,2.9
90,2016-03-31,土豆,3.0
91,2016-04-01,土豆,3.0
92,2016-04-02,土豆,3.0
93,2016-04-03,土豆,3.0
94,2016-04-04,土豆,3.2
95,2016-04-05,土豆,3.0
96,2016-04-06,土豆,3.0
97,2016-04-07,土豆,3.0
98,2016-04-08,土豆,2.9
99,2016-04-09,土豆,2.9
100,2016-04-10,土豆,2.9
101,2016-04-11,土豆,3.0
102,2016-04-12,土豆,3.0
103,2016-04-13,土豆,2.9
104,2016-04-14,土豆,3.2
105,2016-04-15,土豆,3.2
106,2016-04-16,土豆,3.2
107,2016-04-17,土豆,3.5
108,2016-04-18,土豆,3.3
109,2016-04-19,土豆,3.3
110,2016-04-20,土豆,3.3
111,2016-04-21,土豆,3.3
112,2016-04-22,土豆,3.4
113,2016-04-23,土豆,3.5
