,date,name,price
0,2016-01-01,大肉姜,3.3
1,2016-01-02,大肉姜,3.4
2,2016-01-03,大肉姜,3.4
3,2016-01-04,大肉姜,3.4
4,2016-01-05,大肉姜,3.3
5,2016-01-06,大肉姜,3.3
6,2016-01-07,大肉姜,3.3
7,2016-01-08,大肉姜,3.1
8,2016-01-09,大肉姜,3.1
9,2016-01-10,大肉姜,2.8
10,2016-01-11,大肉姜,2.8
11,2016-01-12,大肉姜,2.8
12,2016-01-13,大肉姜,3.0
13,2016-01-14,大肉姜,3.0
14,2016-01-15,大肉姜,3.0
15,2016-01-16,大肉姜,3.0
16,2016-01-17,大肉姜,3.0
17,2016-01-18,大肉姜,3.0
18,2016-01-19,大肉姜,3.0
19,2016-01-20,大肉姜,3.0
20,2016-01-21,大肉姜,3.0
21,2016-01-22,大肉姜,3.0
22,2016-01-23,大肉姜,3.1
23,2016-01-24,大肉姜,3.1
24,2016-01-25,大肉姜,3.1
25,2016-01-26,大肉姜,3.2
26,2016-01-27,大肉姜,3.2
27,2016-01-28,大肉姜,3.2
28,2016-01-29,大肉姜,3.2
29,2016-01-30,大肉姜,3.2
30,2016-01-31,大肉姜,3.2
31,2016-02-01,大肉姜,3.2
32,2016-02-02,大肉姜,3.2
33,2016-02-03,大肉姜,3.1
34,2016-02-04,大肉姜,3.1
35,2016-02-05,大肉姜,3.1
36,2016-02-06,大肉姜,3.1
37,2016-02-07,大肉姜,3.1
38,2016-02-08,大肉姜,3.5
39,2016-02-09,大肉姜,3.4
40,2016-02-10,大肉姜,3.0
41,2016-02-11,大肉姜,3.0
42,2016-02-12,大肉姜,3.0
43,2016-02-13,大肉姜,3.0
44,2016-02-14,大肉姜,3.0
45,2016-02-15,大肉姜,3.1
46,2016-02-16,大肉姜,3.2
47,2016-02-17,大肉姜,3.2
48,2016-02-18,大肉姜,3.2
49,2016-02-19,大肉姜,3.2
50,2016-02-20,大肉姜,3.0
51,2016-02-21,大肉姜,3.2
52,2016-02-22,大肉姜,3.2
53,2016-02-23,大肉姜,3.0
54,2016-02-24,大肉姜,3.2
55,2016-02-25,大肉姜,3.5
56,2016-02-26,大肉姜,3.5
57,2016-02-27,大肉姜,3.5
58,2016-02-28,大肉姜,3.5
59,2016-02-29,大肉姜,3.3
60,2016-03-01,大肉姜,3.5
61,2016-03-02,大肉姜,3.3
62,2016-03-03,大肉姜,3.3
63,2016-03-04,大肉姜,3.3
64,2016-03-05,大肉姜,3.3
65,2016-03-06,大肉姜,3.2
66,2016-03-07,大肉姜,3.3
67,2016-03-08,大肉姜,3.3
