,date,name,price
0,2016-01-01,大芋头,4.0
1,2016-01-02,大芋头,4.0
2,2016-01-03,大芋头,4.0
3,2016-01-04,大芋头,4.0
4,2016-01-05,大芋头,4.0
5,2016-01-06,大芋头,4.0
6,2016-01-07,大芋头,4.0
7,2016-01-08,大芋头,4.0
8,2016-01-09,大芋头,4.0
9,2016-01-10,大芋头,4.0
10,2016-01-11,大芋头,4.0
11,2016-01-12,大芋头,4.0
12,2016-01-13,大芋头,4.0
13,2016-01-14,大芋头,4.0
14,2016-01-15,大芋头,4.0
15,2016-01-16,大芋头,4.0
16,2016-01-17,大芋头,4.0
17,2016-01-18,大芋头,4.0
18,2016-01-19,大芋头,4.0
19,2016-01-20,大芋头,4.0
20,2016-01-21,大芋头,4.0
21,2016-01-22,大芋头,4.0
22,2016-01-23,大芋头,4.0
23,2016-01-24,大芋头,4.0
24,2016-01-25,大芋头,4.0
25,2016-01-26,大芋头,4.0
26,2016-01-27,大芋头,4.0
27,2016-01-28,大芋头,4.0
28,2016-01-29,大芋头,4.0
29,2016-01-30,大芋头,4.0
30,2016-01-31,大芋头,4.0
31,2016-02-01,大芋头,4.0
32,2016-02-02,大芋头,4.0
33,2016-02-03,大芋头,3.8
34,2016-02-04,大芋头,3.8
35,2016-02-05,大芋头,3.9
36,2016-02-06,大芋头,3.9
37,2016-02-07,大芋头,4.0
38,2016-02-08,大芋头,4.0
39,2016-02-09,大芋头,4.2
40,2016-02-10,大芋头,4.2
41,2016-02-11,大芋头,4.0
42,2016-02-12,大芋头,4.0
43,2016-02-13,大芋头,3.8
44,2016-02-14,大芋头,3.4
45,2016-02-15,大芋头,3.3
46,2016-02-16,大芋头,3.3
47,2016-02-17,大芋头,3.3
48,2016-02-18,大芋头,3.5
49,2016-02-19,大芋头,3.4
50,2016-02-20,大芋头,3.3
51,2016-02-21,大芋头,3.4
52,2016-02-22,大芋头,3.5
53,2016-02-23,大芋头,3.4
54,2016-02-24,大芋头,3.3
55,2016-02-25,大芋头,3.3
56,2016-02-26,大芋头,3.3
57,2016-02-27,大芋头,3.3
58,2016-02-28,大芋头,3.3
59,2016-02-29,大芋头,3.2
60,2016-03-01,大芋头,3.3
61,2016-03-02,大芋头,3.0
62,2016-03-03,大芋头,3.3
63,2016-03-04,大芋头,3.3
64,2016-03-05,大芋头,3.3
65,2016-03-06,大芋头,3.3
66,2016-03-07,大芋头,3.3
67,2016-03-08,大芋头,3.3
68,2016-03-09,大芋头,3.3
69,2016-03-10,大芋头,3.3
70,2016-03-11,大芋头,3.3
71,2016-03-12,大芋头,3.4
72,2016-03-13,大芋头,3.4
73,2016-03-14,大芋头,3.4
74,2016-03-15,大芋头,3.6
75,2016-03-16,大芋头,3.8
76,2016-03-17,大芋头,4.0
77,2016-03-18,大芋头,3.8
78,2016-03-19,大芋头,3.8
79,2016-03-20,大芋头,3.8
80,2016-03-21,大芋头,3.8
81,2016-03-22,大芋头,3.8
82,2016-03-23,大芋头,3.8
83,2016-03-24,大芋头,3.8
84,2016-03-25,大芋头,3.8
85,2016-03-26,大芋头,3.8
86,2016-03-27,大芋头,3.8
87,2016-03-28,大芋头,3.8
88,2016-03-29,大芋头,3.8
89,2016-03-30,大芋头,3.8
90,2016-03-31,大芋头,3.8
91,2016-04-01,大芋头,3.8
92,2016-04-02,大芋头,3.8
93,2016-04-03,大芋头,3.8
94,2016-04-04,大芋头,3.8
95,2016-04-05,大芋头,3.7
96,2016-04-06,大芋头,3.5
97,2016-04-07,大芋头,3.5
98,2016-04-08,大芋头,3.5
99,2016-04-09,大芋头,3.5
100,2016-04-10,大芋头,3.8
101,2016-04-11,大芋头,4.0
