,date,name,price
0,2016-01-01,娃娃菜,2.2
1,2016-01-02,娃娃菜,2.1
2,2016-01-03,娃娃菜,2.1
3,2016-01-04,娃娃菜,2.4
4,2016-01-05,娃娃菜,2.5
5,2016-01-06,娃娃菜,2.5
6,2016-01-07,娃娃菜,2.5
7,2016-01-08,娃娃菜,3.0
8,2016-01-09,娃娃菜,3.0
9,2016-01-10,娃娃菜,3.0
10,2016-01-11,娃娃菜,3.0
11,2016-01-12,娃娃菜,3.0
12,2016-01-13,娃娃菜,3.3
13,2016-01-14,娃娃菜,3.3
14,2016-01-15,娃娃菜,3.3
15,2016-01-16,娃娃菜,3.3
16,2016-01-17,娃娃菜,3.3
17,2016-01-18,娃娃菜,3.3
18,2016-01-19,娃娃菜,3.3
19,2016-01-20,娃娃菜,3.3
20,2016-01-21,娃娃菜,3.3
21,2016-01-22,娃娃菜,3.3
22,2016-01-23,娃娃菜,3.3
23,2016-01-24,娃娃菜,3.6
24,2016-01-25,娃娃菜,3.6
25,2016-01-26,娃娃菜,3.8
26,2016-01-27,娃娃菜,3.8
27,2016-01-28,娃娃菜,3.8
28,2016-01-29,娃娃菜,3.8
29,2016-01-30,娃娃菜,4.0
30,2016-01-31,娃娃菜,3.6
31,2016-02-01,娃娃菜,3.6
32,2016-02-02,娃娃菜,4.0
33,2016-02-03,娃娃菜,4.1
34,2016-02-04,娃娃菜,4.2
35,2016-02-05,娃娃菜,4.3
36,2016-02-06,娃娃菜,4.4
37,2016-02-07,娃娃菜,4.5
38,2016-02-08,娃娃菜,5.0
39,2016-02-09,娃娃菜,4.8
40,2016-02-10,娃娃菜,5.0
41,2016-02-11,娃娃菜,5.8
42,2016-02-12,娃娃菜,6.2
43,2016-02-13,娃娃菜,6.4
44,2016-02-14,娃娃菜,6.4
45,2016-02-15,娃娃菜,6.2
46,2016-02-16,娃娃菜,6.1
47,2016-02-17,娃娃菜,5.9
48,2016-02-18,娃娃菜,5.9
49,2016-02-19,娃娃菜,6.0
50,2016-02-20,娃娃菜,6.1
51,2016-02-21,娃娃菜,6.0
52,2016-02-22,娃娃菜,5.8
53,2016-02-23,娃娃菜,5.8
54,2016-02-24,娃娃菜,5.5
55,2016-02-25,娃娃菜,5.5
56,2016-02-26,娃娃菜,5.0
57,2016-02-27,娃娃菜,5.5
58,2016-02-28,娃娃菜,5.0
59,2016-02-29,娃娃菜,5.1
60,2016-03-01,娃娃菜,5.0
61,2016-03-02,娃娃菜,5.2
62,2016-03-03,娃娃菜,5.2
63,2016-03-04,娃娃菜,5.2
64,2016-03-05,娃娃菜,5.2
65,2016-03-06,娃娃菜,5.0
66,2016-03-07,娃娃菜,5.2
67,2016-03-08,娃娃菜,5.3
68,2016-03-09,娃娃菜,5.1
69,2016-03-10,娃娃菜,5.0
70,2016-03-11,娃娃菜,5.0
71,2016-03-12,娃娃菜,5.0
72,2016-03-13,娃娃菜,5.0
73,2016-03-14,娃娃菜,5.0
74,2016-03-15,娃娃菜,5.0
75,2016-03-16,娃娃菜,5.0
76,2016-03-17,娃娃菜,4.8
77,2016-03-18,娃娃菜,4.9
78,2016-03-19,娃娃菜,4.9
79,2016-03-20,娃娃菜,4.9
80,2016-03-21,娃娃菜,4.9
81,2016-03-22,娃娃菜,5.0
82,2016-03-23,娃娃菜,5.2
83,2016-03-24,娃娃菜,5.5
84,2016-03-25,娃娃菜,6.0
85,2016-03-26,娃娃菜,6.2
86,2016-03-27,娃娃菜,6.3
87,2016-03-28,娃娃菜,6.3
88,2016-03-29,娃娃菜,6.3
89,2016-03-30,娃娃菜,6.2
90,2016-03-31,娃娃菜,6.0
91,2016-04-01,娃娃菜,6.0
92,2016-04-02,娃娃菜,6.0
93,2016-04-03,娃娃菜,6.0
94,2016-04-04,娃娃菜,6.0
95,2016-04-05,娃娃菜,6.0
96,2016-04-06,娃娃菜,5.6
97,2016-04-07,娃娃菜,5.2
98,2016-04-08,娃娃菜,4.9
99,2016-04-09,娃娃菜,4.5
100,2016-04-10,娃娃菜,4.3
101,2016-04-11,娃娃菜,4.2
102,2016-04-12,娃娃菜,4.0
103,2016-04-13,娃娃菜,3.8
104,2016-04-14,娃娃菜,3.8
105,2016-04-15,娃娃菜,3.8
106,2016-04-16,娃娃菜,3.8
107,2016-04-17,娃娃菜,3.8
108,2016-04-18,娃娃菜,3.7
109,2016-04-19,娃娃菜,3.7
110,2016-04-20,娃娃菜,3.7
111,2016-04-21,娃娃菜,3.7
112,2016-04-22,娃娃菜,3.6
113,2016-04-23,娃娃菜,3.8
114,2016-04-24,娃娃菜,3.9
115,2016-04-25,娃娃菜,3.9
116,2016-04-26,娃娃菜,3.9
117,2016-04-27,娃娃菜,3.9
118,2016-04-28,娃娃菜,3.9
119,2016-04-29,娃娃菜,4.0
120,2016-04-30,娃娃菜,4.0
121,2016-05-01,娃娃菜,4.0
122,2016-05-02,娃娃菜,4.0
123,2016-05-03,娃娃菜,4.1
124,2016-05-04,娃娃菜,4.0
125,2016-05-05,娃娃菜,4.0
126,2016-05-06,娃娃菜,4.0
127,2016-05-07,娃娃菜,4.1
128,2016-05-08,娃娃菜,4.0
129,2016-05-09,娃娃菜,4.0
130,2016-05-10,娃娃菜,4.0
