,date,name,price
0,2016-01-01,小塘白菜,3.6
1,2016-01-02,小塘白菜,3.5
2,2016-01-03,小塘白菜,3.5
3,2016-01-04,小塘白菜,3.6
4,2016-01-05,小塘白菜,3.6
5,2016-01-06,小塘白菜,4.0
6,2016-01-07,小塘白菜,4.0
7,2016-01-08,小塘白菜,3.7
8,2016-01-09,小塘白菜,3.7
9,2016-01-10,小塘白菜,3.7
10,2016-01-11,小塘白菜,4.0
11,2016-01-12,小塘白菜,4.0
12,2016-01-13,小塘白菜,3.5
13,2016-01-14,小塘白菜,3.3
14,2016-01-15,小塘白菜,3.3
15,2016-01-16,小塘白菜,3.3
16,2016-01-17,小塘白菜,3.2
17,2016-01-18,小塘白菜,3.2
18,2016-01-19,小塘白菜,3.2
19,2016-01-20,小塘白菜,3.2
20,2016-01-21,小塘白菜,3.2
21,2016-01-22,小塘白菜,3.2
22,2016-01-23,小塘白菜,3.2
23,2016-01-24,小塘白菜,3.8
24,2016-01-25,小塘白菜,3.8
25,2016-01-26,小塘白菜,4.0
26,2016-01-27,小塘白菜,4.0
27,2016-01-28,小塘白菜,4.2
28,2016-01-29,小塘白菜,4.4
29,2016-01-30,小塘白菜,4.7
30,2016-01-31,小塘白菜,4.9
31,2016-02-01,小塘白菜,5.1
32,2016-02-02,小塘白菜,5.3
33,2016-02-03,小塘白菜,5.3
34,2016-02-04,小塘白菜,5.4
35,2016-02-05,小塘白菜,5.5
36,2016-02-06,小塘白菜,5.5
37,2016-02-07,小塘白菜,5.6
38,2016-02-08,小塘白菜,6.0
39,2016-02-09,小塘白菜,6.3
40,2016-02-10,小塘白菜,6.5
41,2016-02-11,小塘白菜,7.0
42,2016-02-12,小塘白菜,7.3
43,2016-02-13,小塘白菜,7.2
44,2016-02-14,小塘白菜,7.2
45,2016-02-15,小塘白菜,7.2
46,2016-02-16,小塘白菜,7.2
47,2016-02-17,小塘白菜,6.6
48,2016-02-18,小塘白菜,6.0
49,2016-02-19,小塘白菜,5.8
50,2016-02-20,小塘白菜,6.0
51,2016-02-21,小塘白菜,5.8
52,2016-02-22,小塘白菜,5.8
53,2016-02-23,小塘白菜,5.5
54,2016-02-24,小塘白菜,5.2
55,2016-02-25,小塘白菜,5.5
56,2016-02-26,小塘白菜,5.3
57,2016-02-27,小塘白菜,5.5
58,2016-02-28,小塘白菜,5.3
59,2016-02-29,小塘白菜,5.2
60,2016-03-01,小塘白菜,5.3
61,2016-03-02,小塘白菜,5.3
62,2016-03-03,小塘白菜,5.5
63,2016-03-04,小塘白菜,5.5
64,2016-03-05,小塘白菜,5.4
65,2016-03-06,小塘白菜,5.3
66,2016-03-07,小塘白菜,5.4
67,2016-03-08,小塘白菜,5.1
68,2016-03-09,小塘白菜,5.3
69,2016-03-10,小塘白菜,4.9
70,2016-03-11,小塘白菜,4.5
71,2016-03-12,小塘白菜,4.2
72,2016-03-13,小塘白菜,4.2
73,2016-03-14,小塘白菜,4.2
74,2016-03-15,小塘白菜,4.4
75,2016-03-16,小塘白菜,4.3
76,2016-03-17,小塘白菜,4.0
77,2016-03-18,小塘白菜,3.8
78,2016-03-19,小塘白菜,3.6
79,2016-03-20,小塘白菜,3.6
80,2016-03-21,小塘白菜,3.6
81,2016-03-22,小塘白菜,4.0
82,2016-03-23,小塘白菜,4.2
83,2016-03-24,小塘白菜,4.3
84,2016-03-25,小塘白菜,4.3
85,2016-03-26,小塘白菜,4.0
86,2016-03-27,小塘白菜,4.0
87,2016-03-28,小塘白菜,4.0
88,2016-03-29,小塘白菜,4.0
89,2016-03-30,小塘白菜,3.9
90,2016-03-31,小塘白菜,4.2
91,2016-04-01,小塘白菜,4.5
92,2016-04-02,小塘白菜,4.2
93,2016-04-03,小塘白菜,4.2
94,2016-04-04,小塘白菜,4.3
95,2016-04-05,小塘白菜,4.5
96,2016-04-06,小塘白菜,4.3
97,2016-04-07,小塘白菜,4.0
98,2016-04-08,小塘白菜,3.8
99,2016-04-09,小塘白菜,3.5
100,2016-04-10,小塘白菜,3.2
101,2016-04-11,小塘白菜,3.0
102,2016-04-12,小塘白菜,3.0
103,2016-04-13,小塘白菜,3.1
104,2016-04-14,小塘白菜,3.0
105,2016-04-15,小塘白菜,3.0
106,2016-04-16,小塘白菜,3.0
