,date,name,price
0,2016-01-01,日本豆腐,7.6
1,2016-01-02,日本豆腐,7.6
2,2016-01-03,日本豆腐,7.6
3,2016-01-04,日本豆腐,7.6
4,2016-01-05,日本豆腐,7.6
5,2016-01-06,日本豆腐,7.6
6,2016-01-07,日本豆腐,7.6
7,2016-01-08,日本豆腐,7.6
8,2016-01-09,日本豆腐,7.6
9,2016-01-10,日本豆腐,7.6
10,2016-01-11,日本豆腐,7.6
11,2016-01-12,日本豆腐,7.6
12,2016-01-13,日本豆腐,7.6
13,2016-01-14,日本豆腐,7.6
14,2016-01-15,日本豆腐,7.6
15,2016-01-16,日本豆腐,7.6
16,2016-01-17,日本豆腐,7.6
17,2016-01-18,日本豆腐,7.6
18,2016-01-19,日本豆腐,7.6
19,2016-01-20,日本豆腐,7.6
20,2016-01-21,日本豆腐,7.3
21,2016-01-22,日本豆腐,7.0
22,2016-01-23,日本豆腐,6.7
23,2016-01-24,日本豆腐,6.7
24,2016-01-25,日本豆腐,6.7
25,2016-01-26,日本豆腐,6.7
26,2016-01-27,日本豆腐,6.5
27,2016-01-28,日本豆腐,6.3
28,2016-01-29,日本豆腐,6.3
29,2016-01-30,日本豆腐,6.3
30,2016-01-31,日本豆腐,6.0
31,2016-02-01,日本豆腐,6.0
32,2016-02-02,日本豆腐,6.0
33,2016-02-03,日本豆腐,6.0
34,2016-02-04,日本豆腐,6.0
35,2016-02-05,日本豆腐,6.0
36,2016-02-06,日本豆腐,6.0
37,2016-02-07,日本豆腐,6.0
38,2016-02-08,日本豆腐,6.0
39,2016-02-09,日本豆腐,6.1
40,2016-02-10,日本豆腐,6.1
41,2016-02-11,日本豆腐,6.0
42,2016-02-12,日本豆腐,6.0
43,2016-02-13,日本豆腐,5.5
44,2016-02-14,日本豆腐,5.5
45,2016-02-15,日本豆腐,5.5
46,2016-02-16,日本豆腐,5.5
47,2016-02-17,日本豆腐,5.5
48,2016-02-18,日本豆腐,5.3
49,2016-02-19,日本豆腐,5.5
50,2016-02-20,日本豆腐,5.5
51,2016-02-21,日本豆腐,5.5
52,2016-02-22,日本豆腐,5.5
53,2016-02-23,日本豆腐,5.5
54,2016-02-24,日本豆腐,5.3
55,2016-02-25,日本豆腐,5.3
56,2016-02-26,日本豆腐,5.3
57,2016-02-27,日本豆腐,5.3
58,2016-02-28,日本豆腐,5.3
59,2016-02-29,日本豆腐,5.3
60,2016-03-01,日本豆腐,5.3
61,2016-03-02,日本豆腐,5.3
62,2016-03-03,日本豆腐,5.3
63,2016-03-04,日本豆腐,5.3
64,2016-03-05,日本豆腐,5.3
65,2016-03-06,日本豆腐,5.0
66,2016-03-07,日本豆腐,5.0
67,2016-03-08,日本豆腐,5.0
68,2016-03-09,日本豆腐,5.0
69,2016-03-10,日本豆腐,5.0
70,2016-03-11,日本豆腐,5.0
71,2016-03-12,日本豆腐,5.0
72,2016-03-13,日本豆腐,5.0
73,2016-03-14,日本豆腐,5.0
74,2016-03-15,日本豆腐,5.0
75,2016-03-16,日本豆腐,5.0
76,2016-03-17,日本豆腐,5.0
77,2016-03-18,日本豆腐,5.0
78,2016-03-19,日本豆腐,5.0
79,2016-03-20,日本豆腐,5.0
80,2016-03-21,日本豆腐,5.0
81,2016-03-22,日本豆腐,5.0
82,2016-03-23,日本豆腐,5.0
83,2016-03-24,日本豆腐,5.0
84,2016-03-25,日本豆腐,5.0
85,2016-03-26,日本豆腐,5.0
86,2016-03-27,日本豆腐,5.0
87,2016-03-28,日本豆腐,5.0
88,2016-03-29,日本豆腐,5.0
89,2016-03-30,日本豆腐,5.0
90,2016-03-31,日本豆腐,5.0
91,2016-04-01,日本豆腐,5.0
92,2016-04-02,日本豆腐,5.0
93,2016-04-03,日本豆腐,5.0
94,2016-04-04,日本豆腐,5.0
95,2016-04-05,日本豆腐,5.0
96,2016-04-06,日本豆腐,5.0
97,2016-04-07,日本豆腐,5.0
98,2016-04-08,日本豆腐,5.0
99,2016-04-09,日本豆腐,5.2
100,2016-04-10,日本豆腐,5.2
101,2016-04-11,日本豆腐,5.2
102,2016-04-12,日本豆腐,5.2
103,2016-04-13,日本豆腐,5.0
104,2016-04-14,日本豆腐,5.0
105,2016-04-15,日本豆腐,5.0
106,2016-04-16,日本豆腐,5.0
107,2016-04-17,日本豆腐,5.0
108,2016-04-18,日本豆腐,5.0
109,2016-04-19,日本豆腐,5.0
110,2016-04-20,日本豆腐,5.0
111,2016-04-21,日本豆腐,5.0
112,2016-04-22,日本豆腐,5.0
113,2016-04-23,日本豆腐,5.0
114,2016-04-24,日本豆腐,5.0
115,2016-04-25,日本豆腐,5.0
116,2016-04-26,日本豆腐,5.0
117,2016-04-27,日本豆腐,5.0
118,2016-04-28,日本豆腐,5.0
119,2016-04-29,日本豆腐,5.0
120,2016-04-30,日本豆腐,5.0
121,2016-05-01,日本豆腐,5.0
122,2016-05-02,日本豆腐,5.0
123,2016-05-03,日本豆腐,4.8
124,2016-05-04,日本豆腐,5.0
125,2016-05-05,日本豆腐,5.0
126,2016-05-06,日本豆腐,5.0
127,2016-05-07,日本豆腐,4.8
128,2016-05-08,日本豆腐,4.8
129,2016-05-09,日本豆腐,5.0
130,2016-05-10,日本豆腐,5.0
131,2016-05-11,日本豆腐,4.8
132,2016-05-12,日本豆腐,6.0
133,2016-05-13,日本豆腐,5.8
134,2016-05-14,日本豆腐,6.0
135,2016-05-15,日本豆腐,6.0
136,2016-05-16,日本豆腐,5.8
137,2016-05-17,日本豆腐,5.8
138,2016-05-18,日本豆腐,5.8
139,2016-05-19,日本豆腐,5.8
140,2016-05-20,日本豆腐,5.8
141,2016-05-21,日本豆腐,5.8
142,2016-05-22,日本豆腐,5.8
143,2016-05-23,日本豆腐,5.8
144,2016-05-24,日本豆腐,5.8
145,2016-05-25,日本豆腐,5.8
146,2016-05-26,日本豆腐,5.8
147,2016-05-27,日本豆腐,5.8
148,2016-05-28,日本豆腐,5.8
149,2016-05-29,日本豆腐,5.8
150,2016-05-30,日本豆腐,5.8
151,2016-05-31,日本豆腐,5.8
152,2016-06-01,日本豆腐,5.8
153,2016-06-02,日本豆腐,5.6
154,2016-06-03,日本豆腐,5.6
155,2016-06-04,日本豆腐,5.6
156,2016-06-05,日本豆腐,5.6
157,2016-06-06,日本豆腐,5.6
158,2016-06-07,日本豆腐,5.6
159,2016-06-08,日本豆腐,5.6
160,2016-06-09,日本豆腐,4.8
161,2016-06-10,日本豆腐,4.7
162,2016-06-11,日本豆腐,4.7
163,2016-06-12,日本豆腐,4.5
164,2016-06-13,日本豆腐,4.8
165,2016-06-14,日本豆腐,4.8
166,2016-06-15,日本豆腐,4.8
167,2016-06-16,日本豆腐,4.7
168,2016-06-17,日本豆腐,4.7
169,2016-06-18,日本豆腐,4.7
170,2016-06-19,日本豆腐,4.7
171,2016-06-20,日本豆腐,4.7
172,2016-06-21,日本豆腐,4.8
173,2016-06-22,日本豆腐,4.8
174,2016-06-23,日本豆腐,4.8
175,2016-06-24,日本豆腐,4.8
176,2016-06-25,日本豆腐,4.8
177,2016-06-26,日本豆腐,4.8
178,2016-06-27,日本豆腐,4.8
179,2016-06-28,日本豆腐,4.8
180,2016-06-29,日本豆腐,4.8
181,2016-06-30,日本豆腐,4.8
182,2016-07-01,日本豆腐,4.8
183,2016-07-02,日本豆腐,4.8
184,2016-07-03,日本豆腐,4.8
185,2016-07-04,日本豆腐,4.8
186,2016-07-05,日本豆腐,4.8
187,2016-07-06,日本豆腐,4.8
188,2016-07-07,日本豆腐,5.0
189,2016-07-08,日本豆腐,5.0
190,2016-07-09,日本豆腐,5.0
191,2016-07-10,日本豆腐,5.0
192,2016-07-11,日本豆腐,5.0
193,2016-07-12,日本豆腐,5.0
194,2016-07-13,日本豆腐,5.0
195,2016-07-14,日本豆腐,5.0
196,2016-07-15,日本豆腐,5.0
197,2016-07-16,日本豆腐,5.0
198,2016-07-17,日本豆腐,5.0
199,2016-07-18,日本豆腐,5.0
200,2016-07-19,日本豆腐,5.0
201,2016-07-20,日本豆腐,5.0
202,2016-07-21,日本豆腐,5.0
203,2016-07-22,日本豆腐,5.0
204,2016-07-23,日本豆腐,5.1
205,2016-07-24,日本豆腐,5.1
206,2016-07-25,日本豆腐,5.0
207,2016-07-26,日本豆腐,5.0
208,2016-07-27,日本豆腐,5.0
209,2016-07-28,日本豆腐,5.0
210,2016-07-29,日本豆腐,5.0
211,2016-07-30,日本豆腐,5.0
212,2016-07-31,日本豆腐,5.0
213,2016-08-01,日本豆腐,5.0
214,2016-08-02,日本豆腐,4.9
215,2016-08-03,日本豆腐,5.1
216,2016-08-04,日本豆腐,5.0
217,2016-08-05,日本豆腐,4.8
