,date,name,price
0,2016-01-01,本地芹菜,3.4
1,2016-01-02,本地芹菜,3.5
2,2016-01-03,本地芹菜,3.5
3,2016-01-04,本地芹菜,3.5
4,2016-01-05,本地芹菜,3.5
5,2016-01-06,本地芹菜,3.2
6,2016-01-07,本地芹菜,3.0
7,2016-01-08,本地芹菜,3.2
8,2016-01-09,本地芹菜,3.2
9,2016-01-10,本地芹菜,3.2
10,2016-01-11,本地芹菜,3.0
11,2016-01-12,本地芹菜,3.2
12,2016-01-13,本地芹菜,4.0
13,2016-01-14,本地芹菜,3.7
14,2016-01-15,本地芹菜,3.3
15,2016-01-16,本地芹菜,3.3
16,2016-01-17,本地芹菜,4.0
17,2016-01-18,本地芹菜,4.0
18,2016-01-19,本地芹菜,3.8
19,2016-01-20,本地芹菜,3.6
20,2016-01-21,本地芹菜,3.8
21,2016-01-22,本地芹菜,3.8
22,2016-01-23,本地芹菜,3.8
23,2016-01-24,本地芹菜,3.8
24,2016-01-25,本地芹菜,3.8
25,2016-01-26,本地芹菜,4.1
26,2016-01-27,本地芹菜,4.5
27,2016-01-28,本地芹菜,4.7
28,2016-01-29,本地芹菜,4.9
29,2016-01-30,本地芹菜,5.1
30,2016-01-31,本地芹菜,5.3
31,2016-02-01,本地芹菜,5.5
32,2016-02-02,本地芹菜,5.7
33,2016-02-03,本地芹菜,5.6
34,2016-02-04,本地芹菜,5.2
35,2016-02-05,本地芹菜,4.9
36,2016-02-06,本地芹菜,4.6
37,2016-02-07,本地芹菜,4.2
38,2016-02-08,本地芹菜,5.5
39,2016-02-09,本地芹菜,5.4
40,2016-02-10,本地芹菜,5.0
41,2016-02-11,本地芹菜,4.6
42,2016-02-12,本地芹菜,5.0
43,2016-02-13,本地芹菜,5.0
44,2016-02-14,本地芹菜,5.0
45,2016-02-15,本地芹菜,5.0
46,2016-02-16,本地芹菜,5.0
47,2016-02-17,本地芹菜,5.0
48,2016-02-18,本地芹菜,5.6
49,2016-02-19,本地芹菜,6.0
50,2016-02-20,本地芹菜,6.5
51,2016-02-21,本地芹菜,6.0
52,2016-02-22,本地芹菜,6.3
53,2016-02-23,本地芹菜,7.0
54,2016-02-24,本地芹菜,8.0
55,2016-02-25,本地芹菜,8.0
56,2016-02-26,本地芹菜,7.0
57,2016-02-27,本地芹菜,8.0
58,2016-02-28,本地芹菜,7.0
59,2016-02-29,本地芹菜,7.5
60,2016-03-01,本地芹菜,7.0
61,2016-03-02,本地芹菜,7.3
62,2016-03-03,本地芹菜,7.5
63,2016-03-04,本地芹菜,7.7
64,2016-03-05,本地芹菜,8.0
