,date,name,price
0,2016-01-01,本地菜心,6.0
1,2016-01-02,本地菜心,6.0
2,2016-01-03,本地菜心,6.0
3,2016-01-04,本地菜心,6.0
4,2016-01-05,本地菜心,6.0
5,2016-01-06,本地菜心,5.0
6,2016-01-07,本地菜心,5.0
7,2016-01-08,本地菜心,5.0
8,2016-01-09,本地菜心,5.0
9,2016-01-10,本地菜心,5.0
10,2016-01-11,本地菜心,5.0
11,2016-01-12,本地菜心,5.0
12,2016-01-13,本地菜心,5.0
13,2016-01-14,本地菜心,5.0
14,2016-01-15,本地菜心,5.0
15,2016-01-16,本地菜心,5.0
16,2016-01-17,本地菜心,5.0
17,2016-01-18,本地菜心,5.0
18,2016-01-19,本地菜心,5.0
19,2016-01-20,本地菜心,5.3
20,2016-01-21,本地菜心,5.5
21,2016-01-22,本地菜心,5.6
22,2016-01-23,本地菜心,5.7
23,2016-01-24,本地菜心,8.0
24,2016-01-25,本地菜心,8.0
25,2016-01-26,本地菜心,8.3
26,2016-01-27,本地菜心,8.8
27,2016-01-28,本地菜心,9.5
28,2016-01-29,本地菜心,10.2
29,2016-01-30,本地菜心,10.8
30,2016-01-31,本地菜心,13.0
31,2016-02-01,本地菜心,13.0
32,2016-02-02,本地菜心,14.0
33,2016-02-03,本地菜心,15.0
34,2016-02-04,本地菜心,15.3
35,2016-02-05,本地菜心,15.6
36,2016-02-06,本地菜心,15.9
37,2016-02-07,本地菜心,16.2
38,2016-02-08,本地菜心,17.5
39,2016-02-09,本地菜心,17.3
40,2016-02-10,本地菜心,17.0
41,2016-02-11,本地菜心,16.0
42,2016-02-12,本地菜心,16.0
43,2016-02-13,本地菜心,16.0
44,2016-02-14,本地菜心,16.0
45,2016-02-15,本地菜心,12.5
46,2016-02-16,本地菜心,9.0
47,2016-02-17,本地菜心,8.0
48,2016-02-18,本地菜心,8.0
49,2016-02-19,本地菜心,8.2
50,2016-02-20,本地菜心,7.8
51,2016-02-21,本地菜心,7.5
52,2016-02-22,本地菜心,6.5
53,2016-02-23,本地菜心,6.5
54,2016-02-24,本地菜心,6.3
55,2016-02-25,本地菜心,6.5
56,2016-02-26,本地菜心,7.0
57,2016-02-27,本地菜心,6.5
58,2016-02-28,本地菜心,7.0
59,2016-02-29,本地菜心,7.2
60,2016-03-01,本地菜心,7.0
61,2016-03-02,本地菜心,7.3
62,2016-03-03,本地菜心,7.5
63,2016-03-04,本地菜心,7.7
64,2016-03-05,本地菜心,8.0
65,2016-03-06,本地菜心,8.5
66,2016-03-07,本地菜心,8.7
67,2016-03-08,本地菜心,9.0
68,2016-03-09,本地菜心,9.2
69,2016-03-10,本地菜心,9.5
70,2016-03-11,本地菜心,9.2
