,date,name,price
0,2016-01-01,椰菜,1.1
1,2016-01-02,椰菜,1.0
2,2016-01-03,椰菜,1.0
3,2016-01-04,椰菜,1.0
4,2016-01-05,椰菜,1.0
5,2016-01-06,椰菜,1.0
6,2016-01-07,椰菜,1.0
7,2016-01-08,椰菜,1.0
8,2016-01-09,椰菜,1.0
9,2016-01-10,椰菜,1.0
10,2016-01-11,椰菜,1.0
11,2016-01-12,椰菜,1.0
12,2016-01-13,椰菜,1.1
13,2016-01-14,椰菜,1.1
14,2016-01-15,椰菜,1.1
15,2016-01-16,椰菜,1.1
16,2016-01-17,椰菜,1.1
17,2016-01-18,椰菜,1.1
18,2016-01-19,椰菜,1.1
19,2016-01-20,椰菜,1.1
20,2016-01-21,椰菜,1.1
21,2016-01-22,椰菜,1.1
22,2016-01-23,椰菜,1.1
23,2016-01-24,椰菜,1.3
24,2016-01-25,椰菜,1.3
25,2016-01-26,椰菜,1.3
26,2016-01-27,椰菜,1.3
27,2016-01-28,椰菜,1.5
28,2016-01-29,椰菜,1.5
29,2016-01-30,椰菜,1.5
30,2016-01-31,椰菜,1.4
31,2016-02-01,椰菜,1.3
32,2016-02-02,椰菜,1.8
33,2016-02-03,椰菜,1.8
34,2016-02-04,椰菜,1.9
35,2016-02-05,椰菜,2.0
36,2016-02-06,椰菜,2.2
37,2016-02-07,椰菜,2.3
38,2016-02-08,椰菜,2.7
39,2016-02-09,椰菜,2.6
40,2016-02-10,椰菜,2.6
41,2016-02-11,椰菜,3.4
42,2016-02-12,椰菜,3.4
43,2016-02-13,椰菜,3.3
44,2016-02-14,椰菜,3.1
45,2016-02-15,椰菜,3.0
46,2016-02-16,椰菜,2.8
47,2016-02-17,椰菜,2.6
48,2016-02-18,椰菜,2.6
49,2016-02-19,椰菜,2.5
50,2016-02-20,椰菜,2.3
51,2016-02-21,椰菜,2.5
52,2016-02-22,椰菜,2.6
53,2016-02-23,椰菜,2.2
54,2016-02-24,椰菜,2.1
55,2016-02-25,椰菜,2.0
56,2016-02-26,椰菜,2.3
57,2016-02-27,椰菜,2.0
58,2016-02-28,椰菜,2.3
59,2016-02-29,椰菜,2.5
60,2016-03-01,椰菜,2.3
61,2016-03-02,椰菜,2.5
62,2016-03-03,椰菜,2.7
63,2016-03-04,椰菜,2.6
64,2016-03-05,椰菜,2.6
65,2016-03-06,椰菜,2.6
66,2016-03-07,椰菜,2.6
67,2016-03-08,椰菜,2.8
68,2016-03-09,椰菜,2.8
69,2016-03-10,椰菜,2.6
70,2016-03-11,椰菜,2.6
71,2016-03-12,椰菜,2.7
72,2016-03-13,椰菜,2.6
73,2016-03-14,椰菜,2.6
74,2016-03-15,椰菜,2.8
75,2016-03-16,椰菜,2.8
76,2016-03-17,椰菜,3.0
77,2016-03-18,椰菜,3.0
78,2016-03-19,椰菜,3.0
79,2016-03-20,椰菜,3.0
80,2016-03-21,椰菜,3.0
81,2016-03-22,椰菜,3.1
82,2016-03-23,椰菜,3.2
83,2016-03-24,椰菜,3.2
84,2016-03-25,椰菜,3.2
85,2016-03-26,椰菜,3.2
86,2016-03-27,椰菜,3.2
87,2016-03-28,椰菜,3.2
88,2016-03-29,椰菜,3.2
89,2016-03-30,椰菜,3.2
90,2016-03-31,椰菜,3.6
91,2016-04-01,椰菜,3.6
92,2016-04-02,椰菜,3.6
93,2016-04-03,椰菜,3.6
94,2016-04-04,椰菜,3.5
95,2016-04-05,椰菜,3.5
96,2016-04-06,椰菜,3.5
97,2016-04-07,椰菜,3.5
98,2016-04-08,椰菜,3.2
99,2016-04-09,椰菜,3.0
100,2016-04-10,椰菜,2.8
101,2016-04-11,椰菜,2.8
102,2016-04-12,椰菜,2.8
103,2016-04-13,椰菜,2.8
104,2016-04-14,椰菜,2.5
105,2016-04-15,椰菜,2.5
106,2016-04-16,椰菜,2.3
107,2016-04-17,椰菜,2.3
108,2016-04-18,椰菜,2.4
109,2016-04-19,椰菜,2.4
110,2016-04-20,椰菜,2.4
111,2016-04-21,椰菜,2.0
112,2016-04-22,椰菜,2.2
113,2016-04-23,椰菜,2.1
114,2016-04-24,椰菜,2.1
115,2016-04-25,椰菜,2.0
116,2016-04-26,椰菜,2.0
117,2016-04-27,椰菜,2.0
118,2016-04-28,椰菜,1.5
119,2016-04-29,椰菜,1.5
120,2016-04-30,椰菜,1.5
121,2016-05-01,椰菜,1.5
122,2016-05-02,椰菜,1.5
123,2016-05-03,椰菜,1.4
124,2016-05-04,椰菜,1.5
125,2016-05-05,椰菜,1.5
126,2016-05-06,椰菜,1.5
127,2016-05-07,椰菜,1.4
128,2016-05-08,椰菜,1.4
129,2016-05-09,椰菜,1.5
130,2016-05-10,椰菜,1.5
131,2016-05-11,椰菜,1.4
132,2016-05-12,椰菜,1.5
133,2016-05-13,椰菜,1.4
134,2016-05-14,椰菜,1.5
135,2016-05-15,椰菜,1.4
136,2016-05-16,椰菜,1.4
137,2016-05-17,椰菜,1.3
138,2016-05-18,椰菜,1.3
139,2016-05-19,椰菜,1.3
140,2016-05-20,椰菜,1.3
141,2016-05-21,椰菜,1.3
142,2016-05-22,椰菜,1.3
143,2016-05-23,椰菜,1.3
144,2016-05-24,椰菜,1.2
145,2016-05-25,椰菜,1.2
146,2016-05-26,椰菜,1.2
147,2016-05-27,椰菜,1.1
148,2016-05-28,椰菜,1.2
149,2016-05-29,椰菜,1.3
150,2016-05-30,椰菜,1.2
151,2016-05-31,椰菜,1.2
152,2016-06-01,椰菜,1.2
153,2016-06-02,椰菜,1.2
154,2016-06-03,椰菜,1.1
155,2016-06-04,椰菜,1.3
156,2016-06-05,椰菜,1.3
157,2016-06-06,椰菜,1.3
158,2016-06-07,椰菜,1.3
159,2016-06-08,椰菜,1.2
160,2016-06-09,椰菜,1.1
161,2016-06-10,椰菜,1.2
162,2016-06-11,椰菜,1.3
163,2016-06-12,椰菜,1.2
164,2016-06-13,椰菜,1.2
165,2016-06-14,椰菜,1.2
166,2016-06-15,椰菜,1.2
167,2016-06-16,椰菜,1.2
168,2016-06-17,椰菜,1.1
169,2016-06-18,椰菜,1.1
170,2016-06-19,椰菜,1.1
171,2016-06-20,椰菜,1.1
172,2016-06-21,椰菜,1.1
173,2016-06-22,椰菜,1.1
174,2016-06-23,椰菜,1.1
175,2016-06-24,椰菜,1.0
176,2016-06-25,椰菜,1.0
177,2016-06-26,椰菜,1.0
178,2016-06-27,椰菜,1.0
179,2016-06-28,椰菜,1.0
180,2016-06-29,椰菜,1.0
181,2016-06-30,椰菜,1.2
182,2016-07-01,椰菜,1.3
183,2016-07-02,椰菜,1.3
184,2016-07-03,椰菜,1.3
185,2016-07-04,椰菜,1.3
186,2016-07-05,椰菜,1.3
187,2016-07-06,椰菜,1.3
188,2016-07-07,椰菜,1.3
189,2016-07-08,椰菜,1.3
