,date,name,price
0,2016-01-01,椰菜花,2.6
1,2016-01-02,椰菜花,2.8
2,2016-01-03,椰菜花,3.0
3,2016-01-04,椰菜花,3.0
4,2016-01-05,椰菜花,3.0
5,2016-01-06,椰菜花,3.0
6,2016-01-07,椰菜花,3.0
7,2016-01-08,椰菜花,2.6
8,2016-01-09,椰菜花,2.6
9,2016-01-10,椰菜花,2.2
10,2016-01-11,椰菜花,2.6
11,2016-01-12,椰菜花,2.3
12,2016-01-13,椰菜花,2.6
13,2016-01-14,椰菜花,2.6
14,2016-01-15,椰菜花,3.0
15,2016-01-16,椰菜花,3.0
16,2016-01-17,椰菜花,2.9
17,2016-01-18,椰菜花,2.9
18,2016-01-19,椰菜花,2.9
19,2016-01-20,椰菜花,2.9
20,2016-01-21,椰菜花,3.0
21,2016-01-22,椰菜花,3.0
22,2016-01-23,椰菜花,3.0
23,2016-01-24,椰菜花,3.4
24,2016-01-25,椰菜花,3.4
25,2016-01-26,椰菜花,3.4
26,2016-01-27,椰菜花,3.4
27,2016-01-28,椰菜花,3.7
28,2016-01-29,椰菜花,3.7
29,2016-01-30,椰菜花,3.7
30,2016-01-31,椰菜花,3.5
31,2016-02-01,椰菜花,3.5
32,2016-02-02,椰菜花,3.6
33,2016-02-03,椰菜花,3.6
34,2016-02-04,椰菜花,3.7
35,2016-02-05,椰菜花,3.8
36,2016-02-06,椰菜花,3.8
37,2016-02-07,椰菜花,3.9
38,2016-02-08,椰菜花,4.5
39,2016-02-09,椰菜花,4.4
40,2016-02-10,椰菜花,4.8
41,2016-02-11,椰菜花,5.5
42,2016-02-12,椰菜花,6.0
43,2016-02-13,椰菜花,5.8
44,2016-02-14,椰菜花,6.0
45,2016-02-15,椰菜花,6.2
46,2016-02-16,椰菜花,6.3
47,2016-02-17,椰菜花,6.6
48,2016-02-18,椰菜花,6.9
49,2016-02-19,椰菜花,6.8
50,2016-02-20,椰菜花,6.5
51,2016-02-21,椰菜花,6.8
52,2016-02-22,椰菜花,7.0
53,2016-02-23,椰菜花,6.8
54,2016-02-24,椰菜花,7.0
55,2016-02-25,椰菜花,7.0
56,2016-02-26,椰菜花,6.5
57,2016-02-27,椰菜花,7.0
58,2016-02-28,椰菜花,6.5
59,2016-02-29,椰菜花,6.3
60,2016-03-01,椰菜花,6.5
61,2016-03-02,椰菜花,6.6
62,2016-03-03,椰菜花,6.5
63,2016-03-04,椰菜花,6.6
64,2016-03-05,椰菜花,6.4
65,2016-03-06,椰菜花,6.2
66,2016-03-07,椰菜花,6.2
67,2016-03-08,椰菜花,5.9
68,2016-03-09,椰菜花,5.6
69,2016-03-10,椰菜花,5.2
70,2016-03-11,椰菜花,5.1
71,2016-03-12,椰菜花,5.3
72,2016-03-13,椰菜花,5.2
73,2016-03-14,椰菜花,5.2
74,2016-03-15,椰菜花,5.3
75,2016-03-16,椰菜花,5.3
76,2016-03-17,椰菜花,5.3
77,2016-03-18,椰菜花,5.3
78,2016-03-19,椰菜花,5.3
