,date,name,price
0,2016-01-01,槟芋,2.9
1,2016-01-02,槟芋,2.9
2,2016-01-03,槟芋,2.9
3,2016-01-04,槟芋,2.9
4,2016-01-05,槟芋,2.9
5,2016-01-06,槟芋,2.9
6,2016-01-07,槟芋,2.9
7,2016-01-08,槟芋,2.9
8,2016-01-09,槟芋,2.9
9,2016-01-10,槟芋,2.9
10,2016-01-11,槟芋,2.9
11,2016-01-12,槟芋,2.9
12,2016-01-13,槟芋,2.6
13,2016-01-14,槟芋,2.6
14,2016-01-15,槟芋,2.6
15,2016-01-16,槟芋,2.6
16,2016-01-17,槟芋,2.6
17,2016-01-18,槟芋,2.6
18,2016-01-19,槟芋,2.6
19,2016-01-20,槟芋,2.6
20,2016-01-21,槟芋,2.6
21,2016-01-22,槟芋,2.6
22,2016-01-23,槟芋,2.6
23,2016-01-24,槟芋,2.6
24,2016-01-25,槟芋,2.6
25,2016-01-26,槟芋,2.6
26,2016-01-27,槟芋,2.6
27,2016-01-28,槟芋,2.6
28,2016-01-29,槟芋,2.6
29,2016-01-30,槟芋,2.6
30,2016-01-31,槟芋,2.6
31,2016-02-01,槟芋,2.6
32,2016-02-02,槟芋,2.5
33,2016-02-03,槟芋,2.5
34,2016-02-04,槟芋,2.5
35,2016-02-05,槟芋,2.5
36,2016-02-06,槟芋,2.6
37,2016-02-07,槟芋,2.6
38,2016-02-08,槟芋,2.6
39,2016-02-09,槟芋,2.8
40,2016-02-10,槟芋,3.0
41,2016-02-11,槟芋,2.8
42,2016-02-12,槟芋,2.8
43,2016-02-13,槟芋,2.8
44,2016-02-14,槟芋,2.7
45,2016-02-15,槟芋,2.7
46,2016-02-16,槟芋,2.7
47,2016-02-17,槟芋,2.6
48,2016-02-18,槟芋,2.2
49,2016-02-19,槟芋,2.0
50,2016-02-20,槟芋,2.1
51,2016-02-21,槟芋,2.0
52,2016-02-22,槟芋,2.0
53,2016-02-23,槟芋,2.2
54,2016-02-24,槟芋,2.4
55,2016-02-25,槟芋,2.4
56,2016-02-26,槟芋,2.4
57,2016-02-27,槟芋,2.4
58,2016-02-28,槟芋,2.4
59,2016-02-29,槟芋,2.4
60,2016-03-01,槟芋,2.4
61,2016-03-02,槟芋,2.2
62,2016-03-03,槟芋,2.0
63,2016-03-04,槟芋,1.7
64,2016-03-05,槟芋,1.5
65,2016-03-06,槟芋,1.5
66,2016-03-07,槟芋,1.5
67,2016-03-08,槟芋,1.6
68,2016-03-09,槟芋,1.6
69,2016-03-10,槟芋,1.7
70,2016-03-11,槟芋,1.7
71,2016-03-12,槟芋,1.6
72,2016-03-13,槟芋,1.6
73,2016-03-14,槟芋,1.6
74,2016-03-15,槟芋,1.7
75,2016-03-16,槟芋,1.7
76,2016-03-17,槟芋,2.0
77,2016-03-18,槟芋,1.8
78,2016-03-19,槟芋,1.8
79,2016-03-20,槟芋,1.8
80,2016-03-21,槟芋,1.7
81,2016-03-22,槟芋,2.0
82,2016-03-23,槟芋,1.8
83,2016-03-24,槟芋,2.0
84,2016-03-25,槟芋,1.8
85,2016-03-26,槟芋,2.0
86,2016-03-27,槟芋,2.2
87,2016-03-28,槟芋,2.1
88,2016-03-29,槟芋,2.1
89,2016-03-30,槟芋,2.0
90,2016-03-31,槟芋,2.2
91,2016-04-01,槟芋,2.2
92,2016-04-02,槟芋,2.1
93,2016-04-03,槟芋,2.1
94,2016-04-04,槟芋,2.0
95,2016-04-05,槟芋,2.0
96,2016-04-06,槟芋,2.0
97,2016-04-07,槟芋,1.9
98,2016-04-08,槟芋,2.0
99,2016-04-09,槟芋,2.2
100,2016-04-10,槟芋,2.2
101,2016-04-11,槟芋,2.4
102,2016-04-12,槟芋,2.4
103,2016-04-13,槟芋,2.4
104,2016-04-14,槟芋,2.2
105,2016-04-15,槟芋,2.2
106,2016-04-16,槟芋,2.0
107,2016-04-17,槟芋,2.0
108,2016-04-18,槟芋,2.0
109,2016-04-19,槟芋,2.0
110,2016-04-20,槟芋,2.0
111,2016-04-21,槟芋,2.0
112,2016-04-22,槟芋,2.2
113,2016-04-23,槟芋,2.1
114,2016-04-24,槟芋,2.1
115,2016-04-25,槟芋,2.1
116,2016-04-26,槟芋,2.1
117,2016-04-27,槟芋,2.1
118,2016-04-28,槟芋,2.1
119,2016-04-29,槟芋,2.1
120,2016-04-30,槟芋,2.1
121,2016-05-01,槟芋,2.1
122,2016-05-02,槟芋,2.1
123,2016-05-03,槟芋,2.2
124,2016-05-04,槟芋,2.1
125,2016-05-05,槟芋,2.1
126,2016-05-06,槟芋,2.1
127,2016-05-07,槟芋,2.2
128,2016-05-08,槟芋,2.6
129,2016-05-09,槟芋,2.1
130,2016-05-10,槟芋,2.1
131,2016-05-11,槟芋,2.6
132,2016-05-12,槟芋,2.1
133,2016-05-13,槟芋,2.6
134,2016-05-14,槟芋,2.1
135,2016-05-15,槟芋,2.6
136,2016-05-16,槟芋,2.6
137,2016-05-17,槟芋,2.8
138,2016-05-18,槟芋,2.9
139,2016-05-19,槟芋,2.7
140,2016-05-20,槟芋,2.7
141,2016-05-21,槟芋,2.7
142,2016-05-22,槟芋,2.7
143,2016-05-23,槟芋,2.7
144,2016-05-24,槟芋,2.7
145,2016-05-25,槟芋,2.7
146,2016-05-26,槟芋,2.7
147,2016-05-27,槟芋,2.7
148,2016-05-28,槟芋,2.5
149,2016-05-29,槟芋,2.5
150,2016-05-30,槟芋,2.7
151,2016-05-31,槟芋,2.6
152,2016-06-01,槟芋,2.6
153,2016-06-02,槟芋,2.7
154,2016-06-03,槟芋,2.7
155,2016-06-04,槟芋,2.5
156,2016-06-05,槟芋,2.5
157,2016-06-06,槟芋,1.8
158,2016-06-07,槟芋,2.2
159,2016-06-08,槟芋,3.0
160,2016-06-09,槟芋,3.4
161,2016-06-10,槟芋,3.6
162,2016-06-11,槟芋,3.8
163,2016-06-12,槟芋,4.0
164,2016-06-13,槟芋,4.0
165,2016-06-14,槟芋,4.1
166,2016-06-15,槟芋,4.2
167,2016-06-16,槟芋,4.3
168,2016-06-17,槟芋,4.5
169,2016-06-18,槟芋,4.8
170,2016-06-19,槟芋,4.8
171,2016-06-20,槟芋,4.8
172,2016-06-21,槟芋,5.0
173,2016-06-22,槟芋,5.0
174,2016-06-23,槟芋,4.7
175,2016-06-24,槟芋,4.7
176,2016-06-25,槟芋,4.7
177,2016-06-26,槟芋,4.7
178,2016-06-27,槟芋,4.7
179,2016-06-28,槟芋,4.7
180,2016-06-29,槟芋,4.7
181,2016-06-30,槟芋,4.7
182,2016-07-01,槟芋,4.7
183,2016-07-02,槟芋,4.7
184,2016-07-03,槟芋,4.7
185,2016-07-04,槟芋,4.7
186,2016-07-05,槟芋,4.7
187,2016-07-06,槟芋,4.7
188,2016-07-07,槟芋,4.7
189,2016-07-08,槟芋,4.7
190,2016-07-09,槟芋,4.7
191,2016-07-10,槟芋,4.7
192,2016-07-11,槟芋,4.7
193,2016-07-12,槟芋,4.7
194,2016-07-13,槟芋,4.7
195,2016-07-14,槟芋,4.7
196,2016-07-15,槟芋,4.7
197,2016-07-16,槟芋,4.7
198,2016-07-17,槟芋,4.7
199,2016-07-18,槟芋,4.7
200,2016-07-19,槟芋,4.7
201,2016-07-20,槟芋,4.7
202,2016-07-21,槟芋,4.7
203,2016-07-22,槟芋,4.7
204,2016-07-23,槟芋,4.7
205,2016-07-24,槟芋,4.7
206,2016-07-25,槟芋,5.0
207,2016-07-26,槟芋,5.0
208,2016-07-27,槟芋,5.0
209,2016-07-28,槟芋,5.0
210,2016-07-29,槟芋,5.0
211,2016-07-30,槟芋,4.8
212,2016-07-31,槟芋,4.8
213,2016-08-01,槟芋,4.8
214,2016-08-02,槟芋,4.7
215,2016-08-03,槟芋,4.6
216,2016-08-04,槟芋,4.7
217,2016-08-05,槟芋,4.6
218,2016-08-06,槟芋,4.5
219,2016-08-07,槟芋,4.5
220,2016-08-08,槟芋,4.6
221,2016-08-09,槟芋,4.5
222,2016-08-10,槟芋,4.6
223,2016-08-11,槟芋,4.5
224,2016-08-12,槟芋,4.6
225,2016-08-13,槟芋,4.5
226,2016-08-14,槟芋,4.5
227,2016-08-15,槟芋,4.4
228,2016-08-16,槟芋,4.6
229,2016-08-17,槟芋,4.6
230,2016-08-18,槟芋,4.7
231,2016-08-19,槟芋,4.7
232,2016-08-20,槟芋,4.7
233,2016-08-21,槟芋,4.7
234,2016-08-22,槟芋,4.8
235,2016-08-23,槟芋,4.8
236,2016-08-24,槟芋,4.7
237,2016-08-25,槟芋,4.8
238,2016-08-26,槟芋,4.9
239,2016-08-27,槟芋,4.9
240,2016-08-28,槟芋,4.9
241,2016-08-29,槟芋,5.0
242,2016-08-30,槟芋,5.0
243,2016-08-31,槟芋,5.0
244,2016-09-01,槟芋,5.0
245,2016-09-02,槟芋,5.0
246,2016-09-03,槟芋,5.0
247,2016-09-04,槟芋,5.0
248,2016-09-05,槟芋,5.0
249,2016-09-06,槟芋,5.0
250,2016-09-07,槟芋,5.0
251,2016-09-08,槟芋,5.0
252,2016-09-09,槟芋,5.0
253,2016-09-10,槟芋,5.0
254,2016-09-11,槟芋,4.9
255,2016-09-12,槟芋,4.9
256,2016-09-13,槟芋,4.9
257,2016-09-14,槟芋,4.9
258,2016-09-15,槟芋,4.9
259,2016-09-16,槟芋,4.9
260,2016-09-17,槟芋,4.9
261,2016-09-18,槟芋,4.9
262,2016-09-19,槟芋,4.9
263,2016-09-20,槟芋,4.9
264,2016-09-21,槟芋,4.9
265,2016-09-22,槟芋,4.6
266,2016-09-23,槟芋,4.4
267,2016-09-24,槟芋,4.3
268,2016-09-25,槟芋,4.3
269,2016-09-26,槟芋,4.3
270,2016-09-27,槟芋,4.3
271,2016-09-28,槟芋,4.3
272,2016-09-29,槟芋,4.2
273,2016-09-30,槟芋,4.2
274,2016-10-01,槟芋,4.2
275,2016-10-02,槟芋,4.1
276,2016-10-03,槟芋,4.2
277,2016-10-04,槟芋,4.2
278,2016-10-05,槟芋,4.2
279,2016-10-06,槟芋,4.2
280,2016-10-07,槟芋,4.2
281,2016-10-08,槟芋,4.2
282,2016-10-09,槟芋,3.6
283,2016-10-10,槟芋,4.2
284,2016-10-11,槟芋,4.2
285,2016-10-12,槟芋,4.2
286,2016-10-13,槟芋,4.1
287,2016-10-14,槟芋,4.2
288,2016-10-15,槟芋,4.2
289,2016-10-16,槟芋,4.2
290,2016-10-17,槟芋,4.2
291,2016-10-18,槟芋,4.2
292,2016-10-19,槟芋,4.2
293,2016-10-20,槟芋,4.2
294,2016-10-21,槟芋,4.0
295,2016-10-22,槟芋,4.0
296,2016-10-23,槟芋,4.0
297,2016-10-24,槟芋,4.0
298,2016-10-25,槟芋,3.8
299,2016-10-26,槟芋,3.6
300,2016-10-27,槟芋,3.6
301,2016-10-28,槟芋,3.6
302,2016-10-29,槟芋,3.6
303,2016-10-30,槟芋,3.6
