,date,name,price
0,2016-01-01,沙姜,8.5
1,2016-01-02,沙姜,8.5
2,2016-01-03,沙姜,8.0
3,2016-01-04,沙姜,8.0
4,2016-01-05,沙姜,8.0
5,2016-01-06,沙姜,8.0
6,2016-01-07,沙姜,8.0
7,2016-01-08,沙姜,8.0
8,2016-01-09,沙姜,8.0
9,2016-01-10,沙姜,7.2
10,2016-01-11,沙姜,7.2
11,2016-01-12,沙姜,7.6
12,2016-01-13,沙姜,8.0
13,2016-01-14,沙姜,8.0
14,2016-01-15,沙姜,8.0
15,2016-01-16,沙姜,8.0
16,2016-01-17,沙姜,8.0
17,2016-01-18,沙姜,8.0
18,2016-01-19,沙姜,8.0
19,2016-01-20,沙姜,8.0
20,2016-01-21,沙姜,8.0
21,2016-01-22,沙姜,8.0
22,2016-01-23,沙姜,7.9
23,2016-01-24,沙姜,7.9
24,2016-01-25,沙姜,7.9
25,2016-01-26,沙姜,8.0
26,2016-01-27,沙姜,8.0
27,2016-01-28,沙姜,8.0
28,2016-01-29,沙姜,8.0
29,2016-01-30,沙姜,8.0
30,2016-01-31,沙姜,8.0
31,2016-02-01,沙姜,8.0
32,2016-02-02,沙姜,8.0
33,2016-02-03,沙姜,8.0
34,2016-02-04,沙姜,8.1
35,2016-02-05,沙姜,8.1
36,2016-02-06,沙姜,8.2
37,2016-02-07,沙姜,8.3
38,2016-02-08,沙姜,8.5
39,2016-02-09,沙姜,8.3
40,2016-02-10,沙姜,8.3
41,2016-02-11,沙姜,7.8
42,2016-02-12,沙姜,7.8
43,2016-02-13,沙姜,7.5
44,2016-02-14,沙姜,7.5
45,2016-02-15,沙姜,7.2
46,2016-02-16,沙姜,6.8
47,2016-02-17,沙姜,6.8
48,2016-02-18,沙姜,6.8
49,2016-02-19,沙姜,6.7
50,2016-02-20,沙姜,6.5
51,2016-02-21,沙姜,6.7
52,2016-02-22,沙姜,6.8
53,2016-02-23,沙姜,6.8
54,2016-02-24,沙姜,7.0
55,2016-02-25,沙姜,7.0
56,2016-02-26,沙姜,7.0
57,2016-02-27,沙姜,7.0
58,2016-02-28,沙姜,7.0
59,2016-02-29,沙姜,6.6
60,2016-03-01,沙姜,7.0
61,2016-03-02,沙姜,6.9
62,2016-03-03,沙姜,7.0
63,2016-03-04,沙姜,7.1
64,2016-03-05,沙姜,7.0
65,2016-03-06,沙姜,7.0
66,2016-03-07,沙姜,7.1
67,2016-03-08,沙姜,7.1
68,2016-03-09,沙姜,7.0
69,2016-03-10,沙姜,7.4
70,2016-03-11,沙姜,7.4
71,2016-03-12,沙姜,7.3
72,2016-03-13,沙姜,7.0
73,2016-03-14,沙姜,7.3
74,2016-03-15,沙姜,7.4
75,2016-03-16,沙姜,7.4
76,2016-03-17,沙姜,7.4
77,2016-03-18,沙姜,7.4
78,2016-03-19,沙姜,7.4
79,2016-03-20,沙姜,7.4
80,2016-03-21,沙姜,7.4
81,2016-03-22,沙姜,7.4
82,2016-03-23,沙姜,7.4
83,2016-03-24,沙姜,7.3
84,2016-03-25,沙姜,7.3
85,2016-03-26,沙姜,7.2
86,2016-03-27,沙姜,7.2
87,2016-03-28,沙姜,7.3
88,2016-03-29,沙姜,7.3
89,2016-03-30,沙姜,7.3
90,2016-03-31,沙姜,7.4
91,2016-04-01,沙姜,7.5
92,2016-04-02,沙姜,7.5
93,2016-04-03,沙姜,7.5
94,2016-04-04,沙姜,7.5
95,2016-04-05,沙姜,7.0
96,2016-04-06,沙姜,7.0
97,2016-04-07,沙姜,7.0
98,2016-04-08,沙姜,6.8
99,2016-04-09,沙姜,6.5
100,2016-04-10,沙姜,6.3
101,2016-04-11,沙姜,6.0
102,2016-04-12,沙姜,6.2
103,2016-04-13,沙姜,6.0
104,2016-04-14,沙姜,6.5
105,2016-04-15,沙姜,6.5
106,2016-04-16,沙姜,6.5
107,2016-04-17,沙姜,6.3
108,2016-04-18,沙姜,6.3
109,2016-04-19,沙姜,6.3
110,2016-04-20,沙姜,6.3
111,2016-04-21,沙姜,6.3
