,date,name,price
0,2016-01-01,沙葛,1.3
1,2016-01-02,沙葛,1.4
2,2016-01-03,沙葛,1.4
3,2016-01-04,沙葛,1.4
4,2016-01-05,沙葛,1.4
5,2016-01-06,沙葛,1.4
6,2016-01-07,沙葛,1.4
7,2016-01-08,沙葛,1.4
8,2016-01-09,沙葛,1.4
9,2016-01-10,沙葛,1.4
10,2016-01-11,沙葛,1.4
11,2016-01-12,沙葛,1.4
12,2016-01-13,沙葛,1.4
13,2016-01-14,沙葛,1.4
14,2016-01-15,沙葛,1.4
15,2016-01-16,沙葛,1.4
16,2016-01-17,沙葛,1.4
17,2016-01-18,沙葛,1.4
18,2016-01-19,沙葛,1.4
19,2016-01-20,沙葛,1.4
20,2016-01-21,沙葛,1.4
21,2016-01-22,沙葛,1.4
22,2016-01-23,沙葛,1.4
23,2016-01-24,沙葛,1.4
24,2016-01-25,沙葛,1.4
25,2016-01-26,沙葛,1.4
26,2016-01-27,沙葛,1.4
27,2016-01-28,沙葛,1.4
28,2016-01-29,沙葛,1.5
29,2016-01-30,沙葛,1.5
30,2016-01-31,沙葛,1.5
31,2016-02-01,沙葛,1.5
32,2016-02-02,沙葛,1.6
33,2016-02-03,沙葛,1.6
34,2016-02-04,沙葛,1.6
35,2016-02-05,沙葛,1.6
36,2016-02-06,沙葛,1.7
37,2016-02-07,沙葛,1.7
38,2016-02-08,沙葛,2.0
39,2016-02-09,沙葛,1.9
40,2016-02-10,沙葛,2.0
41,2016-02-11,沙葛,1.8
42,2016-02-12,沙葛,1.8
43,2016-02-13,沙葛,1.8
44,2016-02-14,沙葛,1.7
45,2016-02-15,沙葛,1.7
46,2016-02-16,沙葛,1.7
47,2016-02-17,沙葛,1.7
48,2016-02-18,沙葛,1.7
49,2016-02-19,沙葛,1.6
50,2016-02-20,沙葛,1.6
51,2016-02-21,沙葛,1.5
52,2016-02-22,沙葛,1.6
53,2016-02-23,沙葛,1.6
54,2016-02-24,沙葛,1.5
55,2016-02-25,沙葛,1.5
56,2016-02-26,沙葛,1.5
57,2016-02-27,沙葛,1.5
58,2016-02-28,沙葛,1.5
59,2016-02-29,沙葛,1.4
60,2016-03-01,沙葛,1.5
61,2016-03-02,沙葛,1.4
62,2016-03-03,沙葛,1.4
63,2016-03-04,沙葛,1.4
64,2016-03-05,沙葛,1.4
65,2016-03-06,沙葛,1.4
66,2016-03-07,沙葛,1.4
67,2016-03-08,沙葛,1.3
68,2016-03-09,沙葛,1.3
69,2016-03-10,沙葛,1.3
70,2016-03-11,沙葛,1.3
71,2016-03-12,沙葛,1.3
72,2016-03-13,沙葛,1.3
73,2016-03-14,沙葛,1.3
74,2016-03-15,沙葛,1.4
75,2016-03-16,沙葛,1.4
76,2016-03-17,沙葛,1.5
77,2016-03-18,沙葛,1.5
78,2016-03-19,沙葛,1.4
79,2016-03-20,沙葛,1.4
80,2016-03-21,沙葛,1.4
81,2016-03-22,沙葛,1.5
82,2016-03-23,沙葛,1.5
83,2016-03-24,沙葛,1.6
84,2016-03-25,沙葛,1.6
85,2016-03-26,沙葛,1.5
86,2016-03-27,沙葛,1.5
87,2016-03-28,沙葛,1.5
88,2016-03-29,沙葛,1.5
89,2016-03-30,沙葛,1.5
90,2016-03-31,沙葛,1.5
91,2016-04-01,沙葛,1.5
92,2016-04-02,沙葛,1.5
93,2016-04-03,沙葛,1.5
94,2016-04-04,沙葛,1.5
95,2016-04-05,沙葛,1.5
96,2016-04-06,沙葛,1.6
97,2016-04-07,沙葛,1.8
98,2016-04-08,沙葛,1.7
99,2016-04-09,沙葛,1.7
100,2016-04-10,沙葛,1.6
101,2016-04-11,沙葛,1.6
102,2016-04-12,沙葛,1.6
103,2016-04-13,沙葛,1.7
104,2016-04-14,沙葛,1.7
105,2016-04-15,沙葛,1.7
106,2016-04-16,沙葛,1.7
107,2016-04-17,沙葛,1.7
108,2016-04-18,沙葛,1.7
109,2016-04-19,沙葛,1.7
110,2016-04-20,沙葛,1.7
111,2016-04-21,沙葛,1.7
112,2016-04-22,沙葛,1.9
113,2016-04-23,沙葛,2.0
114,2016-04-24,沙葛,2.0
115,2016-04-25,沙葛,2.0
116,2016-04-26,沙葛,2.0
117,2016-04-27,沙葛,2.0
118,2016-04-28,沙葛,1.8
119,2016-04-29,沙葛,2.0
120,2016-04-30,沙葛,1.8
121,2016-05-01,沙葛,1.9
122,2016-05-02,沙葛,1.9
123,2016-05-03,沙葛,1.8
124,2016-05-04,沙葛,1.8
125,2016-05-05,沙葛,1.9
126,2016-05-06,沙葛,1.9
127,2016-05-07,沙葛,2.0
128,2016-05-08,沙葛,2.0
129,2016-05-09,沙葛,1.9
130,2016-05-10,沙葛,2.1
131,2016-05-11,沙葛,2.0
132,2016-05-12,沙葛,2.1
133,2016-05-13,沙葛,2.0
134,2016-05-14,沙葛,2.1
135,2016-05-15,沙葛,2.2
136,2016-05-16,沙葛,2.0
137,2016-05-17,沙葛,2.1
138,2016-05-18,沙葛,2.2
139,2016-05-19,沙葛,2.3
140,2016-05-20,沙葛,2.4
141,2016-05-21,沙葛,2.4
142,2016-05-22,沙葛,2.4
143,2016-05-23,沙葛,2.4
144,2016-05-24,沙葛,2.5
145,2016-05-25,沙葛,2.5
146,2016-05-26,沙葛,2.5
147,2016-05-27,沙葛,2.5
148,2016-05-28,沙葛,2.5
149,2016-05-29,沙葛,2.5
150,2016-05-30,沙葛,2.5
151,2016-05-31,沙葛,2.5
152,2016-06-01,沙葛,2.5
153,2016-06-02,沙葛,2.6
154,2016-06-03,沙葛,2.6
155,2016-06-04,沙葛,2.5
156,2016-06-05,沙葛,2.5
157,2016-06-06,沙葛,2.6
158,2016-06-07,沙葛,2.6
159,2016-06-08,沙葛,2.6
160,2016-06-09,沙葛,2.7
161,2016-06-10,沙葛,2.7
162,2016-06-11,沙葛,2.8
163,2016-06-12,沙葛,2.7
164,2016-06-13,沙葛,2.7
165,2016-06-14,沙葛,2.5
166,2016-06-15,沙葛,2.5
167,2016-06-16,沙葛,2.4
168,2016-06-17,沙葛,2.6
169,2016-06-18,沙葛,2.6
170,2016-06-19,沙葛,2.6
171,2016-06-20,沙葛,2.6
172,2016-06-21,沙葛,2.3
173,2016-06-22,沙葛,2.2
174,2016-06-23,沙葛,2.2
175,2016-06-24,沙葛,2.2
176,2016-06-25,沙葛,2.2
177,2016-06-26,沙葛,2.2
178,2016-06-27,沙葛,2.2
179,2016-06-28,沙葛,2.0
180,2016-06-29,沙葛,2.0
181,2016-06-30,沙葛,1.7
182,2016-07-01,沙葛,1.7
183,2016-07-02,沙葛,1.7
184,2016-07-03,沙葛,1.7
185,2016-07-04,沙葛,1.7
186,2016-07-05,沙葛,1.7
187,2016-07-06,沙葛,1.7
188,2016-07-07,沙葛,1.7
189,2016-07-08,沙葛,1.7
190,2016-07-09,沙葛,1.7
191,2016-07-10,沙葛,1.7
192,2016-07-11,沙葛,1.7
193,2016-07-12,沙葛,1.6
194,2016-07-13,沙葛,1.6
195,2016-07-14,沙葛,1.4
196,2016-07-15,沙葛,1.4
197,2016-07-16,沙葛,1.4
198,2016-07-17,沙葛,1.4
199,2016-07-18,沙葛,1.4
