,date,name,price
0,2016-01-01,油麦菜,4.2
1,2016-01-02,油麦菜,4.2
2,2016-01-03,油麦菜,4.2
3,2016-01-04,油麦菜,4.2
4,2016-01-05,油麦菜,4.3
5,2016-01-06,油麦菜,4.6
6,2016-01-07,油麦菜,4.6
7,2016-01-08,油麦菜,4.6
8,2016-01-09,油麦菜,4.6
9,2016-01-10,油麦菜,4.5
10,2016-01-11,油麦菜,4.5
11,2016-01-12,油麦菜,4.3
12,2016-01-13,油麦菜,4.3
13,2016-01-14,油麦菜,4.3
14,2016-01-15,油麦菜,4.5
15,2016-01-16,油麦菜,4.5
16,2016-01-17,油麦菜,4.6
17,2016-01-18,油麦菜,4.6
18,2016-01-19,油麦菜,4.6
19,2016-01-20,油麦菜,4.6
20,2016-01-21,油麦菜,4.8
21,2016-01-22,油麦菜,4.8
22,2016-01-23,油麦菜,4.8
23,2016-01-24,油麦菜,5.3
24,2016-01-25,油麦菜,5.3
25,2016-01-26,油麦菜,5.3
26,2016-01-27,油麦菜,5.5
27,2016-01-28,油麦菜,5.8
28,2016-01-29,油麦菜,6.0
29,2016-01-30,油麦菜,6.3
30,2016-01-31,油麦菜,6.9
31,2016-02-01,油麦菜,7.4
32,2016-02-02,油麦菜,8.0
33,2016-02-03,油麦菜,8.0
34,2016-02-04,油麦菜,8.0
35,2016-02-05,油麦菜,8.0
36,2016-02-06,油麦菜,8.0
37,2016-02-07,油麦菜,8.0
38,2016-02-08,油麦菜,8.5
39,2016-02-09,油麦菜,8.4
40,2016-02-10,油麦菜,9.0
41,2016-02-11,油麦菜,10.0
42,2016-02-12,油麦菜,10.6
43,2016-02-13,油麦菜,10.8
44,2016-02-14,油麦菜,11.0
45,2016-02-15,油麦菜,10.2
46,2016-02-16,油麦菜,9.5
47,2016-02-17,油麦菜,8.5
48,2016-02-18,油麦菜,7.9
49,2016-02-19,油麦菜,8.0
50,2016-02-20,油麦菜,7.7
51,2016-02-21,油麦菜,8.0
52,2016-02-22,油麦菜,7.7
53,2016-02-23,油麦菜,7.7
54,2016-02-24,油麦菜,7.5
55,2016-02-25,油麦菜,7.0
56,2016-02-26,油麦菜,6.8
57,2016-02-27,油麦菜,7.0
58,2016-02-28,油麦菜,6.8
59,2016-02-29,油麦菜,7.0
60,2016-03-01,油麦菜,6.8
61,2016-03-02,油麦菜,7.0
62,2016-03-03,油麦菜,7.1
63,2016-03-04,油麦菜,7.2
64,2016-03-05,油麦菜,7.2
65,2016-03-06,油麦菜,7.3
66,2016-03-07,油麦菜,7.3
67,2016-03-08,油麦菜,7.0
68,2016-03-09,油麦菜,6.7
69,2016-03-10,油麦菜,6.4
70,2016-03-11,油麦菜,6.0
71,2016-03-12,油麦菜,5.8
72,2016-03-13,油麦菜,6.0
73,2016-03-14,油麦菜,5.9
74,2016-03-15,油麦菜,6.0
75,2016-03-16,油麦菜,6.2
76,2016-03-17,油麦菜,5.8
77,2016-03-18,油麦菜,5.5
78,2016-03-19,油麦菜,5.2
79,2016-03-20,油麦菜,5.0
80,2016-03-21,油麦菜,5.2
81,2016-03-22,油麦菜,5.2
82,2016-03-23,油麦菜,5.3
83,2016-03-24,油麦菜,5.0
84,2016-03-25,油麦菜,4.8
85,2016-03-26,油麦菜,4.5
86,2016-03-27,油麦菜,4.4
87,2016-03-28,油麦菜,4.4
88,2016-03-29,油麦菜,4.4
89,2016-03-30,油麦菜,4.2
90,2016-03-31,油麦菜,4.6
91,2016-04-01,油麦菜,4.6
92,2016-04-02,油麦菜,4.6
93,2016-04-03,油麦菜,4.6
94,2016-04-04,油麦菜,4.5
95,2016-04-05,油麦菜,4.3
96,2016-04-06,油麦菜,4.0
97,2016-04-07,油麦菜,4.0
98,2016-04-08,油麦菜,4.0
99,2016-04-09,油麦菜,3.8
100,2016-04-10,油麦菜,3.5
101,2016-04-11,油麦菜,3.4
102,2016-04-12,油麦菜,3.4
103,2016-04-13,油麦菜,3.1
104,2016-04-14,油麦菜,2.8
105,2016-04-15,油麦菜,2.7
106,2016-04-16,油麦菜,2.7
107,2016-04-17,油麦菜,2.7
108,2016-04-18,油麦菜,2.6
109,2016-04-19,油麦菜,2.6
110,2016-04-20,油麦菜,2.6
111,2016-04-21,油麦菜,2.6
112,2016-04-22,油麦菜,2.7
113,2016-04-23,油麦菜,2.7
114,2016-04-24,油麦菜,2.7
115,2016-04-25,油麦菜,2.7
116,2016-04-26,油麦菜,2.7
117,2016-04-27,油麦菜,2.7
118,2016-04-28,油麦菜,2.5
119,2016-04-29,油麦菜,2.5
120,2016-04-30,油麦菜,2.5
121,2016-05-01,油麦菜,2.4
122,2016-05-02,油麦菜,2.4
123,2016-05-03,油麦菜,2.5
124,2016-05-04,油麦菜,2.5
125,2016-05-05,油麦菜,2.4
126,2016-05-06,油麦菜,2.4
127,2016-05-07,油麦菜,2.5
128,2016-05-08,油麦菜,2.3
129,2016-05-09,油麦菜,2.4
130,2016-05-10,油麦菜,2.3
131,2016-05-11,油麦菜,2.3
132,2016-05-12,油麦菜,2.3
133,2016-05-13,油麦菜,2.3
