,date,name,price
0,2016-01-01,洋葱头,2.7
1,2016-01-02,洋葱头,2.7
2,2016-01-03,洋葱头,2.7
3,2016-01-04,洋葱头,2.7
4,2016-01-05,洋葱头,2.7
5,2016-01-06,洋葱头,2.7
6,2016-01-07,洋葱头,2.7
7,2016-01-08,洋葱头,2.7
8,2016-01-09,洋葱头,2.7
9,2016-01-10,洋葱头,2.7
10,2016-01-11,洋葱头,2.7
11,2016-01-12,洋葱头,2.7
12,2016-01-13,洋葱头,2.5
13,2016-01-14,洋葱头,2.5
14,2016-01-15,洋葱头,2.5
15,2016-01-16,洋葱头,2.5
16,2016-01-17,洋葱头,2.4
17,2016-01-18,洋葱头,2.4
18,2016-01-19,洋葱头,2.4
19,2016-01-20,洋葱头,2.4
20,2016-01-21,洋葱头,2.4
21,2016-01-22,洋葱头,2.4
22,2016-01-23,洋葱头,2.4
23,2016-01-24,洋葱头,2.4
24,2016-01-25,洋葱头,2.4
25,2016-01-26,洋葱头,2.4
26,2016-01-27,洋葱头,2.4
27,2016-01-28,洋葱头,2.6
28,2016-01-29,洋葱头,2.6
29,2016-01-30,洋葱头,2.6
30,2016-01-31,洋葱头,2.8
31,2016-02-01,洋葱头,2.8
32,2016-02-02,洋葱头,3.0
33,2016-02-03,洋葱头,3.1
34,2016-02-04,洋葱头,3.3
35,2016-02-05,洋葱头,3.4
36,2016-02-06,洋葱头,3.6
37,2016-02-07,洋葱头,3.8
38,2016-02-08,洋葱头,3.8
39,2016-02-09,洋葱头,3.7
40,2016-02-10,洋葱头,3.5
41,2016-02-11,洋葱头,3.0
42,2016-02-12,洋葱头,3.0
43,2016-02-13,洋葱头,3.0
44,2016-02-14,洋葱头,3.0
45,2016-02-15,洋葱头,3.2
46,2016-02-16,洋葱头,3.4
47,2016-02-17,洋葱头,3.6
48,2016-02-18,洋葱头,4.0
49,2016-02-19,洋葱头,4.0
50,2016-02-20,洋葱头,4.3
51,2016-02-21,洋葱头,4.0
52,2016-02-22,洋葱头,4.0
53,2016-02-23,洋葱头,3.8
