,date,name,price
0,2016-01-01,玉米,5.0
1,2016-01-02,玉米,5.0
2,2016-01-03,玉米,4.2
3,2016-01-04,玉米,4.0
4,2016-01-05,玉米,3.8
5,2016-01-06,玉米,3.8
6,2016-01-07,玉米,3.6
7,2016-01-08,玉米,3.5
8,2016-01-09,玉米,3.5
9,2016-01-10,玉米,3.3
10,2016-01-11,玉米,3.3
11,2016-01-12,玉米,3.3
12,2016-01-13,玉米,3.5
13,2016-01-14,玉米,3.5
14,2016-01-15,玉米,3.5
15,2016-01-16,玉米,3.5
16,2016-01-17,玉米,3.5
17,2016-01-18,玉米,3.5
18,2016-01-19,玉米,3.4
19,2016-01-20,玉米,3.4
20,2016-01-21,玉米,3.4
21,2016-01-22,玉米,3.4
22,2016-01-23,玉米,3.4
23,2016-01-24,玉米,3.3
24,2016-01-25,玉米,3.3
25,2016-01-26,玉米,3.3
26,2016-01-27,玉米,3.3
27,2016-01-28,玉米,3.5
28,2016-01-29,玉米,3.5
29,2016-01-30,玉米,3.5
30,2016-01-31,玉米,3.5
31,2016-02-01,玉米,3.5
32,2016-02-02,玉米,3.5
33,2016-02-03,玉米,3.5
34,2016-02-04,玉米,3.5
35,2016-02-05,玉米,3.6
36,2016-02-06,玉米,3.6
37,2016-02-07,玉米,3.7
38,2016-02-08,玉米,5.0
39,2016-02-09,玉米,5.1
40,2016-02-10,玉米,5.5
41,2016-02-11,玉米,5.0
42,2016-02-12,玉米,5.0
43,2016-02-13,玉米,4.8
44,2016-02-14,玉米,4.5
45,2016-02-15,玉米,4.2
46,2016-02-16,玉米,3.9
47,2016-02-17,玉米,4.0
48,2016-02-18,玉米,4.0
49,2016-02-19,玉米,4.0
50,2016-02-20,玉米,4.0
51,2016-02-21,玉米,4.0
52,2016-02-22,玉米,4.0
53,2016-02-23,玉米,4.0
54,2016-02-24,玉米,4.2
55,2016-02-25,玉米,5.0
56,2016-02-26,玉米,5.0
57,2016-02-27,玉米,5.0
58,2016-02-28,玉米,5.0
59,2016-02-29,玉米,4.6
60,2016-03-01,玉米,5.0
61,2016-03-02,玉米,4.7
62,2016-03-03,玉米,4.6
63,2016-03-04,玉米,4.6
64,2016-03-05,玉米,4.6
65,2016-03-06,玉米,4.5
66,2016-03-07,玉米,4.6
67,2016-03-08,玉米,4.6
68,2016-03-09,玉米,4.6
69,2016-03-10,玉米,4.6
70,2016-03-11,玉米,4.6
71,2016-03-12,玉米,4.6
72,2016-03-13,玉米,4.5
73,2016-03-14,玉米,4.6
74,2016-03-15,玉米,4.6
75,2016-03-16,玉米,4.6
76,2016-03-17,玉米,4.8
77,2016-03-18,玉米,4.9
78,2016-03-19,玉米,5.0
79,2016-03-20,玉米,5.0
80,2016-03-21,玉米,5.0
81,2016-03-22,玉米,5.0
82,2016-03-23,玉米,5.0
83,2016-03-24,玉米,4.8
84,2016-03-25,玉米,4.5
85,2016-03-26,玉米,4.3
86,2016-03-27,玉米,4.3
87,2016-03-28,玉米,4.4
88,2016-03-29,玉米,4.3
89,2016-03-30,玉米,4.3
90,2016-03-31,玉米,4.5
91,2016-04-01,玉米,4.9
92,2016-04-02,玉米,5.0
93,2016-04-03,玉米,5.0
94,2016-04-04,玉米,5.0
95,2016-04-05,玉米,5.0
96,2016-04-06,玉米,5.0
97,2016-04-07,玉米,5.0
98,2016-04-08,玉米,5.0
99,2016-04-09,玉米,4.5
100,2016-04-10,玉米,4.0
101,2016-04-11,玉米,4.0
102,2016-04-12,玉米,3.8
103,2016-04-13,玉米,3.8
104,2016-04-14,玉米,4.0
105,2016-04-15,玉米,4.0
106,2016-04-16,玉米,4.0
107,2016-04-17,玉米,4.0
108,2016-04-18,玉米,4.0
109,2016-04-19,玉米,4.0
110,2016-04-20,玉米,4.0
111,2016-04-21,玉米,4.2
112,2016-04-22,玉米,4.0
113,2016-04-23,玉米,4.1
114,2016-04-24,玉米,4.1
115,2016-04-25,玉米,4.0
116,2016-04-26,玉米,4.0
117,2016-04-27,玉米,4.0
118,2016-04-28,玉米,4.0
119,2016-04-29,玉米,4.2
120,2016-04-30,玉米,4.2
121,2016-05-01,玉米,4.2
122,2016-05-02,玉米,4.2
123,2016-05-03,玉米,4.3
124,2016-05-04,玉米,4.2
125,2016-05-05,玉米,4.2
126,2016-05-06,玉米,4.2
127,2016-05-07,玉米,4.3
128,2016-05-08,玉米,4.0
129,2016-05-09,玉米,4.2
130,2016-05-10,玉米,4.2
131,2016-05-11,玉米,4.0
132,2016-05-12,玉米,4.2
133,2016-05-13,玉米,4.0
134,2016-05-14,玉米,4.2
135,2016-05-15,玉米,4.3
136,2016-05-16,玉米,4.0
137,2016-05-17,玉米,4.2
138,2016-05-18,玉米,4.2
139,2016-05-19,玉米,4.4
140,2016-05-20,玉米,4.5
141,2016-05-21,玉米,4.5
142,2016-05-22,玉米,4.5
143,2016-05-23,玉米,4.5
144,2016-05-24,玉米,4.2
145,2016-05-25,玉米,4.2
146,2016-05-26,玉米,4.2
147,2016-05-27,玉米,4.3
148,2016-05-28,玉米,4.0
149,2016-05-29,玉米,4.0
150,2016-05-30,玉米,4.2
151,2016-05-31,玉米,3.8
152,2016-06-01,玉米,3.5
153,2016-06-02,玉米,3.4
154,2016-06-03,玉米,3.3
155,2016-06-04,玉米,3.1
156,2016-06-05,玉米,3.1
157,2016-06-06,玉米,3.2
158,2016-06-07,玉米,3.2
159,2016-06-08,玉米,3.4
160,2016-06-09,玉米,3.4
161,2016-06-10,玉米,3.5
162,2016-06-11,玉米,3.5
163,2016-06-12,玉米,3.5
164,2016-06-13,玉米,3.4
165,2016-06-14,玉米,3.5
166,2016-06-15,玉米,3.3
167,2016-06-16,玉米,3.2
168,2016-06-17,玉米,3.3
169,2016-06-18,玉米,3.2
170,2016-06-19,玉米,3.2
171,2016-06-20,玉米,3.2
172,2016-06-21,玉米,2.9
173,2016-06-22,玉米,2.9
174,2016-06-23,玉米,2.8
175,2016-06-24,玉米,2.8
176,2016-06-25,玉米,2.8
177,2016-06-26,玉米,2.9
178,2016-06-27,玉米,2.9
179,2016-06-28,玉米,2.8
180,2016-06-29,玉米,2.8
181,2016-06-30,玉米,3.0
182,2016-07-01,玉米,3.0
183,2016-07-02,玉米,3.0
184,2016-07-03,玉米,3.0
185,2016-07-04,玉米,3.0
186,2016-07-05,玉米,3.0
187,2016-07-06,玉米,3.0
188,2016-07-07,玉米,3.0
189,2016-07-08,玉米,3.0
190,2016-07-09,玉米,3.0
191,2016-07-10,玉米,3.0
192,2016-07-11,玉米,3.0
193,2016-07-12,玉米,3.0
194,2016-07-13,玉米,3.0
195,2016-07-14,玉米,3.0
196,2016-07-15,玉米,3.0
197,2016-07-16,玉米,3.0
198,2016-07-17,玉米,3.0
199,2016-07-18,玉米,3.0
200,2016-07-19,玉米,3.1
201,2016-07-20,玉米,3.2
202,2016-07-21,玉米,3.2
203,2016-07-22,玉米,3.2
204,2016-07-23,玉米,3.2
205,2016-07-24,玉米,3.2
206,2016-07-25,玉米,3.2
207,2016-07-26,玉米,3.3
208,2016-07-27,玉米,3.2
209,2016-07-28,玉米,3.2
210,2016-07-29,玉米,3.2
211,2016-07-30,玉米,3.2
212,2016-07-31,玉米,3.2
213,2016-08-01,玉米,3.2
214,2016-08-02,玉米,3.1
215,2016-08-03,玉米,3.2
216,2016-08-04,玉米,3.4
217,2016-08-05,玉米,3.6
218,2016-08-06,玉米,3.7
219,2016-08-07,玉米,3.8
220,2016-08-08,玉米,3.7
221,2016-08-09,玉米,3.6
222,2016-08-10,玉米,3.5
223,2016-08-11,玉米,3.3
224,2016-08-12,玉米,3.1
225,2016-08-13,玉米,3.1
226,2016-08-14,玉米,3.1
227,2016-08-15,玉米,3.0
228,2016-08-16,玉米,3.1
229,2016-08-17,玉米,3.1
230,2016-08-18,玉米,3.2
231,2016-08-19,玉米,3.2
232,2016-08-20,玉米,3.2
233,2016-08-21,玉米,3.2
234,2016-08-22,玉米,3.1
235,2016-08-23,玉米,3.2
236,2016-08-24,玉米,3.2
237,2016-08-25,玉米,3.3
238,2016-08-26,玉米,3.3
239,2016-08-27,玉米,3.3
240,2016-08-28,玉米,3.3
241,2016-08-29,玉米,3.2
242,2016-08-30,玉米,3.3
243,2016-08-31,玉米,3.3
244,2016-09-01,玉米,3.4
245,2016-09-02,玉米,3.5
246,2016-09-03,玉米,3.5
247,2016-09-04,玉米,3.5
248,2016-09-05,玉米,3.5
249,2016-09-06,玉米,3.8
250,2016-09-07,玉米,3.8
251,2016-09-08,玉米,3.8
252,2016-09-09,玉米,3.8
253,2016-09-10,玉米,3.5
254,2016-09-11,玉米,3.5
255,2016-09-12,玉米,3.3
256,2016-09-13,玉米,3.0
257,2016-09-14,玉米,2.9
258,2016-09-15,玉米,2.7
259,2016-09-16,玉米,2.7
260,2016-09-17,玉米,2.6
261,2016-09-18,玉米,2.6
262,2016-09-19,玉米,2.6
263,2016-09-20,玉米,2.5
264,2016-09-21,玉米,2.5
265,2016-09-22,玉米,2.4
266,2016-09-23,玉米,2.4
267,2016-09-24,玉米,2.4
268,2016-09-25,玉米,2.4
269,2016-09-26,玉米,2.4
270,2016-09-27,玉米,2.4
271,2016-09-28,玉米,2.4
272,2016-09-29,玉米,2.4
273,2016-09-30,玉米,2.4
274,2016-10-01,玉米,2.4
275,2016-10-02,玉米,2.5
276,2016-10-03,玉米,2.4
277,2016-10-04,玉米,2.4
278,2016-10-05,玉米,2.4
279,2016-10-06,玉米,2.4
280,2016-10-07,玉米,2.5
281,2016-10-08,玉米,2.6
282,2016-10-09,玉米,3.0
283,2016-10-10,玉米,3.0
284,2016-10-11,玉米,3.1
285,2016-10-12,玉米,3.2
286,2016-10-13,玉米,3.2
287,2016-10-14,玉米,3.3
288,2016-10-15,玉米,3.3
289,2016-10-16,玉米,3.3
290,2016-10-17,玉米,3.3
291,2016-10-18,玉米,3.3
292,2016-10-19,玉米,3.3
293,2016-10-20,玉米,3.0
294,2016-10-21,玉米,2.8
295,2016-10-22,玉米,2.8
296,2016-10-23,玉米,2.8
297,2016-10-24,玉米,2.8
298,2016-10-25,玉米,2.8
299,2016-10-26,玉米,3.0
300,2016-10-27,玉米,3.2
301,2016-10-28,玉米,3.2
302,2016-10-29,玉米,3.2
303,2016-10-30,玉米,3.0
304,2016-10-31,玉米,3.0
305,2016-11-01,玉米,2.8
306,2016-11-02,玉米,3.0
307,2016-11-03,玉米,3.2
308,2016-11-04,玉米,3.1
309,2016-11-05,玉米,3.3
310,2016-11-06,玉米,3.1
311,2016-11-07,玉米,3.2
312,2016-11-08,玉米,3.1
313,2016-11-09,玉米,3.0
314,2016-11-10,玉米,3.1
315,2016-11-11,玉米,3.1
316,2016-11-12,玉米,3.1
317,2016-11-13,玉米,3.1
318,2016-11-14,玉米,3.1
319,2016-11-15,玉米,3.1
320,2016-11-16,玉米,3.1
321,2016-11-17,玉米,3.1
322,2016-11-18,玉米,3.2
323,2016-11-19,玉米,3.2
324,2016-11-20,玉米,3.1
325,2016-11-21,玉米,3.2
326,2016-11-22,玉米,3.2
327,2016-11-23,玉米,3.2
328,2016-11-24,玉米,2.9
329,2016-11-25,玉米,2.9
330,2016-11-26,玉米,3.0
331,2016-11-27,玉米,2.9
332,2016-11-28,玉米,3.0
333,2016-11-29,玉米,2.9
334,2016-11-30,玉米,3.0
335,2016-12-01,玉米,2.85
336,2016-12-02,玉米,2.85
337,2016-12-03,玉米,2.85
338,2016-12-04,玉米,2.85
339,2016-12-05,玉米,2.85
340,2016-12-06,玉米,3.0
341,2016-12-07,玉米,3.1
342,2016-12-08,玉米,3.1
343,2016-12-09,玉米,3.0
344,2016-12-10,玉米,2.9
345,2016-12-11,玉米,3.0
346,2016-12-12,玉米,2.9
347,2016-12-13,玉米,3.0
348,2016-12-14,玉米,2.9
349,2016-12-15,玉米,3.2
350,2016-12-16,玉米,3.5
351,2016-12-17,玉米,3.8
352,2016-12-18,玉米,3.8
353,2016-12-19,玉米,3.9
354,2016-12-20,玉米,3.9
355,2016-12-21,玉米,3.85
356,2016-12-22,玉米,3.8
357,2016-12-23,玉米,3.8
358,2016-12-24,玉米,3.8
359,2016-12-25,玉米,3.8
360,2016-12-26,玉米,3.8
361,2016-12-27,玉米,3.6
362,2016-12-28,玉米,3.6
363,2016-12-29,玉米,3.6
364,2016-12-30,玉米,3.6
365,2016-12-31,玉米,3.6
366,2017-01-01,玉米,3.6
367,2017-01-02,玉米,3.6
368,2017-01-03,玉米,3.6
369,2017-01-04,玉米,3.5
370,2017-01-05,玉米,3.5
371,2017-01-06,玉米,3.8
372,2017-01-07,玉米,3.8
373,2017-01-08,玉米,4.0
374,2017-01-09,玉米,4.0
375,2017-01-10,玉米,4.0
376,2017-01-11,玉米,4.0
377,2017-01-12,玉米,4.0
378,2017-01-13,玉米,4.2
379,2017-01-14,玉米,4.4
380,2017-01-15,玉米,4.4
381,2017-01-16,玉米,4.4
382,2017-01-17,玉米,4.4
383,2017-01-18,玉米,4.3
384,2017-01-19,玉米,4.5
385,2017-01-20,玉米,4.5
386,2017-01-21,玉米,4.3
387,2017-01-22,玉米,4.3
388,2017-01-23,玉米,4.0
389,2017-01-24,玉米,4.2
390,2017-01-25,玉米,4.3
391,2017-01-26,玉米,4.6
392,2017-01-27,玉米,4.8
393,2017-01-28,玉米,4.8
394,2017-01-29,玉米,5.2
395,2017-01-30,玉米,5.6
396,2017-01-31,玉米,6.0
397,2017-02-01,玉米,6.0
398,2017-02-02,玉米,5.9
399,2017-02-03,玉米,5.9
400,2017-02-04,玉米,5.5
401,2017-02-05,玉米,5.9
402,2017-02-06,玉米,5.5
403,2017-02-07,玉米,5.9
404,2017-02-08,玉米,5.5
405,2017-02-09,玉米,5.9
406,2017-02-10,玉米,5.5
407,2017-02-11,玉米,5.2
408,2017-02-12,玉米,4.3
409,2017-02-13,玉米,4.0
410,2017-02-14,玉米,5.0
411,2017-02-15,玉米,4.3
412,2017-02-16,玉米,5.5
413,2017-02-17,玉米,5.3
414,2017-02-18,玉米,5.0
415,2017-02-19,玉米,4.0
416,2017-02-20,玉米,3.6
417,2017-02-21,玉米,3.3
418,2017-02-22,玉米,3.1
419,2017-02-23,玉米,3.2
420,2017-02-24,玉米,3.1
421,2017-02-25,玉米,3.1
422,2017-02-26,玉米,3.5
423,2017-02-27,玉米,3.3
424,2017-02-28,玉米,3.2
425,2017-03-01,玉米,3.0
426,2017-03-02,玉米,3.2
427,2017-03-03,玉米,3.4
428,2017-03-04,玉米,3.5
429,2017-03-05,玉米,3.5
430,2017-03-06,玉米,3.8
431,2017-03-07,玉米,3.8
432,2017-03-08,玉米,3.7
433,2017-03-09,玉米,3.8
434,2017-03-10,玉米,3.8
435,2017-03-11,玉米,3.8
436,2017-03-12,玉米,3.8
437,2017-03-13,玉米,3.8
438,2017-03-14,玉米,3.8
439,2017-03-15,玉米,3.6
440,2017-03-16,玉米,3.5
441,2017-03-17,玉米,3.5
442,2017-03-18,玉米,3.4
443,2017-03-19,玉米,3.4
444,2017-03-20,玉米,3.4
445,2017-03-21,玉米,3.5
446,2017-03-22,玉米,3.6
447,2017-03-23,玉米,3.8
448,2017-03-24,玉米,3.6
449,2017-03-25,玉米,3.3
450,2017-03-26,玉米,3.3
451,2017-03-27,玉米,3.3
452,2017-03-28,玉米,3.3
453,2017-03-29,玉米,3.2
454,2017-03-30,玉米,3.5
455,2017-03-31,玉米,3.5
456,2017-04-01,玉米,3.5
457,2017-04-02,玉米,3.4
458,2017-04-03,玉米,3.4
459,2017-04-04,玉米,3.4
460,2017-04-05,玉米,3.4
461,2017-04-06,玉米,3.4
462,2017-04-07,玉米,3.4
463,2017-04-08,玉米,3.4
464,2017-04-09,玉米,3.4
465,2017-04-10,玉米,3.4
466,2017-04-11,玉米,3.4
467,2017-04-12,玉米,3.4
468,2017-04-13,玉米,3.4
469,2017-04-14,玉米,3.4
470,2017-04-15,玉米,3.4
471,2017-04-16,玉米,3.4
472,2017-04-17,玉米,3.4
473,2017-04-18,玉米,3.6
474,2017-04-19,玉米,3.6
475,2017-04-20,玉米,3.5
476,2017-04-21,玉米,3.6
477,2017-04-22,玉米,3.6
478,2017-04-23,玉米,3.7
479,2017-04-24,玉米,3.6
480,2017-04-25,玉米,3.8
481,2017-04-26,玉米,3.8
482,2017-04-27,玉米,4.0
483,2017-04-28,玉米,4.2
484,2017-04-29,玉米,4.2
485,2017-04-30,玉米,4.3
486,2017-05-01,玉米,4.3
487,2017-05-02,玉米,4.4
488,2017-05-03,玉米,4.3
489,2017-05-04,玉米,4.5
490,2017-05-05,玉米,4.6
491,2017-05-06,玉米,4.7
492,2017-05-07,玉米,4.6
493,2017-05-08,玉米,4.8
494,2017-05-09,玉米,4.7
495,2017-05-10,玉米,4.5
496,2017-05-11,玉米,4.3
497,2017-05-12,玉米,4.2
498,2017-05-13,玉米,4.0
499,2017-05-14,玉米,3.9
500,2017-05-15,玉米,4.2
501,2017-05-16,玉米,4.0
502,2017-05-17,玉米,4.0
503,2017-05-18,玉米,4.0
504,2017-05-19,玉米,4.0
505,2017-05-20,玉米,4.0
506,2017-05-21,玉米,3.9
507,2017-05-22,玉米,3.7
508,2017-05-23,玉米,3.8
509,2017-05-24,玉米,4.0
510,2017-05-25,玉米,3.6
511,2017-05-26,玉米,3.1
512,2017-05-27,玉米,3.1
513,2017-05-28,玉米,3.0
514,2017-05-29,玉米,3.1
515,2017-05-30,玉米,3.1
516,2017-05-31,玉米,3.1
517,2017-06-01,玉米,3.1
518,2017-06-02,玉米,3.2
519,2017-06-03,玉米,3.2
520,2017-06-04,玉米,3.1
521,2017-06-05,玉米,3.3
522,2017-06-06,玉米,3.0
523,2017-06-07,玉米,3.0
524,2017-06-08,玉米,3.0
525,2017-06-09,玉米,3.0
526,2017-06-10,玉米,3.0
527,2017-06-11,玉米,3.0
528,2017-06-12,玉米,3.0
529,2017-06-13,玉米,3.0
530,2017-06-14,玉米,3.0
531,2017-06-15,玉米,3.0
532,2017-06-16,玉米,3.0
533,2017-06-17,玉米,3.0
534,2017-06-18,玉米,3.0
535,2017-06-19,玉米,3.0
536,2017-06-20,玉米,3.0
537,2017-06-21,玉米,2.9
538,2017-06-22,玉米,3.1
539,2017-06-23,玉米,3.2
540,2017-06-24,玉米,3.1
541,2017-06-25,玉米,3.1
542,2017-06-26,玉米,3.0
543,2017-06-27,玉米,3.2
544,2017-06-28,玉米,3.2
545,2017-06-29,玉米,3.2
546,2017-06-30,玉米,3.2
547,2017-07-01,玉米,3.2
548,2017-07-02,玉米,3.2
549,2017-07-03,玉米,3.2
550,2017-07-04,玉米,3.2
551,2017-07-05,玉米,3.2
552,2017-07-06,玉米,3.0
553,2017-07-07,玉米,3.0
554,2017-07-08,玉米,3.1
555,2017-07-09,玉米,3.0
556,2017-07-10,玉米,3.1
557,2017-07-11,玉米,3.1
558,2017-07-12,玉米,3.1
559,2017-07-13,玉米,3.0
560,2017-07-14,玉米,3.0
561,2017-07-15,玉米,3.0
562,2017-07-16,玉米,2.9
563,2017-07-17,玉米,3.0
564,2017-07-18,玉米,3.0
565,2017-07-19,玉米,3.2
566,2017-07-20,玉米,3.3
567,2017-07-21,玉米,3.3
568,2017-07-22,玉米,3.2
569,2017-07-23,玉米,3.1
570,2017-07-24,玉米,2.9
571,2017-07-25,玉米,3.0
572,2017-07-26,玉米,3.0
573,2017-07-27,玉米,3.1
574,2017-07-28,玉米,3.2
575,2017-07-29,玉米,3.3
576,2017-07-30,玉米,3.1
577,2017-07-31,玉米,3.0
578,2017-08-01,玉米,3.0
579,2017-08-02,玉米,2.8
580,2017-08-03,玉米,3.1
581,2017-08-04,玉米,3.1
582,2017-08-05,玉米,3.1
583,2017-08-06,玉米,3.2
584,2017-08-07,玉米,3.1
585,2017-08-08,玉米,3.1
586,2017-08-09,玉米,3.1
587,2017-08-10,玉米,3.4
588,2017-08-11,玉米,3.4
589,2017-08-12,玉米,3.3
590,2017-08-13,玉米,3.3
591,2017-08-14,玉米,3.3
592,2017-08-15,玉米,3.3
593,2017-08-16,玉米,3.3
594,2017-08-17,玉米,3.3
595,2017-08-18,玉米,3.1
596,2017-08-19,玉米,3.0
597,2017-08-20,玉米,2.9
598,2017-08-21,玉米,2.9
599,2017-08-22,玉米,2.9
600,2017-08-23,玉米,3.0
601,2017-08-24,玉米,3.0
602,2017-08-25,玉米,3.0
603,2017-08-26,玉米,3.0
604,2017-08-27,玉米,2.9
605,2017-08-28,玉米,2.9
606,2017-08-29,玉米,2.9
607,2017-08-30,玉米,2.9
608,2017-08-31,玉米,3.0
609,2017-09-01,玉米,3.1
610,2017-09-02,玉米,3.2
611,2017-09-03,玉米,3.2
612,2017-09-04,玉米,3.2
613,2017-09-05,玉米,3.2
614,2017-09-06,玉米,3.2
615,2017-09-07,玉米,3.2
616,2017-09-08,玉米,3.2
617,2017-09-09,玉米,3.2
618,2017-09-10,玉米,3.2
619,2017-09-11,玉米,3.2
620,2017-09-12,玉米,3.2
621,2017-09-13,玉米,3.2
622,2017-09-14,玉米,3.2
623,2017-09-15,玉米,3.3
624,2017-09-16,玉米,3.3
625,2017-09-17,玉米,3.5
626,2017-09-18,玉米,3.6
627,2017-09-19,玉米,3.6
628,2017-09-20,玉米,3.6
629,2017-09-21,玉米,3.6
630,2017-09-22,玉米,3.6
631,2017-09-23,玉米,3.6
632,2017-09-24,玉米,3.7
633,2017-09-25,玉米,3.7
634,2017-09-26,玉米,3.7
635,2017-09-27,玉米,3.7
636,2017-09-28,玉米,3.7
637,2017-09-29,玉米,3.7
638,2017-09-30,玉米,3.7
639,2017-10-01,玉米,3.7
640,2017-10-02,玉米,3.7
641,2017-10-03,玉米,4.0
642,2017-10-04,玉米,4.0
643,2017-10-05,玉米,4.0
644,2017-10-06,玉米,4.0
645,2017-10-07,玉米,4.0
646,2017-10-08,玉米,3.9
647,2017-10-09,玉米,3.9
648,2017-10-10,玉米,3.8
649,2017-10-11,玉米,3.8
650,2017-10-12,玉米,3.9
651,2017-10-13,玉米,3.8
652,2017-10-14,玉米,3.8
653,2017-10-15,玉米,3.8
654,2017-10-16,玉米,4.0
655,2017-10-17,玉米,3.8
656,2017-10-18,玉米,3.8
657,2017-10-19,玉米,3.8
658,2017-10-20,玉米,3.8
659,2017-10-21,玉米,3.8
660,2017-10-22,玉米,3.8
661,2017-10-23,玉米,4.0
662,2017-10-24,玉米,3.8
663,2017-10-25,玉米,3.8
664,2017-10-26,玉米,3.8
665,2017-10-27,玉米,3.8
666,2017-10-28,玉米,3.8
667,2017-10-29,玉米,4.0
668,2017-10-30,玉米,4.0
669,2017-10-31,玉米,4.0
670,2017-11-01,玉米,3.8
671,2017-11-02,玉米,3.8
672,2017-11-03,玉米,3.8
673,2017-11-04,玉米,3.8
674,2017-11-05,玉米,3.8
675,2017-11-06,玉米,3.8
676,2017-11-07,玉米,3.8
677,2017-11-08,玉米,3.8
678,2017-11-09,玉米,3.8
679,2017-11-10,玉米,3.8
680,2017-11-11,玉米,3.8
681,2017-11-12,玉米,3.8
682,2017-11-13,玉米,3.8
683,2017-11-14,玉米,3.8
684,2017-11-15,玉米,3.8
685,2017-11-16,玉米,3.8
686,2017-11-17,玉米,3.9
687,2017-11-18,玉米,3.8
688,2017-11-19,玉米,3.8
689,2017-11-20,玉米,4.0
690,2017-11-21,玉米,3.8
691,2017-11-22,玉米,3.8
692,2017-11-23,玉米,3.9
693,2017-11-24,玉米,3.9
694,2017-11-25,玉米,4.0
695,2017-11-26,玉米,4.0
696,2017-11-27,玉米,3.9
697,2017-11-28,玉米,4.0
698,2017-11-29,玉米,3.9
699,2017-11-30,玉米,4.0
700,2017-12-01,玉米,3.8
701,2017-12-02,玉米,3.5
702,2017-12-03,玉米,3.6
703,2017-12-04,玉米,3.6
704,2017-12-05,玉米,3.5
705,2017-12-06,玉米,3.3
706,2017-12-07,玉米,3.2
707,2017-12-08,玉米,3.3
708,2017-12-09,玉米,3.4
709,2017-12-10,玉米,3.3
710,2017-12-11,玉米,3.5
711,2017-12-12,玉米,3.2
712,2017-12-13,玉米,3.2
713,2017-12-14,玉米,3.5
714,2017-12-15,玉米,3.4
715,2017-12-16,玉米,3.3
716,2017-12-17,玉米,3.2
717,2017-12-18,玉米,3.5
718,2017-12-19,玉米,3.5
719,2017-12-20,玉米,3.9
720,2017-12-21,玉米,3.9
721,2017-12-22,玉米,3.9
722,2017-12-23,玉米,3.9
723,2017-12-24,玉米,3.9
724,2017-12-25,玉米,4.0
725,2017-12-26,玉米,4.0
726,2017-12-27,玉米,4.0
727,2017-12-28,玉米,4.0
728,2017-12-29,玉米,4.0
729,2017-12-30,玉米,4.0
730,2017-12-31,玉米,4.0
