,date,name,price
0,2016-01-01,玉豆,3.8
1,2016-01-02,玉豆,3.4
2,2016-01-03,玉豆,3.4
3,2016-01-04,玉豆,3.0
4,2016-01-05,玉豆,3.0
5,2016-01-06,玉豆,3.0
6,2016-01-07,玉豆,3.3
7,2016-01-08,玉豆,3.3
8,2016-01-09,玉豆,3.3
9,2016-01-10,玉豆,3.3
10,2016-01-11,玉豆,3.3
11,2016-01-12,玉豆,3.3
12,2016-01-13,玉豆,3.5
13,2016-01-14,玉豆,3.5
14,2016-01-15,玉豆,3.5
15,2016-01-16,玉豆,3.5
16,2016-01-17,玉豆,3.5
17,2016-01-18,玉豆,3.5
18,2016-01-19,玉豆,3.5
19,2016-01-20,玉豆,3.5
20,2016-01-21,玉豆,3.3
21,2016-01-22,玉豆,3.3
22,2016-01-23,玉豆,3.5
23,2016-01-24,玉豆,4.0
24,2016-01-25,玉豆,4.0
25,2016-01-26,玉豆,4.0
26,2016-01-27,玉豆,4.0
27,2016-01-28,玉豆,4.3
28,2016-01-29,玉豆,4.3
29,2016-01-30,玉豆,4.5
30,2016-01-31,玉豆,5.0
31,2016-02-01,玉豆,5.0
32,2016-02-02,玉豆,5.6
33,2016-02-03,玉豆,6.0
34,2016-02-04,玉豆,6.4
35,2016-02-05,玉豆,6.8
36,2016-02-06,玉豆,7.2
37,2016-02-07,玉豆,7.6
38,2016-02-08,玉豆,8.2
39,2016-02-09,玉豆,8.3
40,2016-02-10,玉豆,8.0
41,2016-02-11,玉豆,6.5
42,2016-02-12,玉豆,6.5
43,2016-02-13,玉豆,6.3
44,2016-02-14,玉豆,6.0
45,2016-02-15,玉豆,5.8
46,2016-02-16,玉豆,5.7
47,2016-02-17,玉豆,6.0
48,2016-02-18,玉豆,6.0
49,2016-02-19,玉豆,5.8
50,2016-02-20,玉豆,6.0
51,2016-02-21,玉豆,5.8
52,2016-02-22,玉豆,6.0
53,2016-02-23,玉豆,6.0
54,2016-02-24,玉豆,5.8
55,2016-02-25,玉豆,6.0
56,2016-02-26,玉豆,6.5
57,2016-02-27,玉豆,6.0
58,2016-02-28,玉豆,6.5
59,2016-02-29,玉豆,6.3
60,2016-03-01,玉豆,6.5
61,2016-03-02,玉豆,6.2
62,2016-03-03,玉豆,6.0
63,2016-03-04,玉豆,5.8
