,date,name,price
0,2016-01-01,甜墨豆,6.4
1,2016-01-02,甜墨豆,6.8
2,2016-01-03,甜墨豆,7.0
3,2016-01-04,甜墨豆,7.4
4,2016-01-05,甜墨豆,7.4
5,2016-01-06,甜墨豆,7.4
6,2016-01-07,甜墨豆,7.8
7,2016-01-08,甜墨豆,7.8
8,2016-01-09,甜墨豆,7.8
9,2016-01-10,甜墨豆,7.8
10,2016-01-11,甜墨豆,7.8
11,2016-01-12,甜墨豆,7.8
12,2016-01-13,甜墨豆,7.0
13,2016-01-14,甜墨豆,7.0
14,2016-01-15,甜墨豆,7.0
15,2016-01-16,甜墨豆,7.0
16,2016-01-17,甜墨豆,6.9
17,2016-01-18,甜墨豆,6.9
18,2016-01-19,甜墨豆,7.0
19,2016-01-20,甜墨豆,7.1
20,2016-01-21,甜墨豆,7.1
21,2016-01-22,甜墨豆,7.1
22,2016-01-23,甜墨豆,7.1
23,2016-01-24,甜墨豆,7.1
24,2016-01-25,甜墨豆,7.1
25,2016-01-26,甜墨豆,7.3
26,2016-01-27,甜墨豆,7.3
27,2016-01-28,甜墨豆,7.6
28,2016-01-29,甜墨豆,7.6
29,2016-01-30,甜墨豆,7.8
30,2016-01-31,甜墨豆,8.0
31,2016-02-01,甜墨豆,8.0
32,2016-02-02,甜墨豆,9.0
33,2016-02-03,甜墨豆,9.4
34,2016-02-04,甜墨豆,9.4
35,2016-02-05,甜墨豆,9.4
36,2016-02-06,甜墨豆,9.4
37,2016-02-07,甜墨豆,9.4
38,2016-02-08,甜墨豆,11.0
39,2016-02-09,甜墨豆,11.2
40,2016-02-10,甜墨豆,11.2
41,2016-02-11,甜墨豆,11.0
42,2016-02-12,甜墨豆,11.0
43,2016-02-13,甜墨豆,10.7
44,2016-02-14,甜墨豆,10.7
45,2016-02-15,甜墨豆,10.8
46,2016-02-16,甜墨豆,11.0
47,2016-02-17,甜墨豆,12.0
48,2016-02-18,甜墨豆,11.0
49,2016-02-19,甜墨豆,11.0
50,2016-02-20,甜墨豆,10.5
51,2016-02-21,甜墨豆,11.0
52,2016-02-22,甜墨豆,10.6
53,2016-02-23,甜墨豆,10.5
54,2016-02-24,甜墨豆,11.0
55,2016-02-25,甜墨豆,12.0
56,2016-02-26,甜墨豆,12.0
57,2016-02-27,甜墨豆,12.0
58,2016-02-28,甜墨豆,12.0
59,2016-02-29,甜墨豆,11.5
60,2016-03-01,甜墨豆,12.0
61,2016-03-02,甜墨豆,11.8
62,2016-03-03,甜墨豆,11.5
63,2016-03-04,甜墨豆,11.3
64,2016-03-05,甜墨豆,11.3
65,2016-03-06,甜墨豆,11.0
66,2016-03-07,甜墨豆,11.3
67,2016-03-08,甜墨豆,11.2
68,2016-03-09,甜墨豆,11.2
69,2016-03-10,甜墨豆,11.0
70,2016-03-11,甜墨豆,10.8
71,2016-03-12,甜墨豆,10.5
72,2016-03-13,甜墨豆,10.0
73,2016-03-14,甜墨豆,9.8
74,2016-03-15,甜墨豆,10.0
75,2016-03-16,甜墨豆,11.3
76,2016-03-17,甜墨豆,10.5
77,2016-03-18,甜墨豆,10.0
78,2016-03-19,甜墨豆,9.5
79,2016-03-20,甜墨豆,9.2
80,2016-03-21,甜墨豆,9.0
81,2016-03-22,甜墨豆,9.0
82,2016-03-23,甜墨豆,8.9
83,2016-03-24,甜墨豆,8.9
84,2016-03-25,甜墨豆,8.9
85,2016-03-26,甜墨豆,9.0
86,2016-03-27,甜墨豆,9.2
87,2016-03-28,甜墨豆,9.3
88,2016-03-29,甜墨豆,9.5
89,2016-03-30,甜墨豆,9.8
90,2016-03-31,甜墨豆,10.0
91,2016-04-01,甜墨豆,10.0
92,2016-04-02,甜墨豆,10.5
93,2016-04-03,甜墨豆,10.5
94,2016-04-04,甜墨豆,10.5
95,2016-04-05,甜墨豆,10.0
96,2016-04-06,甜墨豆,10.0
97,2016-04-07,甜墨豆,10.0
98,2016-04-08,甜墨豆,9.8
99,2016-04-09,甜墨豆,9.5
100,2016-04-10,甜墨豆,9.0
101,2016-04-11,甜墨豆,8.9
102,2016-04-12,甜墨豆,8.6
103,2016-04-13,甜墨豆,8.7
104,2016-04-14,甜墨豆,8.0
105,2016-04-15,甜墨豆,7.5
106,2016-04-16,甜墨豆,7.5
107,2016-04-17,甜墨豆,7.0
108,2016-04-18,甜墨豆,7.0
109,2016-04-19,甜墨豆,6.8
110,2016-04-20,甜墨豆,6.8
111,2016-04-21,甜墨豆,6.0
112,2016-04-22,甜墨豆,6.0
113,2016-04-23,甜墨豆,5.7
114,2016-04-24,甜墨豆,5.7
115,2016-04-25,甜墨豆,5.5
116,2016-04-26,甜墨豆,5.3
117,2016-04-27,甜墨豆,5.3
118,2016-04-28,甜墨豆,5.3
119,2016-04-29,甜墨豆,5.3
120,2016-04-30,甜墨豆,5.3
121,2016-05-01,甜墨豆,5.4
122,2016-05-02,甜墨豆,5.4
123,2016-05-03,甜墨豆,5.3
124,2016-05-04,甜墨豆,5.3
125,2016-05-05,甜墨豆,5.4
126,2016-05-06,甜墨豆,5.4
127,2016-05-07,甜墨豆,5.3
128,2016-05-08,甜墨豆,5.3
129,2016-05-09,甜墨豆,5.4
130,2016-05-10,甜墨豆,5.3
131,2016-05-11,甜墨豆,5.3
132,2016-05-12,甜墨豆,5.3
133,2016-05-13,甜墨豆,5.3
134,2016-05-14,甜墨豆,5.3
135,2016-05-15,甜墨豆,5.3
136,2016-05-16,甜墨豆,5.3
137,2016-05-17,甜墨豆,5.3
138,2016-05-18,甜墨豆,5.3
139,2016-05-19,甜墨豆,5.3
140,2016-05-20,甜墨豆,5.3
141,2016-05-21,甜墨豆,5.3
142,2016-05-22,甜墨豆,5.3
143,2016-05-23,甜墨豆,5.3
144,2016-05-24,甜墨豆,5.3
145,2016-05-25,甜墨豆,5.4
146,2016-05-26,甜墨豆,5.0
147,2016-05-27,甜墨豆,5.0
148,2016-05-28,甜墨豆,5.2
149,2016-05-29,甜墨豆,5.3
150,2016-05-30,甜墨豆,5.0
151,2016-05-31,甜墨豆,5.2
152,2016-06-01,甜墨豆,5.4
153,2016-06-02,甜墨豆,5.9
154,2016-06-03,甜墨豆,5.9
155,2016-06-04,甜墨豆,5.9
156,2016-06-05,甜墨豆,5.9
157,2016-06-06,甜墨豆,5.8
158,2016-06-07,甜墨豆,5.8
159,2016-06-08,甜墨豆,6.0
160,2016-06-09,甜墨豆,5.9
161,2016-06-10,甜墨豆,5.9
162,2016-06-11,甜墨豆,6.0
163,2016-06-12,甜墨豆,6.0
164,2016-06-13,甜墨豆,6.0
165,2016-06-14,甜墨豆,5.9
166,2016-06-15,甜墨豆,5.9
167,2016-06-16,甜墨豆,5.8
168,2016-06-17,甜墨豆,6.0
169,2016-06-18,甜墨豆,6.0
170,2016-06-19,甜墨豆,6.0
171,2016-06-20,甜墨豆,5.9
172,2016-06-21,甜墨豆,5.9
173,2016-06-22,甜墨豆,6.0
174,2016-06-23,甜墨豆,6.0
175,2016-06-24,甜墨豆,6.0
