,date,name,price
0,2016-01-01,生菜,4.2
1,2016-01-02,生菜,4.1
2,2016-01-03,生菜,4.1
3,2016-01-04,生菜,4.1
4,2016-01-05,生菜,4.2
5,2016-01-06,生菜,4.5
6,2016-01-07,生菜,4.5
7,2016-01-08,生菜,4.2
8,2016-01-09,生菜,4.2
9,2016-01-10,生菜,4.1
10,2016-01-11,生菜,4.2
11,2016-01-12,生菜,4.0
12,2016-01-13,生菜,3.6
13,2016-01-14,生菜,3.6
14,2016-01-15,生菜,3.6
15,2016-01-16,生菜,3.6
16,2016-01-17,生菜,3.6
17,2016-01-18,生菜,3.6
18,2016-01-19,生菜,3.6
19,2016-01-20,生菜,3.6
20,2016-01-21,生菜,3.8
21,2016-01-22,生菜,3.8
22,2016-01-23,生菜,3.8
23,2016-01-24,生菜,4.5
24,2016-01-25,生菜,4.5
25,2016-01-26,生菜,4.8
26,2016-01-27,生菜,5.3
27,2016-01-28,生菜,5.7
28,2016-01-29,生菜,6.2
29,2016-01-30,生菜,6.6
30,2016-01-31,生菜,7.0
31,2016-02-01,生菜,7.5
32,2016-02-02,生菜,7.9
33,2016-02-03,生菜,8.0
34,2016-02-04,生菜,8.1
35,2016-02-05,生菜,8.1
36,2016-02-06,生菜,8.2
37,2016-02-07,生菜,8.2
38,2016-02-08,生菜,9.5
39,2016-02-09,生菜,9.4
40,2016-02-10,生菜,10.0
41,2016-02-11,生菜,11.0
42,2016-02-12,生菜,12.0
43,2016-02-13,生菜,12.2
44,2016-02-14,生菜,12.0
45,2016-02-15,生菜,10.8
46,2016-02-16,生菜,9.6
47,2016-02-17,生菜,8.9
48,2016-02-18,生菜,8.0
49,2016-02-19,生菜,7.8
50,2016-02-20,生菜,7.5
51,2016-02-21,生菜,7.8
52,2016-02-22,生菜,8.0
53,2016-02-23,生菜,7.9
54,2016-02-24,生菜,8.0
55,2016-02-25,生菜,7.5
56,2016-02-26,生菜,7.0
57,2016-02-27,生菜,7.5
58,2016-02-28,生菜,7.0
59,2016-02-29,生菜,7.0
60,2016-03-01,生菜,7.0
61,2016-03-02,生菜,7.0
