,date,name,price
0,2016-01-01,白萝卜,0.9
1,2016-01-02,白萝卜,1.0
2,2016-01-03,白萝卜,1.0
3,2016-01-04,白萝卜,1.0
4,2016-01-05,白萝卜,1.0
5,2016-01-06,白萝卜,1.0
6,2016-01-07,白萝卜,1.0
7,2016-01-08,白萝卜,1.0
8,2016-01-09,白萝卜,1.0
9,2016-01-10,白萝卜,1.0
10,2016-01-11,白萝卜,1.0
11,2016-01-12,白萝卜,1.0
12,2016-01-13,白萝卜,1.0
13,2016-01-14,白萝卜,1.0
14,2016-01-15,白萝卜,1.0
15,2016-01-16,白萝卜,1.0
16,2016-01-17,白萝卜,1.0
17,2016-01-18,白萝卜,1.0
18,2016-01-19,白萝卜,1.0
19,2016-01-20,白萝卜,1.0
20,2016-01-21,白萝卜,1.0
21,2016-01-22,白萝卜,1.0
22,2016-01-23,白萝卜,1.0
23,2016-01-24,白萝卜,1.3
24,2016-01-25,白萝卜,1.3
25,2016-01-26,白萝卜,1.5
26,2016-01-27,白萝卜,1.5
27,2016-01-28,白萝卜,1.5
28,2016-01-29,白萝卜,1.4
29,2016-01-30,白萝卜,1.5
30,2016-01-31,白萝卜,1.2
31,2016-02-01,白萝卜,1.2
32,2016-02-02,白萝卜,1.3
33,2016-02-03,白萝卜,1.4
34,2016-02-04,白萝卜,1.5
35,2016-02-05,白萝卜,1.6
36,2016-02-06,白萝卜,1.7
37,2016-02-07,白萝卜,1.8
38,2016-02-08,白萝卜,2.0
39,2016-02-09,白萝卜,1.9
40,2016-02-10,白萝卜,2.0
41,2016-02-11,白萝卜,2.0
42,2016-02-12,白萝卜,2.0
43,2016-02-13,白萝卜,1.8
44,2016-02-14,白萝卜,2.0
45,2016-02-15,白萝卜,1.8
46,2016-02-16,白萝卜,1.6
47,2016-02-17,白萝卜,1.5
48,2016-02-18,白萝卜,1.4
49,2016-02-19,白萝卜,1.2
50,2016-02-20,白萝卜,1.3
51,2016-02-21,白萝卜,1.2
52,2016-02-22,白萝卜,1.3
53,2016-02-23,白萝卜,1.1
54,2016-02-24,白萝卜,1.2
55,2016-02-25,白萝卜,1.2
56,2016-02-26,白萝卜,1.0
57,2016-02-27,白萝卜,1.2
58,2016-02-28,白萝卜,1.0
59,2016-02-29,白萝卜,1.3
60,2016-03-01,白萝卜,1.3
61,2016-03-02,白萝卜,1.3
62,2016-03-03,白萝卜,1.3
63,2016-03-04,白萝卜,1.3
64,2016-03-05,白萝卜,1.3
65,2016-03-06,白萝卜,1.2
66,2016-03-07,白萝卜,1.3
67,2016-03-08,白萝卜,1.3
68,2016-03-09,白萝卜,1.3
69,2016-03-10,白萝卜,1.2
70,2016-03-11,白萝卜,1.2
71,2016-03-12,白萝卜,1.2
