,date,name,price
0,2016-01-01,白豆角,5.5
1,2016-01-02,白豆角,5.5
2,2016-01-03,白豆角,5.5
3,2016-01-04,白豆角,5.5
4,2016-01-05,白豆角,5.5
5,2016-01-06,白豆角,5.5
6,2016-01-07,白豆角,5.5
7,2016-01-08,白豆角,5.5
8,2016-01-09,白豆角,5.5
9,2016-01-10,白豆角,5.6
10,2016-01-11,白豆角,5.6
11,2016-01-12,白豆角,5.6
12,2016-01-13,白豆角,5.6
13,2016-01-14,白豆角,5.6
14,2016-01-15,白豆角,5.3
15,2016-01-16,白豆角,5.3
16,2016-01-17,白豆角,5.3
17,2016-01-18,白豆角,5.3
18,2016-01-19,白豆角,5.3
19,2016-01-20,白豆角,5.3
20,2016-01-21,白豆角,5.3
21,2016-01-22,白豆角,5.3
22,2016-01-23,白豆角,5.4
23,2016-01-24,白豆角,6.0
24,2016-01-25,白豆角,6.0
25,2016-01-26,白豆角,6.2
26,2016-01-27,白豆角,6.2
27,2016-01-28,白豆角,6.4
28,2016-01-29,白豆角,6.6
29,2016-01-30,白豆角,6.8
30,2016-01-31,白豆角,6.9
31,2016-02-01,白豆角,7.1
32,2016-02-02,白豆角,7.3
33,2016-02-03,白豆角,7.7
34,2016-02-04,白豆角,8.0
35,2016-02-05,白豆角,8.2
36,2016-02-06,白豆角,8.5
37,2016-02-07,白豆角,8.8
38,2016-02-08,白豆角,9.5
39,2016-02-09,白豆角,9.4
40,2016-02-10,白豆角,10.0
41,2016-02-11,白豆角,8.3
42,2016-02-12,白豆角,8.2
43,2016-02-13,白豆角,8.0
44,2016-02-14,白豆角,7.9
45,2016-02-15,白豆角,8.0
46,2016-02-16,白豆角,8.0
47,2016-02-17,白豆角,8.0
48,2016-02-18,白豆角,7.8
49,2016-02-19,白豆角,8.5
50,2016-02-20,白豆角,8.6
51,2016-02-21,白豆角,8.5
52,2016-02-22,白豆角,8.7
53,2016-02-23,白豆角,8.5
54,2016-02-24,白豆角,9.0
55,2016-02-25,白豆角,10.0
56,2016-02-26,白豆角,10.2
57,2016-02-27,白豆角,10.0
58,2016-02-28,白豆角,10.2
59,2016-02-29,白豆角,10.0
60,2016-03-01,白豆角,10.2
61,2016-03-02,白豆角,10.0
62,2016-03-03,白豆角,10.1
63,2016-03-04,白豆角,10.0
64,2016-03-05,白豆角,10.8
65,2016-03-06,白豆角,10.0
66,2016-03-07,白豆角,9.8
67,2016-03-08,白豆角,9.6
68,2016-03-09,白豆角,9.8
69,2016-03-10,白豆角,9.5
70,2016-03-11,白豆角,9.5
71,2016-03-12,白豆角,9.7
72,2016-03-13,白豆角,9.5
73,2016-03-14,白豆角,9.7
74,2016-03-15,白豆角,10.0
75,2016-03-16,白豆角,10.0
76,2016-03-17,白豆角,10.0
77,2016-03-18,白豆角,10.0
78,2016-03-19,白豆角,10.0
79,2016-03-20,白豆角,10.0
80,2016-03-21,白豆角,10.0
81,2016-03-22,白豆角,10.0
82,2016-03-23,白豆角,10.0
83,2016-03-24,白豆角,9.8
84,2016-03-25,白豆角,9.7
85,2016-03-26,白豆角,9.6
86,2016-03-27,白豆角,9.6
87,2016-03-28,白豆角,9.4
88,2016-03-29,白豆角,9.5
89,2016-03-30,白豆角,9.5
90,2016-03-31,白豆角,10.0
91,2016-04-01,白豆角,10.0
92,2016-04-02,白豆角,9.8
93,2016-04-03,白豆角,9.8
94,2016-04-04,白豆角,10.0
95,2016-04-05,白豆角,10.0
96,2016-04-06,白豆角,9.6
97,2016-04-07,白豆角,9.5
98,2016-04-08,白豆角,9.5
99,2016-04-09,白豆角,9.0
100,2016-04-10,白豆角,8.8
101,2016-04-11,白豆角,8.7
102,2016-04-12,白豆角,8.5
103,2016-04-13,白豆角,8.5
104,2016-04-14,白豆角,8.0
105,2016-04-15,白豆角,8.0
106,2016-04-16,白豆角,8.0
107,2016-04-17,白豆角,8.0
108,2016-04-18,白豆角,8.0
109,2016-04-19,白豆角,7.6
110,2016-04-20,白豆角,7.6
111,2016-04-21,白豆角,7.0
112,2016-04-22,白豆角,7.2
113,2016-04-23,白豆角,7.1
114,2016-04-24,白豆角,7.1
115,2016-04-25,白豆角,7.0
116,2016-04-26,白豆角,7.0
117,2016-04-27,白豆角,7.0
118,2016-04-28,白豆角,7.0
119,2016-04-29,白豆角,6.8
120,2016-04-30,白豆角,7.0
121,2016-05-01,白豆角,7.2
122,2016-05-02,白豆角,7.2
123,2016-05-03,白豆角,7.0
124,2016-05-04,白豆角,7.0
125,2016-05-05,白豆角,7.2
126,2016-05-06,白豆角,7.2
127,2016-05-07,白豆角,7.0
128,2016-05-08,白豆角,6.5
129,2016-05-09,白豆角,7.2
130,2016-05-10,白豆角,5.6
131,2016-05-11,白豆角,5.3
132,2016-05-12,白豆角,5.6
133,2016-05-13,白豆角,5.3
134,2016-05-14,白豆角,5.6
135,2016-05-15,白豆角,5.3
136,2016-05-16,白豆角,5.3
137,2016-05-17,白豆角,4.8
138,2016-05-18,白豆角,4.5
139,2016-05-19,白豆角,4.2
140,2016-05-20,白豆角,4.0
141,2016-05-21,白豆角,4.0
142,2016-05-22,白豆角,4.0
143,2016-05-23,白豆角,4.0
144,2016-05-24,白豆角,3.9
145,2016-05-25,白豆角,3.9
146,2016-05-26,白豆角,3.6
147,2016-05-27,白豆角,3.6
148,2016-05-28,白豆角,3.5
149,2016-05-29,白豆角,3.4
150,2016-05-30,白豆角,3.6
151,2016-05-31,白豆角,3.5
152,2016-06-01,白豆角,3.5
153,2016-06-02,白豆角,3.2
154,2016-06-03,白豆角,3.0
155,2016-06-04,白豆角,2.9
156,2016-06-05,白豆角,2.9
157,2016-06-06,白豆角,3.0
158,2016-06-07,白豆角,2.8
159,2016-06-08,白豆角,2.8
160,2016-06-09,白豆角,2.6
161,2016-06-10,白豆角,2.6
162,2016-06-11,白豆角,2.6
