,date,name,price
0,2016-01-01,百灵菇,21.0
1,2016-01-02,百灵菇,21.0
2,2016-01-03,百灵菇,21.0
3,2016-01-04,百灵菇,21.0
4,2016-01-05,百灵菇,21.0
5,2016-01-06,百灵菇,21.0
6,2016-01-07,百灵菇,21.0
7,2016-01-08,百灵菇,21.0
8,2016-01-09,百灵菇,21.0
9,2016-01-10,百灵菇,21.0
10,2016-01-11,百灵菇,21.0
11,2016-01-12,百灵菇,21.0
12,2016-01-13,百灵菇,21.0
13,2016-01-14,百灵菇,22.0
14,2016-01-15,百灵菇,23.0
15,2016-01-16,百灵菇,23.0
16,2016-01-17,百灵菇,23.0
17,2016-01-18,百灵菇,23.0
18,2016-01-19,百灵菇,23.0
19,2016-01-20,百灵菇,23.0
20,2016-01-21,百灵菇,23.0
21,2016-01-22,百灵菇,23.0
22,2016-01-23,百灵菇,23.0
23,2016-01-24,百灵菇,23.0
24,2016-01-25,百灵菇,23.0
25,2016-01-26,百灵菇,23.0
26,2016-01-27,百灵菇,23.0
27,2016-01-28,百灵菇,22.7
28,2016-01-29,百灵菇,22.7
29,2016-01-30,百灵菇,22.7
30,2016-01-31,百灵菇,22.7
31,2016-02-01,百灵菇,22.7
32,2016-02-02,百灵菇,22.0
33,2016-02-03,百灵菇,21.0
34,2016-02-04,百灵菇,21.0
35,2016-02-05,百灵菇,21.0
36,2016-02-06,百灵菇,21.0
37,2016-02-07,百灵菇,21.0
38,2016-02-08,百灵菇,22.0
39,2016-02-09,百灵菇,21.8
40,2016-02-10,百灵菇,21.8
41,2016-02-11,百灵菇,21.0
42,2016-02-12,百灵菇,21.0
43,2016-02-13,百灵菇,19.5
44,2016-02-14,百灵菇,19.0
45,2016-02-15,百灵菇,19.0
46,2016-02-16,百灵菇,19.0
47,2016-02-17,百灵菇,19.0
48,2016-02-18,百灵菇,18.5
49,2016-02-19,百灵菇,18.0
50,2016-02-20,百灵菇,18.0
51,2016-02-21,百灵菇,18.0
52,2016-02-22,百灵菇,18.5
53,2016-02-23,百灵菇,18.5
54,2016-02-24,百灵菇,19.0
55,2016-02-25,百灵菇,18.5
56,2016-02-26,百灵菇,18.5
57,2016-02-27,百灵菇,18.5
58,2016-02-28,百灵菇,18.5
59,2016-02-29,百灵菇,18.5
60,2016-03-01,百灵菇,18.5
61,2016-03-02,百灵菇,18.5
62,2016-03-03,百灵菇,18.5
63,2016-03-04,百灵菇,18.5
64,2016-03-05,百灵菇,18.5
65,2016-03-06,百灵菇,18.5
66,2016-03-07,百灵菇,18.5
67,2016-03-08,百灵菇,18.5
68,2016-03-09,百灵菇,18.5
69,2016-03-10,百灵菇,18.5
70,2016-03-11,百灵菇,18.5
71,2016-03-12,百灵菇,18.5
72,2016-03-13,百灵菇,18.0
73,2016-03-14,百灵菇,18.0
74,2016-03-15,百灵菇,18.0
75,2016-03-16,百灵菇,18.0
76,2016-03-17,百灵菇,18.0
77,2016-03-18,百灵菇,18.0
78,2016-03-19,百灵菇,18.0
79,2016-03-20,百灵菇,18.0
80,2016-03-21,百灵菇,18.0
81,2016-03-22,百灵菇,18.0
82,2016-03-23,百灵菇,18.0
83,2016-03-24,百灵菇,18.0
84,2016-03-25,百灵菇,18.0
85,2016-03-26,百灵菇,18.0
86,2016-03-27,百灵菇,18.0
87,2016-03-28,百灵菇,18.0
88,2016-03-29,百灵菇,18.0
89,2016-03-30,百灵菇,18.0
90,2016-03-31,百灵菇,18.0
91,2016-04-01,百灵菇,18.0
92,2016-04-02,百灵菇,18.0
93,2016-04-03,百灵菇,18.0
94,2016-04-04,百灵菇,18.0
95,2016-04-05,百灵菇,18.0
96,2016-04-06,百灵菇,18.0
97,2016-04-07,百灵菇,18.0
98,2016-04-08,百灵菇,18.0
99,2016-04-09,百灵菇,18.0
100,2016-04-10,百灵菇,18.0
101,2016-04-11,百灵菇,18.0
102,2016-04-12,百灵菇,18.0
103,2016-04-13,百灵菇,17.8
104,2016-04-14,百灵菇,17.8
105,2016-04-15,百灵菇,17.8
106,2016-04-16,百灵菇,17.8
107,2016-04-17,百灵菇,17.8
108,2016-04-18,百灵菇,17.7
109,2016-04-19,百灵菇,17.0
110,2016-04-20,百灵菇,17.0
111,2016-04-21,百灵菇,17.0
112,2016-04-22,百灵菇,16.5
113,2016-04-23,百灵菇,16.0
114,2016-04-24,百灵菇,16.0
115,2016-04-25,百灵菇,16.0
116,2016-04-26,百灵菇,16.0
117,2016-04-27,百灵菇,16.0
118,2016-04-28,百灵菇,16.0
119,2016-04-29,百灵菇,16.0
120,2016-04-30,百灵菇,16.0
121,2016-05-01,百灵菇,16.0
122,2016-05-02,百灵菇,16.0
123,2016-05-03,百灵菇,16.5
124,2016-05-04,百灵菇,16.0
125,2016-05-05,百灵菇,16.0
126,2016-05-06,百灵菇,16.0
127,2016-05-07,百灵菇,16.5
128,2016-05-08,百灵菇,16.5
129,2016-05-09,百灵菇,16.0
130,2016-05-10,百灵菇,16.0
131,2016-05-11,百灵菇,16.5
132,2016-05-12,百灵菇,16.0
133,2016-05-13,百灵菇,16.5
134,2016-05-14,百灵菇,16.0
135,2016-05-15,百灵菇,16.0
136,2016-05-16,百灵菇,16.5
