,date,name,price
0,2016-01-01,矮脚白菜,2.8
1,2016-01-02,矮脚白菜,2.8
2,2016-01-03,矮脚白菜,2.8
3,2016-01-04,矮脚白菜,2.8
4,2016-01-05,矮脚白菜,2.8
5,2016-01-06,矮脚白菜,2.8
6,2016-01-07,矮脚白菜,2.8
7,2016-01-08,矮脚白菜,2.8
8,2016-01-09,矮脚白菜,2.8
9,2016-01-10,矮脚白菜,2.8
10,2016-01-11,矮脚白菜,2.8
11,2016-01-12,矮脚白菜,2.8
12,2016-01-13,矮脚白菜,2.8
13,2016-01-14,矮脚白菜,2.8
14,2016-01-15,矮脚白菜,2.6
15,2016-01-16,矮脚白菜,2.6
16,2016-01-17,矮脚白菜,2.6
17,2016-01-18,矮脚白菜,2.6
18,2016-01-19,矮脚白菜,2.7
19,2016-01-20,矮脚白菜,2.9
20,2016-01-21,矮脚白菜,3.0
21,2016-01-22,矮脚白菜,3.1
22,2016-01-23,矮脚白菜,3.1
23,2016-01-24,矮脚白菜,3.6
24,2016-01-25,矮脚白菜,3.6
25,2016-01-26,矮脚白菜,3.8
26,2016-01-27,矮脚白菜,4.3
27,2016-01-28,矮脚白菜,4.3
28,2016-01-29,矮脚白菜,4.5
29,2016-01-30,矮脚白菜,4.8
30,2016-01-31,矮脚白菜,5.0
31,2016-02-01,矮脚白菜,5.0
32,2016-02-02,矮脚白菜,5.7
33,2016-02-03,矮脚白菜,5.8
34,2016-02-04,矮脚白菜,5.9
35,2016-02-05,矮脚白菜,6.0
36,2016-02-06,矮脚白菜,6.2
37,2016-02-07,矮脚白菜,6.3
38,2016-02-08,矮脚白菜,7.0
39,2016-02-09,矮脚白菜,6.9
40,2016-02-10,矮脚白菜,6.5
41,2016-02-11,矮脚白菜,7.5
42,2016-02-12,矮脚白菜,7.5
43,2016-02-13,矮脚白菜,7.6
44,2016-02-14,矮脚白菜,8.0
45,2016-02-15,矮脚白菜,7.3
46,2016-02-16,矮脚白菜,6.6
47,2016-02-17,矮脚白菜,6.3
48,2016-02-18,矮脚白菜,6.3
49,2016-02-19,矮脚白菜,6.5
50,2016-02-20,矮脚白菜,6.8
51,2016-02-21,矮脚白菜,6.5
52,2016-02-22,矮脚白菜,6.5
53,2016-02-23,矮脚白菜,6.6
54,2016-02-24,矮脚白菜,6.5
55,2016-02-25,矮脚白菜,6.3
56,2016-02-26,矮脚白菜,6.5
57,2016-02-27,矮脚白菜,6.3
58,2016-02-28,矮脚白菜,6.5
59,2016-02-29,矮脚白菜,6.5
60,2016-03-01,矮脚白菜,6.5
61,2016-03-02,矮脚白菜,6.7
62,2016-03-03,矮脚白菜,7.0
63,2016-03-04,矮脚白菜,7.3
64,2016-03-05,矮脚白菜,7.4
65,2016-03-06,矮脚白菜,7.2
66,2016-03-07,矮脚白菜,7.4
67,2016-03-08,矮脚白菜,7.0
68,2016-03-09,矮脚白菜,6.7
69,2016-03-10,矮脚白菜,6.4
70,2016-03-11,矮脚白菜,6.0
71,2016-03-12,矮脚白菜,5.8
72,2016-03-13,矮脚白菜,5.5
73,2016-03-14,矮脚白菜,5.3
74,2016-03-15,矮脚白菜,5.3
75,2016-03-16,矮脚白菜,5.3
76,2016-03-17,矮脚白菜,5.0
77,2016-03-18,矮脚白菜,4.8
78,2016-03-19,矮脚白菜,4.5
79,2016-03-20,矮脚白菜,4.3
80,2016-03-21,矮脚白菜,4.3
81,2016-03-22,矮脚白菜,4.5
82,2016-03-23,矮脚白菜,4.3
83,2016-03-24,矮脚白菜,4.2
84,2016-03-25,矮脚白菜,4.3
85,2016-03-26,矮脚白菜,4.0
86,2016-03-27,矮脚白菜,3.8
87,2016-03-28,矮脚白菜,3.9
88,2016-03-29,矮脚白菜,3.8
89,2016-03-30,矮脚白菜,3.6
90,2016-03-31,矮脚白菜,4.0
91,2016-04-01,矮脚白菜,4.2
92,2016-04-02,矮脚白菜,4.4
93,2016-04-03,矮脚白菜,4.4
94,2016-04-04,矮脚白菜,4.5
95,2016-04-05,矮脚白菜,4.6
96,2016-04-06,矮脚白菜,4.6
97,2016-04-07,矮脚白菜,4.6
98,2016-04-08,矮脚白菜,4.3
99,2016-04-09,矮脚白菜,4.0
100,2016-04-10,矮脚白菜,3.8
101,2016-04-11,矮脚白菜,3.6
102,2016-04-12,矮脚白菜,3.4
103,2016-04-13,矮脚白菜,3.4
104,2016-04-14,矮脚白菜,3.2
105,2016-04-15,矮脚白菜,3.2
106,2016-04-16,矮脚白菜,3.2
107,2016-04-17,矮脚白菜,3.2
108,2016-04-18,矮脚白菜,3.2
109,2016-04-19,矮脚白菜,3.2
110,2016-04-20,矮脚白菜,3.2
111,2016-04-21,矮脚白菜,3.2
112,2016-04-22,矮脚白菜,3.3
113,2016-04-23,矮脚白菜,3.4
114,2016-04-24,矮脚白菜,3.4
115,2016-04-25,矮脚白菜,3.3
116,2016-04-26,矮脚白菜,3.3
117,2016-04-27,矮脚白菜,3.3
118,2016-04-28,矮脚白菜,3.3
119,2016-04-29,矮脚白菜,3.3
120,2016-04-30,矮脚白菜,3.3
121,2016-05-01,矮脚白菜,3.4
122,2016-05-02,矮脚白菜,3.4
123,2016-05-03,矮脚白菜,3.3
124,2016-05-04,矮脚白菜,3.3
125,2016-05-05,矮脚白菜,3.4
126,2016-05-06,矮脚白菜,3.4
127,2016-05-07,矮脚白菜,3.3
128,2016-05-08,矮脚白菜,3.2
129,2016-05-09,矮脚白菜,3.4
130,2016-05-10,矮脚白菜,3.1
131,2016-05-11,矮脚白菜,3.2
132,2016-05-12,矮脚白菜,3.1
133,2016-05-13,矮脚白菜,3.2
134,2016-05-14,矮脚白菜,3.1
135,2016-05-15,矮脚白菜,2.8
136,2016-05-16,矮脚白菜,3.2
137,2016-05-17,矮脚白菜,3.0
138,2016-05-18,矮脚白菜,2.7
139,2016-05-19,矮脚白菜,2.5
140,2016-05-20,矮脚白菜,2.4
141,2016-05-21,矮脚白菜,2.3
142,2016-05-22,矮脚白菜,2.2
143,2016-05-23,矮脚白菜,2.4
144,2016-05-24,矮脚白菜,2.3
145,2016-05-25,矮脚白菜,2.2
146,2016-05-26,矮脚白菜,2.0
147,2016-05-27,矮脚白菜,1.8
148,2016-05-28,矮脚白菜,1.9
149,2016-05-29,矮脚白菜,2.0
150,2016-05-30,矮脚白菜,2.0
151,2016-05-31,矮脚白菜,2.0
152,2016-06-01,矮脚白菜,2.0
153,2016-06-02,矮脚白菜,2.0
154,2016-06-03,矮脚白菜,1.8
155,2016-06-04,矮脚白菜,1.6
156,2016-06-05,矮脚白菜,1.6
157,2016-06-06,矮脚白菜,1.7
158,2016-06-07,矮脚白菜,1.8
159,2016-06-08,矮脚白菜,1.8
