,date,name,price
0,2016-01-01,粉葛,4.0
1,2016-01-02,粉葛,4.0
2,2016-01-03,粉葛,4.0
3,2016-01-04,粉葛,4.0
4,2016-01-05,粉葛,4.0
5,2016-01-06,粉葛,4.0
6,2016-01-07,粉葛,4.0
7,2016-01-08,粉葛,4.0
8,2016-01-09,粉葛,4.0
9,2016-01-10,粉葛,4.0
10,2016-01-11,粉葛,4.0
11,2016-01-12,粉葛,4.0
12,2016-01-13,粉葛,3.7
13,2016-01-14,粉葛,3.7
14,2016-01-15,粉葛,3.7
15,2016-01-16,粉葛,3.7
16,2016-01-17,粉葛,3.8
17,2016-01-18,粉葛,3.8
18,2016-01-19,粉葛,3.8
19,2016-01-20,粉葛,3.8
20,2016-01-21,粉葛,3.8
21,2016-01-22,粉葛,3.8
22,2016-01-23,粉葛,3.8
23,2016-01-24,粉葛,3.8
24,2016-01-25,粉葛,3.8
25,2016-01-26,粉葛,3.6
26,2016-01-27,粉葛,3.6
27,2016-01-28,粉葛,3.9
28,2016-01-29,粉葛,4.0
29,2016-01-30,粉葛,4.0
30,2016-01-31,粉葛,4.0
31,2016-02-01,粉葛,4.0
32,2016-02-02,粉葛,4.0
33,2016-02-03,粉葛,4.0
34,2016-02-04,粉葛,4.0
35,2016-02-05,粉葛,3.9
36,2016-02-06,粉葛,3.9
37,2016-02-07,粉葛,3.8
38,2016-02-08,粉葛,3.8
39,2016-02-09,粉葛,3.7
40,2016-02-10,粉葛,4.0
41,2016-02-11,粉葛,4.0
42,2016-02-12,粉葛,4.0
43,2016-02-13,粉葛,4.4
44,2016-02-14,粉葛,4.6
45,2016-02-15,粉葛,4.6
46,2016-02-16,粉葛,4.6
47,2016-02-17,粉葛,4.6
48,2016-02-18,粉葛,4.6
49,2016-02-19,粉葛,4.5
50,2016-02-20,粉葛,4.2
51,2016-02-21,粉葛,4.5
52,2016-02-22,粉葛,4.2
53,2016-02-23,粉葛,4.2
54,2016-02-24,粉葛,4.0
55,2016-02-25,粉葛,3.8
56,2016-02-26,粉葛,3.8
57,2016-02-27,粉葛,3.8
58,2016-02-28,粉葛,3.8
59,2016-02-29,粉葛,3.3
60,2016-03-01,粉葛,3.8
61,2016-03-02,粉葛,3.5
62,2016-03-03,粉葛,3.5
63,2016-03-04,粉葛,3.5
64,2016-03-05,粉葛,3.5
65,2016-03-06,粉葛,3.5
66,2016-03-07,粉葛,3.5
67,2016-03-08,粉葛,3.5
68,2016-03-09,粉葛,3.5
69,2016-03-10,粉葛,3.8
70,2016-03-11,粉葛,4.0
71,2016-03-12,粉葛,4.0
72,2016-03-13,粉葛,4.0
73,2016-03-14,粉葛,4.0
74,2016-03-15,粉葛,4.0
75,2016-03-16,粉葛,4.0
76,2016-03-17,粉葛,4.0
77,2016-03-18,粉葛,4.0
78,2016-03-19,粉葛,4.0
79,2016-03-20,粉葛,4.0
80,2016-03-21,粉葛,4.0
81,2016-03-22,粉葛,4.0
82,2016-03-23,粉葛,4.0
83,2016-03-24,粉葛,3.8
84,2016-03-25,粉葛,3.8
85,2016-03-26,粉葛,3.8
86,2016-03-27,粉葛,3.8
87,2016-03-28,粉葛,3.8
88,2016-03-29,粉葛,3.8
89,2016-03-30,粉葛,3.8
90,2016-03-31,粉葛,3.5
91,2016-04-01,粉葛,3.5
92,2016-04-02,粉葛,3.5
