,date,name,price
0,2016-01-01,紫椰菜,2.0
1,2016-01-02,紫椰菜,1.9
2,2016-01-03,紫椰菜,1.9
3,2016-01-04,紫椰菜,2.0
4,2016-01-05,紫椰菜,2.0
5,2016-01-06,紫椰菜,2.2
6,2016-01-07,紫椰菜,2.2
7,2016-01-08,紫椰菜,2.2
8,2016-01-09,紫椰菜,2.2
9,2016-01-10,紫椰菜,2.3
10,2016-01-11,紫椰菜,2.3
11,2016-01-12,紫椰菜,2.3
12,2016-01-13,紫椰菜,2.3
13,2016-01-14,紫椰菜,2.3
14,2016-01-15,紫椰菜,2.3
15,2016-01-16,紫椰菜,2.3
16,2016-01-17,紫椰菜,2.3
17,2016-01-18,紫椰菜,2.3
18,2016-01-19,紫椰菜,2.3
19,2016-01-20,紫椰菜,2.3
20,2016-01-21,紫椰菜,2.3
21,2016-01-22,紫椰菜,2.3
22,2016-01-23,紫椰菜,2.3
23,2016-01-24,紫椰菜,2.3
24,2016-01-25,紫椰菜,2.3
25,2016-01-26,紫椰菜,2.3
26,2016-01-27,紫椰菜,2.3
27,2016-01-28,紫椰菜,2.3
28,2016-01-29,紫椰菜,2.3
29,2016-01-30,紫椰菜,2.3
30,2016-01-31,紫椰菜,2.3
31,2016-02-01,紫椰菜,2.3
32,2016-02-02,紫椰菜,2.9
33,2016-02-03,紫椰菜,2.9
34,2016-02-04,紫椰菜,2.9
35,2016-02-05,紫椰菜,2.9
36,2016-02-06,紫椰菜,2.9
37,2016-02-07,紫椰菜,2.9
38,2016-02-08,紫椰菜,2.5
39,2016-02-09,紫椰菜,2.6
40,2016-02-10,紫椰菜,2.6
41,2016-02-11,紫椰菜,3.5
42,2016-02-12,紫椰菜,3.5
43,2016-02-13,紫椰菜,3.5
44,2016-02-14,紫椰菜,3.5
45,2016-02-15,紫椰菜,3.5
46,2016-02-16,紫椰菜,3.5
47,2016-02-17,紫椰菜,3.5
48,2016-02-18,紫椰菜,3.5
49,2016-02-19,紫椰菜,3.4
50,2016-02-20,紫椰菜,3.3
51,2016-02-21,紫椰菜,3.3
52,2016-02-22,紫椰菜,3.2
53,2016-02-23,紫椰菜,3.1
54,2016-02-24,紫椰菜,3.2
55,2016-02-25,紫椰菜,3.8
56,2016-02-26,紫椰菜,3.8
57,2016-02-27,紫椰菜,3.8
58,2016-02-28,紫椰菜,3.8
59,2016-02-29,紫椰菜,3.6
60,2016-03-01,紫椰菜,3.8
61,2016-03-02,紫椰菜,3.8
62,2016-03-03,紫椰菜,4.0
63,2016-03-04,紫椰菜,4.0
64,2016-03-05,紫椰菜,4.0
65,2016-03-06,紫椰菜,4.0
66,2016-03-07,紫椰菜,4.0
67,2016-03-08,紫椰菜,4.0
68,2016-03-09,紫椰菜,4.0
69,2016-03-10,紫椰菜,4.0
70,2016-03-11,紫椰菜,4.0
71,2016-03-12,紫椰菜,4.0
72,2016-03-13,紫椰菜,4.0
73,2016-03-14,紫椰菜,4.0
74,2016-03-15,紫椰菜,4.0
75,2016-03-16,紫椰菜,4.0
76,2016-03-17,紫椰菜,4.5
77,2016-03-18,紫椰菜,4.8
78,2016-03-19,紫椰菜,5.0
79,2016-03-20,紫椰菜,5.0
80,2016-03-21,紫椰菜,5.0
81,2016-03-22,紫椰菜,5.0
82,2016-03-23,紫椰菜,5.0
83,2016-03-24,紫椰菜,5.2
84,2016-03-25,紫椰菜,5.5
85,2016-03-26,紫椰菜,5.5
86,2016-03-27,紫椰菜,5.5
87,2016-03-28,紫椰菜,5.5
88,2016-03-29,紫椰菜,5.5
89,2016-03-30,紫椰菜,6.0
90,2016-03-31,紫椰菜,5.6
91,2016-04-01,紫椰菜,5.5
92,2016-04-02,紫椰菜,5.5
93,2016-04-03,紫椰菜,5.5
94,2016-04-04,紫椰菜,5.5
95,2016-04-05,紫椰菜,5.5
96,2016-04-06,紫椰菜,5.5
97,2016-04-07,紫椰菜,4.8
98,2016-04-08,紫椰菜,4.8
99,2016-04-09,紫椰菜,4.5
100,2016-04-10,紫椰菜,4.3
101,2016-04-11,紫椰菜,4.0
102,2016-04-12,紫椰菜,4.0
103,2016-04-13,紫椰菜,4.2
104,2016-04-14,紫椰菜,4.2
105,2016-04-15,紫椰菜,4.2
106,2016-04-16,紫椰菜,4.2
107,2016-04-17,紫椰菜,4.2
108,2016-04-18,紫椰菜,4.0
109,2016-04-19,紫椰菜,4.5
110,2016-04-20,紫椰菜,4.5
111,2016-04-21,紫椰菜,4.5
112,2016-04-22,紫椰菜,4.5
113,2016-04-23,紫椰菜,4.3
114,2016-04-24,紫椰菜,4.3
115,2016-04-25,紫椰菜,4.3
116,2016-04-26,紫椰菜,4.3
117,2016-04-27,紫椰菜,4.3
118,2016-04-28,紫椰菜,3.8
119,2016-04-29,紫椰菜,3.6
120,2016-04-30,紫椰菜,3.6
121,2016-05-01,紫椰菜,3.5
122,2016-05-02,紫椰菜,3.5
123,2016-05-03,紫椰菜,3.6
124,2016-05-04,紫椰菜,3.6
125,2016-05-05,紫椰菜,3.5
126,2016-05-06,紫椰菜,3.5
127,2016-05-07,紫椰菜,3.6
128,2016-05-08,紫椰菜,3.5
129,2016-05-09,紫椰菜,3.5
130,2016-05-10,紫椰菜,3.4
131,2016-05-11,紫椰菜,3.5
132,2016-05-12,紫椰菜,3.4
133,2016-05-13,紫椰菜,3.5
134,2016-05-14,紫椰菜,3.4
135,2016-05-15,紫椰菜,3.2
136,2016-05-16,紫椰菜,3.5
137,2016-05-17,紫椰菜,3.3
138,2016-05-18,紫椰菜,3.1
139,2016-05-19,紫椰菜,2.8
140,2016-05-20,紫椰菜,2.7
141,2016-05-21,紫椰菜,2.7
142,2016-05-22,紫椰菜,2.7
143,2016-05-23,紫椰菜,2.7
144,2016-05-24,紫椰菜,2.7
145,2016-05-25,紫椰菜,2.7
146,2016-05-26,紫椰菜,2.7
147,2016-05-27,紫椰菜,2.6
148,2016-05-28,紫椰菜,2.6
149,2016-05-29,紫椰菜,2.6
150,2016-05-30,紫椰菜,2.7
151,2016-05-31,紫椰菜,2.5
152,2016-06-01,紫椰菜,2.4
153,2016-06-02,紫椰菜,2.6
154,2016-06-03,紫椰菜,2.5
155,2016-06-04,紫椰菜,2.5
156,2016-06-05,紫椰菜,2.5
157,2016-06-06,紫椰菜,2.5
158,2016-06-07,紫椰菜,2.6
159,2016-06-08,紫椰菜,2.5
160,2016-06-09,紫椰菜,2.3
161,2016-06-10,紫椰菜,2.4
162,2016-06-11,紫椰菜,2.5
163,2016-06-12,紫椰菜,2.5
164,2016-06-13,紫椰菜,2.5
165,2016-06-14,紫椰菜,2.5
166,2016-06-15,紫椰菜,2.5
167,2016-06-16,紫椰菜,2.5
168,2016-06-17,紫椰菜,2.3
169,2016-06-18,紫椰菜,2.0
170,2016-06-19,紫椰菜,2.0
171,2016-06-20,紫椰菜,2.0
172,2016-06-21,紫椰菜,1.9
173,2016-06-22,紫椰菜,1.9
174,2016-06-23,紫椰菜,2.0
175,2016-06-24,紫椰菜,2.1
