,date,name,price
0,2016-01-01,红尖椒,3.4
1,2016-01-02,红尖椒,3.4
2,2016-01-03,红尖椒,3.4
3,2016-01-04,红尖椒,3.3
4,2016-01-05,红尖椒,3.3
5,2016-01-06,红尖椒,3.3
6,2016-01-07,红尖椒,3.5
7,2016-01-08,红尖椒,3.5
8,2016-01-09,红尖椒,3.5
9,2016-01-10,红尖椒,3.5
10,2016-01-11,红尖椒,3.5
11,2016-01-12,红尖椒,3.5
12,2016-01-13,红尖椒,3.3
13,2016-01-14,红尖椒,3.3
14,2016-01-15,红尖椒,3.3
15,2016-01-16,红尖椒,3.3
16,2016-01-17,红尖椒,3.3
17,2016-01-18,红尖椒,3.3
18,2016-01-19,红尖椒,3.3
19,2016-01-20,红尖椒,3.3
20,2016-01-21,红尖椒,3.3
21,2016-01-22,红尖椒,3.3
22,2016-01-23,红尖椒,3.3
23,2016-01-24,红尖椒,3.3
24,2016-01-25,红尖椒,3.3
25,2016-01-26,红尖椒,3.3
26,2016-01-27,红尖椒,3.3
27,2016-01-28,红尖椒,3.4
28,2016-01-29,红尖椒,3.4
29,2016-01-30,红尖椒,3.4
30,2016-01-31,红尖椒,3.4
31,2016-02-01,红尖椒,3.4
32,2016-02-02,红尖椒,4.0
33,2016-02-03,红尖椒,4.6
34,2016-02-04,红尖椒,4.7
35,2016-02-05,红尖椒,4.8
36,2016-02-06,红尖椒,4.8
37,2016-02-07,红尖椒,4.9
38,2016-02-08,红尖椒,5.5
39,2016-02-09,红尖椒,5.6
40,2016-02-10,红尖椒,5.6
41,2016-02-11,红尖椒,5.0
42,2016-02-12,红尖椒,5.0
43,2016-02-13,红尖椒,4.7
44,2016-02-14,红尖椒,4.5
45,2016-02-15,红尖椒,4.2
46,2016-02-16,红尖椒,3.9
47,2016-02-17,红尖椒,3.9
48,2016-02-18,红尖椒,3.7
49,2016-02-19,红尖椒,3.5
50,2016-02-20,红尖椒,3.5
51,2016-02-21,红尖椒,3.5
52,2016-02-22,红尖椒,3.7
53,2016-02-23,红尖椒,4.0
54,2016-02-24,红尖椒,4.3
55,2016-02-25,红尖椒,4.5
56,2016-02-26,红尖椒,5.0
57,2016-02-27,红尖椒,4.5
58,2016-02-28,红尖椒,5.0
59,2016-02-29,红尖椒,4.6
60,2016-03-01,红尖椒,5.0
61,2016-03-02,红尖椒,4.8
62,2016-03-03,红尖椒,4.5
63,2016-03-04,红尖椒,4.4
64,2016-03-05,红尖椒,4.3
65,2016-03-06,红尖椒,4.3
66,2016-03-07,红尖椒,4.3
67,2016-03-08,红尖椒,4.3
68,2016-03-09,红尖椒,4.3
69,2016-03-10,红尖椒,4.5
70,2016-03-11,红尖椒,4.8
71,2016-03-12,红尖椒,5.0
72,2016-03-13,红尖椒,5.5
73,2016-03-14,红尖椒,5.6
74,2016-03-15,红尖椒,6.0
75,2016-03-16,红尖椒,6.3
76,2016-03-17,红尖椒,6.8
77,2016-03-18,红尖椒,7.0
78,2016-03-19,红尖椒,7.2
79,2016-03-20,红尖椒,7.6
80,2016-03-21,红尖椒,7.8
81,2016-03-22,红尖椒,8.0
82,2016-03-23,红尖椒,8.0
83,2016-03-24,红尖椒,7.8
84,2016-03-25,红尖椒,7.5
85,2016-03-26,红尖椒,7.4
86,2016-03-27,红尖椒,7.2
87,2016-03-28,红尖椒,7.1
88,2016-03-29,红尖椒,7.2
89,2016-03-30,红尖椒,7.2
90,2016-03-31,红尖椒,7.5
91,2016-04-01,红尖椒,7.7
92,2016-04-02,红尖椒,7.7
93,2016-04-03,红尖椒,7.7
94,2016-04-04,红尖椒,7.5
95,2016-04-05,红尖椒,7.5
96,2016-04-06,红尖椒,7.3
97,2016-04-07,红尖椒,7.3
98,2016-04-08,红尖椒,7.3
99,2016-04-09,红尖椒,7.5
100,2016-04-10,红尖椒,8.0
101,2016-04-11,红尖椒,7.8
102,2016-04-12,红尖椒,8.0
103,2016-04-13,红尖椒,8.4
104,2016-04-14,红尖椒,9.0
105,2016-04-15,红尖椒,9.5
106,2016-04-16,红尖椒,9.5
107,2016-04-17,红尖椒,10.0
108,2016-04-18,红尖椒,9.8
109,2016-04-19,红尖椒,10.0
110,2016-04-20,红尖椒,10.0
111,2016-04-21,红尖椒,10.5
112,2016-04-22,红尖椒,10.0
113,2016-04-23,红尖椒,10.5
114,2016-04-24,红尖椒,10.7
115,2016-04-25,红尖椒,10.5
116,2016-04-26,红尖椒,11.0
117,2016-04-27,红尖椒,11.0
118,2016-04-28,红尖椒,10.0
119,2016-04-29,红尖椒,3.3
120,2016-04-30,红尖椒,4.0
121,2016-05-01,红尖椒,5.3
122,2016-05-02,红尖椒,5.3
123,2016-05-03,红尖椒,5.0
124,2016-05-04,红尖椒,4.0
125,2016-05-05,红尖椒,5.3
126,2016-05-06,红尖椒,5.3
127,2016-05-07,红尖椒,5.0
128,2016-05-08,红尖椒,6.8
129,2016-05-09,红尖椒,5.3
130,2016-05-10,红尖椒,4.0
131,2016-05-11,红尖椒,5.0
132,2016-05-12,红尖椒,4.0
133,2016-05-13,红尖椒,5.0
134,2016-05-14,红尖椒,4.0
135,2016-05-15,红尖椒,4.5
136,2016-05-16,红尖椒,5.0
137,2016-05-17,红尖椒,5.1
138,2016-05-18,红尖椒,5.1
139,2016-05-19,红尖椒,4.8
140,2016-05-20,红尖椒,4.8
141,2016-05-21,红尖椒,4.8
142,2016-05-22,红尖椒,4.8
143,2016-05-23,红尖椒,4.8
144,2016-05-24,红尖椒,4.7
145,2016-05-25,红尖椒,4.7
146,2016-05-26,红尖椒,4.6
147,2016-05-27,红尖椒,4.6
148,2016-05-28,红尖椒,4.6
149,2016-05-29,红尖椒,4.6
150,2016-05-30,红尖椒,4.6
151,2016-05-31,红尖椒,4.4
152,2016-06-01,红尖椒,4.4
153,2016-06-02,红尖椒,4.3
154,2016-06-03,红尖椒,4.3
155,2016-06-04,红尖椒,4.2
156,2016-06-05,红尖椒,4.2
157,2016-06-06,红尖椒,4.2
158,2016-06-07,红尖椒,4.2
159,2016-06-08,红尖椒,4.1
160,2016-06-09,红尖椒,4.4
161,2016-06-10,红尖椒,4.6
162,2016-06-11,红尖椒,4.6
163,2016-06-12,红尖椒,4.7
164,2016-06-13,红尖椒,4.7
165,2016-06-14,红尖椒,4.7
166,2016-06-15,红尖椒,4.7
167,2016-06-16,红尖椒,4.6
168,2016-06-17,红尖椒,4.6
169,2016-06-18,红尖椒,4.5
170,2016-06-19,红尖椒,4.6
171,2016-06-20,红尖椒,4.5
172,2016-06-21,红尖椒,4.3
173,2016-06-22,红尖椒,4.3
174,2016-06-23,红尖椒,3.9
175,2016-06-24,红尖椒,3.9
176,2016-06-25,红尖椒,4.0
177,2016-06-26,红尖椒,4.0
178,2016-06-27,红尖椒,4.0
179,2016-06-28,红尖椒,3.7
180,2016-06-29,红尖椒,3.7
181,2016-06-30,红尖椒,3.6
182,2016-07-01,红尖椒,3.5
183,2016-07-02,红尖椒,3.5
184,2016-07-03,红尖椒,3.7
185,2016-07-04,红尖椒,3.9
186,2016-07-05,红尖椒,3.9
187,2016-07-06,红尖椒,3.9
188,2016-07-07,红尖椒,3.9
189,2016-07-08,红尖椒,3.5
190,2016-07-09,红尖椒,3.3
191,2016-07-10,红尖椒,3.3
192,2016-07-11,红尖椒,3.3
193,2016-07-12,红尖椒,3.3
194,2016-07-13,红尖椒,3.3
195,2016-07-14,红尖椒,3.3
196,2016-07-15,红尖椒,3.3
197,2016-07-16,红尖椒,3.3
198,2016-07-17,红尖椒,3.3
199,2016-07-18,红尖椒,3.3
200,2016-07-19,红尖椒,3.3
201,2016-07-20,红尖椒,3.3
202,2016-07-21,红尖椒,3.2
203,2016-07-22,红尖椒,3.2
204,2016-07-23,红尖椒,3.2
205,2016-07-24,红尖椒,3.2
206,2016-07-25,红尖椒,3.2
207,2016-07-26,红尖椒,3.2
208,2016-07-27,红尖椒,3.2
209,2016-07-28,红尖椒,3.4
210,2016-07-29,红尖椒,3.4
211,2016-07-30,红尖椒,3.4
212,2016-07-31,红尖椒,3.4
213,2016-08-01,红尖椒,3.4
214,2016-08-02,红尖椒,3.5
215,2016-08-03,红尖椒,3.6
216,2016-08-04,红尖椒,3.7
217,2016-08-05,红尖椒,3.8
218,2016-08-06,红尖椒,3.9
219,2016-08-07,红尖椒,3.8
220,2016-08-08,红尖椒,3.9
221,2016-08-09,红尖椒,3.8
222,2016-08-10,红尖椒,3.9
223,2016-08-11,红尖椒,3.7
224,2016-08-12,红尖椒,3.6
225,2016-08-13,红尖椒,3.6
226,2016-08-14,红尖椒,3.6
227,2016-08-15,红尖椒,3.5
228,2016-08-16,红尖椒,3.6
229,2016-08-17,红尖椒,3.7
230,2016-08-18,红尖椒,3.6
231,2016-08-19,红尖椒,3.6
232,2016-08-20,红尖椒,3.7
233,2016-08-21,红尖椒,3.7
234,2016-08-22,红尖椒,3.6
235,2016-08-23,红尖椒,3.7
236,2016-08-24,红尖椒,3.7
237,2016-08-25,红尖椒,3.8
238,2016-08-26,红尖椒,3.8
239,2016-08-27,红尖椒,3.8
240,2016-08-28,红尖椒,3.7
241,2016-08-29,红尖椒,3.6
242,2016-08-30,红尖椒,3.7
243,2016-08-31,红尖椒,3.8
244,2016-09-01,红尖椒,3.6
245,2016-09-02,红尖椒,3.6
246,2016-09-03,红尖椒,3.6
247,2016-09-04,红尖椒,3.6
248,2016-09-05,红尖椒,3.6
249,2016-09-06,红尖椒,3.6
250,2016-09-07,红尖椒,3.6
251,2016-09-08,红尖椒,3.6
252,2016-09-09,红尖椒,3.6
253,2016-09-10,红尖椒,3.6
254,2016-09-11,红尖椒,3.7
255,2016-09-12,红尖椒,3.7
256,2016-09-13,红尖椒,3.7
257,2016-09-14,红尖椒,3.7
258,2016-09-15,红尖椒,3.7
259,2016-09-16,红尖椒,3.7
260,2016-09-17,红尖椒,3.8
261,2016-09-18,红尖椒,3.8
262,2016-09-19,红尖椒,3.8
263,2016-09-20,红尖椒,3.9
264,2016-09-21,红尖椒,4.0
265,2016-09-22,红尖椒,4.2
