,date,name,price
0,2016-01-01,红萝卜,1.5
1,2016-01-02,红萝卜,1.5
2,2016-01-03,红萝卜,1.5
3,2016-01-04,红萝卜,1.5
4,2016-01-05,红萝卜,1.5
5,2016-01-06,红萝卜,1.5
6,2016-01-07,红萝卜,1.5
7,2016-01-08,红萝卜,1.5
8,2016-01-09,红萝卜,1.5
9,2016-01-10,红萝卜,1.5
10,2016-01-11,红萝卜,1.5
11,2016-01-12,红萝卜,1.5
12,2016-01-13,红萝卜,1.5
13,2016-01-14,红萝卜,1.5
14,2016-01-15,红萝卜,1.5
15,2016-01-16,红萝卜,1.5
16,2016-01-17,红萝卜,1.4
17,2016-01-18,红萝卜,1.4
18,2016-01-19,红萝卜,1.4
19,2016-01-20,红萝卜,1.4
20,2016-01-21,红萝卜,1.4
21,2016-01-22,红萝卜,1.4
22,2016-01-23,红萝卜,1.4
23,2016-01-24,红萝卜,1.8
24,2016-01-25,红萝卜,1.8
25,2016-01-26,红萝卜,1.8
26,2016-01-27,红萝卜,1.8
27,2016-01-28,红萝卜,1.8
28,2016-01-29,红萝卜,1.8
29,2016-01-30,红萝卜,1.9
30,2016-01-31,红萝卜,1.9
31,2016-02-01,红萝卜,1.9
32,2016-02-02,红萝卜,1.9
33,2016-02-03,红萝卜,1.9
34,2016-02-04,红萝卜,2.0
35,2016-02-05,红萝卜,2.1
36,2016-02-06,红萝卜,2.1
37,2016-02-07,红萝卜,2.2
38,2016-02-08,红萝卜,3.5
39,2016-02-09,红萝卜,3.4
40,2016-02-10,红萝卜,3.8
41,2016-02-11,红萝卜,3.0
42,2016-02-12,红萝卜,3.0
43,2016-02-13,红萝卜,2.7
44,2016-02-14,红萝卜,2.5
45,2016-02-15,红萝卜,2.4
46,2016-02-16,红萝卜,2.2
47,2016-02-17,红萝卜,2.2
48,2016-02-18,红萝卜,2.4
49,2016-02-19,红萝卜,2.5
50,2016-02-20,红萝卜,2.3
51,2016-02-21,红萝卜,2.5
52,2016-02-22,红萝卜,2.4
53,2016-02-23,红萝卜,2.2
54,2016-02-24,红萝卜,2.3
55,2016-02-25,红萝卜,2.3
56,2016-02-26,红萝卜,2.0
57,2016-02-27,红萝卜,2.3
58,2016-02-28,红萝卜,2.0
59,2016-02-29,红萝卜,2.4
60,2016-03-01,红萝卜,2.0
61,2016-03-02,红萝卜,2.2
62,2016-03-03,红萝卜,2.5
63,2016-03-04,红萝卜,2.6
64,2016-03-05,红萝卜,2.5
65,2016-03-06,红萝卜,2.5
66,2016-03-07,红萝卜,2.5
67,2016-03-08,红萝卜,2.6
68,2016-03-09,红萝卜,2.6
69,2016-03-10,红萝卜,2.5
70,2016-03-11,红萝卜,2.5
71,2016-03-12,红萝卜,2.6
72,2016-03-13,红萝卜,2.7
73,2016-03-14,红萝卜,2.7
74,2016-03-15,红萝卜,2.7
75,2016-03-16,红萝卜,2.7
76,2016-03-17,红萝卜,3.0
77,2016-03-18,红萝卜,3.0
78,2016-03-19,红萝卜,3.0
79,2016-03-20,红萝卜,2.9
80,2016-03-21,红萝卜,2.9
81,2016-03-22,红萝卜,3.0
82,2016-03-23,红萝卜,2.8
83,2016-03-24,红萝卜,2.8
84,2016-03-25,红萝卜,2.9
85,2016-03-26,红萝卜,2.8
86,2016-03-27,红萝卜,2.7
87,2016-03-28,红萝卜,2.8
88,2016-03-29,红萝卜,2.8
89,2016-03-30,红萝卜,2.7
90,2016-03-31,红萝卜,2.6
91,2016-04-01,红萝卜,2.6
92,2016-04-02,红萝卜,2.6
93,2016-04-03,红萝卜,2.6
94,2016-04-04,红萝卜,2.5
95,2016-04-05,红萝卜,2.6
96,2016-04-06,红萝卜,2.5
97,2016-04-07,红萝卜,2.5
98,2016-04-08,红萝卜,2.5
99,2016-04-09,红萝卜,2.5
100,2016-04-10,红萝卜,2.8
101,2016-04-11,红萝卜,2.8
102,2016-04-12,红萝卜,2.7
103,2016-04-13,红萝卜,2.7
104,2016-04-14,红萝卜,3.0
105,2016-04-15,红萝卜,3.0
106,2016-04-16,红萝卜,3.0
107,2016-04-17,红萝卜,3.2
108,2016-04-18,红萝卜,3.0
109,2016-04-19,红萝卜,3.0
110,2016-04-20,红萝卜,3.0
111,2016-04-21,红萝卜,3.0
112,2016-04-22,红萝卜,2.9
113,2016-04-23,红萝卜,3.0
114,2016-04-24,红萝卜,3.0
115,2016-04-25,红萝卜,3.1
116,2016-04-26,红萝卜,3.2
117,2016-04-27,红萝卜,3.2
118,2016-04-28,红萝卜,3.2
119,2016-04-29,红萝卜,3.2
120,2016-04-30,红萝卜,3.2
121,2016-05-01,红萝卜,3.2
122,2016-05-02,红萝卜,3.2
123,2016-05-03,红萝卜,3.3
124,2016-05-04,红萝卜,3.2
125,2016-05-05,红萝卜,3.2
126,2016-05-06,红萝卜,3.2
127,2016-05-07,红萝卜,3.3
128,2016-05-08,红萝卜,3.5
129,2016-05-09,红萝卜,3.2
130,2016-05-10,红萝卜,3.2
131,2016-05-11,红萝卜,3.5
132,2016-05-12,红萝卜,3.2
133,2016-05-13,红萝卜,3.5
134,2016-05-14,红萝卜,3.2
135,2016-05-15,红萝卜,3.4
136,2016-05-16,红萝卜,3.5
137,2016-05-17,红萝卜,3.6
138,2016-05-18,红萝卜,3.7
139,2016-05-19,红萝卜,3.9
140,2016-05-20,红萝卜,4.0
141,2016-05-21,红萝卜,4.1
142,2016-05-22,红萝卜,4.2
143,2016-05-23,红萝卜,4.0
144,2016-05-24,红萝卜,4.0
145,2016-05-25,红萝卜,4.1
146,2016-05-26,红萝卜,4.2
147,2016-05-27,红萝卜,4.4
148,2016-05-28,红萝卜,4.5
149,2016-05-29,红萝卜,4.6
150,2016-05-30,红萝卜,4.2
151,2016-05-31,红萝卜,4.0
152,2016-06-01,红萝卜,4.0
153,2016-06-02,红萝卜,3.6
154,2016-06-03,红萝卜,3.5
155,2016-06-04,红萝卜,3.4
156,2016-06-05,红萝卜,3.4
157,2016-06-06,红萝卜,3.4
158,2016-06-07,红萝卜,3.0
159,2016-06-08,红萝卜,3.0
160,2016-06-09,红萝卜,2.7
161,2016-06-10,红萝卜,2.7
162,2016-06-11,红萝卜,2.6
163,2016-06-12,红萝卜,2.6
164,2016-06-13,红萝卜,2.6
165,2016-06-14,红萝卜,2.5
166,2016-06-15,红萝卜,2.7
167,2016-06-16,红萝卜,2.6
168,2016-06-17,红萝卜,2.5
169,2016-06-18,红萝卜,2.5
170,2016-06-19,红萝卜,2.5
171,2016-06-20,红萝卜,2.4
172,2016-06-21,红萝卜,2.4
173,2016-06-22,红萝卜,2.4
174,2016-06-23,红萝卜,2.3
175,2016-06-24,红萝卜,2.6
176,2016-06-25,红萝卜,2.6
177,2016-06-26,红萝卜,2.6
178,2016-06-27,红萝卜,2.6
179,2016-06-28,红萝卜,2.6
180,2016-06-29,红萝卜,2.6
181,2016-06-30,红萝卜,2.3
182,2016-07-01,红萝卜,2.0
183,2016-07-02,红萝卜,1.8
184,2016-07-03,红萝卜,1.8
185,2016-07-04,红萝卜,1.8
186,2016-07-05,红萝卜,1.8
187,2016-07-06,红萝卜,1.8
188,2016-07-07,红萝卜,1.8
189,2016-07-08,红萝卜,1.7
190,2016-07-09,红萝卜,1.7
191,2016-07-10,红萝卜,1.7
192,2016-07-11,红萝卜,1.7
193,2016-07-12,红萝卜,1.7
194,2016-07-13,红萝卜,1.7
195,2016-07-14,红萝卜,1.7
196,2016-07-15,红萝卜,1.7
197,2016-07-16,红萝卜,2.0
198,2016-07-17,红萝卜,2.0
199,2016-07-18,红萝卜,1.8
200,2016-07-19,红萝卜,1.9
201,2016-07-20,红萝卜,2.0
202,2016-07-21,红萝卜,2.0
203,2016-07-22,红萝卜,2.0
204,2016-07-23,红萝卜,2.0
205,2016-07-24,红萝卜,2.0
206,2016-07-25,红萝卜,2.0
207,2016-07-26,红萝卜,2.0
208,2016-07-27,红萝卜,2.0
209,2016-07-28,红萝卜,2.0
210,2016-07-29,红萝卜,2.0
211,2016-07-30,红萝卜,2.1
212,2016-07-31,红萝卜,2.0
213,2016-08-01,红萝卜,2.0
214,2016-08-02,红萝卜,1.8
215,2016-08-03,红萝卜,2.0
216,2016-08-04,红萝卜,2.1
217,2016-08-05,红萝卜,2.2
218,2016-08-06,红萝卜,2.1
219,2016-08-07,红萝卜,2.1
220,2016-08-08,红萝卜,2.2
221,2016-08-09,红萝卜,2.1
222,2016-08-10,红萝卜,2.0
223,2016-08-11,红萝卜,2.1
224,2016-08-12,红萝卜,2.0
225,2016-08-13,红萝卜,2.1
226,2016-08-14,红萝卜,2.1
227,2016-08-15,红萝卜,2.2
228,2016-08-16,红萝卜,2.1
229,2016-08-17,红萝卜,2.1
230,2016-08-18,红萝卜,2.2
231,2016-08-19,红萝卜,2.3
232,2016-08-20,红萝卜,2.3
233,2016-08-21,红萝卜,2.3
234,2016-08-22,红萝卜,2.4
235,2016-08-23,红萝卜,2.3
236,2016-08-24,红萝卜,2.1
237,2016-08-25,红萝卜,2.0
238,2016-08-26,红萝卜,2.0
239,2016-08-27,红萝卜,2.1
240,2016-08-28,红萝卜,2.0
241,2016-08-29,红萝卜,2.1
242,2016-08-30,红萝卜,2.0
243,2016-08-31,红萝卜,2.0
244,2016-09-01,红萝卜,2.1
245,2016-09-02,红萝卜,2.0
246,2016-09-03,红萝卜,2.0
247,2016-09-04,红萝卜,2.1
248,2016-09-05,红萝卜,2.1
249,2016-09-06,红萝卜,2.1
250,2016-09-07,红萝卜,2.1
251,2016-09-08,红萝卜,2.1
252,2016-09-09,红萝卜,2.1
253,2016-09-10,红萝卜,2.1
254,2016-09-11,红萝卜,2.2
255,2016-09-12,红萝卜,2.2
256,2016-09-13,红萝卜,2.2
257,2016-09-14,红萝卜,2.1
258,2016-09-15,红萝卜,2.1
259,2016-09-16,红萝卜,2.1
260,2016-09-17,红萝卜,2.1
261,2016-09-18,红萝卜,2.1
262,2016-09-19,红萝卜,2.0
263,2016-09-20,红萝卜,2.0
264,2016-09-21,红萝卜,2.0
265,2016-09-22,红萝卜,2.0
266,2016-09-23,红萝卜,2.0
267,2016-09-24,红萝卜,2.0
268,2016-09-25,红萝卜,2.0
269,2016-09-26,红萝卜,2.0
270,2016-09-27,红萝卜,2.0
271,2016-09-28,红萝卜,2.0
272,2016-09-29,红萝卜,2.0
273,2016-09-30,红萝卜,1.9
274,2016-10-01,红萝卜,1.9
275,2016-10-02,红萝卜,2.0
276,2016-10-03,红萝卜,1.8
277,2016-10-04,红萝卜,1.8
278,2016-10-05,红萝卜,1.8
279,2016-10-06,红萝卜,1.9
280,2016-10-07,红萝卜,1.9
281,2016-10-08,红萝卜,1.9
282,2016-10-09,红萝卜,2.5
283,2016-10-10,红萝卜,2.0
284,2016-10-11,红萝卜,2.0
285,2016-10-12,红萝卜,2.0
286,2016-10-13,红萝卜,2.1
287,2016-10-14,红萝卜,2.1
288,2016-10-15,红萝卜,2.1
289,2016-10-16,红萝卜,2.1
290,2016-10-17,红萝卜,2.2
291,2016-10-18,红萝卜,2.2
292,2016-10-19,红萝卜,2.2
293,2016-10-20,红萝卜,2.2
294,2016-10-21,红萝卜,2.2
295,2016-10-22,红萝卜,2.3
296,2016-10-23,红萝卜,2.3
297,2016-10-24,红萝卜,2.3
298,2016-10-25,红萝卜,2.3
299,2016-10-26,红萝卜,2.3
300,2016-10-27,红萝卜,2.3
301,2016-10-28,红萝卜,2.3
302,2016-10-29,红萝卜,2.2
303,2016-10-30,红萝卜,2.2
304,2016-10-31,红萝卜,2.2
305,2016-11-01,红萝卜,2.2
306,2016-11-02,红萝卜,2.1
307,2016-11-03,红萝卜,2.2
308,2016-11-04,红萝卜,2.1
309,2016-11-05,红萝卜,2.1
310,2016-11-06,红萝卜,2.1
311,2016-11-07,红萝卜,2.1
312,2016-11-08,红萝卜,2.1
313,2016-11-09,红萝卜,2.3
314,2016-11-10,红萝卜,2.3
315,2016-11-11,红萝卜,2.3
316,2016-11-12,红萝卜,2.3
317,2016-11-13,红萝卜,2.3
318,2016-11-14,红萝卜,2.3
319,2016-11-15,红萝卜,2.3
320,2016-11-16,红萝卜,2.3
321,2016-11-17,红萝卜,2.3
322,2016-11-18,红萝卜,2.3
323,2016-11-19,红萝卜,2.4
324,2016-11-20,红萝卜,2.4
325,2016-11-21,红萝卜,2.4
326,2016-11-22,红萝卜,2.5
327,2016-11-23,红萝卜,2.4
328,2016-11-24,红萝卜,2.6
329,2016-11-25,红萝卜,2.6
330,2016-11-26,红萝卜,2.6
331,2016-11-27,红萝卜,2.6
332,2016-11-28,红萝卜,2.6
333,2016-11-29,红萝卜,2.6
334,2016-11-30,红萝卜,2.6
335,2016-12-01,红萝卜,2.6
336,2016-12-02,红萝卜,2.6
337,2016-12-03,红萝卜,2.6
338,2016-12-04,红萝卜,2.6
339,2016-12-05,红萝卜,2.6
340,2016-12-06,红萝卜,2.7
341,2016-12-07,红萝卜,2.7
342,2016-12-08,红萝卜,2.5
343,2016-12-09,红萝卜,2.5
344,2016-12-10,红萝卜,2.5
345,2016-12-11,红萝卜,2.5
346,2016-12-12,红萝卜,2.5
347,2016-12-13,红萝卜,2.5
348,2016-12-14,红萝卜,2.5
349,2016-12-15,红萝卜,2.3
350,2016-12-16,红萝卜,2.2
351,2016-12-17,红萝卜,2.3
352,2016-12-18,红萝卜,2.3
353,2016-12-19,红萝卜,2.3
354,2016-12-20,红萝卜,2.3
355,2016-12-21,红萝卜,2.2
356,2016-12-22,红萝卜,2.2
357,2016-12-23,红萝卜,2.2
358,2016-12-24,红萝卜,2.2
359,2016-12-25,红萝卜,2.3
360,2016-12-26,红萝卜,2.2
361,2016-12-27,红萝卜,2.0
362,2016-12-28,红萝卜,2.0
363,2016-12-29,红萝卜,2.0
364,2016-12-30,红萝卜,2.0
365,2016-12-31,红萝卜,2.0
366,2017-01-01,红萝卜,2.0
367,2017-01-02,红萝卜,2.0
368,2017-01-03,红萝卜,2.0
369,2017-01-04,红萝卜,2.0
370,2017-01-05,红萝卜,2.0
371,2017-01-06,红萝卜,2.1
372,2017-01-07,红萝卜,2.1
373,2017-01-08,红萝卜,2.1
374,2017-01-09,红萝卜,2.1
375,2017-01-10,红萝卜,2.1
376,2017-01-11,红萝卜,2.1
377,2017-01-12,红萝卜,2.0
378,2017-01-13,红萝卜,2.1
379,2017-01-14,红萝卜,2.2
380,2017-01-15,红萝卜,2.1
381,2017-01-16,红萝卜,2.1
382,2017-01-17,红萝卜,2.0
383,2017-01-18,红萝卜,2.0
384,2017-01-19,红萝卜,2.0
385,2017-01-20,红萝卜,2.1
386,2017-01-21,红萝卜,2.2
387,2017-01-22,红萝卜,2.2
388,2017-01-23,红萝卜,2.2
389,2017-01-24,红萝卜,2.3
390,2017-01-25,红萝卜,2.3
391,2017-01-26,红萝卜,2.4
392,2017-01-27,红萝卜,2.5
393,2017-01-28,红萝卜,2.5
394,2017-01-29,红萝卜,2.6
395,2017-01-30,红萝卜,2.6
396,2017-01-31,红萝卜,2.6
397,2017-02-01,红萝卜,2.6
398,2017-02-02,红萝卜,2.5
399,2017-02-03,红萝卜,2.5
400,2017-02-04,红萝卜,2.2
401,2017-02-05,红萝卜,2.5
402,2017-02-06,红萝卜,2.2
403,2017-02-07,红萝卜,2.5
404,2017-02-08,红萝卜,2.2
405,2017-02-09,红萝卜,2.5
406,2017-02-10,红萝卜,2.2
407,2017-02-11,红萝卜,1.9
408,2017-02-12,红萝卜,2.2
409,2017-02-13,红萝卜,2.1
410,2017-02-14,红萝卜,2.5
411,2017-02-15,红萝卜,2.0
412,2017-02-16,红萝卜,2.2
413,2017-02-17,红萝卜,2.1
414,2017-02-18,红萝卜,2.1
415,2017-02-19,红萝卜,2.1
416,2017-02-20,红萝卜,2.1
417,2017-02-21,红萝卜,1.9
418,2017-02-22,红萝卜,1.7
419,2017-02-23,红萝卜,1.6
420,2017-02-24,红萝卜,1.6
421,2017-02-25,红萝卜,1.7
422,2017-02-26,红萝卜,2.1
423,2017-02-27,红萝卜,2.0
424,2017-02-28,红萝卜,1.8
425,2017-03-01,红萝卜,1.6
426,2017-03-02,红萝卜,1.6
427,2017-03-03,红萝卜,1.6
428,2017-03-04,红萝卜,1.6
429,2017-03-05,红萝卜,1.6
430,2017-03-06,红萝卜,1.5
431,2017-03-07,红萝卜,1.5
432,2017-03-08,红萝卜,1.5
433,2017-03-09,红萝卜,1.5
434,2017-03-10,红萝卜,1.5
435,2017-03-11,红萝卜,1.5
436,2017-03-12,红萝卜,1.5
437,2017-03-13,红萝卜,1.5
438,2017-03-14,红萝卜,1.5
439,2017-03-15,红萝卜,1.5
440,2017-03-16,红萝卜,1.5
441,2017-03-17,红萝卜,1.5
442,2017-03-18,红萝卜,1.6
443,2017-03-19,红萝卜,1.6
444,2017-03-20,红萝卜,1.6
445,2017-03-21,红萝卜,1.6
446,2017-03-22,红萝卜,1.6
447,2017-03-23,红萝卜,1.5
448,2017-03-24,红萝卜,1.5
449,2017-03-25,红萝卜,1.6
450,2017-03-26,红萝卜,1.6
451,2017-03-27,红萝卜,1.5
452,2017-03-28,红萝卜,1.6
453,2017-03-29,红萝卜,1.6
454,2017-03-30,红萝卜,1.7
455,2017-03-31,红萝卜,1.7
456,2017-04-01,红萝卜,1.7
457,2017-04-02,红萝卜,1.7
458,2017-04-03,红萝卜,1.7
459,2017-04-04,红萝卜,1.6
460,2017-04-05,红萝卜,1.6
461,2017-04-06,红萝卜,1.7
462,2017-04-07,红萝卜,1.7
463,2017-04-08,红萝卜,1.7
464,2017-04-09,红萝卜,1.7
465,2017-04-10,红萝卜,1.7
466,2017-04-11,红萝卜,1.7
467,2017-04-12,红萝卜,1.8
468,2017-04-13,红萝卜,1.8
469,2017-04-14,红萝卜,1.8
470,2017-04-15,红萝卜,1.8
471,2017-04-16,红萝卜,1.8
472,2017-04-17,红萝卜,1.8
473,2017-04-18,红萝卜,1.8
474,2017-04-19,红萝卜,1.7
475,2017-04-20,红萝卜,1.7
476,2017-04-21,红萝卜,1.7
477,2017-04-22,红萝卜,1.6
478,2017-04-23,红萝卜,1.6
479,2017-04-24,红萝卜,1.6
480,2017-04-25,红萝卜,1.7
481,2017-04-26,红萝卜,1.7
482,2017-04-27,红萝卜,1.7
483,2017-04-28,红萝卜,1.7
484,2017-04-29,红萝卜,1.7
485,2017-04-30,红萝卜,1.7
486,2017-05-01,红萝卜,1.7
487,2017-05-02,红萝卜,1.6
488,2017-05-03,红萝卜,1.7
