,date,name,price
0,2016-01-01,红葱头,13.5
1,2016-01-02,红葱头,14.0
2,2016-01-03,红葱头,14.0
3,2016-01-04,红葱头,14.0
4,2016-01-05,红葱头,14.0
5,2016-01-06,红葱头,14.0
6,2016-01-07,红葱头,14.0
7,2016-01-08,红葱头,14.0
8,2016-01-09,红葱头,14.0
9,2016-01-10,红葱头,14.6
10,2016-01-11,红葱头,14.6
11,2016-01-12,红葱头,14.6
12,2016-01-13,红葱头,14.6
13,2016-01-14,红葱头,14.6
14,2016-01-15,红葱头,14.2
15,2016-01-16,红葱头,14.2
16,2016-01-17,红葱头,14.0
17,2016-01-18,红葱头,14.0
18,2016-01-19,红葱头,14.0
19,2016-01-20,红葱头,14.0
20,2016-01-21,红葱头,14.2
21,2016-01-22,红葱头,14.4
22,2016-01-23,红葱头,14.4
23,2016-01-24,红葱头,14.4
24,2016-01-25,红葱头,14.4
25,2016-01-26,红葱头,14.4
26,2016-01-27,红葱头,14.4
27,2016-01-28,红葱头,14.2
28,2016-01-29,红葱头,14.2
29,2016-01-30,红葱头,14.0
30,2016-01-31,红葱头,14.0
31,2016-02-01,红葱头,14.0
32,2016-02-02,红葱头,13.5
33,2016-02-03,红葱头,13.3
34,2016-02-04,红葱头,13.2
35,2016-02-05,红葱头,13.1
36,2016-02-06,红葱头,12.9
37,2016-02-07,红葱头,12.8
38,2016-02-08,红葱头,12.8
39,2016-02-09,红葱头,12.7
40,2016-02-10,红葱头,13.0
41,2016-02-11,红葱头,13.0
42,2016-02-12,红葱头,13.0
43,2016-02-13,红葱头,12.9
44,2016-02-14,红葱头,13.0
45,2016-02-15,红葱头,12.5
46,2016-02-16,红葱头,12.0
47,2016-02-17,红葱头,10.2
48,2016-02-18,红葱头,10.0
49,2016-02-19,红葱头,10.0
50,2016-02-20,红葱头,10.0
51,2016-02-21,红葱头,10.5
52,2016-02-22,红葱头,10.0
53,2016-02-23,红葱头,10.0
54,2016-02-24,红葱头,10.5
55,2016-02-25,红葱头,10.5
56,2016-02-26,红葱头,10.0
57,2016-02-27,红葱头,10.5
58,2016-02-28,红葱头,10.0
59,2016-02-29,红葱头,9.6
60,2016-03-01,红葱头,10.0
61,2016-03-02,红葱头,9.7
62,2016-03-03,红葱头,9.5
63,2016-03-04,红葱头,9.1
64,2016-03-05,红葱头,8.7
65,2016-03-06,红葱头,8.0
66,2016-03-07,红葱头,7.8
67,2016-03-08,红葱头,7.5
68,2016-03-09,红葱头,7.2
69,2016-03-10,红葱头,6.8
70,2016-03-11,红葱头,6.5
71,2016-03-12,红葱头,6.3
72,2016-03-13,红葱头,6.0
73,2016-03-14,红葱头,5.8
74,2016-03-15,红葱头,6.0
75,2016-03-16,红葱头,5.8
76,2016-03-17,红葱头,6.0
77,2016-03-18,红葱头,6.2
78,2016-03-19,红葱头,5.8
79,2016-03-20,红葱头,5.5
80,2016-03-21,红葱头,5.5
81,2016-03-22,红葱头,5.5
82,2016-03-23,红葱头,5.5
83,2016-03-24,红葱头,5.6
84,2016-03-25,红葱头,5.5
85,2016-03-26,红葱头,5.6
86,2016-03-27,红葱头,5.6
87,2016-03-28,红葱头,5.6
88,2016-03-29,红葱头,5.3
89,2016-03-30,红葱头,5.4
90,2016-03-31,红葱头,5.5
91,2016-04-01,红葱头,5.5
92,2016-04-02,红葱头,5.4
93,2016-04-03,红葱头,5.4
94,2016-04-04,红葱头,5.4
95,2016-04-05,红葱头,5.0
96,2016-04-06,红葱头,5.0
97,2016-04-07,红葱头,5.0
98,2016-04-08,红葱头,5.0
99,2016-04-09,红葱头,6.0
100,2016-04-10,红葱头,7.2
101,2016-04-11,红葱头,8.0
102,2016-04-12,红葱头,8.0
103,2016-04-13,红葱头,7.8
104,2016-04-14,红葱头,7.5
105,2016-04-15,红葱头,7.3
106,2016-04-16,红葱头,7.3
107,2016-04-17,红葱头,7.3
108,2016-04-18,红葱头,7.3
109,2016-04-19,红葱头,7.3
110,2016-04-20,红葱头,7.3
111,2016-04-21,红葱头,7.3
112,2016-04-22,红葱头,7.4
113,2016-04-23,红葱头,7.3
114,2016-04-24,红葱头,7.3
115,2016-04-25,红葱头,7.3
116,2016-04-26,红葱头,7.3
117,2016-04-27,红葱头,7.3
118,2016-04-28,红葱头,7.3
119,2016-04-29,红葱头,7.3
120,2016-04-30,红葱头,7.3
121,2016-05-01,红葱头,7.3
122,2016-05-02,红葱头,7.3
123,2016-05-03,红葱头,7.5
124,2016-05-04,红葱头,7.3
125,2016-05-05,红葱头,7.3
126,2016-05-06,红葱头,7.3
127,2016-05-07,红葱头,7.5
128,2016-05-08,红葱头,7.8
129,2016-05-09,红葱头,7.3
130,2016-05-10,红葱头,7.3
131,2016-05-11,红葱头,7.8
132,2016-05-12,红葱头,8.5
133,2016-05-13,红葱头,9.0
134,2016-05-14,红葱头,8.5
135,2016-05-15,红葱头,8.8
136,2016-05-16,红葱头,9.0
137,2016-05-17,红葱头,9.2
138,2016-05-18,红葱头,9.3
139,2016-05-19,红葱头,9.3
140,2016-05-20,红葱头,9.3
141,2016-05-21,红葱头,9.3
142,2016-05-22,红葱头,9.3
143,2016-05-23,红葱头,9.3
144,2016-05-24,红葱头,9.2
145,2016-05-25,红葱头,9.0
146,2016-05-26,红葱头,9.1
147,2016-05-27,红葱头,9.1
148,2016-05-28,红葱头,9.1
149,2016-05-29,红葱头,9.1
150,2016-05-30,红葱头,9.1
151,2016-05-31,红葱头,9.0
152,2016-06-01,红葱头,9.0
153,2016-06-02,红葱头,9.0
154,2016-06-03,红葱头,9.0
155,2016-06-04,红葱头,9.0
156,2016-06-05,红葱头,9.0
157,2016-06-06,红葱头,8.8
158,2016-06-07,红葱头,9.0
159,2016-06-08,红葱头,9.0
160,2016-06-09,红葱头,8.8
161,2016-06-10,红葱头,9.0
162,2016-06-11,红葱头,9.0
163,2016-06-12,红葱头,9.0
164,2016-06-13,红葱头,9.0
165,2016-06-14,红葱头,9.0
166,2016-06-15,红葱头,9.2
167,2016-06-16,红葱头,9.0
168,2016-06-17,红葱头,8.8
169,2016-06-18,红葱头,8.8
170,2016-06-19,红葱头,8.8
171,2016-06-20,红葱头,8.8
172,2016-06-21,红葱头,9.3
173,2016-06-22,红葱头,9.7
174,2016-06-23,红葱头,10.0
175,2016-06-24,红葱头,10.5
176,2016-06-25,红葱头,11.0
177,2016-06-26,红葱头,11.0
178,2016-06-27,红葱头,11.0
179,2016-06-28,红葱头,11.0
180,2016-06-29,红葱头,11.0
181,2016-06-30,红葱头,10.5
182,2016-07-01,红葱头,10.2
183,2016-07-02,红葱头,10.2
184,2016-07-03,红葱头,10.2
185,2016-07-04,红葱头,10.2
186,2016-07-05,红葱头,10.2
187,2016-07-06,红葱头,10.0
188,2016-07-07,红葱头,10.0
189,2016-07-08,红葱头,10.0
190,2016-07-09,红葱头,10.0
191,2016-07-10,红葱头,10.0
192,2016-07-11,红葱头,10.0
193,2016-07-12,红葱头,10.0
194,2016-07-13,红葱头,10.0
195,2016-07-14,红葱头,10.0
196,2016-07-15,红葱头,9.6
197,2016-07-16,红葱头,9.3
198,2016-07-17,红葱头,9.2
199,2016-07-18,红葱头,9.0
200,2016-07-19,红葱头,9.0
201,2016-07-20,红葱头,9.0
202,2016-07-21,红葱头,9.3
203,2016-07-22,红葱头,9.5
204,2016-07-23,红葱头,9.7
205,2016-07-24,红葱头,10.0
206,2016-07-25,红葱头,10.0
207,2016-07-26,红葱头,10.2
208,2016-07-27,红葱头,10.3
209,2016-07-28,红葱头,10.5
210,2016-07-29,红葱头,10.5
211,2016-07-30,红葱头,10.5
212,2016-07-31,红葱头,10.6
213,2016-08-01,红葱头,10.6
214,2016-08-02,红葱头,10.7
215,2016-08-03,红葱头,10.6
216,2016-08-04,红葱头,10.9
217,2016-08-05,红葱头,11.2
218,2016-08-06,红葱头,11.3
219,2016-08-07,红葱头,11.5
220,2016-08-08,红葱头,11.6
221,2016-08-09,红葱头,11.7
222,2016-08-10,红葱头,11.8
223,2016-08-11,红葱头,11.7
224,2016-08-12,红葱头,11.8
225,2016-08-13,红葱头,11.8
226,2016-08-14,红葱头,11.8
227,2016-08-15,红葱头,11.9
228,2016-08-16,红葱头,12.0
229,2016-08-17,红葱头,12.0
230,2016-08-18,红葱头,12.2
231,2016-08-19,红葱头,12.2
232,2016-08-20,红葱头,12.3
233,2016-08-21,红葱头,12.3
234,2016-08-22,红葱头,12.5
235,2016-08-23,红葱头,12.8
236,2016-08-24,红葱头,12.8
237,2016-08-25,红葱头,12.8
238,2016-08-26,红葱头,12.7
239,2016-08-27,红葱头,12.7
240,2016-08-28,红葱头,12.7
241,2016-08-29,红葱头,12.8
242,2016-08-30,红葱头,12.8
243,2016-08-31,红葱头,12.8
244,2016-09-01,红葱头,12.6
245,2016-09-02,红葱头,12.6
246,2016-09-03,红葱头,12.6
247,2016-09-04,红葱头,12.5
248,2016-09-05,红葱头,12.5
249,2016-09-06,红葱头,12.5
250,2016-09-07,红葱头,12.5
251,2016-09-08,红葱头,12.0
252,2016-09-09,红葱头,12.0
253,2016-09-10,红葱头,12.0
254,2016-09-11,红葱头,12.0
255,2016-09-12,红葱头,12.0
256,2016-09-13,红葱头,12.5
257,2016-09-14,红葱头,12.5
258,2016-09-15,红葱头,13.0
259,2016-09-16,红葱头,13.0
260,2016-09-17,红葱头,13.0
261,2016-09-18,红葱头,13.0
262,2016-09-19,红葱头,13.0
263,2016-09-20,红葱头,13.0
