,date,name,price
0,2016-01-01,红薯,2.4
1,2016-01-02,红薯,2.3
2,2016-01-03,红薯,2.3
3,2016-01-04,红薯,2.3
4,2016-01-05,红薯,2.3
5,2016-01-06,红薯,2.3
6,2016-01-07,红薯,2.3
7,2016-01-08,红薯,2.3
8,2016-01-09,红薯,2.3
9,2016-01-10,红薯,2.3
10,2016-01-11,红薯,2.3
11,2016-01-12,红薯,2.3
12,2016-01-13,红薯,2.3
13,2016-01-14,红薯,2.3
14,2016-01-15,红薯,2.3
15,2016-01-16,红薯,2.3
16,2016-01-17,红薯,2.3
17,2016-01-18,红薯,2.3
18,2016-01-19,红薯,2.3
19,2016-01-20,红薯,2.3
20,2016-01-21,红薯,2.3
21,2016-01-22,红薯,2.3
22,2016-01-23,红薯,2.3
23,2016-01-24,红薯,2.3
24,2016-01-25,红薯,2.3
25,2016-01-26,红薯,2.3
26,2016-01-27,红薯,2.3
27,2016-01-28,红薯,2.3
28,2016-01-29,红薯,2.3
29,2016-01-30,红薯,2.3
30,2016-01-31,红薯,2.3
31,2016-02-01,红薯,2.3
32,2016-02-02,红薯,2.4
33,2016-02-03,红薯,2.5
34,2016-02-04,红薯,2.5
35,2016-02-05,红薯,2.5
36,2016-02-06,红薯,2.6
37,2016-02-07,红薯,2.6
38,2016-02-08,红薯,2.6
39,2016-02-09,红薯,2.7
40,2016-02-10,红薯,2.7
41,2016-02-11,红薯,2.4
42,2016-02-12,红薯,2.4
43,2016-02-13,红薯,2.4
44,2016-02-14,红薯,2.2
45,2016-02-15,红薯,2.2
46,2016-02-16,红薯,2.2
47,2016-02-17,红薯,2.2
48,2016-02-18,红薯,2.2
49,2016-02-19,红薯,2.0
50,2016-02-20,红薯,2.2
51,2016-02-21,红薯,2.0
52,2016-02-22,红薯,2.2
53,2016-02-23,红薯,2.0
54,2016-02-24,红薯,2.0
55,2016-02-25,红薯,2.3
56,2016-02-26,红薯,2.3
57,2016-02-27,红薯,2.3
58,2016-02-28,红薯,2.3
59,2016-02-29,红薯,2.2
60,2016-03-01,红薯,2.3
61,2016-03-02,红薯,2.0
62,2016-03-03,红薯,2.0
63,2016-03-04,红薯,2.0
64,2016-03-05,红薯,2.0
65,2016-03-06,红薯,2.0
66,2016-03-07,红薯,2.0
67,2016-03-08,红薯,2.0
68,2016-03-09,红薯,2.0
69,2016-03-10,红薯,2.0
70,2016-03-11,红薯,2.0
71,2016-03-12,红薯,2.0
72,2016-03-13,红薯,2.0
73,2016-03-14,红薯,2.0
74,2016-03-15,红薯,1.8
75,2016-03-16,红薯,2.0
76,2016-03-17,红薯,2.0
77,2016-03-18,红薯,1.8
78,2016-03-19,红薯,2.0
79,2016-03-20,红薯,2.0
80,2016-03-21,红薯,2.0
81,2016-03-22,红薯,2.0
82,2016-03-23,红薯,2.0
83,2016-03-24,红薯,1.8
84,2016-03-25,红薯,2.0
85,2016-03-26,红薯,1.8
86,2016-03-27,红薯,1.6
87,2016-03-28,红薯,1.6
88,2016-03-29,红薯,1.6
89,2016-03-30,红薯,1.6
90,2016-03-31,红薯,1.6
91,2016-04-01,红薯,1.6
92,2016-04-02,红薯,1.6
93,2016-04-03,红薯,1.6
94,2016-04-04,红薯,2.0
95,2016-04-05,红薯,2.0
96,2016-04-06,红薯,2.0
97,2016-04-07,红薯,2.0
98,2016-04-08,红薯,2.0
99,2016-04-09,红薯,2.0
100,2016-04-10,红薯,2.0
101,2016-04-11,红薯,2.0
102,2016-04-12,红薯,2.0
103,2016-04-13,红薯,2.0
104,2016-04-14,红薯,2.0
105,2016-04-15,红薯,2.0
106,2016-04-16,红薯,2.0
107,2016-04-17,红薯,2.0
108,2016-04-18,红薯,2.0
109,2016-04-19,红薯,2.0
110,2016-04-20,红薯,2.0
111,2016-04-21,红薯,2.0
112,2016-04-22,红薯,2.1
113,2016-04-23,红薯,2.0
114,2016-04-24,红薯,2.0
115,2016-04-25,红薯,2.0
116,2016-04-26,红薯,2.2
117,2016-04-27,红薯,2.2
118,2016-04-28,红薯,2.5
119,2016-04-29,红薯,2.6
120,2016-04-30,红薯,2.6
121,2016-05-01,红薯,2.7
122,2016-05-02,红薯,2.7
123,2016-05-03,红薯,2.6
124,2016-05-04,红薯,2.6
125,2016-05-05,红薯,2.7
126,2016-05-06,红薯,2.7
127,2016-05-07,红薯,2.6
128,2016-05-08,红薯,2.8
129,2016-05-09,红薯,2.7
130,2016-05-10,红薯,2.6
131,2016-05-11,红薯,2.8
132,2016-05-12,红薯,2.6
133,2016-05-13,红薯,2.8
134,2016-05-14,红薯,2.6
135,2016-05-15,红薯,2.8
136,2016-05-16,红薯,2.8
137,2016-05-17,红薯,2.8
138,2016-05-18,红薯,3.0
139,2016-05-19,红薯,3.0
140,2016-05-20,红薯,3.0
141,2016-05-21,红薯,3.0
142,2016-05-22,红薯,3.0
143,2016-05-23,红薯,3.0
144,2016-05-24,红薯,3.0
145,2016-05-25,红薯,3.0
146,2016-05-26,红薯,3.0
147,2016-05-27,红薯,3.0
148,2016-05-28,红薯,3.0
149,2016-05-29,红薯,3.0
150,2016-05-30,红薯,3.0
151,2016-05-31,红薯,3.0
152,2016-06-01,红薯,3.0
153,2016-06-02,红薯,3.0
154,2016-06-03,红薯,3.0
155,2016-06-04,红薯,3.0
156,2016-06-05,红薯,3.0
157,2016-06-06,红薯,3.0
158,2016-06-07,红薯,3.0
159,2016-06-08,红薯,3.0
160,2016-06-09,红薯,3.0
161,2016-06-10,红薯,3.0
162,2016-06-11,红薯,3.0
163,2016-06-12,红薯,3.0
164,2016-06-13,红薯,3.0
165,2016-06-14,红薯,3.0
166,2016-06-15,红薯,3.0
167,2016-06-16,红薯,3.0
168,2016-06-17,红薯,3.0
169,2016-06-18,红薯,3.0
170,2016-06-19,红薯,3.0
171,2016-06-20,红薯,3.0
172,2016-06-21,红薯,3.3
173,2016-06-22,红薯,3.5
174,2016-06-23,红薯,3.5
175,2016-06-24,红薯,3.5
176,2016-06-25,红薯,3.5
177,2016-06-26,红薯,3.5
178,2016-06-27,红薯,3.5
179,2016-06-28,红薯,3.5
180,2016-06-29,红薯,3.5
181,2016-06-30,红薯,3.5
182,2016-07-01,红薯,3.5
183,2016-07-02,红薯,3.5
184,2016-07-03,红薯,3.5
185,2016-07-04,红薯,3.5
186,2016-07-05,红薯,3.5
187,2016-07-06,红薯,3.5
188,2016-07-07,红薯,3.5
189,2016-07-08,红薯,3.5
190,2016-07-09,红薯,3.5
191,2016-07-10,红薯,3.5
192,2016-07-11,红薯,3.5
193,2016-07-12,红薯,3.5
194,2016-07-13,红薯,3.5
195,2016-07-14,红薯,3.5
196,2016-07-15,红薯,3.5
197,2016-07-16,红薯,3.5
198,2016-07-17,红薯,3.5
199,2016-07-18,红薯,3.5
200,2016-07-19,红薯,3.5
201,2016-07-20,红薯,3.5
202,2016-07-21,红薯,3.5
203,2016-07-22,红薯,3.5
204,2016-07-23,红薯,3.5
205,2016-07-24,红薯,3.5
206,2016-07-25,红薯,3.5
207,2016-07-26,红薯,3.5
208,2016-07-27,红薯,3.5
209,2016-07-28,红薯,3.5
210,2016-07-29,红薯,3.5
211,2016-07-30,红薯,3.5
212,2016-07-31,红薯,3.5
213,2016-08-01,红薯,3.5
214,2016-08-02,红薯,3.4
215,2016-08-03,红薯,3.5
216,2016-08-04,红薯,3.4
217,2016-08-05,红薯,3.5
218,2016-08-06,红薯,3.4
219,2016-08-07,红薯,3.4
220,2016-08-08,红薯,3.5
221,2016-08-09,红薯,3.4
222,2016-08-10,红薯,3.5
223,2016-08-11,红薯,3.4
224,2016-08-12,红薯,3.3
225,2016-08-13,红薯,3.4
226,2016-08-14,红薯,3.2
227,2016-08-15,红薯,3.3
228,2016-08-16,红薯,3.0
229,2016-08-17,红薯,3.0
230,2016-08-18,红薯,2.9
231,2016-08-19,红薯,2.8
