,date,name,price
0,2016-01-01,绍菜,1.3
1,2016-01-02,绍菜,1.3
2,2016-01-03,绍菜,1.3
3,2016-01-04,绍菜,1.3
4,2016-01-05,绍菜,1.4
5,2016-01-06,绍菜,1.4
6,2016-01-07,绍菜,1.4
7,2016-01-08,绍菜,1.4
8,2016-01-09,绍菜,1.4
9,2016-01-10,绍菜,1.3
10,2016-01-11,绍菜,1.3
11,2016-01-12,绍菜,1.3
12,2016-01-13,绍菜,1.3
13,2016-01-14,绍菜,1.3
14,2016-01-15,绍菜,1.3
15,2016-01-16,绍菜,1.3
16,2016-01-17,绍菜,1.3
17,2016-01-18,绍菜,1.3
18,2016-01-19,绍菜,1.3
19,2016-01-20,绍菜,1.3
20,2016-01-21,绍菜,1.3
21,2016-01-22,绍菜,1.3
22,2016-01-23,绍菜,1.5
23,2016-01-24,绍菜,2.0
24,2016-01-25,绍菜,2.0
25,2016-01-26,绍菜,2.3
26,2016-01-27,绍菜,2.3
27,2016-01-28,绍菜,2.3
28,2016-01-29,绍菜,2.3
29,2016-01-30,绍菜,2.3
30,2016-01-31,绍菜,2.4
31,2016-02-01,绍菜,2.4
32,2016-02-02,绍菜,2.5
33,2016-02-03,绍菜,2.5
34,2016-02-04,绍菜,2.6
35,2016-02-05,绍菜,2.7
36,2016-02-06,绍菜,2.7
37,2016-02-07,绍菜,2.8
38,2016-02-08,绍菜,4.0
39,2016-02-09,绍菜,3.8
40,2016-02-10,绍菜,3.5
41,2016-02-11,绍菜,3.2
42,2016-02-12,绍菜,3.5
43,2016-02-13,绍菜,3.3
44,2016-02-14,绍菜,3.0
45,2016-02-15,绍菜,3.0
46,2016-02-16,绍菜,2.9
47,2016-02-17,绍菜,2.8
48,2016-02-18,绍菜,2.8
49,2016-02-19,绍菜,2.6
50,2016-02-20,绍菜,2.5
51,2016-02-21,绍菜,2.6
52,2016-02-22,绍菜,2.8
53,2016-02-23,绍菜,3.0
54,2016-02-24,绍菜,3.2
55,2016-02-25,绍菜,3.0
56,2016-02-26,绍菜,3.0
57,2016-02-27,绍菜,3.0
58,2016-02-28,绍菜,3.0
59,2016-02-29,绍菜,3.1
60,2016-03-01,绍菜,3.0
61,2016-03-02,绍菜,3.1
62,2016-03-03,绍菜,3.3
63,2016-03-04,绍菜,3.2
64,2016-03-05,绍菜,3.2
65,2016-03-06,绍菜,3.0
66,2016-03-07,绍菜,3.2
67,2016-03-08,绍菜,3.2
68,2016-03-09,绍菜,3.2
69,2016-03-10,绍菜,3.3
70,2016-03-11,绍菜,3.3
71,2016-03-12,绍菜,3.3
72,2016-03-13,绍菜,3.0
73,2016-03-14,绍菜,3.1
74,2016-03-15,绍菜,3.3
75,2016-03-16,绍菜,3.4
76,2016-03-17,绍菜,3.5
77,2016-03-18,绍菜,3.5
78,2016-03-19,绍菜,3.5
79,2016-03-20,绍菜,3.5
80,2016-03-21,绍菜,3.5
81,2016-03-22,绍菜,3.5
82,2016-03-23,绍菜,3.8
83,2016-03-24,绍菜,3.6
84,2016-03-25,绍菜,3.6
85,2016-03-26,绍菜,3.4
86,2016-03-27,绍菜,3.3
87,2016-03-28,绍菜,3.3
88,2016-03-29,绍菜,3.3
89,2016-03-30,绍菜,3.3
90,2016-03-31,绍菜,3.5
91,2016-04-01,绍菜,3.5
92,2016-04-02,绍菜,3.4
93,2016-04-03,绍菜,3.4
94,2016-04-04,绍菜,3.4
95,2016-04-05,绍菜,3.5
96,2016-04-06,绍菜,3.5
97,2016-04-07,绍菜,3.0
98,2016-04-08,绍菜,3.0
99,2016-04-09,绍菜,2.9
100,2016-04-10,绍菜,2.7
101,2016-04-11,绍菜,2.6
102,2016-04-12,绍菜,2.7
103,2016-04-13,绍菜,2.4
104,2016-04-14,绍菜,2.4
105,2016-04-15,绍菜,2.4
106,2016-04-16,绍菜,2.4
107,2016-04-17,绍菜,2.4
108,2016-04-18,绍菜,2.4
109,2016-04-19,绍菜,2.2
110,2016-04-20,绍菜,2.2
111,2016-04-21,绍菜,2.0
112,2016-04-22,绍菜,2.0
113,2016-04-23,绍菜,1.9
114,2016-04-24,绍菜,1.9
115,2016-04-25,绍菜,2.0
